# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.549464795979e+00 
       2.373043761528e-05       7.946981886542e+00 
       3.705205197341e-05       1.231075074270e+01 
       5.046040160262e-05       1.667028435616e+01 
       6.399420676399e-05       2.104570044057e+01 
       7.769321405898e-05       2.545399016217e+01 
       9.159857522556e-05       2.991089992799e+01 
       1.057532435558e-04       3.443176498852e+01 
       1.202023933008e-04       3.903198269012e+01 
       1.349938674647e-04       4.372733481863e+01 
       1.501786593808e-04       4.853424155667e+01 
       1.658114333596e-04       5.346998347731e+01 
       1.819510894196e-04       5.855291032450e+01 
       1.986613765579e-04       6.380264693266e+01 
       2.160115580438e-04       6.924030165076e+01 
       2.340771306401e-04       7.488868045062e+01 
       2.529405972213e-04       8.077250734982e+01 
       2.726922886571e-04       8.691865049475e+01 
       2.934312256600e-04       9.335634973309e+01 
       3.152660040981e-04       1.001174399233e+02 
       3.383156775180e-04       1.072365606566e+02 
       3.627105977775e-04       1.147513377927e+02 
       3.885931583209e-04       1.227025181402e+02 
       4.161183645581e-04       1.311340317347e+02 
       4.454541324261e-04       1.400929488442e+02 
       4.767811907995e-04       1.496292928380e+02 
       5.102924387431e-04       1.597956612034e+02 
       5.461915893473e-04       1.706466052923e+02 
       5.846909251320e-04       1.822377192230e+02 
       6.260080050474e-04       1.946243970063e+02 
       6.703612104985e-04       2.078602356177e+02 
       7.179641068864e-04       2.219950967992e+02 
       7.690187318622e-04       2.370728857952e+02 
       8.237080952403e-04       2.531291655953e+02 
       8.821883665213e-04       2.701887817702e+02 
       9.445813962622e-04       2.882637190329e+02 
       1.010968318642e-03       3.073514459510e+02 
       1.081384969221e-03       3.274339604137e+02 
       1.155819700313e-03       3.484777003248e+02 
       1.234213899658e-03       3.704343725675e+02 
       1.316465168833e-03       3.932426201736e+02 
       1.402432774394e-03       4.168303518275e+02 
       1.491944724558e-03       4.411174849727e+02 
       1.584805697329e-03       4.660188016065e+02 
       1.680805061300e-03       4.914466749567e+02 
       1.779724358910e-03       5.173135051513e+02 
       1.881343813733e-03       5.435337174832e+02 
       1.985447627100e-03       5.700252961496e+02 
       2.091828006459e-03       5.967109048718e+02 
       2.200287998256e-03       6.235185960095e+02 
       2.310643277916e-03       6.503813653903e+02 
       2.422723085604e-03       6.772397483927e+02 
       2.536370500476e-03       7.040396098179e+02 
       2.651442230081e-03       7.307324565789e+02 
       2.767808065318e-03       7.572751663050e+02 
       2.885350122018e-03       7.836298684707e+02 
       3.003961962113e-03       8.097632260853e+02 
       3.123547662764e-03       8.356462611134e+02 
       3.244020881646e-03       8.612537910724e+02 
       3.365303950641e-03       8.865640444877e+02 
       3.487327018288e-03       9.115583024704e+02 
       3.610027252458e-03       9.362205349261e+02 
       3.733348108622e-03       9.605372793868e+02 
