# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.353783945845e-10       4.918665393619e-15       3.779615439443e-13       0.000000000000e+00       8.119705106654e-09       4.408164257069e-10      -1.993621323968e-12 
    3       1.284930986274e-10       7.131300454563e-15       4.456396626310e-13       0.000000000000e+00       4.986875093958e-09       3.126152948341e-10      -1.621453991323e-12 
    4       1.217299338125e-10       7.039640083103e-15       4.349825821045e-13       0.000000000000e+00       3.457059846043e-09       2.366340982690e-10      -1.168459559457e-12 
    5       1.165510421183e-10       5.402246241700e-15       3.854593564340e-13       0.000000000000e+00       2.573185470363e-09       1.867716811561e-10      -7.523256362216e-13 
    6       1.129382387130e-10       3.418713099764e-15       3.216572541291e-13       0.000000000000e+00       2.005008692450e-09       1.517638771335e-10      -4.118039542556e-13 
    7       1.105542260929e-10       1.912446505674e-15       2.590316211780e-13       0.000000000000e+00       1.613791564269e-09       1.260090339473e-10      -1.603792578628e-13 
    8       1.091487154709e-10       1.096822650294e-15       2.057011370947e-13       0.000000000000e+00       1.330928299885e-09       1.064444930554e-10       3.483375235160e-15 
    9       1.084914116674e-10       7.803620683481e-16       1.652042137809e-13       0.000000000000e+00       1.118555082178e-09       9.124801330230e-11       9.084357450320e-14 
   10       1.083609766492e-10       6.769693114945e-16       1.381838460575e-13       0.000000000000e+00       9.542379645358e-10       7.921080718294e-11       1.185484001896e-13 
   11       1.086882356677e-10       6.039586278414e-16       1.232807027584e-13       0.000000000000e+00       8.050659384232e-10       6.988489679556e-11       1.057909804322e-13 
   12       1.093266915722e-10       5.161421691867e-16       1.179706555390e-13       0.000000000000e+00       7.022283238700e-10       6.164326644334e-11       7.117838946814e-14 
   13       1.102220024299e-10       4.411753241508e-16       1.194200387515e-13       0.000000000000e+00       6.179030428655e-10       5.499191843975e-11       3.027642337146e-14 
   14       1.113162401676e-10       4.072387736362e-16       1.249798930051e-13       0.000000000000e+00       5.478255172354e-10       4.923203231979e-11      -6.393892708005e-15 
   15       1.126046892248e-10       4.134813262984e-16       1.325516645481e-13       0.000000000000e+00       4.889053396133e-10       4.440959784444e-11      -3.206511007357e-14 
   16       1.140027993828e-10       4.406928218802e-16       1.407020672213e-13       0.000000000000e+00       4.388666962821e-10       4.026511272943e-11      -4.470765010695e-14 
   17       1.155413201279e-10       4.737722531937e-16       1.485454568113e-13       0.000000000000e+00       3.959911254405e-10       3.664955603981e-11      -4.562305251729e-14 
   18       1.171558521185e-10       5.128069505639e-16       1.558432536440e-13       0.000000000000e+00       3.588203198875e-10       3.349282120800e-11      -3.832216018825e-14 
   19       1.188564179322e-10       5.666542919939e-16       1.627626719886e-13       0.000000000000e+00       3.267513847560e-10       3.074766344767e-11      -2.649585666149e-14 
   20       1.206366495987e-10       6.457040807934e-16       1.696054211131e-13       0.000000000000e+00       2.985385091476e-10       2.830317266953e-11      -1.452486439792e-14 
   21       1.224979128535e-10       7.514061004660e-16       1.766854268583e-13       0.000000000000e+00       2.737308099316e-10       2.611919052986e-11      -4.944620601863e-15 
   22       1.244142693046e-10       8.812022672438e-16       1.842979634736e-13       0.000000000000e+00       2.517271899579e-10       2.414753012764e-11       4.272530915784e-16 
   23       1.263900747051e-10       1.032572472579e-15       1.924716480690e-13       0.000000000000e+00       2.322197330739e-10       2.238389875872e-11       1.449635325465e-15 
   24       1.284184740133e-10       1.202846625032e-15       2.010772824802e-13       0.000000000000e+00       2.147522130613e-10       2.081530622331e-11      -1.116510816982e-15 
   25       1.305000089831e-10       1.392674031714e-15       2.098294192220e-13       0.000000000000e+00       1.991151749094e-10       1.942110484037e-11      -5.879707418139e-15 
   26       1.326226427801e-10       1.603293668410e-15       2.183262840448e-13       0.000000000000e+00       1.850216070915e-10       1.816384035912e-11      -1.103951851148e-14 
   27       1.347839998126e-10       1.833690436769e-15       2.261582014017e-13       0.000000000000e+00       1.722993581169e-10       1.702384355910e-11      -1.530626107212e-14 
   28       1.369760517115e-10       2.082353094362e-15       2.329187275993e-13       0.000000000000e+00       1.607260089875e-10       1.597954768889e-11      -1.761472052033e-14 
   29       1.392079082378e-10       2.350431200399e-15       2.384698776422e-13       0.000000000000e+00       1.502404721159e-10       1.502722965947e-11      -1.789160484417e-14 
   30       1.414828078325e-10       2.640147077827e-15       2.427683529785e-13       0.000000000000e+00       1.407281513703e-10       1.415989687447e-11      -1.647528398643e-14 
   31       1.437936397101e-10       2.953900115446e-15       2.458007765864e-13       0.000000000000e+00       1.319925687488e-10       1.336263509482e-11      -1.387066227713e-14 
   32       1.461431650915e-10       3.293397957230e-15       2.476072944422e-13       0.000000000000e+00       1.239871998636e-10       1.262862696865e-11      -1.071677131052e-14 
   33       1.485287377152e-10       3.660219292274e-15       2.482715793498e-13       0.000000000000e+00       1.166541310453e-10       1.194754244738e-11      -7.832556836437e-15 
   34       1.509409251494e-10       4.055843660534e-15       2.478941064670e-13       0.000000000000e+00       1.098891842000e-10       1.130600233338e-11      -6.025674666713e-15 
   35       1.533817780528e-10       4.480957072244e-15       2.465101926441e-13       0.000000000000e+00       1.036567387654e-10       1.070643315620e-11      -5.348147149594e-15 
   36       1.558512508328e-10       4.935887464675e-15       2.441452946657e-13       0.000000000000e+00       9.790579500377e-11       1.015410627543e-11      -5.578205324197e-15 
   37       1.583451310446e-10       5.420907650650e-15       2.408069149609e-13       0.000000000000e+00       9.256034565967e-11       9.651301235799e-12      -6.430747539347e-15 
   38       1.608674137937e-10       5.936696612217e-15       2.363807028183e-13       0.000000000000e+00       8.760594052702e-11       9.195263116863e-12      -7.629327628138e-15 
   39       1.634208919685e-10       6.484019018872e-15       2.306981940845e-13       0.000000000000e+00       8.302629112328e-11       8.779047838794e-12      -8.848877920317e-15 
   40       1.660031334252e-10       7.063598068996e-15       2.235621068272e-13       0.000000000000e+00       7.877695855687e-11       8.391653312987e-12      -9.690397901629e-15 
   41       1.686091522514e-10       7.676106819845e-15       2.147872362596e-13       0.000000000000e+00       7.480069274385e-11       8.021325781149e-12      -9.795240101517e-15 
   42       1.712418030059e-10       8.322145676408e-15       2.043438545891e-13       0.000000000000e+00       7.108534701576e-11       7.667552989651e-12      -9.243949459312e-15 
   43       1.739038357062e-10       9.002252747901e-15       1.922576990264e-13       0.000000000000e+00       6.762069168912e-11       7.332429295856e-12      -8.279391879234e-15 
