# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.353788256923e-10       4.918857616185e-15       3.779615402808e-13       1.922224958507e-19       8.119705106654e-09       4.408164257069e-10      -1.993621323968e-12 
    3       1.284939587053e-10       7.131684994590e-15       4.456396463084e-13       3.845393323523e-19       4.986875093958e-09       3.126152948341e-10      -1.621453991323e-12 
    4       1.217313625842e-10       7.040281193158e-15       4.349825352181e-13       6.411066367184e-19       3.457059846043e-09       2.366340982690e-10      -1.168459559457e-12 
    5       1.165531766194e-10       5.403208298396e-15       3.854592496631e-13       9.620449694645e-19       2.573185470363e-09       1.867716811561e-10      -7.523256362216e-13 
    6       1.129412127538e-10       3.420060632463e-15       3.216570442784e-13       1.347500650438e-18       2.005008692450e-09       1.517638771335e-10      -4.118039542556e-13 
    7       1.105581698037e-10       1.914244223459e-15       2.590312489575e-13       1.797643022258e-18       1.613791564269e-09       1.260090339473e-10      -1.603792578628e-13 
    8       1.091537549405e-10       1.099135466685e-15       2.057005251690e-13       2.312661342662e-18       1.330928299885e-09       1.064444930554e-10       3.483375235160e-15 
    9       1.084976686796e-10       7.832551231924e-16       1.652032651091e-13       2.892761392348e-18       1.118555082178e-09       9.124801330230e-11       9.084357450320e-14 
   10       1.083685685224e-10       6.805079894000e-16       1.381824425337e-13       3.538161891823e-18       9.542379645358e-10       7.921080718294e-11       1.185484001896e-13 
   11       1.086972751956e-10       6.082085724999e-16       1.232787041544e-13       4.249090824743e-18       8.050659384232e-10       6.988489679556e-11       1.057909804322e-13 
   12       1.093372870623e-10       5.211692929314e-16       1.179678987435e-13       5.025781766125e-18       7.022283238700e-10       6.164326644334e-11       7.117838946814e-14 
   13       1.102342578326e-10       4.470458121254e-16       1.194163372883e-13       5.868470311552e-18       6.179030428655e-10       5.499191843975e-11       3.027642337146e-14 
   14       1.113302552860e-10       4.140190820189e-16       1.249750368099e-13       6.777390698331e-18       5.478255172354e-10       4.923203231979e-11      -6.393892708005e-15 
   15       1.126205599915e-10       4.212381741327e-16       1.325454199762e-13       7.752772701521e-18       4.889053396133e-10       4.440959784444e-11      -3.206511007357e-14 
   16       1.140206181907e-10       4.494931762031e-16       1.406941772549e-13       8.794838877227e-18       4.388666962821e-10       4.026511272943e-11      -4.470765010695e-14 
   17       1.155611761969e-10       4.836833073318e-16       1.485356414347e-13       9.903802212909e-18       3.959911254405e-10       3.664955603981e-11      -4.562305251729e-14 
   18       1.171778318910e-10       5.238960958559e-16       1.558312103681e-13       1.107986405854e-17       3.588203198875e-10       3.349282120800e-11      -3.832216018825e-14 
   19       1.188806054326e-10       5.789890821028e-16       1.627480764058e-13       1.232321356913e-17       3.267513847560e-10       3.074766344767e-11      -2.649585666149e-14 
   20       1.206631268638e-10       6.593521919101e-16       1.695879276939e-13       1.363402486838e-17       2.985385091476e-10       2.830317266953e-11      -1.452486439792e-14 
   21       1.225267602203e-10       7.664352846889e-16       1.766646695897e-13       1.501245934559e-17       2.737308099316e-10       2.611919052986e-11      -4.944620601863e-15 
   22       1.244455657779e-10       8.976803020254e-16       1.842735567638e-13       1.645866256853e-17       2.517271899579e-10       2.414753012764e-11       4.272530915784e-16 
   23       1.264238981430e-10       1.050567108171e-15       1.924431874663e-13       1.797276826317e-17       2.322197330739e-10       2.238389875872e-11       1.449635325465e-15 
   24       1.284549013927e-10       1.222425527709e-15       2.010443456645e-13       1.955489517286e-17       2.147522130613e-10       2.081530622331e-11      -1.116510816982e-15 
   25       1.305391164357e-10       1.413904731583e-15       2.097915668153e-13       2.120515310905e-17       1.991151749094e-10       1.942110484037e-11      -5.879707418139e-15 
   26       1.326645057275e-10       1.626243500897e-15       2.182830607049e-13       2.292363905703e-17       1.850216070915e-10       1.816384035912e-11      -1.103951851148e-14 
   27       1.348286928914e-10       1.858426492475e-15       2.261091368286e-13       2.471044324724e-17       1.722993581169e-10       1.702384355910e-11      -1.530626107212e-14 
   28       1.370236487609e-10       2.108942165550e-15       2.328633378124e-13       2.656564665232e-17       1.607260089875e-10       1.597954768889e-11      -1.761472052033e-14 
   29       1.392584819993e-10       2.378939753970e-15       2.384076663407e-13       2.848933166060e-17       1.502404721159e-10       1.502722965947e-11      -1.789160484417e-14 
