# Matter power spectrum P(k) at redshift z=5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054587662383e-05       1.938227193109e+00 
       2.395760700461e-05       4.344303736813e+00 
       3.741949231070e-05       6.732068877145e+00 
       5.097080407504e-05       9.117827858133e+00 
       6.465150826923e-05       1.151273830340e+01 
       7.850265151649e-05       1.392625156504e+01 
       9.256676051055e-05       1.636714648864e+01 
       1.068882603665e-04       1.884398940974e+01 
       1.215139176705e-04       2.136539642731e+01 
       1.364933140282e-04       2.394021357705e+01 
       1.518793559007e-04       2.657765960214e+01 
       1.677288263856e-04       2.928745181140e+01 
       1.841029842806e-04       3.207992489440e+01 
       2.010682151256e-04       3.496614889727e+01 
       2.186967378032e-04       3.795804884283e+01 
       2.370673684701e-04       4.106852751157e+01 
       2.562663408111e-04       4.431159290679e+01 
       2.763881774971e-04       4.770248788487e+01 
       2.975366018308e-04       5.125782099646e+01 
       3.198254703706e-04       5.499569455447e+01 
       3.433796962236e-04       5.893582306625e+01 
       3.683361181409e-04       6.309963471214e+01 
       3.948442520610e-04       6.751034376511e+01 
       4.230668392529e-04       7.219297684117e+01 
       4.531800792723e-04       7.717433638451e+01 
       4.853734083030e-04       8.248287330692e+01 
       5.198486575588e-04       8.814844398731e+01 
       5.568184080411e-04       9.420192109107e+01 
       5.965033555038e-04       1.006746271532e+02 
       6.391285237414e-04       1.075975743118e+02 
       6.849182269121e-04       1.150004939676e+02 
       7.340897917152e-04       1.229106751438e+02 
       7.868462095924e-04       1.313516501406e+02 
       8.433680859967e-04       1.403418075064e+02 
       9.038054586522e-04       1.498930444543e+02 
       9.682702230937e-04       1.600095910016e+02 
       1.036829977312e-03       1.706871612839e+02 
       1.109504033623e-03       1.819125461384e+02 
       1.186262131037e-03       1.936637272664e+02 
       1.267026045480e-03       2.059105283467e+02 
       1.351673909154e-03       2.186157359403e+02 
       1.440046703627e-03       2.317365595777e+02 
       1.531956161098e-03       2.452262954359e+02 
       1.627193233137e-03       2.590359903967e+02 
       1.725536357866e-03       2.731159977397e+02 
       1.826758931240e-03       2.874173141492e+02 
       1.930635607428e-03       3.018926267395e+02 
       2.036947265403e-03       3.164970944836e+02 
       2.145484649649e-03       3.311888457435e+02 
       2.256050808962e-03       3.459291674875e+02 
       2.368462520340e-03       3.606824701834e+02 
       2.482550905970e-03       3.754172972453e+02 
       2.598161443598e-03       3.901050142689e+02 
       2.715153546563e-03       4.047201232756e+02 
       2.833399858872e-03       4.192399624334e+02 
       2.952785379160e-03       4.336447136389e+02 
       3.073206498732e-03       4.479169364062e+02 
       3.194570014728e-03       4.620415355706e+02 
       3.316792160165e-03       4.760054931087e+02 
       3.439797677790e-03       4.897975941795e+02 
       3.563518953785e-03       5.034083926178e+02 
       3.687895219483e-03       5.168297692633e+02 
       3.812871823923e-03       5.300550371660e+02 
       3.938399576414e-03       5.430785879765e+02 
       4.064434156076e-03       5.558958231154e+02 
       4.190935583973e-03       5.685030695750e+02 
       4.317867752807e-03       5.808974129563e+02 
       4.445198008897e-03       5.930767236392e+02 
       4.572896781262e-03       6.050393746234e+02 
       4.700937252832e-03       6.167844231242e+02 
       4.829295069163e-03       6.283113196644e+02 
       4.957948080421e-03       6.396201829874e+02 
       5.086876112798e-03       6.507110577756e+02 
       5.216060765905e-03       6.615847868430e+02 
       5.345485233097e-03       6.722423618603e+02 
       5.475134141982e-03       6.826847725804e+02 
       5.604993412735e-03       6.929136167376e+02 
       5.735050132083e-03       7.029305043847e+02 
       5.865292441105e-03       7.127370204671e+02 
       5.995709435225e-03       7.223352630861e+02 
       6.126291074934e-03       7.317270096754e+02 
       6.257028106021e-03       7.409144096380e+02 
       6.387911988181e-03       7.498998348438e+02 
       6.518934831047e-03       7.586853273259e+02 
       6.650089336797e-03       7.672732688408e+02 
       6.781368748589e-03       7.756660013258e+02 
       6.912766804167e-03       7.838657564359e+02 
       7.044277694073e-03       7.918753230462e+02 
       7.175896023947e-03       7.996970593357e+02 
       7.307616780480e-03       8.073332411841e+02 
       7.439435300621e-03       8.147863665612e+02 
       7.571347243688e-03       8.220591986120e+02 
       7.703348566092e-03       8.291535060941e+02 
       7.835435498379e-03       8.360721558651e+02 
       7.967604524376e-03       8.428178815484e+02 
       8.099852362201e-03       8.493925711946e+02 
       8.232175946977e-03       8.557985455859e+02 
       8.364572415055e-03       8.620389949098e+02 
       8.497039089610e-03       8.681155789771e+02 
       8.629573467480e-03       8.740307737477e+02 
       8.762173207120e-03       8.797869908414e+02 
       8.894836117563e-03       8.853870019663e+02 
       9.027560148310e-03       8.908325442722e+02 
       9.160343380039e-03       8.961258726398e+02 
       9.293184016077e-03       9.012692301201e+02 
       9.426080374557e-03       9.062650196738e+02 
       9.559030881197e-03       9.111151845215e+02 
       9.692034062657e-03       9.158219537836e+02 
       9.825088540402e-03       9.203872037519e+02 
       9.958193025054e-03       9.248133691668e+02 
       1.009134631117e-02       9.291020236750e+02 
       1.022454727240e-02       9.332556026871e+02 
       1.035779485708e-02       9.372758207625e+02 
       1.049108808403e-02       9.411644153676e+02 
       1.062442603880e-02       9.449238044362e+02 
       1.075780787008e-02       9.485554345490e+02 
       1.089123278647e-02       9.520623348194e+02 
       1.102470005340e-02       9.554447506095e+02 
       1.115820899032e-02       9.587046965922e+02 
       1.129175896808e-02       9.618441821706e+02 
       1.142534940653e-02       9.648648034629e+02 
       1.155897977221e-02       9.677684502446e+02 
       1.169264957627e-02       9.705569219196e+02 
       1.182635837256e-02       9.732316447760e+02 
       1.196010575577e-02       9.757943497439e+02 
       1.209389135976e-02       9.782463999312e+02 
       1.222771485602e-02       9.805898085547e+02 
       1.236157595218e-02       9.828259491836e+02 
       1.249547439069e-02       9.849560285937e+02 
       1.262940994755e-02       9.869820665802e+02 
       1.276338243113e-02       9.889051536050e+02 
       1.289739168112e-02       9.907268724986e+02 
       1.303143756752e-02       9.924491493634e+02 
       1.316551998968e-02       9.940725766430e+02 
       1.329963887547e-02       9.955990742937e+02 
       1.343379418048e-02       9.970302203396e+02 
       1.356798588725e-02       9.983667761724e+02 
       1.370221400463e-02       9.996111516531e+02 
       1.383647856714e-02       1.000763799958e+03 
       1.397077963436e-02       1.001826226932e+03 
       1.410511729045e-02       1.002800164213e+03 
       1.423949164364e-02       1.003686293205e+03 
       1.437390282580e-02       1.004487002661e+03 
       1.450835099199e-02       1.005202362363e+03 
       1.464283632018e-02       1.005834142527e+03 
       1.477735901085e-02       1.006383301629e+03 
       1.491191928672e-02       1.006851164898e+03 
       1.504651739250e-02       1.007239577423e+03 
       1.518115359463e-02       1.007549233687e+03 
       1.531582818112e-02       1.007781271734e+03 
       1.545054146135e-02       1.007937480586e+03 
       1.558529376592e-02       1.008017917377e+03 
       1.572008544657e-02       1.008024894449e+03 
       1.585491687604e-02       1.007959008060e+03 
       1.598978844802e-02       1.007821544335e+03 
       1.612470057713e-02       1.007613442850e+03 
