# Matter power spectrum P(k) at redshift z=5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054587662383e-05       1.938141970044e+00 
       2.395760700461e-05       4.344113085169e+00 
       3.741949231070e-05       6.731774448635e+00 
       5.097080407504e-05       9.117431073491e+00 
       6.465150826923e-05       1.151224060888e+01 
       7.850265151649e-05       1.392565455409e+01 
       9.256676051055e-05       1.636645199577e+01 
       1.068882603665e-04       1.884319960299e+01 
       1.215139176705e-04       2.136451391259e+01 
       1.364933140282e-04       2.393924152201e+01 
       1.518793559007e-04       2.657660188593e+01 
       1.677288263856e-04       2.928631320901e+01 
       1.841029842806e-04       3.207871130366e+01 
       2.010682151256e-04       3.496486762221e+01 
       2.186967378032e-04       3.795670894678e+01 
       2.370673684701e-04       4.106714025277e+01 
       2.562663408111e-04       4.431017229068e+01 
       2.763881774971e-04       4.770105135026e+01 
       2.975366018308e-04       5.125639027754e+01 
       3.198254703706e-04       5.499429676725e+01 
       3.433796962236e-04       5.893449206745e+01 
       3.683361181409e-04       6.309841280995e+01 
       3.948442520610e-04       6.750928387305e+01 
       4.230668392529e-04       7.219214516624e+01 
       4.531800792723e-04       7.717381580499e+01 
       4.853734083030e-04       8.248276756932e+01 
       5.198486575588e-04       8.814888291210e+01 
       5.568184080411e-04       9.420306698201e+01 
       5.965033555038e-04       1.006766826033e+02 
       6.391285237414e-04       1.076007916265e+02 
       6.849182269121e-04       1.150051863492e+02 
       7.340897917152e-04       1.229172297650e+02 
       7.868462095924e-04       1.313605430945e+02 
       8.433680859967e-04       1.403536205056e+02 
       9.038054586522e-04       1.499084829341e+02 
       9.682702230937e-04       1.600295031144e+02 
       1.036829977312e-03       1.707125570339e+02 
       1.109504033623e-03       1.819446157805e+02 
       1.186262131037e-03       1.937038579681e+02 
       1.267026045480e-03       2.059603181593e+02 
       1.351673909154e-03       2.186770042089e+02 
       1.440046703627e-03       2.318113531247e+02 
       1.531956161098e-03       2.453168901516e+02 
       1.627193233137e-03       2.591448880796e+02 
       1.725536357866e-03       2.732459183453e+02 
       1.826758931240e-03       2.875711838180e+02 
       1.930635607428e-03       3.020735620732e+02 
       2.036947265403e-03       3.167083837268e+02 
       2.145484649649e-03       3.314339274726e+02 
       2.256050808962e-03       3.462116071991e+02 
       2.368462520340e-03       3.610059352402e+02 
       2.482550905970e-03       3.757855340204e+02 
       2.598161443598e-03       3.905218218938e+02 
       2.715153546563e-03       4.051893289155e+02 
       2.833399858872e-03       4.197653970823e+02 
       2.952785379160e-03       4.342301892870e+02 
       3.073206498732e-03       4.485662240266e+02 
       3.194570014728e-03       4.627583450091e+02 
       3.316792160165e-03       4.767934545365e+02 
       3.439797677790e-03       4.906602411685e+02 
       3.563518953785e-03       5.043491476117e+02 
       3.687895219483e-03       5.178519303036e+02 
       3.812871823923e-03       5.311617674246e+02 
       3.938399576414e-03       5.442729067493e+02 
       4.064434156076e-03       5.571805989848e+02 
       4.190935583973e-03       5.698810156212e+02 
       4.317867752807e-03       5.823710836011e+02 
       4.445198008897e-03       5.946485135674e+02 
       4.572896781262e-03       6.067115186287e+02 
       4.700937252832e-03       6.185589981932e+02 
       4.829295069163e-03       6.301902474958e+02 
       4.957948080421e-03       6.416052347897e+02 
       5.086876112798e-03       6.528038574647e+02 
       5.216060765905e-03       6.637868182719e+02 
       5.345485233097e-03       6.745549744446e+02 
       5.475134141982e-03       6.851091868985e+02 
       5.604993412735e-03       6.954509328532e+02 
       5.735050132083e-03       7.055817081777e+02 
       5.865292441105e-03       7.155029899421e+02 
       5.995709435225e-03       7.252167768981e+02 
       6.126291074934e-03       7.347247521422e+02 
       6.257028106021e-03       7.440289785098e+02 
       6.387911988181e-03       7.531317481900e+02 
       6.518934831047e-03       7.620350277253e+02 
       6.650089336797e-03       7.707411301751e+02 
       6.781368748589e-03       7.792523333821e+02 
       6.912766804167e-03       7.875708088759e+02 
       7.044277694073e-03       7.956992920072e+02 
       7.175896023947e-03       8.036400889443e+02 
       7.307616780480e-03       8.113954261562e+02 
       7.439435300621e-03       8.189677580349e+02 
       7.571347243688e-03       8.263596775741e+02 
       7.703348566092e-03       8.335730818133e+02 
       7.835435498379e-03       8.406108011309e+02 
       7.967604524376e-03       8.474754840605e+02 
       8.099852362201e-03       8.541689347482e+02 
       8.232175946977e-03       8.606933981801e+02 
       8.364572415055e-03       8.670519991471e+02 
       8.497039089610e-03       8.732463283113e+02 
       8.629573467480e-03       8.792788019122e+02 
       8.762173207120e-03       8.851517762576e+02 
       8.894836117563e-03       8.908679737392e+02 
       9.027560148310e-03       8.964290803300e+02 
       9.160343380039e-03       9.018373066007e+02 
       9.293184016077e-03       9.070948550272e+02 
       9.426080374557e-03       9.122040926020e+02 
       9.559030881197e-03       9.171669272085e+02 
       9.692034062657e-03       9.219855578532e+02 
       9.825088540402e-03       9.266618316299e+02 
       9.958193025054e-03       9.311981611320e+02 
       1.009134631117e-02       9.355960951106e+02 
       1.022454727240e-02       9.398580530717e+02 
       1.035779485708e-02       9.439857316153e+02 
       1.049108808403e-02       9.479808531375e+02 
       1.062442603880e-02       9.518458281764e+02 
       1.075780787008e-02       9.555820912844e+02 
       1.089123278647e-02       9.591926679591e+02 
       1.102470005340e-02       9.626777974629e+02 
       1.115820899032e-02       9.660394905820e+02 
       1.129175896808e-02       9.692797565287e+02 
       1.142534940653e-02       9.724001908268e+02 
       1.155897977221e-02       9.754026865122e+02 
       1.169264957627e-02       9.782890468780e+02 
       1.182635837256e-02       9.810607002295e+02 
       1.196010575577e-02       9.837193828460e+02 
       1.209389135976e-02       9.862664608522e+02 
       1.222771485602e-02       9.887039564043e+02 
       1.236157595218e-02       9.910332471140e+02 
       1.249547439069e-02       9.932555424570e+02 
       1.262940994755e-02       9.953728718193e+02 
       1.276338243113e-02       9.973863273066e+02 
       1.289739168112e-02       9.992974971871e+02 
       1.303143756752e-02       1.001108315693e+03 
       1.316551998968e-02       1.002819371262e+03 
       1.329963887547e-02       1.004432590809e+03 
       1.343379418048e-02       1.005949555690e+03 
       1.356798588725e-02       1.007371022397e+03 
       1.370221400463e-02       1.008699410612e+03 
       1.383647856714e-02       1.009935164468e+03 
       1.397077963436e-02       1.011079790193e+03 
       1.410511729045e-02       1.012135020073e+03 
       1.423949164364e-02       1.013101526449e+03 
       1.437390282580e-02       1.013981704768e+03 
       1.450835099199e-02       1.014775609415e+03 
       1.464283632018e-02       1.015485011389e+03 
       1.477735901085e-02       1.016110860502e+03 
       1.491191928672e-02       1.016654477383e+03 
       1.504651739250e-02       1.017117707294e+03 
       1.518115359463e-02       1.017501233681e+03 
       1.531582818112e-02       1.017806188296e+03 
       1.545054146135e-02       1.018034360291e+03 
       1.558529376592e-02       1.018185790345e+03 
       1.572008544657e-02       1.018262797155e+03 
       1.585491687604e-02       1.018265966756e+03 
       1.598978844802e-02       1.018196582618e+03 
       1.612470057713e-02       1.018055578769e+03 
       1.625965369884e-02       1.017844259495e+03 
       1.639464826954e-02       1.017563730458e+03 
       1.652968476650e-02       1.017215136414e+03 
       1.666476368793e-02       1.016799286246e+03 
       1.679988555307e-02       1.016317186155e+03 
       1.693505090223e-02       1.015770471596e+03 
       1.707026029690e-02       1.015160248554e+03 
       1.720551431989e-02       1.014486652342e+03 
       1.734081357544e-02       1.013751549200e+03 
       1.747615868939e-02       1.012955265433e+03 
       1.761155030937e-02       1.012099097101e+03 
       1.774698910494e-02       1.011184112378e+03 
       1.788247576786e-02       1.010211599983e+03 
       1.801801101224e-02       1.009181896507e+03 
       1.815359557488e-02       1.008096221629e+03 
       1.828923021544e-02       1.006956352080e+03 
       1.842491571677e-02       1.005761278108e+03 
