# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.054587662383e-05      -2.773877901370e-04      -2.080612961610e-04      -2.080612991658e-04      -2.773872589632e-04      -2.080306086050e-04      -2.081821800873e-04       5.998766692084e-01       5.987938573024e-01      -1.273689513460e-11      -2.748941938439e-15      -1.314334588720e-11      -1.892303741606e-14      -3.079297436989e-14 
       2.395760700461e-05      -1.430966349213e-03      -1.073769423453e-03      -1.073769503470e-03      -1.430952206698e-03      -1.073608003852e-03      -1.074392261505e-03       5.998731783054e-01       5.987910135431e-01      -3.391389918482e-10      -7.320012477749e-14      -3.499603169714e-10      -5.039977541965e-13      -8.199111948106e-13 
       3.741949231070e-05      -3.488333196009e-03      -2.619490251589e-03      -2.619490727653e-03      -3.488249081992e-03      -2.619083195069e-03      -2.621005225964e-03       5.998669474151e-01       5.987859371730e-01      -2.017277450459e-09      -4.354620608605e-13      -2.081633456273e-09      -2.999421091966e-12      -4.877040942667e-12 
       5.097080407504e-05      -6.465478780327e-03      -4.860258871052e-03      -4.860260509271e-03      -6.465189469146e-03      -4.859467919620e-03      -4.863057810592e-03       5.998579182109e-01       5.987785802226e-01      -6.939473731025e-09      -1.498269091589e-12      -7.160804057298e-09      -1.032568356490e-11      -1.677721554590e-11 
       6.465150826923e-05      -1.038727535971e-02      -7.819297118055e-03      -7.819301355912e-03      -1.038652742054e-02      -7.817948792401e-03      -7.823774699927e-03       5.998459983172e-01       5.987688652999e-01      -1.794382864580e-08      -3.875034737229e-12      -1.851593604854e-08      -2.672577639273e-11      -4.338221075816e-11 
       7.850265151649e-05      -1.528776437260e-02      -1.152846480380e-02      -1.152847400927e-02      -1.528614098208e-02      -1.152633675135e-02      -1.153501946716e-02       5.998310657042e-01       5.987566917135e-01      -3.895705786323e-08      -8.415210602479e-12      -4.019858272230e-08      -5.809402444195e-11      -9.418606969730e-11 
       9.256676051055e-05      -2.121056690250e-02      -1.602890218300e-02      -1.602891996355e-02      -2.120743431651e-02      -1.602570698401e-02      -1.603793663504e-02       5.998129605722e-01       5.987419273018e-01      -7.519684010271e-08      -1.624909704688e-11      -7.759203772163e-08      -1.123022145318e-10      -1.818047038504e-10 
       1.068882603665e-04      -2.820941456440e-02      -2.137188224163e-02      -2.137191382013e-02      -2.820385743936e-02      -2.136724775120e-02      -2.138380339829e-02       5.997914837311e-01       5.987244064270e-01      -1.334456746606e-07      -2.884785117712e-11      -1.376935906781e-07      -1.996443859463e-10      -3.226383421266e-10 
       1.215139176705e-04      -3.634879644747e-02      -2.761989780420e-02      -2.761995048339e-02      -3.633953844126e-02      -2.761334287872e-02      -2.763511595636e-02       5.997663932941e-01       5.987039279512e-01      -2.224124623638e-07      -4.810331845403e-11      -2.294872255705e-07      -3.334301929316e-10      -5.377463886978e-10 
       1.364933140282e-04      -4.570471428202e-02      -3.484801574123e-02      -3.484809948713e-02      -4.569001932163e-02      -3.483891989088e-02      -3.486694266892e-02       5.997373999388e-01       5.986802513156e-01      -3.532036933367e-07      -7.643330796465e-11      -3.644293310571e-07      -5.307676293314e-10      -8.539878430197e-10 
