# Matter power spectrum P(k) at redshift z=4.5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054587662383e-05       2.305428269847e+00 
       2.395760700461e-05       5.167340269802e+00 
       3.741949231070e-05       8.007470295612e+00 
       5.097080407504e-05       1.084521183096e+01 
       6.465150826923e-05       1.369383542910e+01 
       7.850265151649e-05       1.656458206740e+01 
       9.256676051055e-05       1.946789276211e+01 
       1.068882603665e-04       2.241395554340e+01 
       1.215139176705e-04       2.541301750346e+01 
       1.364933140282e-04       2.847559903146e+01 
       1.518793559007e-04       3.161266358909e+01 
       1.677288263856e-04       3.483576732291e+01 
       1.841029842806e-04       3.815720039501e+01 
       2.010682151256e-04       4.159012714539e+01 
       2.186967378032e-04       4.514872830167e+01 
       2.370673684701e-04       4.884834698822e+01 
       2.562663408111e-04       5.270564006864e+01 
       2.763881774971e-04       5.673873226501e+01 
       2.975366018308e-04       6.096737158913e+01 
       3.198254703706e-04       6.541308138362e+01 
       3.433796962236e-04       7.009930100693e+01 
       3.683361181409e-04       7.505150625775e+01 
       3.948442520610e-04       8.029729509239e+01 
       4.230668392529e-04       8.586641875404e+01 
       4.531800792723e-04       9.179073783812e+01 
       4.853734083030e-04       9.810407080121e+01 
       5.198486575588e-04       1.048419048706e+02 
       5.568184080411e-04       1.120409333699e+02 
       5.965033555038e-04       1.197383829925e+02 
       6.391285237414e-04       1.279711107335e+02 
       6.849182269121e-04       1.367744526067e+02 
       7.340897917152e-04       1.461808455810e+02 
       7.868462095924e-04       1.562182698974e+02 
       8.433680859967e-04       1.669086064598e+02 
       9.038054586522e-04       1.782660433894e+02 
       9.682702230937e-04       1.902956873334e+02 
       1.036829977312e-03       2.029925653719e+02 
       1.109504033623e-03       2.163411497412e+02 
       1.186262131037e-03       2.303155007650e+02 
       1.267026045480e-03       2.448800430345e+02 
       1.351673909154e-03       2.599908942786e+02 
       1.440046703627e-03       2.755975899703e+02 
       1.531956161098e-03       2.916450429447e+02 
       1.627193233137e-03       3.080754989806e+02 
       1.725536357866e-03       3.248303605561e+02 
       1.826758931240e-03       3.418517522258e+02 
       1.930635607428e-03       3.590837466634e+02 
       2.036947265403e-03       3.764732820674e+02 
       2.145484649649e-03       3.939707518042e+02 
       2.256050808962e-03       4.115302353904e+02 
       2.368462520340e-03       4.291094700783e+02 
       2.482550905970e-03       4.466710705324e+02 
       2.598161443598e-03       4.641809881080e+02 
       2.715153546563e-03       4.816088819311e+02 
       2.833399858872e-03       4.989277963467e+02 
       2.952785379160e-03       5.161141579846e+02 
       3.073206498732e-03       5.331472115074e+02 
