# Matter power spectrum P(k) at redshift z=3.5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.054587662383e-05       3.434853771585e+00 
       2.395760700461e-05       7.698807513996e+00 
       3.741949231070e-05       1.193029872814e+01 
       5.097080407504e-05       1.615821613557e+01 
       6.465150826923e-05       2.040232565476e+01 
       7.850265151649e-05       2.467936882494e+01 
       9.256676051055e-05       2.900489461012e+01 
       1.068882603665e-04       3.339407418246e+01 
       1.215139176705e-04       3.786216560048e+01 
       1.364933140282e-04       4.242483259398e+01 
       1.518793559007e-04       4.709839733552e+01 
       1.677288263856e-04       5.190006278213e+01 
       1.841029842806e-04       5.684812290815e+01 
       2.010682151256e-04       6.196217084044e+01 
       2.186967378032e-04       6.726330992859e+01 
       2.370673684701e-04       7.277437069152e+01 
       2.562663408111e-04       7.852013491453e+01 
       2.763881774971e-04       8.452756411325e+01 
       2.975366018308e-04       9.082602944788e+01 
       3.198254703706e-04       9.744753630757e+01 
       3.433796962236e-04       1.044269317298e+02 
       3.683361181409e-04       1.118020808171e+02 
       3.948442520610e-04       1.196139912783e+02 
       4.230668392529e-04       1.279068562645e+02 
       4.531800792723e-04       1.367279841989e+02 
       4.853734083030e-04       1.461275688781e+02 
       5.198486575588e-04       1.561582538486e+02 
       5.568184080411e-04       1.668744384513e+02 
       5.965033555038e-04       1.783312721819e+02 
       6.391285237414e-04       1.905833068329e+02 
       6.849182269121e-04       2.036827827644e+02 
       7.340897917152e-04       2.176775803549e+02 
       7.868462095924e-04       2.326089106276e+02 
       8.433680859967e-04       2.485088845440e+02 
       9.038054586522e-04       2.653981643509e+02 
       9.682702230937e-04       2.832839230748e+02 
       1.036829977312e-03       3.021583916901e+02 
       1.109504033623e-03       3.219981803475e+02 
       1.186262131037e-03       3.427645145300e+02 
       1.267026045480e-03       3.644043983432e+02 
       1.351673909154e-03       3.868525831141e+02 
       1.440046703627e-03       4.100341038296e+02 
       1.531956161098e-03       4.338671480575e+02 
       1.627193233137e-03       4.582659109912e+02 
       1.725536357866e-03       4.831432539083e+02 
       1.826758931240e-03       5.084129937918e+02 
       1.930635607428e-03       5.339917103933e+02 
       2.036947265403e-03       5.598001222608e+02 
       2.145484649649e-03       5.857640019741e+02 
       2.256050808962e-03       6.118145749517e+02 
       2.368462520340e-03       6.378885408667e+02 
       2.482550905970e-03       6.639299368114e+02 
       2.598161443598e-03       6.898878905232e+02 
       2.715153546563e-03       7.157171718424e+02 
       2.833399858872e-03       7.413777255475e+02 
       2.952785379160e-03       7.668346047837e+02 
       3.073206498732e-03       7.920571168263e+02 
       3.194570014728e-03       8.170187172215e+02 
       3.316792160165e-03       8.416964947321e+02 
       3.439797677790e-03       8.660706592557e+02 
       3.563518953785e-03       8.901244786229e+02 
       3.687895219483e-03       9.138435124291e+02 
       3.812871823923e-03       9.372158226887e+02 
       3.938399576414e-03       9.602313803772e+02 
       4.064434156076e-03       9.828819666747e+02 
       4.190935583973e-03       1.005161041523e+03 
       4.317867752807e-03       1.027063445090e+03 
       4.445198008897e-03       1.048585439330e+03 
       4.572896781262e-03       1.069724212009e+03 
       4.700937252832e-03       1.090478075006e+03 
       4.829295069163e-03       1.110846149498e+03 
       4.957948080421e-03       1.130828630419e+03 
       5.086876112798e-03       1.150425585092e+03 
       5.216060765905e-03       1.169638475370e+03 
       5.345485233097e-03       1.188469022072e+03 
       5.475134141982e-03       1.206918948466e+03 
       5.604993412735e-03       1.224991061930e+03 
       5.735050132083e-03       1.242688204803e+03 
       5.865292441105e-03       1.260013186820e+03 
       5.995709435225e-03       1.276969729841e+03 
       6.126291074934e-03       1.293560990938e+03 
       6.257028106021e-03       1.309790823227e+03 
       6.387911988181e-03       1.325663316775e+03 
       6.518934831047e-03       1.341182375795e+03 
       6.650089336797e-03       1.356352032917e+03 
       6.781368748589e-03       1.371176309447e+03 
       6.912766804167e-03       1.385659265918e+03 
       7.044277694073e-03       1.399805868793e+03 
       7.175896023947e-03       1.413620404713e+03 
       7.307616780480e-03       1.427106938408e+03 
       7.439435300621e-03       1.440269978094e+03 
       7.571347243688e-03       1.453114218209e+03 
       7.703348566092e-03       1.465643176931e+03 
       7.835435498379e-03       1.477861962138e+03 
       7.967604524376e-03       1.489775362039e+03 
       8.099852362201e-03       1.501386669371e+03 
       8.232175946977e-03       1.512699943238e+03 
       8.364572415055e-03       1.523720786432e+03 
       8.497039089610e-03       1.534452089857e+03 
       8.629573467480e-03       1.544898219862e+03 
       8.762173207120e-03       1.555063399301e+03 
       8.894836117563e-03       1.564952519324e+03 
       9.027560148310e-03       1.574568628521e+03 
       9.160343380039e-03       1.583915695067e+03 
       9.293184016077e-03       1.592997660429e+03 
       9.426080374557e-03       1.601821424576e+03 
       9.559030881197e-03       1.610385465051e+03 
       9.692034062657e-03       1.618696000580e+03 
       9.825088540402e-03       1.626756324787e+03 
       9.958193025054e-03       1.634570714680e+03 
       1.009134631117e-02       1.642141934227e+03 
       1.022454727240e-02       1.649474287415e+03 
       1.035779485708e-02       1.656570794947e+03 
       1.049108808403e-02       1.663434519420e+03 
       1.062442603880e-02       1.670069726305e+03 
       1.075780787008e-02       1.676478912626e+03 
       1.089123278647e-02       1.682665282736e+03 
       1.102470005340e-02       1.688632784362e+03 
       1.115820899032e-02       1.694384075811e+03 
       1.129175896808e-02       1.699922355229e+03 
       1.142534940653e-02       1.705250434065e+03 
       1.155897977221e-02       1.710371653734e+03 
       1.169264957627e-02       1.715289198441e+03 
       1.182635837256e-02       1.720005590338e+03 
       1.196010575577e-02       1.724523887367e+03 
       1.209389135976e-02       1.728846496802e+03 
       1.222771485602e-02       1.732976974430e+03 
       1.236157595218e-02       1.736917744545e+03 
       1.249547439069e-02       1.740670937817e+03 
       1.262940994755e-02       1.744240122606e+03 
       1.276338243113e-02       1.747627225939e+03 
       1.289739168112e-02       1.750835048829e+03 
