# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3.5
# for k=1.05459e-05 to 1007.8 h/Mpc,
# number of wavenumbers equal to 624
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.054587662383e-05      -3.692610008886e-04      -2.769820805133e-04      -2.769820865353e-04      -3.692597574878e-04      -2.769271137161e-04      -2.771024616028e-04       5.981876922999e-01       5.973755781900e-01      -1.961226872497e-11      -3.240091616479e-15      -2.028450066400e-11      -1.688211701690e-14      -3.555320399307e-14 
       2.395760700461e-05      -1.904653502656e-03      -1.429457496361e-03      -1.429457656721e-03      -1.904620399217e-03      -1.429170460310e-03      -1.430077441228e-03       5.981840002986e-01       5.973725348020e-01      -5.221539022733e-10      -8.627455649001e-14      -5.400487080563e-10      -4.496398984840e-13      -9.465651623763e-13 
       3.741949231070e-05      -4.641925883598e-03      -3.487198895639e-03      -3.487199849642e-03      -4.641729020960e-03      -3.486484020480e-03      -3.488705515201e-03       5.981774154495e-01       5.973671070736e-01      -3.105336614207e-09      -5.132046781254e-13      -3.211732590799e-09      -2.675925053253e-12      -5.629406448522e-12 
       5.097080407504e-05      -8.600561211681e-03      -6.470218169693e-03      -6.470221452242e-03      -8.599884215462e-03      -6.468852388944e-03      -6.472998126912e-03       5.981678735991e-01       5.973592404705e-01      -1.067964963481e-08      -1.765551252258e-12      -1.104542356596e-08      -9.212037546215e-12      -1.936037439461e-11 
       6.465150826923e-05      -1.381096948590e-02      -1.040942400751e-02      -1.040943249786e-02      -1.380921968276e-02      -1.040714302879e-02      -1.041386367713e-02       5.981552772974e-01       5.973488522963e-01      -2.760557131330e-08      -4.565698328142e-12      -2.855058498427e-08      -2.384337460376e-11      -5.004459736286e-11 
       7.850265151649e-05      -2.031473995677e-02      -1.534722233356e-02      -1.534724077315e-02      -2.031094311021e-02      -1.534370469308e-02      -1.535370752544e-02       5.981394995628e-01       5.973358358066e-01      -5.990751734761e-08      -9.913381990686e-12      -6.195701728110e-08      -5.182860094159e-11      -1.086041199674e-10 
       9.256676051055e-05      -2.816500374816e-02      -2.133837121511e-02      -2.133840682404e-02      -2.815767964192e-02      -2.133321945903e-02      -2.134728628084e-02       5.981203741334e-01       5.973200511763e-01      -1.155762394592e-07      -1.913778934627e-11      -1.195272452047e-07      -1.001906298068e-10      -2.095266015902e-10 
       1.068882603665e-04      -3.742689293408e-02      -2.845111486952e-02      -2.845117809542e-02      -3.741390545141e-02      -2.844383282103e-02      -2.846284096186e-02       5.980976924942e-01       5.973013219956e-01      -2.049769338052e-07      -3.396740588020e-11      -2.119778233239e-07      -1.781134828349e-10      -3.716056095203e-10 
       1.215139176705e-04      -4.817807716299e-02      -3.676863021211e-02      -3.676873565491e-02      -4.815645066359e-02      -3.675859502848e-02      -3.678354240160e-02       5.980712024267e-01       5.972794350326e-01      -3.413859180761e-07      -5.662325652195e-11      -3.530335202491e-07      -2.974717154776e-10      -6.189145654231e-10 
       1.364933140282e-04      -6.050934905429e-02      -4.639082867618e-02      -4.639099624553e-02      -6.047504080079e-02      -4.637725605532e-02      -4.640929153997e-02       5.980406022024e-01       5.972541347239e-01      -5.416871571435e-07      -8.993956936777e-11      -5.601462447876e-07      -4.735288134563e-10      -9.820706602641e-10 
