# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382256017637e-10       4.961570142741e-15       3.748731125830e-13       0.000000000000e+00       7.961584884782e-09       4.581536242037e-10      -1.998702760529e-12 
    3       1.306671749359e-10       7.166541507822e-15       4.440297296181e-13       0.000000000000e+00       4.932823311628e-09       3.243021054464e-10      -1.622040445322e-12 
    4       1.234192466443e-10       7.035315982212e-15       4.338393706168e-13       0.000000000000e+00       3.426982358002e-09       2.450773930598e-10      -1.164610248261e-12 
    5       1.179173090818e-10       5.365249765659e-15       3.844168927366e-13       0.000000000000e+00       2.552528141332e-09       1.931649202067e-10      -7.454794002462e-13 
    6       1.140514200566e-10       3.373993392050e-15       3.205842967412e-13       0.000000000000e+00       1.988122352416e-09       1.567564429674e-10      -4.037058873791e-13 
    7       1.114970433974e-10       1.880390058097e-15       2.579783183201e-13       0.000000000000e+00       1.599200362402e-09       1.300772130224e-10      -1.526859352524e-13 
    8       1.099892239168e-10       1.082441316118e-15       2.047608241378e-13       0.000000000000e+00       1.318619097590e-09       1.098692970965e-10       9.541066242933e-15 
    9       1.092115455144e-10       7.768962172055e-16       1.645343395281e-13       0.000000000000e+00       1.108458803304e-09       9.413886941567e-11       9.460432678568e-14 
   10       1.090124262093e-10       6.755881148980e-16       1.378632005695e-13       0.000000000000e+00       9.459748778352e-10       8.165461159865e-11       1.199292253232e-13 
   11       1.092793297436e-10       6.005209513446e-16       1.232375970900e-13       0.000000000000e+00       7.980034060353e-10       7.201159238418e-11       1.052298579738e-13 
