# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.382260290900e-10       4.961761345562e-15       3.748731089287e-13       1.912027551048e-19       7.961584884782e-09       4.581536242037e-10      -1.998702760529e-12 
    3       1.306680275012e-10       7.166924009894e-15       4.440297133360e-13       3.825014181398e-19       4.932823311628e-09       3.243021054464e-10      -1.622040445322e-12 
    4       1.234206630050e-10       7.035953698910e-15       4.338393238445e-13       6.377134811090e-19       3.426982358002e-09       2.450773930598e-10      -1.164610248261e-12 
    5       1.179194251681e-10       5.366206737973e-15       3.844167862198e-13       9.569612807208e-19       2.552528141332e-09       1.931649202067e-10      -7.454794002462e-13 
    6       1.140543686452e-10       3.375333815303e-15       3.205840873764e-13       1.340393101451e-18       1.988122352416e-09       1.567564429674e-10      -4.037058873791e-13 
    7       1.115009536656e-10       1.882178308713e-15       2.579779469346e-13       1.788180288577e-18       1.599200362402e-09       1.300772130224e-10      -1.526859352524e-13 
    8       1.099942210847e-10       1.084741975920e-15       2.047602135358e-13       2.300513978796e-18       1.318619097590e-09       1.098692970965e-10       9.541066242933e-15 
    9       1.092177505834e-10       7.797740946802e-16       1.645333928256e-13       2.877601543733e-18       1.108458803304e-09       9.413886941567e-11       9.460432678568e-14 
   10       1.090199557993e-10       6.791082628219e-16       1.378617998285e-13       3.519662848849e-18       9.459748778352e-10       8.165461159865e-11       1.199292253232e-13 
   11       1.092882960286e-10       6.047486801637e-16       1.232356022538e-13       4.226926434109e-18       7.980034060353e-10       7.201159238418e-11       1.052298579738e-13 
   12       1.098836575204e-10       5.166408366397e-16       1.181439399103e-13       4.999625723035e-18       6.961444650539e-10       6.356453190364e-11       6.931905282528e-14 
   13       1.107482780710e-10       4.440941851360e-16       1.197961641686e-13       5.837995363577e-18       6.125989128339e-10       5.661346673757e-11       2.780264522095e-14 
   14       1.118113145929e-10       4.137675669881e-16       1.255194810546e-13       6.742267797668e-18       5.431650056507e-10       5.079650371489e-11      -8.408650597769e-15 
   15       1.130759859788e-10       4.227721319232e-16       1.331525492609e-13       7.712670146622e-18       4.847824058512e-10       4.569345081234e-11      -3.346765290921e-14 
   16       1.144564328660e-10       4.513819697098e-16       1.412677146116e-13       8.749421487112e-18       4.351924356534e-10       4.138833356412e-11      -4.525804221495e-14 
   17       1.159579643184e-10       4.854922269252e-16       1.491043093845e-13       9.852730577746e-18       3.926961170442e-10       3.768758266717e-11      -4.533081959222e-14 
   18       1.175694882128e-10       5.265742422825e-16       1.564029209031e-13       1.102279388502e-17       3.558507536445e-10       3.442261494349e-11      -3.740403630283e-14 
   19       1.192886248062e-10       5.836528266496e-16       1.633323331871e-13       1.225979529762e-17       3.240602402232e-10       3.155507128323e-11      -2.527039991012e-14 
   20       1.210676393769e-10       6.667534323550e-16       1.702180945420e-13       1.356390322755e-17       2.960907385890e-10       2.900411720232e-11      -1.337747306535e-14 
   21       1.229197984671e-10       7.767642566903e-16       1.773679876622e-13       1.493527344226e-17       2.714957485016e-10       2.675140846500e-11      -4.182604497517e-15 
   22       1.248459642891e-10       9.105485143329e-16       1.850603657213e-13       1.637404588534e-17       2.496796600441e-10       2.475947161588e-11       6.567379450353e-16 
   23       1.268392902005e-10       1.065800686344e-15       1.933212829465e-13       1.788034919940e-17       2.303374132564e-10       2.298784443544e-11       1.152568025802e-15 
   24       1.288714435219e-10       1.240303301228e-15       2.020150481829e-13       1.945429749470e-17       2.130168652596e-10       2.137766701633e-11      -1.775846919479e-15 
   25       1.309498927538e-10       1.434657919992e-15       2.108094978568e-13       2.109599692136e-17       1.975103340500e-10       1.993207737914e-11      -6.663703374941e-15 
   26       1.330775112179e-10       1.649908893796e-15       2.192547608109e-13       2.280554167937e-17       1.835332693400e-10       1.865343704971e-11      -1.169182742458e-14 
   27       1.352510777946e-10       1.885029559742e-15       2.269824908749e-13       2.458302047532e-17       1.709154646411e-10       1.750283177182e-11      -1.568447190062e-14 
   28       1.374566935991e-10       2.138583092037e-15       2.336502366413e-13       2.642851394141e-17       1.594369711175e-10       1.642423575605e-11      -1.773163077954e-14 
   29       1.397011289029e-10       2.411886886486e-15       2.391117346038e-13       2.834210544729e-17       1.490372172492e-10       1.541876535848e-11      -1.779753834730e-14 
   30       1.419860416136e-10       2.707398027516e-15       2.432872288396e-13       3.032387263634e-17       1.396023400315e-10       1.449983485509e-11      -1.622164829898e-14 
   31       1.443028765690e-10       3.027720698016e-15       2.461325719448e-13       3.237388786639e-17       1.309372991690e-10       1.367270136143e-11      -1.350843082331e-14 
