# Matter power spectrum P(k) at redshift z=5.5
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037084025954e-05       1.763990873848e+00 
       2.350783343365e-05       3.945150536120e+00 
       3.669207989643e-05       6.109448782757e+00 
       4.996047830342e-05       8.271392398148e+00 
       6.335055460381e-05       1.044083497620e+01 
       7.690081002873e-05       1.262607655897e+01 
       9.065108053222e-05       1.483479294507e+01 
       1.046429126454e-04       1.707444676651e+01 
       1.189199607415e-04       1.935251895410e+01 
       1.335284107432e-04       2.167666639513e+01 
       1.485174353032e-04       2.405484428959e+01 
       1.639396854033e-04       2.649541363475e+01 
       1.798518230764e-04       2.900724091902e+01 
       1.963150994787e-04       3.159979695010e+01 
       2.133959816872e-04       3.428325571820e+01 
       2.311668302169e-04       3.706859705163e+01 
       2.497066271193e-04       3.996771149831e+01 
       2.691017513641e-04       4.299350858257e+01 
       2.894467936671e-04       4.616002561441e+01 
       3.108453966031e-04       4.948253633095e+01 
       3.334110972519e-04       5.297765294812e+01 
       3.572681382947e-04       5.666341704478e+01 
       3.825521989702e-04       6.055937104807e+01 
       4.094109794171e-04       6.468659708742e+01 
       4.380045508699e-04       6.906771108773e+01 
       4.685053609261e-04       7.372679242925e+01 
       5.010977598240e-04       7.868922818497e+01 
       5.359768941802e-04       8.398145011808e+01 
       5.733468048383e-04       8.963053754707e+01 
       6.134175733447e-04       9.566366624942e+01 
       6.564013965590e-04       1.021073917139e+02 
       7.025075400686e-04       1.089867631370e+02 
       7.519362337995e-04       1.163242879170e+02 
       8.048717247371e-04       1.241387967749e+02 
       8.614748765506e-04       1.324442770820e+02 
       9.218758739237e-04       1.412487805346e+02 
       9.861677084840e-04       1.505535118696e+02 
       1.054401149639e-03       1.603522250366e+02 
       1.126581807468e-03       1.706310053713e+02 
       1.202669675553e-03       1.813684942686e+02 
       1.282581235175e-03       1.925365473269e+02 
       1.366193873776e-03       2.041012576495e+02 
       1.453352093645e-03       2.160242404766e+02 
       1.543874818574e-03       2.282640439888e+02 
       1.637563069718e-03       2.407775530384e+02 
       1.734207363089e-03       2.535212751913e+02 
       1.833594340191e-03       2.664524357442e+02 
       1.935512332119e-03       2.795298423457e+02 
       2.039755735168e-03       2.927145055303e+02 
       2.146128216934e-03       3.059700420036e+02 
       2.254444866528e-03       3.192626370076e+02 
       2.364533453504e-03       3.325617319131e+02 
       2.476234976412e-03       3.458398031687e+02 
       2.589403674793e-03       3.590719137395e+02 
       2.703906657843e-03       3.722358267425e+02 
       2.819623276667e-03       3.853117845605e+02 
       2.936444340157e-03       3.982823686054e+02 
       3.054271249918e-03       4.111323497178e+02 
       3.173015108858e-03       4.238483914854e+02 
       3.292595841196e-03       4.364190545293e+02 
       3.412941348707e-03       4.488344410451e+02 
       3.533986718268e-03       4.610861500355e+02 
       3.655673488777e-03       4.731670689133e+02 
       3.777948980598e-03       4.850712589420e+02 
       3.900765687365e-03       4.967937704188e+02 
       4.024080727862e-03       5.083304893406e+02 
       4.147855354391e-03       5.196781973127e+02 
       4.272054513371e-03       5.308343842395e+02 
       4.396646453625e-03       5.417970504264e+02 
       4.521602377807e-03       5.525648422299e+02 
       4.646896132584e-03       5.631368703834e+02 
       4.772503933447e-03       5.735126869036e+02 
       4.898404120356e-03       5.836922786910e+02 
       5.024576940744e-03       5.936758640722e+02 
       5.151004356762e-03       6.034640143634e+02 
       5.277669873967e-03       6.130576238372e+02 
       5.404558388958e-03       6.224575813217e+02 
       5.531656053750e-03       6.316654508561e+02 
       5.658950154934e-03       6.406824795627e+02 
       5.786429005896e-03       6.495102195723e+02 
       5.914081850578e-03       6.581504732196e+02 
       6.041898777443e-03       6.666048013020e+02 
       6.169870642470e-03       6.748752820285e+02 
       6.297989000146e-03       6.829638950346e+02 
       6.426246041543e-03       6.908724285106e+02 
       6.554634538687e-03       6.986030636191e+02 
       6.683147794509e-03       7.061579427848e+02 
       6.811779597769e-03       7.135390649141e+02 
       6.940524182392e-03       7.207486702177e+02 
       7.069376190757e-03       7.277893253810e+02 
       7.198330640496e-03       7.346626712914e+02 
       7.327382894438e-03       7.413711993046e+02 
       7.456528633367e-03       7.479170081875e+02 
       7.585763831294e-03       7.543020474427e+02 
       7.715084732992e-03       7.605290377806e+02 
       7.844487833559e-03       7.666000084105e+02 
       7.973969859803e-03       7.725167938499e+02 
       8.103527753271e-03       7.782815647702e+02 
       8.233158654757e-03       7.838966263020e+02 
       8.362859890148e-03       7.893643127021e+02 
       8.492628957469e-03       7.946859676347e+02 
       8.622463515031e-03       7.998646192685e+02 
       8.752361370560e-03       8.049022328526e+02 
       8.882320471224e-03       8.098004233592e+02 
       9.012338894475e-03       8.145613369022e+02 
       9.142414839628e-03       8.191870359878e+02 
       9.272546620120e-03       8.236795391590e+02 
       9.402732656372e-03       8.280405787883e+02 
       9.532971469217e-03       8.322723257194e+02 
       9.663261673838e-03       8.363765198684e+02 
       9.793601974169e-03       8.403549111635e+02 
       9.923991157724e-03       8.442094366852e+02 
       1.005442809082e-02       8.479418947831e+02 
       1.018491171415e-02       8.515540093743e+02 
       1.031544103870e-02       8.550477698281e+02 
       1.044601514194e-02       8.584244625700e+02 
       1.057663316434e-02       8.616859190163e+02 
