# Matter power spectrum P(k) at redshift z=5
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037084025954e-05       2.069655533748e+00 
       2.350783343365e-05       4.628766462670e+00 
       3.669207989643e-05       7.168093150302e+00 
       4.996047830342e-05       9.704655510276e+00 
       6.335055460381e-05       1.225001392834e+01 
       7.690081002873e-05       1.481390593065e+01 
       9.065108053222e-05       1.740533667917e+01 
       1.046429126454e-04       2.003306101850e+01 
       1.189199607415e-04       2.270585520438e+01 
       1.335284107432e-04       2.543270180357e+01 
       1.485174353032e-04       2.822293317900e+01 
       1.639396854033e-04       3.108635763317e+01 
       1.798518230764e-04       3.403337625596e+01 
       1.963150994787e-04       3.707509885151e+01 
       2.133959816872e-04       4.022345992697e+01 
       2.311668302169e-04       4.349133896467e+01 
       2.497066271193e-04       4.689268343834e+01 
       2.691017513641e-04       5.044263570164e+01 
       2.894467936671e-04       5.415766056790e+01 
       3.108453966031e-04       5.805567256033e+01 
       3.334110972519e-04       6.215615552762e+01 
       3.572681382947e-04       6.648026912224e+01 
       3.825521989702e-04       7.105093238154e+01 
       4.094109794171e-04       7.589286919588e+01 
       4.380045508699e-04       8.103260120127e+01 
       4.685053609261e-04       8.649836504938e+01 
       5.010977598240e-04       9.231992983733e+01 
       5.359768941802e-04       9.852828843817e+01 
       5.733468048383e-04       1.051551922713e+02 
       6.134175733447e-04       1.122325056363e+02 
       6.564013965590e-04       1.197913663597e+02 
       7.025075400686e-04       1.278611486491e+02 
       7.519362337995e-04       1.364682520810e+02 
       8.048717247371e-04       1.456347748885e+02 
       8.614748765506e-04       1.553771513958e+02 
       9.218758739237e-04       1.657048782890e+02 
       9.861677084840e-04       1.766194540286e+02 
       1.054401149639e-03       1.881136786867e+02 
       1.126581807468e-03       2.001714063040e+02 
       1.202669675553e-03       2.127678129820e+02 
       1.282581235175e-03       2.258701705651e+02 
       1.366193873776e-03       2.394390423330e+02 
       1.453352093645e-03       2.534297803941e+02 
       1.543874818574e-03       2.677941651580e+02 
       1.637563069718e-03       2.824820328395e+02 
       1.734207363089e-03       2.974427623808e+02 
       1.833594340191e-03       3.126265398534e+02 
       1.935512332119e-03       3.279853556877e+02 
       2.039755735168e-03       3.434737215724e+02 
       2.146128216934e-03       3.590491395751e+02 
       2.254444866528e-03       3.746720605698e+02 
       2.364533453504e-03       3.903067011207e+02 
       2.476234976412e-03       4.059207968152e+02 
       2.589403674793e-03       4.214850875632e+02 
       2.703906657843e-03       4.369734697309e+02 
       2.819623276667e-03       4.523627349204e+02 
       2.936444340157e-03       4.676324207343e+02 
       3.054271249918e-03       4.827646297852e+02 
       3.173015108858e-03       4.977436781744e+02 
       3.292595841196e-03       5.125560952189e+02 
       3.412941348707e-03       5.271901989248e+02 
       3.533986718268e-03       5.416360394576e+02 
       3.655673488777e-03       5.558851516877e+02 
       3.777948980598e-03       5.699304228649e+02 
       3.900765687365e-03       5.837658791379e+02 
       4.024080727862e-03       5.973865125325e+02 
       4.147855354391e-03       6.107883598193e+02 
       4.272054513371e-03       6.239682884682e+02 
       4.396646453625e-03       6.369237708672e+02 
       4.521602377807e-03       6.496530469661e+02 
       4.646896132584e-03       6.621549115541e+02 
       4.772503933447e-03       6.744286863903e+02 
       4.898404120356e-03       6.864742107991e+02 
       5.024576940744e-03       6.982915988457e+02 
       5.151004356762e-03       7.098813808903e+02 
       5.277669873967e-03       7.212444674695e+02 
       5.404558388958e-03       7.323817630079e+02 
       5.531656053750e-03       7.432949683931e+02 
       5.658950154934e-03       7.539854163234e+02 
       5.786429005896e-03       7.644548053924e+02 
       5.914081850578e-03       7.747051381238e+02 
       6.041898777443e-03       7.847381431536e+02 
       6.169870642470e-03       7.945561687154e+02 
       6.297989000146e-03       8.041614570247e+02 
       6.426246041543e-03       8.135560321659e+02 
       6.554634538687e-03       8.227423871369e+02 
       6.683147794509e-03       8.317229726949e+02 
       6.811779597769e-03       8.405000729650e+02 
       6.940524182392e-03       8.490762572708e+02 
       7.069376190757e-03       8.574544814710e+02 
       7.198330640496e-03       8.656366153768e+02 
       7.327382894438e-03       8.736255221938e+02 
       7.456528633367e-03       8.814236153917e+02 
       7.585763831294e-03       8.890331289168e+02 
       7.715084732992e-03       8.964571058516e+02 
       7.844487833559e-03       9.036980582382e+02 
       7.973969859803e-03       9.107581236618e+02 
       8.103527753271e-03       9.176397602596e+02 
       8.233158654757e-03       9.243455882035e+02 
       8.362859890148e-03       9.308782682096e+02 
       8.492628957469e-03       9.372393013709e+02 
       8.622463515031e-03       9.434321754893e+02 
       8.752361370560e-03       9.494591299469e+02 
       8.882320471224e-03       9.553219977578e+02 
       9.012338894475e-03       9.610232424126e+02 
       9.142414839628e-03       9.665652344599e+02 
       9.272546620120e-03       9.719502984282e+02 
       9.402732656372e-03       9.771804251403e+02 
       9.532971469217e-03       9.822581273481e+02 
       9.663261673838e-03       9.871854128102e+02 
       9.793601974169e-03       9.919643044599e+02 
       9.923991157724e-03       9.965970456779e+02 
       1.005442809082e-02       1.001085723858e+03 
       1.018491171415e-02       1.005432337902e+03 
       1.031544103870e-02       1.009639204961e+03 
       1.044601514194e-02       1.013707812730e+03 
       1.057663316434e-02       1.017640217722e+03 
       1.070729430608e-02       1.021440577144e+03 
       1.083799782404e-02       1.025107013356e+03 
       1.096874302903e-02       1.028643089910e+03 
       1.109952928310e-02       1.032050636499e+03 
       1.123035599723e-02       1.035331912056e+03 
       1.136122262898e-02       1.038487765303e+03 
       1.149212868049e-02       1.041520996723e+03 
       1.162307369646e-02       1.044432977343e+03 
       1.175405726241e-02       1.047224855357e+03 
       1.188507900295e-02       1.049899344065e+03 
       1.201613858026e-02       1.052457134958e+03 
       1.214723569261e-02       1.054900543914e+03 
       1.227837007303e-02       1.057231194930e+03 
       1.240954148805e-02       1.059450136987e+03 
       1.254074973651e-02       1.061559237928e+03 
       1.267199464853e-02       1.063560314390e+03 
       1.280327608447e-02       1.065454837671e+03 
       1.293459393400e-02       1.067243763833e+03 
       1.306594811524e-02       1.068929621543e+03 
       1.319733857396e-02       1.070513187041e+03 
       1.332876528286e-02       1.071996046802e+03 
       1.346022824085e-02       1.073379664383e+03 
       1.359172747244e-02       1.074665531399e+03 
       1.372326302717e-02       1.075854957777e+03 
       1.385483497905e-02       1.076949621324e+03 
       1.398644342610e-02       1.077950873863e+03 
       1.411808848988e-02       1.078859637850e+03 
       1.424977031510e-02       1.079678075793e+03 
       1.438148906924e-02       1.080406586042e+03 
       1.451324494222e-02       1.081046949871e+03 
       1.464503814612e-02       1.081600524748e+03 
       1.477686891488e-02       1.082068274223e+03 
       1.490873750409e-02       1.082451979806e+03 
       1.504064419080e-02       1.082752477362e+03 
       1.517258927328e-02       1.082971390852e+03 
       1.530457307094e-02       1.083109671376e+03 
       1.543659592419e-02       1.083168815876e+03 
       1.556865819430e-02       1.083149628394e+03 
       1.570076026339e-02       1.083053528030e+03 
       1.583290253432e-02       1.082882257630e+03 
       1.596508543072e-02       1.082636129343e+03 
       1.609730939692e-02       1.082316691501e+03 
       1.622957489802e-02       1.081925638611e+03 
       1.636188241988e-02       1.081462823634e+03 
       1.649423246924e-02       1.080930738412e+03 
       1.662662557371e-02       1.080329450883e+03 
