# Matter power spectrum P(k) at redshift z=4.5
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037084025954e-05       2.461703175778e+00 
       2.350783343365e-05       5.505576443190e+00 
       3.669207989643e-05       8.525915183797e+00 
       4.996047830342e-05       1.154296188724e+01 
       6.335055460381e-05       1.457046515422e+01 
       7.690081002873e-05       1.762000536009e+01 
       9.065108053222e-05       2.070229164802e+01 
       1.046429126454e-04       2.382773508089e+01 
       1.189199607415e-04       2.700677199226e+01 
       1.335284107432e-04       3.025008369582e+01 
       1.485174353032e-04       3.356876712334e+01 
       1.639396854033e-04       3.697448477787e+01 
       1.798518230764e-04       4.047960351851e+01 
       1.963150994787e-04       4.409733234955e+01 
       2.133959816872e-04       4.784186023450e+01 
       2.311668302169e-04       5.172849889004e+01 
       2.497066271193e-04       5.577382883693e+01 
       2.691017513641e-04       5.999584998767e+01 
       2.894467936671e-04       6.441413314351e+01 
       3.108453966031e-04       6.904997064410e+01 
       3.334110972519e-04       7.392651827017e+01 
       3.572681382947e-04       7.906892126222e+01 
       3.825521989702e-04       8.450441272104e+01 
       4.094109794171e-04       9.026236703111e+01 
       4.380045508699e-04       9.637429026913e+01 
       4.685053609261e-04       1.028737207097e+02 
       5.010977598240e-04       1.097960106360e+02 
       5.359768941802e-04       1.171779578225e+02 
       5.733468048383e-04       1.250572514751e+02 
       6.134175733447e-04       1.334717037758e+02 
       6.564013965590e-04       1.424582514554e+02 
       7.025075400686e-04       1.520517233599e+02 
       7.519362337995e-04       1.622834027975e+02 
       8.048717247371e-04       1.731794537605e+02 
       8.614748765506e-04       1.847593064845e+02 
       9.218758739237e-04       1.970341511789e+02 
       9.861677084840e-04       2.100056865400e+02 
       1.054401149639e-03       2.236652974829e+02 
       1.126581807468e-03       2.379937710391e+02 
       1.202669675553e-03       2.529616220740e+02 
       1.282581235175e-03       2.685300169388e+02 
       1.366193873776e-03       2.846521919354e+02 
       1.453352093645e-03       3.012752245507e+02 
       1.543874818574e-03       3.183419675191e+02 
       1.637563069718e-03       3.357929645873e+02 
       1.734207363089e-03       3.535681978326e+02 
       1.833594340191e-03       3.716085729113e+02 
       1.935512332119e-03       3.898570925720e+02 
       2.039755735168e-03       4.082597044030e+02 
       2.146128216934e-03       4.267658622337e+02 
       2.254444866528e-03       4.453284892927e+02 
       2.364533453504e-03       4.639049652112e+02 
       2.476234976412e-03       4.824568511907e+02 
       2.589403674793e-03       5.009492957238e+02 
       2.703906657843e-03       5.193512216018e+02 
       2.819623276667e-03       5.376350308857e+02 
       2.936444340157e-03       5.557764145581e+02 
       3.054271249918e-03       5.737541348398e+02 
       3.173015108858e-03       5.915495955252e+02 
       3.292595841196e-03       6.091468303440e+02 
       3.412941348707e-03       6.265319885490e+02 
       3.533986718268e-03       6.436932625074e+02 
       3.655673488777e-03       6.606205924185e+02 
       3.777948980598e-03       6.773055130487e+02 
       3.900765687365e-03       6.937409056713e+02 
       4.024080727862e-03       7.099207999539e+02 
       4.147855354391e-03       7.258404745388e+02 
       4.272054513371e-03       7.414962060221e+02 
       4.396646453625e-03       7.568850021594e+02 
       4.521602377807e-03       7.720047927407e+02 
       4.646896132584e-03       7.868541731883e+02 
       4.772503933447e-03       8.014323658193e+02 
       4.898404120356e-03       8.157392045216e+02 
       5.024576940744e-03       8.297748428297e+02 
       5.151004356762e-03       8.435399211886e+02 
       5.277669873967e-03       8.570355254221e+02 
       5.404558388958e-03       8.702627298118e+02 
       5.531656053750e-03       8.832235542370e+02 
       5.658950154934e-03       8.959195831887e+02 
       5.786429005896e-03       9.083528396085e+02 
       5.914081850578e-03       9.205257121464e+02 
       6.041898777443e-03       9.324402674899e+02 
       6.169870642470e-03       9.440993098546e+02 
       6.297989000146e-03       9.555055175916e+02 
       6.426246041543e-03       9.666613063002e+02 
       6.554634538687e-03       9.775696462253e+02 
       6.683147794509e-03       9.882334530597e+02 
       6.811779597769e-03       9.986554575029e+02 
       6.940524182392e-03       1.008838671841e+03 
       7.069376190757e-03       1.018786633831e+03 
       7.198330640496e-03       1.028501557936e+03 
       7.327382894438e-03       1.037986848444e+03 
       7.456528633367e-03       1.047245375010e+03 
       7.585763831294e-03       1.056279815338e+03 
       7.715084732992e-03       1.065093787161e+03 
       7.844487833559e-03       1.073690281608e+03 
       7.973969859803e-03       1.082071841498e+03 
       8.103527753271e-03       1.090241391155e+03 
       8.233158654757e-03       1.098202043195e+03 
       8.362859890148e-03       1.105956958696e+03 
       8.492628957469e-03       1.113507925841e+03 
       8.622463515031e-03       1.120859088612e+03 
       8.752361370560e-03       1.128013110311e+03 
       8.882320471224e-03       1.134972173975e+03 
       9.012338894475e-03       1.141739211040e+03 
       9.142414839628e-03       1.148317044185e+03 
       9.272546620120e-03       1.154708439852e+03 
       9.402732656372e-03       1.160915767125e+03 
       9.532971469217e-03       1.166942013899e+03 
       9.663261673838e-03       1.172789566527e+03 
       9.793601974169e-03       1.178460828922e+03 
       9.923991157724e-03       1.183958460325e+03 
       1.005442809082e-02       1.189284907497e+03 
       1.018491171415e-02       1.194444004116e+03 
       1.031544103870e-02       1.199436609466e+03 
       1.044601514194e-02       1.204264435696e+03 
       1.057663316434e-02       1.208930535896e+03 
       1.070729430608e-02       1.213437287555e+03 
       1.083799782404e-02       1.217787087970e+03 
       1.096874302903e-02       1.221981875394e+03 
       1.109952928310e-02       1.226023975153e+03 
       1.123035599723e-02       1.229916088276e+03 
       1.136122262898e-02       1.233659227032e+03 
       1.149212868049e-02       1.237256719068e+03 
       1.162307369646e-02       1.240710192882e+03 
       1.175405726241e-02       1.244021013200e+03 
       1.188507900295e-02       1.247192402760e+03 
       1.201613858026e-02       1.250225182707e+03 
       1.214723569261e-02       1.253122103194e+03 
       1.227837007303e-02       1.255885092160e+03 
       1.240954148805e-02       1.258515395166e+03 
       1.254074973651e-02       1.261015230750e+03 
       1.267199464853e-02       1.263386757292e+03 
       1.280327608447e-02       1.265631723573e+03 
       1.293459393400e-02       1.267751266505e+03 
       1.306594811524e-02       1.269748392373e+03 
       1.319733857396e-02       1.271624025484e+03 
       1.332876528286e-02       1.273380054010e+03 
       1.346022824085e-02       1.275018217721e+03 
       1.359172747244e-02       1.276540292840e+03 
       1.372326302717e-02       1.277947870423e+03 
       1.385483497905e-02       1.279242889935e+03 
       1.398644342610e-02       1.280426956936e+03 
       1.411808848988e-02       1.281501161984e+03 
       1.424977031510e-02       1.282468085636e+03 
       1.438148906924e-02       1.283328221562e+03 
       1.451324494222e-02       1.284083673884e+03 
       1.464503814612e-02       1.284736063413e+03 
       1.477686891488e-02       1.285286522248e+03 
       1.490873750409e-02       1.285737178249e+03 
       1.504064419080e-02       1.286089023468e+03 
       1.517258927328e-02       1.286343985843e+03 
       1.530457307094e-02       1.286503196681e+03 
       1.543659592419e-02       1.286568435568e+03 
       1.556865819430e-02       1.286540658729e+03 
       1.570076026339e-02       1.286421552317e+03 
       1.583290253432e-02       1.286213188293e+03 
       1.596508543072e-02       1.285915937043e+03 
       1.609730939692e-02       1.285531639145e+03 
       1.622957489802e-02       1.285062307902e+03 
       1.636188241988e-02       1.284507769122e+03 
       1.649423246924e-02       1.283870984038e+03 
       1.662662557371e-02       1.283152033959e+03 
       1.675906228194e-02       1.282353214459e+03 
       1.689154316368e-02       1.281474632016e+03 
       1.702406880994e-02       1.280518941472e+03 
       1.715663983313e-02       1.279486894202e+03 
       1.728925686723e-02       1.278379435122e+03 
       1.742192056798e-02       1.277198678738e+03 
       1.755463161305e-02       1.275944684285e+03 
       1.768739070232e-02       1.274618836021e+03 
       1.782019855804e-02       1.273223062548e+03 
       1.795305592514e-02       1.271758331240e+03 
       1.808596357150e-02       1.270226559656e+03 
       1.821892228817e-02       1.268626321219e+03 
       1.835193288976e-02       1.266961073749e+03 
       1.848499621471e-02       1.265232333655e+03 
       1.861811312563e-02       1.263439500899e+03 
       1.875128450965e-02       1.261583805425e+03 
       1.888451127882e-02       1.259669026847e+03 
       1.901779437047e-02       1.257692201602e+03 
       1.915113474760e-02       1.255658284423e+03 
       1.928453339936e-02       1.253564655995e+03 
       1.941799134141e-02       1.251415744989e+03 
       1.955150961644e-02       1.249210633360e+03 
       1.968508929463e-02       1.246950537538e+03 
       1.981873147411e-02       1.244638151483e+03 
       1.995243728151e-02       1.242271525738e+03 
       2.008620787249e-02       1.239853154485e+03 
       2.022004443225e-02       1.237384862225e+03 
       2.035394817614e-02       1.234866781899e+03 
       2.048792035022e-02       1.232299604618e+03 
       2.062196223189e-02       1.229684909308e+03 
       2.075607513051e-02       1.227022277586e+03 
       2.089026038805e-02       1.224316831089e+03 
       2.102451937975e-02       1.221563048207e+03 
       2.115885351484e-02       1.218768597876e+03 
       2.129326423724e-02       1.215929041205e+03 
       2.142775302629e-02       1.213046211707e+03 
       2.156232139754e-02       1.210123989833e+03 
       2.169697090351e-02       1.207162029069e+03 
       2.183170313451e-02       1.204158694839e+03 
       2.196651971951e-02       1.201116846933e+03 
       2.210142232696e-02       1.198039305244e+03 
       2.223641266569e-02       1.194924181984e+03 
       2.237149248585e-02       1.191770680219e+03 
       2.250666357986e-02       1.188584319163e+03 
       2.264192778336e-02       1.185365289376e+03 
       2.277728697625e-02       1.182107988218e+03 
       2.291274308369e-02       1.178819746413e+03 
       2.304829807723e-02       1.175502560052e+03 
       2.318395397585e-02       1.172152023640e+03 
       2.331971284718e-02       1.168770621524e+03 
       2.345557680858e-02       1.165362729995e+03 
       2.359154802844e-02       1.161922976370e+03 
       2.372762872737e-02       1.158454164034e+03 
       2.386382117954e-02       1.154962327648e+03 
       2.400012771397e-02       1.151441870372e+03 
       2.413655071591e-02       1.147895780577e+03 
       2.427309262829e-02       1.144323692930e+03 
       2.440975595314e-02       1.140728836996e+03 
       2.454654325311e-02       1.137109853688e+03 
       2.468345715306e-02       1.133469183105e+03 
       2.482050034159e-02       1.129803798211e+03 
       2.495767557279e-02       1.126122147385e+03 
       2.509498566789e-02       1.122416042276e+03 
       2.523243351705e-02       1.118690385644e+03 
       2.537002208116e-02       1.114943334366e+03 
       2.550775439377e-02       1.111183254944e+03 
       2.564563356300e-02       1.107399250007e+03 
       2.578366277357e-02       1.103599895601e+03 
       2.592184528888e-02       1.099783725560e+03 
       2.606018445314e-02       1.095952148206e+03 
       2.619868369362e-02       1.092105415301e+03 
       2.633734652290e-02       1.088241774523e+03 
       2.647617654132e-02       1.084363757815e+03 
       2.661517743936e-02       1.080473896596e+03 
       2.675435300023e-02       1.076568749467e+03 
       2.689370710247e-02       1.072654149111e+03 
       2.703324372269e-02       1.068724000299e+03 
       2.717296693837e-02       1.064784297317e+03 
       2.731288093082e-02       1.060830782437e+03 
       2.745298998813e-02       1.056871005468e+03 
       2.759329850835e-02       1.052900169863e+03 
       2.773381100272e-02       1.048917130544e+03 
       2.787453209902e-02       1.044925135758e+03 
       2.801546654506e-02       1.040926948203e+03 
       2.815661921230e-02       1.036918704297e+03 
       2.829799509957e-02       1.032905289434e+03 
       2.843959933697e-02       1.028884405964e+03 
       2.858143718990e-02       1.024855011308e+03 
       2.872351406323e-02       1.020822114872e+03 
       2.886583550567e-02       1.016780189800e+03 
       2.900840721426e-02       1.012735938902e+03 
       2.915123503905e-02       1.008686682010e+03 
       2.929432498798e-02       1.004630724860e+03 
       2.943768323195e-02       1.000571852288e+03 
       2.958131611005e-02       9.965085949059e+02 
       2.972523013505e-02       9.924454559977e+02 
       2.986943199909e-02       9.883772742419e+02 
       3.001392857962e-02       9.843048497438e+02 
       3.015872694553e-02       9.802305856965e+02 
       3.030383436359e-02       9.761561001844e+02 
       3.044925830513e-02       9.720772715778e+02 
       3.059500645302e-02       9.680004195569e+02 
       3.074108670894e-02       9.639199858143e+02 
       3.088750720093e-02       9.598426274562e+02 
       3.103427629130e-02       9.557645848382e+02 
       3.118140258488e-02       9.516855466040e+02 
       3.132889493761e-02       9.476070497820e+02 
       3.147676246556e-02       9.435311636233e+02 
       3.162501455426e-02       9.394508602812e+02 
       3.177366086858e-02       9.353765532710e+02 
       3.192271136292e-02       9.313008068795e+02 
       3.207217629197e-02       9.272329502337e+02 
       3.222206622192e-02       9.231578138413e+02 
       3.237239204222e-02       9.190916141838e+02 
       3.252316497785e-02       9.150263727915e+02 
       3.267439660224e-02       9.109648102024e+02 
       3.282609885074e-02       9.069077950909e+02 
       3.297828403480e-02       9.028507251101e+02 
       3.313096485683e-02       8.987996818694e+02 
       3.328415442576e-02       8.947513377574e+02 
       3.343786627340e-02       8.907050758263e+02 
       3.359211437169e-02       8.866637531894e+02 
       3.374691315069e-02       8.826276266440e+02 
       3.390227751763e-02       8.785938270987e+02 
       3.405822287688e-02       8.745690940072e+02 
       3.421476515097e-02       8.705453216671e+02 
       3.437192080278e-02       8.665255945460e+02 
       3.452970685885e-02       8.625134849903e+02 
       3.468814093398e-02       8.585068949963e+02 
       3.484724125724e-02       8.545038478428e+02 
       3.500702669930e-02       8.505057971987e+02 
       3.516751680141e-02       8.465150568243e+02 
       3.532873180595e-02       8.425310247723e+02 
       3.549069268876e-02       8.385490593215e+02 
