# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4.5
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.037084025954e-05      -3.048731913619e-04      -2.286796150057e-04      -2.286796188957e-04      -3.048724786366e-04      -2.286416304047e-04      -2.288013172896e-04       5.993950341688e-01       5.984026307086e-01      -1.473718537264e-11      -3.002466671144e-15      -1.522741675232e-11      -1.858124348128e-14      -3.267551908905e-14 
       2.350783343365e-05      -1.565742872817e-03      -1.174959647752e-03      -1.174959750426e-03      -1.565724064351e-03      -1.174761321596e-03      -1.175583844600e-03       5.993914737409e-01       5.983997191540e-01      -3.889271619239e-10      -7.924398739970e-14      -4.018632787850e-10      -4.905283405827e-13      -8.623372906478e-13 
       3.669207989643e-05      -3.811449337060e-03      -2.862458228687e-03      -2.862458837883e-03      -3.811337778048e-03      -2.861961331338e-03      -2.863974082269e-03       5.993851269900e-01       5.983945289596e-01      -2.307043048283e-09      -4.701301952580e-13      -2.383762694620e-09      -2.911347763606e-12      -5.115244568010e-12 
       4.996047830342e-05      -7.058168139343e-03      -5.306925276004e-03      -5.306927368988e-03      -7.057785044875e-03      -5.305967162814e-03      -5.309722680249e-03       5.993759377609e-01       5.983870132777e-01      -7.923342502543e-09      -1.614962369740e-12      -8.186755327668e-09      -1.000686896429e-11      -1.756797649315e-11 
       6.335055460381e-05      -1.133107204478e-02      -8.532659982771e-03      -8.532665390188e-03      -1.133008291430e-02      -8.531041249348e-03      -8.537130304048e-03       5.993638167267e-01       5.983770974435e-01      -2.046081801233e-08      -4.171570819796e-12      -2.114079025479e-08      -2.586881384105e-11      -4.536697199714e-11 
       7.690081002873e-05      -1.666457948655e-02      -1.257296369204e-02      -1.257297542395e-02      -1.666243517707e-02      -1.257043405853e-02      -1.257950018627e-02       5.993486433953e-01       5.983646808554e-01      -4.436524112251e-08      -9.048425345850e-12      -4.583893853483e-08      -5.616647506540e-11      -9.837030030288e-11 
       9.065108053222e-05      -2.310271037369e-02      -1.747078398285e-02      -1.747080661444e-02      -2.309857783268e-02      -1.746702566109e-02      -1.747978175615e-02       5.993302646433e-01       5.983496359237e-01      -8.552269190445e-08      -1.744977159461e-11      -8.836189455626e-08      -1.084475198953e-10      -1.896302520732e-10 
       1.046429126454e-04      -3.069954371720e-02      -2.327956749572e-02      -2.327960763571e-02      -3.069222254462e-02      -2.327417514103e-02      -2.329142284058e-02       5.993084867106e-01       5.983318012271e-01      -1.515524108261e-07      -3.093830412642e-11      -1.565803671373e-07      -1.925468089372e-10      -3.360435204702e-10 
       1.189199607415e-04      -3.951976822685e-02      -3.006434585880e-02      -3.006441271993e-02      -3.950758954632e-02      -3.005680198314e-02      -3.007945473833e-02       5.992830757664e-01       5.983109804664e-01      -2.521921697744e-07      -5.151303973540e-11      -2.605523412335e-07      -3.211295711716e-10      -5.592055721701e-10 
       1.335284107432e-04      -4.963931560119e-02      -3.790308553994e-02      -3.790319165882e-02      -4.962001608233e-02      -3.789272999361e-02      -3.792184094371e-02       5.992537541165e-01       5.982869421384e-01      -3.997963965294e-07      -8.171974530859e-11      -4.130378200292e-07      -5.104046923807e-10      -8.865177656744e-10 
       1.485174353032e-04      -6.114605142987e-02      -4.688834006454e-02      -4.688850218693e-02      -6.111661876134e-02      -4.687433175886e-02      -4.691112782757e-02       5.992201904032e-01       5.982594074785e-01      -6.099789560338e-07      -1.247789479815e-10      -6.301606683593e-07      -7.810562722023e-10      -1.352611808267e-09 
       1.639396854033e-04      -7.414050148957e-02      -5.712925328768e-02      -5.712949350473e-02      -7.409697907286e-02      -5.711052186478e-02      -5.715644589572e-02       5.991819982947e-01       5.982280524197e-01      -9.024334037126e-07      -1.847697757276e-10      -9.322560101001e-07      -1.159457831049e-09      -2.001173523718e-09 
       1.798518230764e-04      -8.873655828189e-02      -6.875397049140e-02      -6.875431765594e-02      -8.867380287694e-02      -6.872915487531e-02      -6.878591816176e-02       5.991387241853e-01       5.981924944107e-01      -1.301984387656e-06      -2.668432267361e-10      -1.344952643239e-06      -1.679255044106e-09      -2.887274160785e-09 
       1.963150994787e-04      -1.050621131617e-01      -8.191252808820e-02      -8.191301965666e-02      -1.049734853909e-01      -8.187989801169e-02      -8.194954628967e-02       5.990898414889e-01       5.981522894223e-01      -1.839924079221e-06      -3.775332452184e-10      -1.900553895353e-06      -2.383431853104e-09      -4.080345083487e-09 
       2.133959816872e-04      -1.232594964485e-01      -9.678030348085e-02      -9.678098779397e-02      -1.231364792973e-01      -9.673765868093e-02      -9.682265561633e-02       5.990347377873e-01       5.981069180369e-01      -2.555725253267e-06      -5.250877313598e-10      -2.639797477916e-06      -3.327013036834e-09      -5.667972192556e-09 
       2.311668302169e-04      -1.434856143107e-01      -1.135621227630e-01      -1.135630620366e-01      -1.433173228262e-01      -1.135066630886e-01      -1.136099965754e-01       5.989727036005e-01       5.980557775012e-01      -3.499210885310e-06      -7.199858761027e-10      -3.614096227889e-06      -4.580608516885e-09      -7.760728939778e-09 
       2.497066271193e-04      -1.659115545132e-01      -1.324971381698e-01      -1.324984122654e-01      -1.656841248439e-01      -1.324252953721e-01      -1.325506136998e-01       5.989029171284e-01       5.979981663815e-01      -4.733325708875e-06      -9.755110113177e-10      -4.888387037318e-06      -6.235073788959e-09      -1.049832670936e-08 
       2.691017513641e-04      -1.907214242137e-01      -1.538646036584e-01      -1.538663150521e-01      -1.904172280420e-01      -1.537718229450e-01      -1.539236102190e-01       5.988244277416e-01       5.979332704309e-01      -6.337638688594e-06      -1.308606750257e-09      -6.544745076287e-06      -8.407654014838e-09      -1.405742364062e-08 
       2.894467936671e-04      -2.181099813189e-01      -1.779906923450e-01      -1.779929722473e-01      -2.177066675689e-01      -1.778711472119e-01      -1.780549506283e-01       5.987361372597e-01       5.978601431684e-01      -8.412804400789e-06      -1.740736234098e-09      -8.686954044095e-06      -1.125010572398e-08      -1.866151043014e-08 
       3.108453966031e-04      -2.482786684882e-01      -2.052565103750e-01      -2.052595269816e-01      -2.477479152520e-01      -2.051027298317e-01      -2.053254556397e-01       5.986367778249e-01       5.977776867479e-01      -1.108613314781e-05      -2.299356739741e-09      -1.144625708376e-05      -1.495945514579e-08      -2.459336359082e-08 
       3.334110972519e-04      -2.814292600682e-01      -2.361074708299e-01      -2.361114397137e-01      -2.807352378440e-01      -2.359098498631e-01      -2.361801507440e-01       5.985248880972e-01       5.976846271777e-01      -1.451860105503e-05      -3.019450029664e-09      -1.498854372191e-05      -1.979227635177e-08      -3.221063393670e-08 
       3.572681382947e-04      -3.177543274585e-01      -2.710641858588e-01      -2.710693831535e-01      -3.168518088992e-01      -2.708103408931e-01      -2.711391253964e-01       5.983987874286e-01       5.975794880043e-01      -1.891353475983e-05      -3.945465532793e-09      -1.952324496374e-05      -2.608366637122e-08      -4.196517731690e-08 
       3.825521989702e-04      -3.574235680867e-01      -3.107350141146e-01      -3.107417941141e-01      -3.562555092481e-01      -3.104089333693e-01      -3.108100387184e-01       5.982565473265e-01       5.974605616069e-01      -2.452716076365e-05      -5.134287064764e-09      -2.531419456575e-05      -3.427247597652e-08      -5.442671095388e-08 
       4.094109794171e-04      -4.005644840707e-01      -3.558303582478e-01      -3.558391752535e-01      -3.990591525427e-01      -3.554112781716e-01      -3.559023622928e-01       5.980959626641e-01       5.973258757680e-01      -3.168136943429e-05      -6.658106522552e-09      -3.269264375602e-05      -4.493485081251e-08      -7.031125775654e-08 
       4.380045508699e-04      -4.472362765272e-01      -4.071787213404e-01      -4.071901579582e-01      -4.453037364457e-01      -4.066396405208e-01      -4.072433686046e-01       5.979145243261e-01       5.971731613830e-01      -4.077855655358e-05      -8.608578603847e-09      -4.207244692792e-05      -5.882876520169e-08      -9.051447313664e-08 
       4.685053609261e-04      -4.973953906940e-01      -4.657444010397e-01      -4.657592041554e-01      -4.949233415111e-01      -4.650501137051e-01      -4.657957404613e-01       5.977093935773e-01       5.969998178107e-01      -5.231834890954e-05      -1.110163983147e-08      -5.396710531073e-05      -7.695299503496e-08      -1.161492903110e-07 
       5.010977598240e-04      -5.508515056304e-01      -5.326465079658e-01      -5.326656329251e-01      -5.477006253291e-01      -5.317510024423e-01      -5.326764855191e-01       5.974773839389e-01       5.968028809157e-01      -6.691545886183e-05      -1.428231982965e-08      -6.900778863991e-05      -1.006248984234e-07      -1.485861193996e-07 
       5.359768941802e-04      -6.072141620440e-01      -6.091787190613e-01      -6.092033869549e-01      -6.032127083210e-01      -6.080217465425e-01      -6.091765706212e-01       5.972149535426e-01       5.965789978274e-01      -8.531661623203e-05      -1.833229356403e-08      -8.796055356248e-05      -1.315823990762e-07      -1.894919554702e-07 
       5.733468048383e-04      -6.658305483834e-01      -6.968288424650e-01      -6.968606085974e-01      -6.607689165095e-01      -6.953314010161e-01      -6.967803489387e-01       5.969182149180e-01       5.963244103963e-01      -1.084141618703e-04      -2.347525063274e-08      -1.117396622500e-04      -1.721166556059e-07      -2.408619640781e-07 
       6.134175733447e-04      -7.257188248560e-01      -7.972968419414e-01      -7.973376766190e-01      -7.193446695562e-01      -7.953552630303e-01      -7.971834387758e-01       5.965829646423e-01       5.960349524542e-01      -1.372512913531e-04      -2.998191753863e-08      -1.414121375011e-04      -2.252428391892e-07      -3.050333511375e-07 
       6.564013965590e-04      -7.855057334190e-01      -9.125095367160e-01      -9.125619227529e-01      -7.775199863656e-01      -9.099877966679e-01      -9.123072883686e-01       5.962047476643e-01       5.957060751199e-01      -1.730119205504e-04      -3.817587979924e-08      -1.781866113040e-04      -2.949171622784e-07      -3.846668605237e-07 
       7.025075400686e-04      -8.433814086285e-01      -1.044629780219e+00      -1.044696824118e+00      -8.334367541005e-01      -1.041349585806e+00      -1.044308248006e+00       5.957789544823e-01       5.953328984924e-01      -2.169868783598e-04      -4.843496350760e-08      -2.233774947359e-04      -3.863081909152e-07      -4.826768739191e-07 
       7.519362337995e-04      -8.970910084246e-01      -1.196057664558e+00      -1.196143211086e+00      -8.847953462831e-01      -1.191785796649e+00      -1.195578725398e+00       5.953009562400e-01       5.949102991448e-01      -2.705068357193e-04      -6.118261394089e-08      -2.783343998804e-04      -5.061294144963e-07      -6.020884245106e-07 
       8.048717247371e-04      -9.439912025133e-01      -1.369421304490e+00      -1.369530055703e+00      -9.289169503014e-01      -1.363853676673e+00      -1.368738034872e+00       5.947662835332e-01       5.944330463765e-01      -3.348319914046e-04      -7.687628254032e-08      -3.443279553714e-04      -6.630374821638e-07      -7.458019205896e-07 
       8.614748765506e-04      -9.811989840206e-01      -1.567555159154e+00      -1.567692791227e+00      -9.629003010900e-01      -1.560297042801e+00      -1.566610940343e+00       5.941708272133e-01       5.938959736408e-01      -4.109953406972e-04      -9.598453493350e-08      -4.223885314568e-04      -8.680958918188e-07      -9.162572304514e-07 
       9.218758739237e-04      -1.005856247483e+00      -1.793464839396e+00      -1.793638088055e+00      -9.838963163848e-01      -1.784006731687e+00      -1.792192860926e+00       5.935110622248e-01       5.932941984800e-01      -4.996073404073e-04      -1.189453190275e-07      -5.131058887300e-04      -1.135297822657e-06      -1.115012743878e-06 
       9.861677084840e-04      -1.015518966053e+00      -2.050278613992e+00      -2.050495316248e+00      -9.895073709566e-01      -2.037967365027e+00      -2.048601980951e+00       5.927842445444e-01       5.926233543399e-01      -6.006463509782e-04      -1.461090290975e-07      -6.164160627414e-04      -1.482133553519e-06      -1.342293582588e-06 
       1.054401149639e-03      -1.008653658393e+00      -2.341187646611e+00      -2.341456754244e+00      -9.782867850560e-01      -2.325192665496e+00      -2.339020286490e+00       5.919885778630e-01       5.918798409317e-01      -7.132804252544e-04      -1.776926871315e-07      -7.314251442438e-04      -1.930180158589e-06      -1.596613737640e-06 
       1.126581807468e-03      -9.851665413421e-01      -2.669378678148e+00      -2.669710176418e+00      -9.502708308909e-01      -2.648653211910e+00      -2.666627056514e+00       5.911232942419e-01       5.910610426502e-01      -8.357960405115e-04      -2.136970489452e-07      -8.563418460052e-04      -2.505683139654e-06      -1.874622601634e-06 
       1.202669675553e-03      -9.468711076404e-01      -3.037964021704e+00      -3.038368847964e+00      -9.074289849867e-01      -3.011201946529e+00      -3.034529643782e+00       5.901886353304e-01       5.901654944680e-01      -9.657061831919e-04      -2.538920048559e-07      -9.886009671664e-04      -3.240095296288e-06      -2.171355072878e-06 
       1.282581235175e-03      -8.977256137142e-01      -3.449914658363e+00      -3.450404512000e+00      -8.538846459162e-01      -3.415503317631e+00      -3.445696900562e+00       5.891857288431e-01       5.891929727944e-01      -1.100117765670e-03      -2.977575087220e-07      -1.125245070590e-03      -4.170537147388e-06      -2.481027125078e-06 
       1.366193873776e-03      -8.437219554801e-01      -3.908001262579e+00      -3.908588526472e+00      -7.957591626398e-01      -3.863971493915e+00      -3.902900142473e+00       5.881163613340e-01       5.881444768877e-01      -1.236365407490e-03      -3.445623160091e-07      -1.263581154146e-03      -5.340146478033e-06      -2.798428259879e-06 
