# Matter power spectrum P(k) at redshift z=4
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.037084025954e-05       2.975630141842e+00 
       2.350783343365e-05       6.654967365604e+00 
       3.669207989643e-05       1.030585214207e+01 
       4.996047830342e-05       1.395275041191e+01 
       6.335055460381e-05       1.761227820139e+01 
       7.690081002873e-05       2.129843049756e+01 
       9.065108053222e-05       2.502414886351e+01 
       1.046429126454e-04       2.880201408014e+01 
       1.189199607415e-04       3.264463706255e+01 
       1.335284107432e-04       3.656492403016e+01 
       1.485174353032e-04       4.057628296728e+01 
       1.639396854033e-04       4.469280435203e+01 
       1.798518230764e-04       4.892942897149e+01 
       1.963150994787e-04       5.330211402834e+01 
       2.133959816872e-04       5.782799951161e+01 
       2.311668302169e-04       6.252558033178e+01 
       2.497066271193e-04       6.741488244145e+01 
       2.691017513641e-04       7.251764417303e+01 
       2.894467936671e-04       7.785749882643e+01 
       3.108453966031e-04       8.346015567484e+01 
       3.334110972519e-04       8.935357058677e+01 
       3.572681382947e-04       9.556809711604e+01 
       3.825521989702e-04       1.021366037641e+02 
       4.094109794171e-04       1.090945369483e+02 
       4.380045508699e-04       1.164799072617e+02 
       4.685053609261e-04       1.243331669065e+02 
       5.010977598240e-04       1.326969434952e+02 
       5.359768941802e-04       1.416155916646e+02 
       5.733468048383e-04       1.511345210005e+02 
       6.134175733447e-04       1.612992648404e+02 
       6.564013965590e-04       1.721542716746e+02 
       7.025075400686e-04       1.837414151194e+02 
       7.519362337995e-04       1.960982579014e+02 
       8.048717247371e-04       2.092561531361e+02 
       8.614748765506e-04       2.232382996396e+02 
       9.218758739237e-04       2.380579308578e+02 
       9.861677084840e-04       2.537168143595e+02 
       1.054401149639e-03       2.702042708377e+02 
       1.126581807468e-03       2.874968437143e+02 
       1.202669675553e-03       3.055587018493e+02 
       1.282581235175e-03       3.243427606438e+02 
       1.366193873776e-03       3.437923926824e+02 
       1.453352093645e-03       3.638435580081e+02 
       1.543874818574e-03       3.844271247251e+02 
       1.637563069718e-03       4.054711637730e+02 
       1.734207363089e-03       4.269030418548e+02 
       1.833594340191e-03       4.486512019502e+02 
       1.935512332119e-03       4.706465775003e+02 
       2.039755735168e-03       4.928236223898e+02 
       2.146128216934e-03       5.151210056534e+02 
