# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.03708e-05 to 1004.54 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.037084025954e-05      -3.351824195600e-04      -2.514167178581e-04      -2.514167227585e-04      -3.351814738511e-04      -2.513706862215e-04      -2.515382528924e-04       5.988321927515e-01       5.979300004561e-01      -1.700304556538e-11      -3.167557132305e-15      -1.758186502639e-11      -1.789247910258e-14      -3.426904722018e-14 
       2.350783343365e-05      -1.721325148731e-03      -1.291783102071e-03      -1.291783231413e-03      -1.721300192482e-03      -1.291543325026e-03      -1.292406341575e-03       5.988285661965e-01       5.979270233379e-01      -4.487104016335e-10      -8.360025994979e-14      -4.639834753997e-10      -4.723456425847e-13      -9.043623239129e-13 
       3.669207989643e-05      -4.189843497069e-03      -3.147064984341e-03      -3.147065751745e-03      -4.189695479189e-03      -3.146466646967e-03      -3.148578080369e-03       5.988221007901e-01       5.979217153382e-01      -2.661509929528e-09      -4.959637189241e-13      -2.752081692330e-09      -2.803431721802e-12      -5.364216777774e-12 
       4.996047830342e-05      -7.757989825227e-03      -5.834577196335e-03      -5.834579832778e-03      -7.757481558939e-03      -5.833429789373e-03      -5.837368348471e-03       5.988127420214e-01       5.979140311325e-01      -9.139952665629e-09      -1.703639723143e-12      -9.450887957104e-09      -9.635943323377e-12      -1.842149505079e-11 
       6.335055460381e-05      -1.245264566791e-02      -9.381033319346e-03      -9.381040130536e-03      -1.245133344532e-02      -9.379107629754e-03      -9.385491177155e-03       5.988003970570e-01       5.979038923849e-01      -2.359988147140e-08      -4.400423180023e-12      -2.440239980958e-08      -2.490994148806e-11      -4.756575404092e-11 
       7.690081002873e-05      -1.831055828871e-02      -1.382304353910e-02      -1.382305831579e-02      -1.830771381709e-02      -1.382005679661e-02      -1.382955723469e-02       5.987849441197e-01       5.978911969020e-01      -5.116449972508e-08      -9.544270216295e-12      -5.290343816054e-08      -5.408459340225e-11      -1.031235430262e-10 
       9.065108053222e-05      -2.537868026527e-02      -1.920782265370e-02      -1.920785115691e-02      -2.537319896739e-02      -1.920342105649e-02      -1.921678131265e-02       5.987662280021e-01       5.978758146962e-01      -9.861281125288e-08      -1.840473217498e-11      -1.019622096506e-07      -1.044278356278e-10      -1.987594482440e-10 
       1.046429126454e-04      -3.371460341580e-02      -2.559412752127e-02      -2.559417807113e-02      -3.370489407171e-02      -2.558786520623e-02      -2.560591906212e-02       5.987440519209e-01       5.978575807284e-01      -1.747137980752e-07      -3.262864275602e-11      -1.806435394105e-07      -1.854100526575e-10      -3.521505049032e-10 
       1.189199607415e-04      -4.338707360613e-02      -3.305345079801e-02      -3.305353499098e-02      -4.337092469832e-02      -3.304476408637e-02      -3.306845976508e-02       5.987181793116e-01       5.978362954863e-01      -2.906655705230e-07      -5.432229491566e-11      -3.005218493573e-07      -3.092271377828e-10      -5.858713392983e-10 
       1.335284107432e-04      -5.447657063180e-02      -4.167150465146e-02      -4.167163826384e-02      -5.445098402203e-02      -4.165968012409e-02      -4.169010877437e-02       5.986883279038e-01       5.978117219675e-01      -4.606622671527e-07      -8.616642169230e-11      -4.762672134814e-07      -4.914873720433e-10      -9.285393903684e-10 
       1.485174353032e-04      -6.707591884854e-02      -5.155003703204e-02      -5.155024113186e-02      -6.703690596818e-02      -5.153417153188e-02      -5.157260205939e-02       5.986541625134e-01       5.977835766954e-01      -7.026241943521e-07      -1.315517675213e-10      -7.263975734283e-07      -7.521084939139e-10      -1.416286070675e-09 
       1.639396854033e-04      -8.129089716740e-02      -6.280903354548e-02      -6.280933591713e-02      -8.123322166306e-02      -6.278798372963e-02      -6.283590583165e-02       5.986152912468e-01       5.977515287050e-01      -1.039127850913e-06      -1.947700406898e-10      -1.074239892519e-06      -1.116486962443e-09      -2.094636294885e-09 
       1.798518230764e-04      -9.724077657849e-02      -7.558936781960e-02      -7.558980473988e-02      -9.715763542298e-02      -7.556168607205e-02      -7.562086388548e-02       5.985712549936e-01       5.977151883975e-01      -1.498595162664e-06      -2.812390807642e-10      -1.549155028411e-06      -1.617022117835e-09      -3.020906011416e-09 
       1.963150994787e-04      -1.150587148718e-01      -9.005597772529e-02      -9.005659626921e-02      -1.149413315665e-01      -9.001983038600e-02      -9.009236989091e-02       5.985215207700e-01       5.976741032095e-01      -2.116801411475e-06      -3.978249360148e-10      -2.188096167665e-06      -2.295105843656e-09      -4.267252970845e-09 
       2.133959816872e-04      -1.348918599305e-01      -1.064016572829e-01      -1.064025181795e-01      -1.347289838916e-01      -1.063547196696e-01      -1.064431539815e-01       5.984654690396e-01       5.976277441296e-01      -2.938801969818e-06      -5.531926329754e-10      -3.037588954961e-06      -3.203725165208e-09      -5.924557378433e-09 
       2.311668302169e-04      -1.569010271839e-01      -1.248515715656e-01      -1.248527529364e-01      -1.566782912643e-01      -1.247908928003e-01      -1.248982908088e-01       5.984023826001e-01       5.975754973687e-01      -4.021364609604e-06      -7.583405457140e-10      -4.156243868745e-06      -4.410875473531e-09      -8.107346979897e-09 
       2.497066271193e-04      -1.812596718190e-01      -1.456686174884e-01      -1.456702195578e-01      -1.809587933291e-01      -1.455904455341e-01      -1.457205511451e-01       5.983314313600e-01       5.975166490871e-01      -5.436063882513e-06      -1.027202061718e-09      -5.617937578190e-06      -6.004048645064e-09      -1.096004088536e-08 
       2.691017513641e-04      -2.081518781883e-01      -1.691597715385e-01      -1.691619228273e-01      -2.077496338234e-01      -1.690593261125e-01      -1.692167377575e-01       5.982516558200e-01       5.974503707971e-01      -7.273174224590e-06      -1.377526140468e-09      -7.515829852888e-06      -8.096150057375e-09      -1.466483962283e-08 
       2.894467936671e-04      -2.377688447882e-01      -1.956835824021e-01      -1.956864473615e-01      -2.372358226613e-01      -1.955547586154e-01      -1.957451620297e-01       5.981619487574e-01       5.973757003861e-01      -9.646600444355e-06      -1.831787894976e-09      -9.967414800730e-06      -1.083332019957e-08      -1.945166193007e-08 
       3.108453966031e-04      -2.703034286680e-01      -2.256589780692e-01      -2.256627673336e-01      -2.696024082326e-01      -2.254939592174e-01      -2.257244308892e-01       5.980610331047e-01       5.972915221922e-01      -1.269999593315e-05      -2.418692069880e-09      -1.312083500639e-05      -1.440529569438e-08      -2.561057947502e-08 
       3.334110972519e-04      -3.059418360270e-01      -2.595755672989e-01      -2.595805505909e-01      -3.050257992065e-01      -2.593643164989e-01      -2.596437213381e-01       5.979474388144e-01       5.971965426534e-01      -1.661440115290e-05      -3.174764727915e-09      -1.716270927776e-05      -1.905916039424e-08      -3.350726488025e-08 
       3.572681382947e-04      -3.448515870807e-01      -2.980056089064e-01      -2.980121313837e-01      -3.436612813776e-01      -2.977351999167e-01      -2.980747149712e-01       5.978194776131e-01       5.970892640059e-01      -2.161761527619e-05      -4.146371388444e-09      -2.232772553447e-05      -2.511762042261e-08      -4.360196669486e-08 
       3.825521989702e-04      -3.871647446927e-01      -3.416177992160e-01      -3.416263032092e-01      -3.856255797479e-01      -3.412715346032e-01      -3.416853418276e-01       5.976752153043e-01       5.969679553621e-01      -2.799544541260e-05      -5.392716252565e-09      -2.891020889156e-05      -3.300330472496e-08      -5.647245229548e-08 
       4.094109794171e-04      -4.329547689453e-01      -3.911929816070e-01      -3.912040335644e-01      -4.309731516294e-01      -3.907492266990e-01      -3.912554331038e-01       5.975124442905e-01       5.968306199610e-01      -3.610510287561e-05      -6.988814355324e-09      -3.727775986799e-05      -4.327107053209e-08      -7.284117587354e-08 
       4.380045508699e-04      -4.822059572093e-01      -4.476417872658e-01      -4.476561125154e-01      -4.796648382747e-01      -4.470724281125e-01      -4.476942921337e-01       5.973286578765e-01       5.966749632825e-01      -4.639045073360e-05      -9.029687705998e-09      -4.788681952153e-05      -5.665089789002e-08      -9.360644978041e-08 
       4.685053609261e-04      -5.347740243845e-01      -5.120240735117e-01      -5.120426002849e-01      -5.315276718892e-01      -5.112924765018e-01      -5.120600468223e-01       5.971210269287e-01       5.964983594258e-01      -5.939866560294e-05      -1.163521147491e-08      -6.129958769768e-05      -7.410469418669e-08      -1.198766198306e-07 
       5.010977598240e-04      -5.903369832823e-01      -5.855698146342e-01      -5.855937278780e-01      -5.862052114653e-01      -5.846281270570e-01      -5.855804365604e-01       5.968863845892e-01       5.962978207224e-01      -7.579718313711e-05      -1.495496483295e-08      -7.820101626781e-05      -9.690121844236e-08      -1.530048900794e-07 
