# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368109564615e-10       4.941542552923e-15       3.764640426578e-13       0.000000000000e+00       8.052770167482e-09       4.496876070918e-10      -1.996177545568e-12 
    3       1.295829201447e-10       7.150002490721e-15       4.448374229991e-13       0.000000000000e+00       4.960886549111e-09       3.184712809747e-10      -1.621802415780e-12 
    4       1.225764889294e-10       7.037744029683e-15       4.344026275422e-13       0.000000000000e+00       3.441584127094e-09       2.408701765387e-10      -1.166496071037e-12 
    5       1.172429159014e-10       5.383217905546e-15       3.849169995552e-13       0.000000000000e+00       2.561200801825e-09       1.900211180955e-10      -7.487951571331e-13 
    6       1.135056058628e-10       3.395501018717e-15       3.210861644995e-13       0.000000000000e+00       1.995222553408e-09       1.543201325204e-10      -4.076096825288e-13 
    7       1.110244481066e-10       1.895716970018e-15       2.584682414391e-13       0.000000000000e+00       1.606030977252e-09       1.280627887501e-10      -1.563767343809e-13 
    8       1.095574190949e-10       1.089290857076e-15       2.051924539131e-13       0.000000000000e+00       1.324557311268e-09       1.081557788008e-10       6.661503653988e-15 
    9       1.088574683891e-10       7.785793015621e-16       1.648300051846e-13       0.000000000000e+00       1.113198647109e-09       9.272321211257e-11       9.285550279337e-14 
   10       1.086881295575e-10       6.763303521849e-16       1.380009391345e-13       0.000000000000e+00       9.498295999114e-10       8.049092890461e-11       1.193476336292e-13 
   11       1.089737048347e-10       6.022497680740e-16       1.232701635650e-13       0.000000000000e+00       8.015143230902e-10       7.104254411852e-11       1.056762861448e-13 
   12       1.096084084925e-10       5.138234476390e-16       1.180604885406e-13       0.000000000000e+00       6.991750098155e-10       6.260184135911e-11       7.029510828612e-14 
   13       1.104540952285e-10       4.396202634592e-16       1.195792883649e-13       0.000000000000e+00       6.152460157157e-10       5.580582140838e-11       2.906354893953e-14 
   14       1.115653740954e-10       4.070603206964e-16       1.252337510613e-13       0.000000000000e+00       5.454975180127e-10       5.002647507957e-11      -7.415073894206e-15 
   15       1.128238058303e-10       4.141795598278e-16       1.328562803118e-13       0.000000000000e+00       4.868501640517e-10       4.506813928138e-11      -3.280321032039e-14 
   16       1.142187474526e-10       4.415176047066e-16       1.409580932814e-13       0.000000000000e+00       4.370391412103e-10       4.083668546225e-11      -4.502966603257e-14 
   17       1.157295355709e-10       4.745478138490e-16       1.487797558897e-13       0.000000000000e+00       3.943560044007e-10       3.717812939459e-11      -4.550579106200e-14 
   18       1.173375212990e-10       5.139656785549e-16       1.560664022168e-13       0.000000000000e+00       3.573502732386e-10       3.397186457861e-11      -3.783682227911e-14 
   19       1.190577757942e-10       5.687646391403e-16       1.629781017802e-13       0.000000000000e+00       3.254223487206e-10       3.116861166580e-11      -2.578944534063e-14 
   20       1.208570818511e-10       6.492504644989e-16       1.698329344722e-13       0.000000000000e+00       2.973326583155e-10       2.866793739799e-11      -1.381693810137e-14 
   21       1.227245180890e-10       7.565010332744e-16       1.769607318966e-13       0.000000000000e+00       2.726325620897e-10       2.644441203680e-11      -4.439986745767e-15 
   22       1.246293330535e-10       8.875238943995e-16       1.846622577640e-13       0.000000000000e+00       2.507237107002e-10       2.446193519743e-11       5.928190361479e-16 
   23       1.265892812454e-10       1.039937364299e-15       1.929150572006e-13       0.000000000000e+00       2.312996449859e-10       2.269943996167e-11       1.254046175675e-15 
   24       1.286142319172e-10       1.211390484606e-15       2.015272590233e-13       0.000000000000e+00       2.139062293058e-10       2.111838043275e-11      -1.563572044823e-15 
   25       1.306939103561e-10       1.402545657438e-15       2.102348151626e-13       0.000000000000e+00       1.983349366924e-10       1.969815040624e-11      -6.424294539656e-15 
   26       1.328003664357e-10       1.614564498846e-15       2.186865084794e-13       0.000000000000e+00       1.843000163312e-10       1.841077207376e-11      -1.152645965295e-14 
   27       1.349458550143e-10       1.846436246133e-15       2.264964403230e-13       0.000000000000e+00       1.716302360116e-10       1.724624518343e-11      -1.564459845258e-14 
   28       1.371439735191e-10       2.096680774991e-15       2.332669363576e-13       0.000000000000e+00       1.601043482750e-10       1.619117282518e-11      -1.779792665578e-14 
   29       1.393990451006e-10       2.366467374457e-15       2.388286726470e-13       0.000000000000e+00       1.496615735131e-10       1.523702347574e-11      -1.793065314616e-14 
   30       1.416984497430e-10       2.658037249642e-15       2.430857699264e-13       0.000000000000e+00       1.401877858570e-10       1.436593678409e-11      -1.637763309830e-14 
   31       1.440195764631e-10       2.973811819530e-15       2.459807636107e-13       0.000000000000e+00       1.314873293147e-10       1.355302607400e-11      -1.364428248554e-14 
   32       1.463682701865e-10       3.315522247348e-15       2.475964015589e-13       0.000000000000e+00       1.235139478766e-10       1.279704449418e-11      -1.039538080250e-14 
   33       1.487523047129e-10       3.684773663197e-15       2.480984307089e-13       0.000000000000e+00       1.162100782183e-10       1.209981859907e-11      -7.488212069324e-15 
   34       1.511721117390e-10       4.083065482388e-15       2.476623661057e-13       0.000000000000e+00       1.094720718371e-10       1.145881035840e-11      -5.759698406105e-15 
   35       1.536272471285e-10       4.511061838186e-15       2.462948657940e-13       0.000000000000e+00       1.032644221925e-10       1.087090684805e-11      -5.224103976989e-15 
   36       1.561104193080e-10       4.969049015062e-15       2.439509558105e-13       0.000000000000e+00       9.753625112776e-11       1.032908095660e-11      -5.591318716711e-15 
   37       1.586106567107e-10       5.457259048304e-15       2.405688486148e-13       0.000000000000e+00       9.221178048231e-11       9.823805202709e-12      -6.510293035192e-15 
   38       1.611334139358e-10       5.976372763627e-15       2.360301755466e-13       0.000000000000e+00       8.727664357174e-11       9.352994316178e-12      -7.705730252775e-15 
   39       1.636859880778e-10       6.527171166509e-15       2.301844584252e-13       0.000000000000e+00       8.271468123924e-11       8.914799339698e-12      -8.877326995185e-15 
   40       1.662715134133e-10       7.110397433921e-15       2.228576956176e-13       0.000000000000e+00       7.848171119005e-11       8.504642333624e-12      -9.657732488175e-15 
   41       1.688897291199e-10       7.726741333579e-15       2.138889732109e-13       0.000000000000e+00       7.452078521266e-11       8.116939022921e-12      -9.719912881177e-15 
   42       1.715407548145e-10       8.376792666299e-15       2.032584724934e-13       0.000000000000e+00       7.081979996356e-11       7.751510720819e-12      -9.151403428536e-15 
   43       1.742217236180e-10       9.061068267197e-15       1.909984445100e-13       0.000000000000e+00       6.736853347388e-11       7.408860929200e-12      -8.194799271306e-15 
   44       1.769252392032e-10       9.780020222061e-15       1.771596086195e-13       0.000000000000e+00       6.414136544958e-11       7.088295582006e-12      -7.150090750763e-15 
   45       1.796430119329e-10       1.053405671218e-14       1.617960120595e-13       0.000000000000e+00       6.110632884130e-11       6.788371603972e-12      -6.310213058754e-15 
   46       1.823790093221e-10       1.132362026159e-14       1.449117789990e-13       0.000000000000e+00       5.825837393126e-11       6.508643470991e-12      -5.736562987571e-15 
   47       1.851395543612e-10       1.214912690469e-14       1.265001970806e-13       0.000000000000e+00       5.559396821263e-11       6.248264858388e-12      -5.422257412028e-15 
   48       1.879294649279e-10       1.301094180131e-14       1.065586058192e-13       0.000000000000e+00       5.310106992602e-11       6.005414451020e-12      -5.353779413081e-15 
   49       1.907518849753e-10       1.390937712529e-14       8.508849724617e-14       0.000000000000e+00       5.075849660893e-11       5.777225407824e-12      -5.510527960153e-15 
   50       1.936083611698e-10       1.484469601530e-14       6.208657697595e-14       0.000000000000e+00       4.854225510756e-11       5.560566122485e-12      -5.860931459868e-15 
   51       1.964994889703e-10       1.581713059020e-14       3.751485345257e-14       0.000000000000e+00       4.644802218194e-11       5.354795991059e-12      -6.350589474832e-15 
   52       1.994241501189e-10       1.682686517399e-14       1.132260373695e-14       0.000000000000e+00       4.447367450578e-11       5.159635741473e-12      -6.910133806764e-15 
   53       2.023791289885e-10       1.787402887807e-14      -1.654561355982e-14       0.000000000000e+00       4.261256388853e-11       4.974351763601e-12      -7.457785806348e-15 
