# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368113859992e-10       4.941734526803e-15       3.764640389970e-13       1.919738121132e-19       8.052770167482e-09       4.496876070918e-10      -1.996177545568e-12 
    3       1.295837771071e-10       7.150386534071e-15       4.448374066883e-13       3.840426743711e-19       4.960886549111e-09       3.184712809747e-10      -1.621802415780e-12 
    4       1.225779125629e-10       7.038384313408e-15       4.344025806890e-13       6.402803987390e-19       3.441584127094e-09       2.408701765387e-10      -1.166496071037e-12 
    5       1.172450427948e-10       5.384178725310e-15       3.849168928577e-13       9.608083515039e-19       2.561200801825e-09       1.900211180955e-10      -7.487951571331e-13 
    6       1.135085694151e-10       3.396846823652e-15       3.210859547882e-13       1.345773745409e-18       1.995222553408e-09       1.543201325204e-10      -4.076096825288e-13 
    7       1.110283780772e-10       1.897512389606e-15       2.584678694557e-13       1.795346835831e-18       1.606030977252e-09       1.280627887501e-10      -1.563767343809e-13 
    8       1.095624412436e-10       1.091600725681e-15       2.051918423591e-13       2.309717740816e-18       1.324557311268e-09       1.081557788008e-10       6.661503653988e-15 
    9       1.088637042143e-10       7.814686800375e-16       1.648290570585e-13       2.889092975444e-18       1.113198647109e-09       9.272321211257e-11       9.285550279337e-14 
   10       1.086956961345e-10       6.798645459434e-16       1.379995363699e-13       3.533691798078e-18       9.498295999114e-10       8.049092890461e-11       1.193476336292e-13 
   11       1.089827147544e-10       6.064943409859e-16       1.232681659709e-13       4.243742469947e-18       8.015143230902e-10       7.104254411852e-11       1.056762861448e-13 
   12       1.096189698957e-10       5.188442311250e-16       1.180577330372e-13       5.019478530123e-18       6.991750098155e-10       6.260184135911e-11       7.029510828612e-14 
   13       1.104663119302e-10       4.454833601840e-16       1.195755884997e-13       5.861135185296e-18       6.152460157157e-10       5.580582140838e-11       2.906354893953e-14 
