# Matter power spectrum P(k) at redshift z=5
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045629393498e-05       2.004210380244e+00 
       2.372900639820e-05       4.487520023382e+00 
       3.705038830857e-05       6.951775882829e+00 
       5.045849811123e-05       9.413648084505e+00 
       6.399205400520e-05       1.188450085102e+01 
       7.769080041399e-05       1.437393310121e+01 
       9.159588674793e-05       1.689084091813e+01 
       1.057502637854e-04       1.944388898625e+01 
       1.201991030382e-04       2.204177753388e+01 
       1.349902445026e-04       2.469342475721e+01 
       1.501746781875e-04       2.740811035479e+01 
       1.658070647103e-04       3.019560109137e+01 
       1.819462999697e-04       3.306626914536e+01 
       1.986561283524e-04       3.603120840551e+01 
       2.160058079578e-04       3.910235295114e+01 
       2.340708297436e-04       4.229259818234e+01 
       2.529336900652e-04       4.561592588939e+01 
       2.726847124767e-04       4.908753292194e+01 
       2.934229094968e-04       5.272396014081e+01 
       3.152568678448e-04       5.654321994197e+01 
       3.383056308993e-04       6.056491575866e+01 
       3.626995392886e-04       6.481034588495e+01 
       3.885809741591e-04       6.930258124115e+01 
       4.161049276017e-04       7.406650272262e+01 
       4.454393013340e-04       7.912877831208e+01 
       4.767648093336e-04       8.451775988522e+01 
       5.102743354399e-04       9.026327076173e+01 
       5.461715776932e-04       9.639625708107e+01 
       5.846688044146e-04       1.029482736486e+02 
       6.259835620572e-04       1.099507806367e+02 
       6.703342222355e-04       1.174342386739e+02 
       7.179343443654e-04       1.254270074539e+02 
       7.689859650139e-04       1.339540802474e+02 
       8.236720987643e-04       1.430357195951e+02 
       8.821489263841e-04       1.526860968939e+02 
       9.445383163731e-04       1.629120542886e+02 
       1.010921427124e-03       1.737121433549e+02 
       1.081334123662e-03       1.850760596491e+02 
       1.155764791463e-03       1.969845743121e+02 
       1.234154853213e-03       2.094099915330e+02 
       1.316401945199e-03       2.223171009979e+02 
       1.402365366598e-03       2.356645203118e+02 
       1.491873154658e-03       2.494062861499e+02 
       1.584730011839e-03       2.634935237651e+02 
       1.680725326149e-03       2.778760523537e+02 
       1.779640654398e-03       2.925038072071e+02 
       1.881256229852e-03       3.073280025536e+02 
       1.985356259445e-03       3.223020288395e+02 
       2.091732952843e-03       3.373820533594e+02 
       2.200189356041e-03       3.525272722174e+02 
       2.310541142019e-03       3.677000600492e+02 
       2.422617547090e-03       3.828669184607e+02 
       2.536261645635e-03       3.979972607292e+02 
       2.651330139891e-03       4.130637013274e+02 
       2.767692815208e-03       4.280418745456e+02 
       2.885231781840e-03       4.429103125250e+02 
       3.003840596269e-03       4.576501135816e+02 
       3.123423330440e-03       4.722448495301e+02 
       3.243893637094e-03       4.866802752016e+02 
       3.365173843516e-03       5.009441261352e+02 
       3.487194093980e-03       5.150259206343e+02 
       3.609891552436e-03       5.289167468474e+02 
       3.733209670762e-03       5.426091764972e+02 
       3.857097523654e-03       5.560969171999e+02 
       3.981509208481e-03       5.693747922793e+02 
       4.106403306687e-03       5.824386814032e+02 
       4.231742402400e-03       5.952851449775e+02 
       4.357492653424e-03       6.079117510384e+02 
       4.483623409728e-03       6.203164820388e+02 
       4.610106874634e-03       6.324981959500e+02 
       4.736917804193e-03       6.444560374254e+02 
       4.864033240544e-03       6.561897891992e+02 
       4.991432275435e-03       6.676996797531e+02 
       5.119095840429e-03       6.789860945105e+02 
       5.247006520708e-03       6.900500442148e+02 
       5.375148389705e-03       7.008924540395e+02 
       5.503506862102e-03       7.115147127463e+02 
       5.632068563057e-03       7.219185344295e+02 
       5.760821211709e-03       7.321054776224e+02 
       5.889753517327e-03       7.420774309319e+02 
       6.018855086584e-03       7.518363909211e+02 
       6.148116340685e-03       7.613843692189e+02 
       6.277528441206e-03       7.707236787790e+02 
       6.407083223629e-03       7.798567350123e+02 
       6.536773137714e-03       7.887855311284e+02 
       6.666591193923e-03       7.975126854951e+02 
       6.796530915227e-03       8.060404874651e+02 
       6.926586293688e-03       8.143714502626e+02 
       7.056751751303e-03       8.225082780575e+02 
       7.187022104635e-03       8.304533355215e+02 
       7.317392532840e-03       8.382090277385e+02 
       7.447858548702e-03       8.457780015586e+02 
       7.578415972392e-03       8.531628102620e+02 
       7.709060907633e-03       8.603654712501e+02 
       7.839789720055e-03       8.673891199086e+02 
       7.970599017490e-03       8.742360047744e+02 
       8.101485632030e-03       8.809082813840e+02 
       8.232446603659e-03       8.874089550970e+02 
       8.363479165321e-03       8.937403971784e+02 
       8.494580729256e-03       8.999044489907e+02 
       8.625748874516e-03       9.059040415050e+02 
       8.756981335523e-03       9.117415575447e+02 
       8.888275991580e-03       9.174192305550e+02 
       9.019630857247e-03       9.229392270784e+02 
       9.151044073500e-03       9.283041442596e+02 
       9.282513899606e-03       9.335159393563e+02 
       9.414038705641e-03       9.385770538843e+02 
       9.545616965607e-03       9.434894511626e+02 
       9.677247251078e-03       9.482554164686e+02 
       9.808928225347e-03       9.528771732145e+02 
       9.940658638019e-03       9.573564914998e+02 
       1.007243732001e-02       9.616956722159e+02 
       1.020426317895e-02       9.658967619728e+02 
       1.033613519488e-02       9.699615689218e+02 
       1.046805241631e-02       9.738924294795e+02 
       1.060001395658e-02       9.776905641100e+02 
       1.073201899042e-02       9.813584631027e+02 
       1.086406675084e-02       9.848997365747e+02 
       1.099615652618e-02       9.883127326896e+02 
       1.112828765743e-02       9.916009727950e+02 
       1.126045953569e-02       9.947659076323e+02 
       1.139267159985e-02       9.978099008042e+02 
       1.152492333440e-02       1.000734127519e+03 
       1.165721426741e-02       1.003540129503e+03 
       1.178954396869e-02       1.006230526890e+03 
       1.192191204800e-02       1.008805998672e+03 
       1.205431815347e-02       1.011268424026e+03 
       1.218676197006e-02       1.013619986654e+03 
       1.231924321818e-02       1.015861492177e+03 
       1.245176165238e-02       1.017994901129e+03 
       1.258431706015e-02       1.020021908089e+03 
       1.271690926079e-02       1.021944006378e+03 
       1.284953810435e-02       1.023762102540e+03 
       1.298220347070e-02       1.025477897399e+03 
       1.311490526862e-02       1.027093362406e+03 
       1.324764343495e-02       1.028609819103e+03 
       1.338041793384e-02       1.030028286035e+03 
       1.351322875602e-02       1.031350790746e+03 
       1.364607591820e-02       1.032578402422e+03 
       1.377895946238e-02       1.033712330754e+03 
       1.391187945537e-02       1.034754160023e+03 
       1.404483598826e-02       1.035705362714e+03 
       1.417782917592e-02       1.036567586981e+03 
       1.431085915661e-02       1.037341260650e+03 
       1.444392609162e-02       1.038028591008e+03 
       1.457703016484e-02       1.038630012236e+03 
       1.471017158253e-02       1.039147558571e+03 
       1.484335057300e-02       1.039581857618e+03 
       1.497656738636e-02       1.039934873660e+03 
       1.510982229432e-02       1.040206950669e+03 
       1.524311559000e-02       1.040400351040e+03 
       1.537644758773e-02       1.040515700767e+03 
       1.550981862299e-02       1.040554218560e+03 
       1.564322905223e-02       1.040517485079e+03 
       1.577667925283e-02       1.040406078569e+03 
       1.591016962304e-02       1.040221686826e+03 
       1.604370058190e-02       1.039965344759e+03 
       1.617727256927e-02       1.039638108990e+03 
       1.631088604585e-02       1.039240963091e+03 
       1.644454149313e-02       1.038775301585e+03 
       1.657823941353e-02       1.038242192175e+03 
       1.671198033042e-02       1.037642785976e+03 
       1.684576478820e-02       1.036978134354e+03 
       1.697959335243e-02       1.036248512584e+03 
       1.711346660996e-02       1.035455671158e+03 
       1.724738516904e-02       1.034601584866e+03 
       1.738134965950e-02       1.033686476431e+03 
       1.751536073295e-02       1.032710414550e+03 
       1.764941906294e-02       1.031675479992e+03 
       1.778352534518e-02       1.030582453526e+03 
       1.791768029781e-02       1.029432570712e+03 
       1.805188466159e-02       1.028226295831e+03 
       1.818613920020e-02       1.026965172846e+03 
       1.832044470050e-02       1.025649459745e+03 
       1.845480197288e-02       1.024280597553e+03 
       1.858921185148e-02       1.022858998367e+03 
       1.872367519461e-02       1.021386539119e+03 
       1.885819288507e-02       1.019863590847e+03 
       1.899276583048e-02       1.018290191778e+03 
       1.912739496373e-02       1.016668737205e+03 
       1.926208124330e-02       1.014998551312e+03 
       1.939682565376e-02       1.013283192334e+03 
       1.953162920614e-02       1.011519071550e+03 
       1.966649293841e-02       1.009712756020e+03 
       1.980141791593e-02       1.007860015035e+03 
       1.993640523197e-02       1.005964526677e+03 
       2.007145600820e-02       1.004026533919e+03 
       2.020657139520e-02       1.002045450369e+03 
       2.034175257302e-02       1.000023725937e+03 
       2.047700075176e-02       9.979622840727e+02 
       2.061231717210e-02       9.958611444505e+02 
       2.074770310596e-02       9.937212023200e+02 
       2.088315985710e-02       9.915433657879e+02 
       2.101868876175e-02       9.893282021330e+02 
       2.115429118930e-02       9.870769401216e+02 
       2.128996854299e-02       9.847918325461e+02 
       2.142572226058e-02       9.824690056421e+02 
       2.156155381514e-02       9.801139274897e+02 
       2.169746471577e-02       9.777250914547e+02 
       2.183345650838e-02       9.753034379954e+02 
       2.196953077651e-02       9.728509799151e+02 
       2.210568914217e-02       9.703655287319e+02 
       2.224193326667e-02       9.678520438249e+02 
       2.237826485153e-02       9.653066134048e+02 
       2.251468563936e-02       9.627327396563e+02 
       2.265119741485e-02       9.601327415160e+02 
       2.278780200570e-02       9.575034409978e+02 
       2.292450128361e-02       9.548466568641e+02 
       2.306129716537e-02       9.521641740395e+02 
       2.319819161386e-02       9.494564846010e+02 
       2.333518663918e-02       9.467250900806e+02 
       2.347228429977e-02       9.439663935560e+02 
       2.360948670358e-02       9.411862538359e+02 
       2.374679600928e-02       9.383836441894e+02 
       2.388421442748e-02       9.355577704656e+02 
       2.402174422201e-02       9.327100028859e+02 
       2.415938771128e-02       9.298420005846e+02 
       2.429714726958e-02       9.269515986699e+02 
       2.443502532852e-02       9.240430816413e+02 
       2.457302437848e-02       9.211162486810e+02 
       2.471114697007e-02       9.181693113084e+02 
       2.484939571572e-02       9.152042928343e+02 
       2.498777329124e-02       9.122223252121e+02 
       2.512628243746e-02       9.092215985643e+02 
       2.526492596194e-02       9.062069450342e+02 
       2.540370674072e-02       9.031757445807e+02 
       2.554262772009e-02       9.001284727590e+02 
       2.568169191854e-02       8.970658600399e+02 
       2.582090242858e-02       8.939885761407e+02 
       2.596026241881e-02       8.908982624234e+02 
       2.609977513597e-02       8.877950904026e+02 
       2.623944390701e-02       8.846806383169e+02 
       2.637927214136e-02       8.815500200987e+02 
       2.651926333315e-02       8.784108014208e+02 
       2.665942106358e-02       8.752580197458e+02 
       2.679974900335e-02       8.720960258673e+02 
       2.694025091517e-02       8.689215732357e+02 
       2.708093065634e-02       8.657389529275e+02 
       2.722179218149e-02       8.625442517800e+02 
       2.736283954531e-02       8.593434440920e+02 
       2.750407690546e-02       8.561313768124e+02 
       2.764550852553e-02       8.529136613624e+02 
       2.778713877818e-02       8.496848791219e+02 
       2.792897214829e-02       8.464518722719e+02 
       2.807101323630e-02       8.432093681124e+02 
       2.821326676166e-02       8.399603104273e+02 
       2.835573756636e-02       8.367059146793e+02 
       2.849843061865e-02       8.334444118815e+02 
       2.864135101690e-02       8.301765441380e+02 
       2.878450399350e-02       8.269066679098e+02 
       2.892789491907e-02       8.236293166832e+02 
       2.907152930670e-02       8.203464078801e+02 
       2.921541281640e-02       8.170643875668e+02 
       2.935955125972e-02       8.137732823066e+02 
       2.950395060459e-02       8.104794205383e+02 
       2.964861698023e-02       8.071828736778e+02 
       2.979355668241e-02       8.038865599431e+02 
       2.993877617879e-02       8.005844612088e+02 
       3.008428211455e-02       7.972805265762e+02 
       3.023008131821e-02       7.939746823427e+02 
       3.037618080774e-02       7.906673770198e+02 
       3.052258779682e-02       7.873572904717e+02 
       3.066930970147e-02       7.840476668362e+02 
       3.081635414687e-02       7.807383047405e+02 
       3.096372897456e-02       7.774236133068e+02 
       3.111144224983e-02       7.741114447873e+02 
       3.125950226953e-02       7.708004140331e+02 
       3.140791757017e-02       7.674905126014e+02 
       3.155669693636e-02       7.641782995308e+02 
       3.170584940966e-02       7.608678333776e+02 
       3.185538429778e-02       7.575575056692e+02 
       3.200531118425e-02       7.542499421506e+02 
       3.215563993846e-02       7.509431877205e+02 
       3.230638072620e-02       7.476377943848e+02 
       3.245754402068e-02       7.443337128138e+02 
       3.260914061403e-02       7.410319298849e+02 
       3.276118162942e-02       7.377310419166e+02 
       3.291367853362e-02       7.344356942612e+02 
       3.306664315032e-02       7.311406319677e+02 
       3.322008767393e-02       7.278474773691e+02 
       3.337402468420e-02       7.245597581405e+02 
       3.352846716144e-02       7.212752065001e+02 
       3.368342850259e-02       7.179897748686e+02 
       3.383892253799e-02       7.147107893152e+02 
       3.399496354914e-02       7.114350311121e+02 
       3.415156628722e-02       7.081620136339e+02 
       3.430874599266e-02       7.048924713440e+02 
       3.446651841573e-02       7.016306470944e+02 
       3.462489983816e-02       6.983697088424e+02 
       3.478390709596e-02       6.951138047914e+02 
       3.494355760347e-02       6.918608041287e+02 
       3.510386937867e-02       6.886134459924e+02 
       3.526486106997e-02       6.853690161692e+02 
       3.542655198438e-02       6.821318966370e+02 
       3.558896211737e-02       6.788982409539e+02 
       3.575211218438e-02       6.756671351595e+02 
       3.591602365412e-02       6.724436880175e+02 
       3.608071878385e-02       6.692224116894e+02 
       3.624622065672e-02       6.660085933188e+02 
       3.641255322133e-02       6.628000331108e+02 
       3.657974133371e-02       6.595940490481e+02 
       3.674781080174e-02       6.563959287976e+02 
       3.691678843252e-02       6.532015107940e+02 
       3.708670208247e-02       6.500090508963e+02 
       3.725758071075e-02       6.468251104556e+02 
       3.742945443605e-02       6.436479359549e+02 
       3.760235459706e-02       6.404729537094e+02 
       3.777631381688e-02       6.373051985367e+02 
       3.795136607180e-02       6.341406630232e+02 
       3.812754676461e-02       6.309809134355e+02 
       3.830489280294e-02       6.278270665296e+02 
       3.848344268310e-02       6.246795239710e+02 
       3.866323657963e-02       6.215344332245e+02 
       3.884431644140e-02       6.183976405089e+02 
       3.902672609446e-02       6.152645166746e+02 
       3.921051135253e-02       6.121346576032e+02 
       3.939572013557e-02       6.090091568602e+02 
       3.958240259735e-02       6.058894597303e+02 
       3.977061126268e-02       6.027741977996e+02 
       3.996040117524e-02       5.996648942606e+02 
       4.015183005710e-02       5.965563221675e+02 
       4.034495848086e-02       5.934542345828e+02 
       4.053985005579e-02       5.903564660536e+02 
       4.073657162917e-02       5.872626373013e+02 
       4.093519350459e-02       5.841714943346e+02 
       4.113578967862e-02       5.810856425298e+02 
       4.133843809796e-02       5.780028617994e+02 
       4.154322093909e-02       5.749216710019e+02 
       4.175022491289e-02       5.718439597046e+02 
       4.195954159683e-02       5.687669489613e+02 
       4.217126779774e-02       5.656954262685e+02 
       4.238550594873e-02       5.626247251738e+02 
       4.260236454389e-02       5.595559508849e+02 
       4.282195861535e-02       5.564882874433e+02 
       4.304441025756e-02       5.534229064481e+02 
       4.326984920439e-02       5.503562011196e+02 
       4.349841346569e-02       5.472914798949e+02 
       4.373025003045e-02       5.442253652829e+02 
       4.396551564516e-02       5.411587240308e+02 
       4.420437767706e-02       5.380923728841e+02 
       4.444701507340e-02       5.350241663619e+02 
       4.469361942959e-02       5.319543228368e+02 
       4.494439618135e-02       5.288815207675e+02 
       4.519956593800e-02       5.258043698105e+02 
       4.545936597719e-02       5.227229623750e+02 
       4.572405192478e-02       5.196389405816e+02 
       4.599389964723e-02       5.165469912091e+02 
       4.626920738928e-02       5.134510993332e+02 
       4.655029819509e-02       5.103468913504e+02 
       4.683752265814e-02       5.072364916022e+02 
       4.713126205384e-02       5.041138483650e+02 
       4.743193191882e-02       5.009854199747e+02 
       4.773998615383e-02       4.978416315744e+02 
       4.805592174215e-02       4.946861749713e+02 
       4.838028419476e-02       4.915167868415e+02 
       4.871367385660e-02       4.883326380880e+02 
       4.905675323735e-02       4.851309019554e+02 
       4.941025556620e-02       4.819099796071e+02 
       4.977499481519e-02       4.786683592021e+02 
       5.015187749221e-02       4.754034202482e+02 
       5.054191657596e-02       4.721122647580e+02 
       5.094624805550e-02       4.687922866021e+02 
       5.136615065107e-02       4.654412898621e+02 
       5.180306943849e-02       4.620551309541e+02 
       5.225864428458e-02       4.586290681581e+02 
       5.273474423734e-02       4.551589570234e+02 
       5.323350931534e-02       4.516393135496e+02 
       5.375740152168e-02       4.480644020639e+02 
       5.430926738696e-02       4.444228763444e+02 
       5.489241493690e-02       4.407100384882e+02 
       5.551070869125e-02       4.369136414811e+02 
       5.616868710997e-02       4.330201852244e+02 
       5.687170773049e-02       4.290107018560e+02 
       5.762612587817e-02       4.248682781996e+02 
       5.843951280896e-02       4.205625187376e+02 
