# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045629393498e-05      -2.784871269044e-04      -2.088859607835e-04      -2.088859638156e-04      -2.784865910458e-04      -2.088561829292e-04      -2.090073839038e-04       5.998437912121e-01       5.987606598006e-01      -1.283618841774e-11      -2.772585411892e-15      -1.324612811540e-11      -1.985302754240e-14      -3.104838518446e-14 
       2.372900639820e-05      -1.433603355312e-03      -1.075749177175e-03      -1.075749257580e-03      -1.433589148179e-03      -1.075592654979e-03      -1.076373470617e-03       5.998402947016e-01       5.987578115070e-01      -3.403408532631e-10      -7.351841091896e-14      -3.512090687372e-10      -5.265365036965e-13      -8.232241514471e-13 
       3.705038830857e-05      -3.492487241907e-03      -2.622613450582e-03      -2.622613928334e-03      -3.492402853461e-03      -2.622218075922e-03      -2.624130972519e-03       5.998340554206e-01       5.987527279059e-01      -2.021793605512e-09      -4.367882912530e-13      -2.086344547294e-09      -3.129479621711e-12      -4.890379756469e-12 
       5.045849811123e-05      -6.470730534429e-03      -4.864215617310e-03      -4.864217260079e-03      -6.470440500136e-03      -4.863445263462e-03      -4.867018195186e-03       5.998250167083e-01       5.987453622389e-01      -6.949756624237e-09      -1.501681873421e-12      -7.171587209776e-09      -1.076527270543e-11      -1.681039322755e-11 
       6.399205400520e-05      -1.039257996787e-02      -7.823304549154e-03      -7.823308796215e-03      -1.039183061319e-02      -7.821986909402e-03      -7.827786589612e-03       5.998130901582e-01       5.987356412099e-01      -1.795958803986e-08      -3.881521168645e-12      -1.853264379017e-08      -2.784674109883e-11      -4.344181314368e-11 
       7.769080041399e-05      -1.529120720567e-02      -1.153107400158e-02      -1.153108322198e-02      -1.528958165097e-02      -1.152898662452e-02      -1.153763331382e-02       5.997981547424e-01       5.987234646705e-01      -3.896897057429e-08      -8.424600762893e-12      -4.021186206044e-08      -6.049598407302e-11      -9.426158277635e-11 
       9.159588674793e-05      -2.120909451521e-02      -1.602777855121e-02      -1.602779635002e-02      -2.120595960098e-02      -1.602463230903e-02      -1.603681676479e-02       5.997800532691e-01       5.987087018515e-01      -7.517535866248e-08      -1.625759926096e-11      -7.757177133193e-08      -1.168760074952e-10      -1.818429179093e-10 
       1.057502637854e-04      -2.819853348459e-02      -2.136355010755e-02      -2.136358169799e-02      -2.819297579689e-02      -2.135896917332e-02      -2.137547253092e-02       5.997585925069e-01       5.986911925467e-01      -1.333225842681e-07      -2.884443233703e-11      -1.375699382478e-07      -2.076422177088e-10      -3.225006788628e-10 
       1.201991030382e-04      -3.632223176225e-02      -2.759943818836e-02      -2.759949085068e-02      -3.631297925552e-02      -2.759293537078e-02      -2.761465290400e-02       5.997335357409e-01       5.986707398795e-01      -2.220522336830e-07      -4.806410430432e-11      -2.291211462050e-07      -3.465434772827e-10      -5.371420098632e-10 
       1.349902445026e-04      -4.565401990823e-02      -3.480870454726e-02      -3.480878820141e-02      -4.563934497172e-02      -3.479965052609e-02      -3.482762047202e-02       5.997046005132e-01       5.986471087546e-01      -3.523605670154e-07      -7.631213467493e-11      -3.635683139720e-07      -5.512131590075e-10      -8.523726022370e-10 
       1.501746781875e-04      -5.627964454416e-02      -4.307840996631e-02      -4.307853789227e-02      -5.625724303005e-02      -4.306599455444e-02      -4.310143351407e-02       5.996714524418e-01       5.986200203986e-01      -5.381884132542e-07      -1.166316347039e-10      -5.552903527847e-07      -8.442048160266e-10      -1.301925028500e-09 
       1.658070647103e-04      -6.829762469714e-02      -5.251134003759e-02      -5.251152978550e-02      -6.826446451233e-02      -5.249452304521e-02      -5.253886989731e-02       5.996336978730e-01       5.985891458795e-01      -7.971798866562e-07      -1.728828542035e-10      -8.224837530690e-07      -1.254345420671e-09      -1.928496077996e-09 
       1.819462999697e-04      -8.182013673215e-02      -6.322832698730e-02      -6.322860153883e-02      -8.177226667488e-02      -6.320577551892e-02      -6.326074637222e-02       5.995908768395e-01       5.985541003446e-01      -1.151655792647e-06      -2.499637811211e-10      -1.188165625760e-06      -1.818504446290e-09      -2.786105219181e-09 
       1.986561283524e-04      -9.697386971803e-02      -7.537103546596e-02      -7.537142470587e-02      -9.690617950134e-02      -7.534104347891e-02      -7.540870095309e-02       5.995424520037e-01       5.985144324976e-01      -1.629863464315e-06      -3.540841351951e-10      -1.681459673691e-06      -2.583909483848e-09      -3.943120186436e-09 
       2.160058079578e-04      -1.139007739991e-01      -8.910529394406e-02      -8.910583656784e-02      -1.138066881378e-01      -8.906567860170e-02      -8.914851977586e-02       5.994877990279e-01       5.984696172668e-01      -2.267575351755e-06      -4.931451096035e-10      -2.339244086343e-06      -3.611184552202e-09      -5.486135409620e-09 
       2.340708297436e-04      -1.327585734475e-01      -1.046250664225e-01      -1.046258123720e-01      -1.326296651948e-01      -1.045730339410e-01      -1.046741026986e-01       5.994261921337e-01       5.984190419504e-01      -3.110140409230e-06      -6.771995322437e-10      -3.208261838993e-06      -4.978346357783e-09      -7.524942010378e-09 
       2.529336900652e-04      -1.537208664087e-01      -1.221571752972e-01      -1.221581888571e-01      -1.535463726082e-01      -1.220891465792e-01      -1.222121779793e-01       5.993567890595e-01       5.983619923428e-01      -4.215111888491e-06      -9.190263412513e-10      -4.347820624843e-06      -6.786075521578e-09      -1.019889094694e-08 
       2.726847124767e-04      -1.769765839331e-01      -1.419669010271e-01      -1.419682649345e-01      -1.767427783249e-01      -1.418782843459e-01      -1.420278911774e-01       5.992786137161e-01       5.982976384231e-01      -5.655591304039e-06      -1.234986720890e-09      -5.833241218617e-06      -9.164687906603e-09      -1.368502556225e-08 
       2.934229094968e-04      -2.027284166488e-01      -1.643645989898e-01      -1.643664195809e-01      -2.024178333936e-01      -1.642494922637e-01      -1.644314074217e-01       5.991905353560e-01       5.982250131851e-01      -7.524513070971e-06      -1.645927558270e-09      -7.760249692182e-06      -1.228337795333e-08      -1.820845121896e-08 
       3.152568678448e-04      -2.311897852930e-01      -1.897134852527e-01      -1.897158992422e-01      -2.307802263515e-01      -1.895642851296e-01      -1.897856781208e-01       5.990912458988e-01       5.981429923883e-01      -9.940059959117e-06      -2.178527016460e-09      -1.025054853383e-05      -1.636250222971e-08      -2.405550071001e-08 
       3.383056308993e-04      -2.625796920027e-01      -2.184387479783e-01      -2.184419312923e-01      -2.620429693706e-01      -2.182456349234e-01      -2.185155271513e-01       5.989792337270e-01       5.980502692703e-01      -1.305249614999e-05      -2.867018460270e-09      -1.345883972652e-05      -2.168993098873e-08      -3.159035606465e-08 
       3.626995392886e-04      -2.971145848161e-01      -2.510381363599e-01      -2.510423153596e-01      -2.964149713379e-01      -2.507883942880e-01      -2.511182064325e-01       5.988527559491e-01       5.979453259767e-01      -1.705274132308e-05      -3.755130330844e-09      -1.758160197862e-05      -2.864284377004e-08      -4.127585530847e-08 
       3.885809741591e-04      -3.349962340108e-01      -2.880941536018e-01      -2.880996196155e-01      -3.340885307144e-01      -2.877712692512e-01      -2.881755456700e-01       5.987098076750e-01       5.978264024083e-01      -2.218294210400e-05      -4.898738127991e-09      -2.286792690641e-05      -3.771679226309e-08      -5.369923142381e-08 
       4.161049276017e-04      -3.763943400384e-01      -3.302879311934e-01      -3.302950597341e-01      -3.752214484567e-01      -3.298704004502e-01      -3.303677712524e-01       5.985480910538e-01       5.976914633743e-01      -2.874928016545e-05      -6.369579381110e-09      -2.963267191428e-05      -4.956443844009e-08      -6.960344811221e-08 
       4.454393013340e-04      -4.214221768985e-01      -3.784147748531e-01      -3.784240492206e-01      -4.199122735007e-01      -3.778745175530e-01      -3.784889801185e-01       5.983649848903e-01       5.975381611171e-01      -3.713731610009e-05      -8.258493096714e-09      -3.827204748844e-05      -6.504710576550e-08      -8.992446259991e-08 
       4.767648093336e-04      -4.701041018638e-01      -4.334012264236e-01      -4.334132692137e-01      -4.681671300775e-01      -4.327014841557e-01      -4.334641136122e-01       5.981575167153e-01       5.973638009195e-01      -4.782937278812e-05      -1.068140463378e-08      -4.928146460180e-05      -8.530317815983e-08      -1.158341229101e-07 
       5.102743354399e-04      -5.223330447855e-01      -4.963232912099e-01      -4.963389031534e-01      -5.198567827186e-01      -4.954158393319e-01      -4.963670745035e-01       5.979223433662e-01       5.971653068435e-01      -6.142372838703e-05      -1.378421101677e-08      -6.327494250927e-05      -1.118384490947e-07      -1.487871901271e-07 
       5.461715776932e-04      -5.778176139810e-01      -5.684251906172e-01      -5.684453994156e-01      -5.746632913516e-01      -5.672466512203e-01      -5.684393493673e-01       5.976557421291e-01       5.969391943633e-01      -7.865378396138e-05      -1.774939520970e-08      -8.100451340185e-05      -1.466446794483e-07      -1.905689926044e-07 
       5.846688044146e-04      -6.360193479493e-01      -6.511376508213e-01      -6.511637715197e-01      -6.320170746113e-01      -6.496046348467e-01      -6.511081481545e-01       5.973536200284e-01       5.966815534287e-01      -1.004046069057e-04      -2.280279986593e-08      -1.033767670935e-04      -1.923538335165e-07      -2.433372657737e-07 
       6.259835620572e-04      -6.960833273104e-01      -7.460943219162e-01      -7.461280302320e-01      -6.910277867068e-01      -7.440970634887e-01      -7.460026625943e-01       5.970115482466e-01       5.963880485755e-01      -1.277223266193e-04      -2.922004748480e-08      -1.314618963447e-04      -2.524364731913e-07      -3.096475554481e-07 
       6.703342222355e-04      -7.567691303651e-01      -8.551444943627e-01      -8.551879124575e-01      -7.504164112583e-01      -8.525385684738e-01      -8.549666233645e-01       5.966248307908e-01       5.960539449140e-01      -1.618098512532e-04      -3.733048611758e-08      -1.664884192606e-04      -3.314533658779e-07      -3.924464690333e-07 
       7.179343443654e-04      -8.163951508034e-01      -9.803598984345e-01      -9.804156959833e-01      -8.084614714828e-01      -9.769555496588e-01      -9.800649701926e-01       5.961886106617e-01       5.956741652580e-01      -2.039996858031e-04      -4.752026460328e-08      -2.098145120087e-04      -4.353690030909e-07      -4.950117859121e-07 
