# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045629393498e-05       2.383919634575e+00 
       2.372900639820e-05       5.337705586600e+00 
       3.705038830857e-05       8.268825405534e+00 
       5.045849811123e-05       1.119710609790e+01 
       6.399205400520e-05       1.413606336623e+01 
       7.769080041399e-05       1.709711306480e+01 
       9.159588674793e-05       2.009083489750e+01 
       1.057502637854e-04       2.312753310130e+01 
       1.201991030382e-04       2.621755389469e+01 
       1.349902445026e-04       2.937150240249e+01 
       1.501746781875e-04       3.260041330400e+01 
       1.658070647103e-04       3.591590008862e+01 
       1.819462999697e-04       3.933029567472e+01 
       1.986561283524e-04       4.285679065524e+01 
       2.160058079578e-04       4.650957395692e+01 
       2.340708297436e-04       5.030397678275e+01 
       2.529336900652e-04       5.425662110842e+01 
       2.726847124767e-04       5.838557234582e+01 
       2.934229094968e-04       6.271049239976e+01 
       3.152568678448e-04       6.725279087934e+01 
       3.383056308993e-04       7.203576663471e+01 
       3.626995392886e-04       7.708473065992e+01 
       3.885809741591e-04       8.242709777302e+01 
       4.161049276017e-04       8.809243008127e+01 
       4.454393013340e-04       9.411240894101e+01 
       4.767648093336e-04       1.005207108686e+02 
       5.102743354399e-04       1.073527539647e+02 
       5.461715776932e-04       1.146452820757e+02 
       5.846688044146e-04       1.224357524564e+02 
       6.259835620572e-04       1.307614988525e+02 
       6.703342222355e-04       1.396586556233e+02 
       7.179343443654e-04       1.491608490296e+02 
       7.689859650139e-04       1.592976953940e+02 
       8.236720987643e-04       1.700931829383e+02 
       8.821489263841e-04       1.815640608573e+02 
       9.445383163731e-04       1.937183755296e+02 
       1.010921427124e-03       2.065543376676e+02 
       1.081334123662e-03       2.200596605889e+02 
       1.155764791463e-03       2.342114879057e+02 
       1.234154853213e-03       2.489769444423e+02 
       1.316401945199e-03       2.643142696884e+02 
       1.402365366598e-03       2.801744094787e+02 
       1.491873154658e-03       2.965028962896e+02 
       1.584730011839e-03       3.132418175592e+02 
       1.680725326149e-03       3.303317039153e+02 
       1.779640654398e-03       3.477131999493e+02 
       1.881256229852e-03       3.653284301451e+02 
       1.985356259445e-03       3.831220551137e+02 
       2.091732952843e-03       4.010419836556e+02 
       2.200189356041e-03       4.190396791230e+02 
       2.310541142019e-03       4.370703503593e+02 
       2.422617547090e-03       4.550940964512e+02 
       2.536261645635e-03       4.730744799553e+02 
       2.651330139891e-03       4.909788918397e+02 
       2.767692815208e-03       5.087783159715e+02 
       2.885231781840e-03       5.264472443871e+02 
       3.003840596269e-03       5.439632221215e+02 
       3.123423330440e-03       5.613067560500e+02 
       3.243893637094e-03       5.784609534168e+02 
       3.365173843516e-03       5.954112701924e+02 
