# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045629393498e-05       2.383831065306e+00 
       2.372900639820e-05       5.337507709484e+00 
       3.705038830857e-05       8.268520065292e+00 
       5.045849811123e-05       1.119669497688e+01 
       6.399205400520e-05       1.413554825425e+01 
       7.769080041399e-05       1.709649599096e+01 
       9.159588674793e-05       2.009011823500e+01 
       1.057502637854e-04       2.312671967425e+01 
       1.201991030382e-04       2.621664709940e+01 
       1.349902445026e-04       2.937050635182e+01 
       1.501746781875e-04       3.259933300242e+01 
       1.658070647103e-04       3.591474164736e+01 
       1.819462999697e-04       3.932906657693e+01 
       1.986561283524e-04       4.285550008325e+01 
       2.160058079578e-04       4.650823320024e+01 
       2.340708297436e-04       5.030259974341e+01 
       2.529336900652e-04       5.425522492930e+01 
       2.726847124767e-04       5.838417819959e+01 
       2.934229094968e-04       6.270912646870e+01 
       3.152568678448e-04       6.725148558539e+01 
       3.383056308993e-04       7.203456218033e+01 
       3.626995392886e-04       7.708367695329e+01 
       3.885809741591e-04       8.242625684044e+01 
       4.161049276017e-04       8.809187908846e+01 
       4.454393013340e-04       9.411224395092e+01 
       4.767648093336e-04       1.005210515264e+02 
       5.102743354399e-04       1.073537492849e+02 
       5.461715776932e-04       1.146471175593e+02 
       5.846688044146e-04       1.224386587676e+02 
       6.259835620572e-04       1.307657622829e+02 
       6.703342222355e-04       1.396646305458e+02 
       7.179343443654e-04       1.491689724884e+02 
       7.689859650139e-04       1.593085038587e+02 
       8.236720987643e-04       1.701073311190e+02 
       8.821489263841e-04       1.815823422675e+02 
       9.445383163731e-04       1.937417442454e+02 
       1.010921427124e-03       2.065839305205e+02 
       1.081334123662e-03       2.200968188098e+02 
       1.155764791463e-03       2.342577771161e+02 
       1.234154853213e-03       2.490341718505e+02 
       1.316401945199e-03       2.643844974468e+02 
       1.402365366598e-03       2.802599633469e+02 
       1.491873154658e-03       2.966063690432e+02 
       1.584730011839e-03       3.133660668807e+02 
       1.680725326149e-03       3.304798448332e+02 
       1.779640654398e-03       3.478885921540e+02 
       1.881256229852e-03       3.655346607206e+02 
       1.985356259445e-03       3.833629173960e+02 
       2.091732952843e-03       4.013214529036e+02 
       2.200189356041e-03       4.193618854485e+02 
       2.310541142019e-03       4.374395498564e+02 
       2.422617547090e-03       4.555146442091e+02 
       2.536261645635e-03       4.735507993436e+02 
       2.651330139891e-03       4.915154452438e+02 
       2.767692815208e-03       5.093795763037e+02 
       2.885231781840e-03       5.271176678417e+02 
       3.003840596269e-03       5.447072221475e+02 
       3.123423330440e-03       5.621286793770e+02 
       3.243893637094e-03       5.793650578398e+02 
