# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4.5
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045629393498e-05      -3.037232669589e-04      -2.278169849276e-04      -2.278169887829e-04      -3.037225604038e-04      -2.277800897146e-04      -2.279382894167e-04       5.994377673593e-01       5.984449234690e-01      -1.462343863902e-11      -2.977320760568e-15      -1.510951835913e-11      -1.919340276430e-14      -3.243762286305e-14 
       2.372900639820e-05      -1.563456032998e-03      -1.173242595750e-03      -1.173242697982e-03      -1.563437300485e-03      -1.173049318178e-03      -1.173866195972e-03       5.994342097284e-01       5.984420146243e-01      -3.877176520063e-10      -7.894624748729e-14      -4.006040055593e-10      -5.090421798392e-13      -8.600352008073e-13 
       3.705038830857e-05      -3.808574451323e-03      -2.860296121078e-03      -2.860296728512e-03      -3.808463185573e-03      -2.859810697629e-03      -2.861811595483e-03       5.994278607829e-01       5.984368223441e-01      -2.303122288852e-09      -4.690269874229e-13      -2.379655008009e-09      -3.025502334949e-12      -5.108807201495e-12 
       5.045849811123e-05      -7.055679529964e-03      -5.305049081884e-03      -5.305051170493e-03      -7.055297135510e-03      -5.304110526301e-03      -5.307846903106e-03       5.994186648689e-01       5.984293007382e-01      -7.916239038169e-09      -1.612467040413e-12      -8.179221241741e-09      -1.040759812923e-11      -1.755998202554e-11 
       6.399205400520e-05      -1.133061123336e-02      -8.532310688576e-03      -8.532316088018e-03      -1.132962329871e-02      -8.530720004158e-03      -8.536783047800e-03       5.994065308263e-01       5.984193736048e-01      -2.045525569684e-08      -4.167707461704e-12      -2.113453694964e-08      -2.692154665670e-11      -4.537468015959e-11 
       7.769080041399e-05      -1.666871407760e-02      -1.257609986484e-02      -1.257611158636e-02      -1.666657110993e-02      -1.257360538242e-02      -1.258264116918e-02       5.993913359941e-01       5.984069389023e-01      -4.437888766663e-08      -9.045284582319e-12      -4.585194671418e-08      -5.848605990038e-11      -9.844406618377e-11 
       9.159588674793e-05      -2.311521706386e-02      -1.748031690964e-02      -1.748033953490e-02      -2.311108461912e-02      -1.747659695743e-02      -1.748932381687e-02       5.993729211383e-01       5.983918635647e-01      -8.559946418097e-08      -1.745431192993e-11      -8.843914344403e-08      -1.129929674323e-10      -1.898845275376e-10 
       1.057502637854e-04      -3.072572284268e-02      -2.329963387316e-02      -2.329967402644e-02      -3.071839734410e-02      -2.329427581850e-02      -2.331150469053e-02       5.993510904381e-01       5.983739843753e-01      -1.517839216576e-07      -3.096543615486e-11      -1.568158209596e-07      -2.007437236446e-10      -3.367058836127e-10 
       1.201991030382e-04      -3.956679761062e-02      -3.010062893096e-02      -3.010069586113e-02      -3.955460329229e-02      -3.009310339868e-02      -3.011576215017e-02       5.993256038458e-01       5.983531006129e-01      -2.527500848090e-07      -5.159403574833e-11      -2.611226002497e-07      -3.350305127496e-10      -5.606912116585e-10 
       1.349902445026e-04      -4.971664914868e-02      -3.796319811223e-02      -3.796330441854e-02      -4.969731065913e-02      -3.795282686761e-02      -3.798198977981e-02       5.992961750273e-01       5.983289726556e-01      -4.009813563761e-07      -8.190869205951e-11      -4.142520727492e-07      -5.329010501192e-10      -8.895397103548e-10 
       1.501746781875e-04      -6.126587272480e-02      -4.698228560551e-02      -4.698244814995e-02      -6.123635627792e-02      -4.696820115823e-02      -4.700512512946e-02       5.992624651870e-01       5.983013164746e-01      -6.122902632899e-07      -1.251711574473e-10      -6.325332750201e-07      -8.161598831817e-10      -1.358340199574e-09 
       1.658070647103e-04      -7.431823301378e-02      -5.726998368501e-02      -5.727022474454e-02      -7.427454766246e-02      -5.725107810009e-02      -5.729724754511e-02       5.992240756155e-01       5.982697970381e-01      -9.066704532232e-07      -1.855174714432e-10      -9.366103241592e-07      -1.212676737158e-09      -2.011463436720e-09 
       1.819462999697e-04      -8.899143587449e-02      -6.895806443897e-02      -6.895841317430e-02      -8.892838283893e-02      -6.893292407045e-02      -6.899010710025e-02       5.991805404887e-01       5.982340222522e-01      -1.309387823933e-06      -2.681927518387e-10      -1.352567851801e-06      -1.758096907553e-09      -2.904986658220e-09 
       1.986561283524e-04      -1.054178154608e-01      -8.220101741085e-02      -8.220151172663e-02      -1.053286737512e-01      -8.216783923378e-02      -8.223815848530e-02       5.991313160766e-01       5.981935327591e-01      -1.852378307542e-06      -3.798446901441e-10      -1.913370744478e-06      -2.498080084004e-09      -4.109797329773e-09 
