# Matter power spectrum P(k) at redshift z=4
# for k=1.04563e-05 to 1006.13 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045629393498e-05       2.881552134580e+00 
       2.372900639820e-05       6.451926683853e+00 
       3.705038830857e-05       9.994901489058e+00 
       5.045849811123e-05       1.353444119308e+01 
       6.399205400520e-05       1.708688148636e+01 
       7.769080041399e-05       2.066601986606e+01 
       9.159588674793e-05       2.428464296130e+01 
       1.057502637854e-04       2.795520422911e+01 
       1.201991030382e-04       3.169020766295e+01 
       1.349902445026e-04       3.550246990459e+01 
       1.501746781875e-04       3.940532646536e+01 
       1.658070647103e-04       4.341281203595e+01 
       1.819462999697e-04       4.753983039195e+01 
       1.986561283524e-04       5.180232137228e+01 
       2.160058079578e-04       5.621743074542e+01 
       2.340708297436e-04       6.080368408737e+01 
       2.529336900652e-04       6.558116607328e+01 
       2.726847124767e-04       7.057170470167e+01 
       2.934229094968e-04       7.579905618636e+01 
       3.152568678448e-04       8.128908727807e+01 
       3.383056308993e-04       8.706994607543e+01 
       3.626995392886e-04       9.317221013589e+01 
       3.885809741591e-04       9.962899699083e+01 
       4.161049276017e-04       1.064760160768e+02 
       4.454393013340e-04       1.137515346859e+02 
       4.767648093336e-04       1.214962274766e+02 
       5.102743354399e-04       1.297528701083e+02 
       5.461715776932e-04       1.385658368979e+02 
       5.846688044146e-04       1.479803616103e+02 
       6.259835620572e-04       1.580415277158e+02 
       6.703342222355e-04       1.687929712549e+02 
       7.179343443654e-04       1.802753036660e+02 
       7.689859650139e-04       1.925243036227e+02 
       8.236720987643e-04       2.055689702144e+02 
       8.821489263841e-04       2.194295872805e+02 
       9.445383163731e-04       2.341159671421e+02 
       1.010921427124e-03       2.496260950277e+02 
       1.081334123662e-03       2.659453414894e+02 
       1.155764791463e-03       2.830463828360e+02 
       1.234154853213e-03       3.008898695443e+02 
       1.316401945199e-03       3.194257891300e+02 
       1.402365366598e-03       3.385953740301e+02 
       1.491873154658e-03       3.583333490079e+02 
       1.584730011839e-03       3.785702791666e+02 
       1.680725326149e-03       3.992348187727e+02 
       1.779640654398e-03       4.202557003604e+02 
       1.881256229852e-03       4.415633637086e+02 
       1.985356259445e-03       4.630912215782e+02 
       2.091732952843e-03       4.847765217565e+02 
       2.200189356041e-03       5.065607301721e+02 
       2.310541142019e-03       5.283897812773e+02 
       2.422617547090e-03       5.502154871308e+02 
       2.536261645635e-03       5.719938303929e+02 
       2.651330139891e-03       5.936854184513e+02 
       2.767692815208e-03       6.152552090197e+02 
       2.885231781840e-03       6.366723931760e+02 
       3.003840596269e-03       6.579098459415e+02 
       3.123423330440e-03       6.789439966399e+02 
       3.243893637094e-03       6.997543820447e+02 
       3.365173843516e-03       7.203233342253e+02 
       3.487194093980e-03       7.406356856195e+02 
       3.609891552436e-03       7.606784636923e+02 
       3.733209670762e-03       7.804407790634e+02 
       3.857097523654e-03       7.999133422670e+02 
       3.981509208481e-03       8.190884583072e+02 
       4.106403306687e-03       8.379599558601e+02 
       4.231742402400e-03       8.565226620073e+02 
       4.357492653424e-03       8.747728761559e+02 
       4.483623409728e-03       8.927075135494e+02 
       4.610106874634e-03       9.103247617834e+02 
       4.736917804193e-03       9.276232238299e+02 
       4.864033240544e-03       9.446024154309e+02 
       4.991432275435e-03       9.612624863744e+02 
       5.119095840429e-03       9.776037993444e+02 
       5.247006520708e-03       9.936276154410e+02 
       5.375148389705e-03       1.009335072691e+03 
       5.503506862102e-03       1.024727986060e+03 
       5.632068563057e-03       1.039808654433e+03 
       5.760821211709e-03       1.054579170857e+03 
       5.889753517327e-03       1.069042120864e+03 
       6.018855086584e-03       1.083200261210e+03 
       6.148116340685e-03       1.097056380313e+03 
       6.277528441206e-03       1.110613706038e+03 
       6.407083223629e-03       1.123875616551e+03 
       6.536773137714e-03       1.136844892465e+03 
       6.666591193923e-03       1.149525173079e+03 
       6.796530915227e-03       1.161919710048e+03 
       6.926586293688e-03       1.174031945255e+03 
       7.056751751303e-03       1.185865733656e+03 
