# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367745838753e-10       4.938855319755e-15       3.763818492847e-13       0.000000000000e+00       8.039889636862e-09       4.494914151766e-10      -1.995984998593e-12 
    3       1.295548385677e-10       7.148029486286e-15       4.448230575339e-13       0.000000000000e+00       4.961132574656e-09       3.183916109169e-10      -1.621674541933e-12 
    4       1.225547023318e-10       7.037299292535e-15       4.344099482109e-13       0.000000000000e+00       3.443312362182e-09       2.408090251166e-10      -1.166572203606e-12 
    5       1.172261862191e-10       5.384212398094e-15       3.849490897687e-13       0.000000000000e+00       2.562755843176e-09       1.899638951028e-10      -7.490311194885e-13 
    6       1.134905182565e-10       3.396987539042e-15       3.211368237134e-13       0.000000000000e+00       1.995845391118e-09       1.542557836541e-10      -4.079194860840e-13 
    7       1.110117938557e-10       1.896840838096e-15       2.585285350228e-13       0.000000000000e+00       1.606202705481e-09       1.280034661082e-10      -1.566903401896e-13 
    8       1.095493575284e-10       1.089774040066e-15       2.052512815424e-13       0.000000000000e+00       1.324758725908e-09       1.081119670176e-10       6.393686271297e-15 
    9       1.088481590757e-10       7.786187769619e-16       1.648843813088e-13       0.000000000000e+00       1.113384855123e-09       9.268451558733e-11       9.265968993579e-14 
   10       1.086809750748e-10       6.762596021293e-16       1.380432015515e-13       0.000000000000e+00       9.499231078346e-10       8.044556338864e-11       1.192300475726e-13 
   11       1.089643689091e-10       6.022717510290e-16       1.233009684985e-13       0.000000000000e+00       8.015079774067e-10       7.100988621301e-11       1.056413873389e-13 
   12       1.096023936533e-10       5.139476807829e-16       1.180838241538e-13       0.000000000000e+00       6.991577762444e-10       6.257208723758e-11       7.029870823361e-14 
   13       1.104487406676e-10       4.397880595044e-16       1.195927752736e-13       0.000000000000e+00       6.152195712832e-10       5.577908698679e-11       2.909011277806e-14 
   14       1.115598320150e-10       4.072308182322e-16       1.252601778948e-13       0.000000000000e+00       5.454641646249e-10       5.000537378699e-11      -7.366952352103e-15 
   15       1.128164651949e-10       4.143610319269e-16       1.328844071764e-13       0.000000000000e+00       4.868115929382e-10       4.503223682729e-11      -3.277832978283e-14 
   16       1.142100679382e-10       4.417708308999e-16       1.409933045123e-13       0.000000000000e+00       4.369963788701e-10       4.079860595228e-11      -4.505076528336e-14 
   17       1.157223410144e-10       4.748573580279e-16       1.488362490417e-13       0.000000000000e+00       3.943099036837e-10       3.715046742448e-11      -4.558020480355e-14 
   18       1.173321174229e-10       5.143293791536e-16       1.561332607917e-13       0.000000000000e+00       3.573015857965e-10       3.394798303652e-11      -3.794189805779e-14 
   19       1.190523948578e-10       5.691529592845e-16       1.630481066490e-13       0.000000000000e+00       3.253717848577e-10       3.114041601826e-11      -2.588873167342e-14 
   20       1.208489357360e-10       6.496004631910e-16       1.699124847261e-13       0.000000000000e+00       2.972807317590e-10       2.863343625835e-11      -1.387325902301e-14 
   21       1.227136289814e-10       7.568598675814e-16       1.770434071670e-13       0.000000000000e+00       2.725796937623e-10       2.640873167821e-11      -4.441083022840e-15 
   22       1.246192533660e-10       8.880641622163e-16       1.847267875454e-13       0.000000000000e+00       2.506702460685e-10       2.443564391788e-11       6.254665428924e-16 
   23       1.265809310447e-10       1.040675251111e-15       1.929744111770e-13       0.000000000000e+00       2.312458724935e-10       2.268305049903e-11       1.295076325514e-15 
   24       1.286045179212e-10       1.212129053781e-15       2.016322785456e-13       0.000000000000e+00       2.138523770162e-10       2.109941233275e-11      -1.531622385397e-15 
   25       1.306822423288e-10       1.403228249001e-15       2.103799366941e-13       0.000000000000e+00       1.982811726256e-10       1.967255735630e-11      -6.408598815443e-15 
   26       1.327901021222e-10       1.615368703204e-15       2.187928009023e-13       0.000000000000e+00       1.842464547168e-10       1.838803900015e-11      -1.152345605332e-14 
   27       1.349382560909e-10       1.847511006201e-15       2.265308245830e-13       0.000000000000e+00       1.715769935414e-10       1.723063676903e-11      -1.565081794414e-14 
   28       1.371365722013e-10       2.098057045706e-15       2.332749319544e-13       0.000000000000e+00       1.600515589828e-10       1.617672790538e-11      -1.781279860634e-14 
   29       1.393893461150e-10       2.368101300707e-15       2.388596415345e-13       0.000000000000e+00       1.496093458565e-10       1.521845985800e-11      -1.795162867975e-14 
   30       1.416853335292e-10       2.659811501125e-15       2.431652810521e-13       0.000000000000e+00       1.401361873114e-10       1.434288270026e-11      -1.639811940565e-14 
   31       1.440033498982e-10       2.975558359294e-15       2.461074572924e-13       0.000000000000e+00       1.314363908579e-10       1.352995794849e-11      -1.365460011078e-14 
   32       1.463492760444e-10       3.317182914616e-15       2.477569626836e-13       0.000000000000e+00       1.234636981207e-10       1.277773707176e-11      -1.039032020428e-14 
   33       1.487304330335e-10       3.686478704730e-15       2.482708661931e-13       0.000000000000e+00       1.161605604884e-10       1.208518811116e-11      -7.470643739460e-15 
   34       1.511469029631e-10       4.085112197916e-15       2.478185989206e-13       0.000000000000e+00       1.094233452676e-10       1.144689982632e-11      -5.740021549925e-15 
   35       1.535987906997e-10       4.513658266821e-15       2.464175150934e-13       0.000000000000e+00       1.032165301581e-10       1.085959913786e-11      -5.210637284992e-15 
   36       1.560797476289e-10       4.972207575543e-15       2.440412511171e-13       0.000000000000e+00       9.748921154336e-11       1.031703479837e-11      -5.586507875333e-15 
