# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367750127440e-10       4.939046768137e-15       3.763818456243e-13       1.914483135960e-19       8.039889636862e-09       4.494914151766e-10      -1.995984998593e-12 
    3       1.295556941925e-10       7.148412478703e-15       4.448230412249e-13       3.829917427634e-19       4.961132574656e-09       3.183916109169e-10      -1.621674541933e-12 
    4       1.225561237365e-10       7.037937824837e-15       4.344099013633e-13       6.385289845674e-19       3.443312362182e-09       2.408090251166e-10      -1.166572203606e-12 
    5       1.172283097705e-10       5.385170590948e-15       3.849489830857e-13       9.581814737261e-19       2.562755843176e-09       1.899638951028e-10      -7.490311194885e-13 
    6       1.134934771327e-10       3.398329666639e-15       3.211366140345e-13       1.342096493201e-18       1.995845391118e-09       1.542557836541e-10      -4.079194860840e-13 
    7       1.110157175957e-10       1.898631355009e-15       2.585281631053e-13       1.790444361374e-18       1.606202705481e-09       1.280034661082e-10      -1.566903401896e-13 
    8       1.095543716732e-10       1.092077605760e-15       2.052506701122e-13       2.303415242418e-18       1.324758725908e-09       1.081119670176e-10       6.393686271297e-15 
    9       1.088543849066e-10       7.815002773569e-16       1.648834334007e-13       2.881215670867e-18       1.113384855123e-09       9.268451558733e-11       9.265968993579e-14 
   10       1.086885294521e-10       6.797841676279e-16       1.380417991510e-13       3.524064888478e-18       9.499231078346e-10       8.044556338864e-11       1.192300475726e-13 
   11       1.089733642115e-10       6.065047703582e-16       1.232989714856e-13       4.232191095380e-18       8.015079774067e-10       7.100988621301e-11       1.056413873389e-13 
   12       1.096129378126e-10       5.189548100328e-16       1.180810695424e-13       5.005827718055e-18       6.991577762444e-10       6.257208723758e-11       7.029870823361e-14 
   13       1.104609372936e-10       4.456352257690e-16       1.195890767316e-13       5.845209794028e-18       6.152195712832e-10       5.577908698679e-11       2.909011277806e-14 
   14       1.115737805989e-10       4.139842173334e-16       1.252553255220e-13       6.750570567173e-18       5.454641646249e-10       5.000537378699e-11      -7.366952352103e-15 
   15       1.128322613796e-10       4.220871198081e-16       1.328781675146e-13       7.722138378736e-18       4.868115929382e-10       4.503223682729e-11      -3.277832978283e-14 
   16       1.142278038415e-10       4.505363084162e-16       1.409854207554e-13       8.760133927638e-18       4.369963788701e-10       4.079860595228e-11      -4.505076528336e-14 
   17       1.157421055879e-10       4.847291490323e-16       1.488264414147e-13       9.864767959945e-18       3.943099036837e-10       3.715046742448e-11      -4.558020480355e-14 
   18       1.173539968392e-10       5.253746021448e-16       1.561212270802e-13       1.103623924858e-17       3.573015857965e-10       3.394798303652e-11      -3.794189805779e-14 
   19       1.190764728631e-10       5.814388919059e-16       1.630335227609e-13       1.227473417438e-17       3.253717848577e-10       3.114041601826e-11      -2.588873167342e-14 
   20       1.208752940722e-10       6.631945026030e-16       1.698950054949e-13       1.358042385822e-17       2.972807317590e-10       2.863343625835e-11      -1.387325902301e-14 
   21       1.227423476682e-10       7.718294844136e-16       1.770226670000e-13       1.495346673033e-17       2.725796937623e-10       2.640873167821e-11      -4.441083022840e-15 
   22       1.246504110630e-10       9.044768505445e-16       1.847024013388e-13       1.639400539653e-17       2.506702460685e-10       2.443564391788e-11       6.254665428924e-16 
   23       1.266146052328e-10       1.058598476721e-15       1.929459750472e-13       1.790217089417e-17       2.312458724935e-10       2.268305049903e-11       1.295076325514e-15 
   24       1.286407851646e-10       1.231630198176e-15       2.015993708338e-13       1.947807950559e-17       2.138523770162e-10       2.109941233275e-11      -1.531622385397e-15 
   25       1.307211783115e-10       1.424374558096e-15       2.103421187923e-13       2.112183907363e-17       1.982811726256e-10       1.967255735630e-11      -6.408598815443e-15 
