# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045870268866e-05       1.706357781966e+00 
       2.373187310368e-05       3.820202646005e+00 
       3.705372380217e-05       5.917834469530e+00 
       5.046231721908e-05       8.013443853969e+00 
       6.399637571182e-05       1.011670588298e+01 
       7.769564809544e-05       1.223579329678e+01 
       9.160128847324e-05       1.437828095676e+01 
       1.057562526912e-04       1.655154696786e+01 
       1.202057177832e-04       1.876300012632e+01 
       1.349975298089e-04       2.102023516667e+01 
       1.501826854778e-04       2.333115514683e+01 
       1.658158528514e-04       2.570407835755e+01 
       1.819559361320e-04       2.814783919779e+01 
       1.986666889987e-04       3.067188745974e+01 
       2.160173799711e-04       3.328638931858e+01 
       2.340835117070e-04       3.600233048875e+01 
       2.529475937013e-04       3.883162360200e+01 
       2.726999642530e-04       4.178721719346e+01 
       2.934396523958e-04       4.488320696486e+01 
       3.152752632892e-04       4.813494393866e+01 
       3.383258608066e-04       5.155913755258e+01 
       3.627218082115e-04       5.517394429019e+01 
       3.886055114391e-04       5.899903561115e+01 
       4.161319894287e-04       6.305562989042e+01 
       4.454691725620e-04       6.736647491294e+01 
       4.767978048485e-04       7.195576158164e+01 
       5.103108008224e-04       7.684894425045e+01 
       5.462118888683e-04       8.207244624559e+01 
       5.847133659379e-04       8.765322384216e+01 
       6.260328036873e-04       9.361816928624e+01 
       6.703885934819e-04       9.999334192198e+01 
       7.179943068205e-04       1.068030313863e+02 
       7.690519824771e-04       1.140686795667e+02 
       8.237446254462e-04       1.218077208933e+02 
       8.822283938101e-04       1.300324141820e+02 
       9.446251199277e-04       1.387487924269e+02 
       1.011015913410e-03       1.479558312654e+02 
       1.081436579913e-03       1.576449640723e+02 
       1.155875438088e-03       1.678000106474e+02 
       1.234273840199e-03       1.783975657402e+02 
       1.316529352574e-03       1.894077985675e+02 
       1.402501208648e-03       2.007955952922e+02 
       1.492017387150e-03       2.125219193410e+02 
       1.584882541238e-03       2.245452309626e+02 
       1.680886019781e-03       2.368228672556e+02 
       1.779809350608e-03       2.493122645015e+02 
       1.881432747435e-03       2.619719530410e+02 
       1.985540405887e-03       2.747623282265e+02 
       2.091924531146e-03       2.876461649219e+02 
       2.200388170099e-03       3.005889510298e+02 
       2.310747000640e-03       3.135587864494e+02 
       2.422830266832e-03       3.265269115727e+02 
       2.536481052668e-03       3.394675867840e+02 
       2.651556071079e-03       3.523575603718e+02 
       2.767925118590e-03       3.651761190488e+02 
       2.885470316688e-03       3.779049609398e+02 
       3.004085232829e-03       3.905279393133e+02 
       3.123673949470e-03       4.030309724196e+02 
       3.244150129282e-03       4.154018071947e+02 
       3.365436108819e-03       4.276298557258e+02 
       3.487462040940e-03       4.397060356368e+02 
       3.610165097499e-03       4.516225963453e+02 
       3.733488737610e-03       4.633730514803e+02 
       3.857382042578e-03       4.749518823473e+02 
       3.981799115783e-03       4.863545231099e+02 
       4.106698544138e-03       4.975773078210e+02 
       4.232042916729e-03       5.086171456181e+02 
       4.357798395862e-03       5.194718012024e+02 
       4.483934335582e-03       5.301393842369e+02 
       4.610422942912e-03       5.406187462390e+02 
       4.737238977254e-03       5.509089796018e+02 
       4.864359483792e-03       5.610097183321e+02 
       4.991763557034e-03       5.709209943408e+02 
       5.119432131054e-03       5.806429613266e+02 
       5.247347793315e-03       5.901763317642e+02 
       5.375494619326e-03       5.995217544148e+02 
       5.503858025663e-03       6.086802842174e+02 
       5.632424639206e-03       6.176532693058e+02 
       5.761182180674e-03       6.264419302506e+02 
       5.890119360774e-03       6.350477831626e+02 
       6.019225787498e-03       6.434724319195e+02 
       6.148491883262e-03       6.517175103658e+02 
       6.277908810746e-03       6.597849043003e+02 
       6.407468406454e-03       6.676765955646e+02 
       6.537163121081e-03       6.753942118555e+02 
       6.666985965954e-03       6.829399191869e+02 
       6.796930464837e-03       6.903156117137e+02 
       6.926990610529e-03       6.975233829097e+02 
       7.057160825703e-03       7.045654950423e+02 
       7.187435927554e-03       7.114439237119e+02 
       7.317811095817e-03       7.181606889537e+02 
       7.448281843819e-03       7.247179521984e+02 
       7.578843992230e-03       7.311179160450e+02 
       7.709493645242e-03       7.373623452329e+02 
       7.840227168919e-03       7.434538438440e+02 
       7.971041171497e-03       7.493942527310e+02 
       8.101932485448e-03       7.551853487278e+02 
       8.232898151108e-03       7.608296426473e+02 
       8.363935401752e-03       7.663291013194e+02 
       8.495041649929e-03       7.716852464521e+02 
       8.626214474983e-03       7.769005439010e+02 
       8.757451611607e-03       7.819769734395e+02 
       8.888750939360e-03       7.869164203387e+02 
       9.020110473045e-03       7.917206905375e+02 
       9.151528353863e-03       7.963919857005e+02 
       9.283002841297e-03       8.009319364909e+02 
       9.414532305625e-03       8.053426040841e+02 
       9.546115221039e-03       8.096256435832e+02 
       9.677750159296e-03       8.137829860165e+02 
       9.809435783860e-03       8.178165111958e+02 
