# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.5
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045870268866e-05      -2.570585279911e-04      -1.928114529935e-04      -1.928114553556e-04      -2.570581187845e-04      -1.927858623667e-04      -1.929328291225e-04       6.001567762983e-01       5.989840641947e-01      -1.139013378207e-11      -2.529684854556e-15      -1.173330207649e-11      -1.890870633260e-14      -2.978937090518e-14 
       2.373187310368e-05      -1.323044997361e-03      -9.927491075967e-04      -9.927491702077e-04      -1.323034152924e-03      -9.926144845363e-04      -9.933730950986e-04       6.001533432306e-01       5.989812782537e-01      -3.018746824318e-10      -6.704946860033e-14      -3.109689531643e-10      -5.012718603644e-13      -7.895147246673e-13 
       3.705372380217e-05      -3.223134562090e-03      -2.420115621575e-03      -2.420115993560e-03      -3.223070154713e-03      -2.419774989934e-03      -2.421632621626e-03       6.001472150045e-01       5.989763032801e-01      -1.793140553914e-09      -3.983056153802e-13      -1.847150339251e-09      -2.978954236947e-12      -4.689745083560e-12 
       5.046231721908e-05      -5.972007332519e-03      -4.488511249856e-03      -4.488512528920e-03      -5.971785978553e-03      -4.487846034226e-03      -4.491313631909e-03       6.001383375136e-01       5.989690958320e-01      -6.163800542161e-09      -1.369335250334e-12      -6.349407934149e-09      -1.024689628264e-11      -1.612076713991e-11 
       6.399637571182e-05      -9.592474718942e-03      -7.218929782403e-03      -7.218933089250e-03      -9.591902811925e-03      -7.217788875756e-03      -7.223413241513e-03       6.001266238458e-01       5.989595839783e-01      -1.592927402026e-08      -3.539447858979e-12      -1.640878135714e-08      -2.650502259102e-11      -4.166161012181e-11 
       7.769564809544e-05      -1.411574954146e-02      -1.064015804414e-02      -1.064016522361e-02      -1.411450889829e-02      -1.063834524952e-02      -1.064672270771e-02       6.001119537720e-01       5.989476684727e-01      -3.456632950408e-08      -7.682343221050e-12      -3.560641674057e-08      -5.758007668634e-11      -9.040596399261e-11 
       9.160128847324e-05      -1.958183171433e-02      -1.478934446164e-02      -1.478935832149e-02      -1.957943904595e-02      -1.478660361942e-02      -1.479839564168e-02       6.000941740740e-01       5.989332227160e-01      -6.668940725931e-08      -1.482566894545e-11      -6.869502526186e-08      -1.112413149242e-10      -1.744235475135e-10 
       1.057562526912e-04      -2.604000840822e-02      -1.971275258883e-02      -1.971277719049e-02      -2.603576637803e-02      -1.970874955694e-02      -1.972470104393e-02       6.000730929478e-01       5.989160885078e-01      -1.182888207631e-07      -2.630549540113e-11      -1.218440875762e-07      -1.976302915785e-10      -3.093836657108e-10 
       1.202057177832e-04      -3.354946649880e-02      -2.546672138910e-02      -2.546676240542e-02      -3.354240387810e-02      -2.546102183574e-02      -2.548198291224e-02       6.000484780120e-01       5.988960734600e-01      -1.970451047673e-07      -4.383655966152e-11      -2.029632514026e-07      -3.298330602034e-10      -5.153777224579e-10 
       1.349975298089e-04      -4.218001284180e-02      -3.211886009578e-02      -3.211892525786e-02      -4.216881042523e-02      -3.211090179231e-02      -3.213785418396e-02       6.000200506776e-01       5.988729467107e-01      -3.127381223052e-07      -6.960513336218e-11      -3.221232568347e-07      -5.246332210214e-10      -8.179900671359e-10 
       1.501826854778e-04      -5.201289392196e-02      -3.974951286138e-02      -3.974961252410e-02      -5.199579173570e-02      -3.973857078733e-02      -3.977266014017e-02       5.999874811952e-01       5.988464351750e-01      -4.777755459051e-07      -1.063919676660e-10      -4.920999368758e-07      -8.034978899902e-10      -1.249682224638e-09 
       1.658158528514e-04      -6.314169746168e-02      -4.845353634210e-02      -4.845368419387e-02      -6.311637915868e-02      -4.843867840703e-02      -4.848125429289e-02       5.999503817731e-01       5.988162163590e-01      -7.078744238552e-07      -1.577229012493e-10      -7.290746847657e-07      -1.193866046420e-09      -1.851575958684e-09 
       1.819559361320e-04      -7.567331175065e-02      -5.834244275876e-02      -5.834265673014e-02      -7.563675823188e-02      -5.832247328767e-02      -5.837513916217e-02       5.999082984048e-01       5.987819123597e-01      -1.022936200465e-06      -2.280730775833e-10      -1.053534840539e-06      -1.730832806687e-09      -2.675745706099e-09 
       1.986666889987e-04      -8.972889701490e-02      -6.954697144483e-02      -6.954727486466e-02      -8.967720232200e-02      -6.952035866528e-02      -6.958503473030e-02       5.998607011937e-01       5.987430808107e-01      -1.448172144753e-06      -3.231206499559e-10      -1.491430199391e-06      -2.459354198494e-09      -3.788164630667e-09 
       2.160173799711e-04      -1.054448068031e-01      -8.222016390043e-02      -8.222058699784e-02      -1.053729428482e-01      -8.218494649606e-02      -8.226394935100e-02       5.998069737279e-01       5.986992066391e-01      -2.015545731610e-06      -4.501027856034e-10      -2.075658095394e-06      -3.437140005888e-09      -5.272489117565e-09 
       2.340835117070e-04      -1.229733492025e-01      -9.654103019393e-02      -9.654161197725e-02      -1.228748732102e-01      -9.649469629133e-02      -9.659084050455e-02       5.997463992791e-01       5.986496875790e-01      -2.765633443593e-06      -6.181915882018e-10      -2.847969837034e-06      -4.738459079010e-09      -7.234919488087e-09 
