# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045870268866e-05      -2.784495931121e-04      -2.088578057106e-04      -2.088578087432e-04      -2.784490571982e-04      -2.088260301864e-04      -2.089790923230e-04       5.998438665453e-01       5.987615206563e-01      -1.283685167395e-11      -2.772747008568e-15      -1.324684867586e-11      -1.833666353928e-14      -3.102085563982e-14 
       2.373187310368e-05      -1.433096384504e-03      -1.075368584406e-03      -1.075368664788e-03      -1.433082182251e-03      -1.075202030611e-03      -1.075992040738e-03       5.998403772436e-01       5.987586789708e-01      -3.402093769127e-10      -7.349028115443e-14      -3.510743591077e-10      -4.861070045878e-13      -8.221339061892e-13 
       3.705372380217e-05      -3.491038358254e-03      -2.621524222381e-03      -2.621524699933e-03      -3.490954009648e-03      -2.621105376622e-03      -2.623039622224e-03       5.998341472807e-01       5.987536032876e-01      -2.020764988349e-09      -4.365621814334e-13      -2.085288003275e-09      -2.888833092406e-12      -4.883302370573e-12 
       5.046231721908e-05      -6.467863754452e-03      -4.862056074283e-03      -4.862057716266e-03      -6.467573873707e-03      -4.861244793102e-03      -4.864854669303e-03       5.998251236492e-01       5.987462509624e-01      -6.945825016619e-09      -1.500818406963e-12      -7.167546899354e-09      -9.936903076111e-12      -1.678510437288e-11 
       6.399637571182e-05      -1.038781301839e-02      -7.819703954732e-03      -7.819708199636e-03      -1.038706408360e-02      -7.818325996342e-03      -7.824179588024e-03       5.998132173556e-01       5.987365479087e-01      -1.794885042185e-08      -3.879167501200e-12      -1.852160750015e-08      -2.570318947075e-11      -4.337505259013e-11 
       7.769564809544e-05      -1.528404880951e-02      -1.152564884509e-02      -1.152565806057e-02      -1.528242420088e-02      -1.152348271445e-02      -1.153219877928e-02       5.997983069968e-01       5.987243934933e-01      -3.894489763833e-08      -8.419307374028e-12      -4.018711317535e-08      -5.583817755945e-11      -9.411480839478e-11 
       9.160128847324e-05      -2.119904180563e-02      -1.602012865836e-02      -1.602014644728e-02      -2.119590877915e-02      -1.601689005174e-02      -1.602915399985e-02       5.997802363606e-01       5.987096579339e-01      -7.512795466918e-08      -1.624707333151e-11      -7.752302263133e-08      -1.078761153873e-10      -1.815573250654e-10 
       1.057562526912e-04      -2.818506958225e-02      -2.135325442148e-02      -2.135328599434e-02      -2.817951525697e-02      -2.134857740763e-02      -2.136515998833e-02       5.997588117121e-01       5.986921806833e-01      -1.332373610867e-07      -2.882567592069e-11      -1.374823130246e-07      -1.916518085805e-10      -3.219912480609e-10 
       1.202057177832e-04      -3.630482347000e-02      -2.758605028372e-02      -2.758610291673e-02      -3.629557658591e-02      -2.757946414340e-02      -2.760124371205e-02       5.997337975512e-01       5.986717658505e-01      -2.219090731288e-07      -4.803267860367e-11      -2.289739683671e-07      -3.198555257058e-10      -5.362902497757e-10 
       1.349975298089e-04      -4.563211559672e-02      -3.479174761033e-02      -3.479183121695e-02      -4.561744969139e-02      -3.478264797532e-02      -3.481063742989e-02       5.997049112669e-01       5.986481780324e-01      -3.521323602501e-07      -7.626152185766e-11      -3.633336449079e-07      -5.087632879141e-10      -8.510176707121e-10 
       1.501826854778e-04      -5.625267289065e-02      -4.305737132909e-02      -4.305749918301e-02      -5.623028508071e-02      -4.304498387444e-02      -4.308036365010e-02       5.996718191749e-01       5.986211394374e-01      -5.378390806040e-07      -1.165548230391e-10      -5.549312196013e-07      -7.791930441004e-10      -1.299852638581e-09 
       1.658158528514e-04      -6.826499327720e-02      -5.248566507287e-02      -5.248585471501e-02      -6.823185328137e-02      -5.246899948924e-02      -5.251315838977e-02       5.996341285768e-01       5.985903218198e-01      -7.966625313784e-07      -1.727695801837e-10      -8.219519907726e-07      -1.157754095642e-09      -1.925424718702e-09 
       1.819559361320e-04      -8.178123158293e-02      -6.319741215802e-02      -6.319768655592e-02      -8.173339069031e-02      -6.317520345453e-02      -6.322978963501e-02       5.995913797267e-01       5.985553403975e-01      -1.150910232566e-06      -2.497996166794e-10      -1.187399236332e-06      -1.678480485734e-09      -2.781668982678e-09 
       1.986666889987e-04      -9.692805638962e-02      -7.533422063667e-02      -7.533460965911e-02      -9.686040730888e-02      -7.530485388369e-02      -7.537183900025e-02       5.995430365177e-01       5.985157451598e-01      -1.628812790184e-06      -3.538517050428e-10      -1.680379615620e-06      -2.384969188598e-09      -3.936846989295e-09 
       2.160173799711e-04      -1.138474005460e-01      -8.906185351654e-02      -8.906239584739e-02      -1.137533705352e-01      -8.902326693195e-02      -8.910502742967e-02       5.994884754594e-01       5.984710120094e-01      -2.266121319364e-06      -4.928298959414e-10      -2.337750329919e-06      -3.333185598899e-09      -5.477419668596e-09 
       2.340835117070e-04      -1.326969694630e-01      -1.045741993511e-01      -1.045749448801e-01      -1.325681393937e-01      -1.045237588584e-01      -1.046231796490e-01       5.994269719448e-01       5.984205285543e-01      -3.108163005005e-06      -6.767529729417e-10      -3.206228579925e-06      -4.595153961130e-09      -7.513010521219e-09 
       2.529475937013e-04      -1.536503606872e-01      -1.220979935548e-01      -1.220990065712e-01      -1.534759690187e-01      -1.220323299591e-01      -1.221529374586e-01       5.993576850288e-01       5.983635829627e-01      -4.212454369801e-06      -9.184439964331e-10      -4.345090461726e-06      -6.263825337506e-09      -1.018275900658e-08 
       2.726999642530e-04      -1.768964973807e-01      -1.418984166418e-01      -1.418997797922e-01      -1.766628307839e-01      -1.418132131593e-01      -1.419593470015e-01       5.992796402212e-01       5.982993455191e-01      -5.652067298130e-06      -1.234185457499e-09      -5.829618109241e-06      -8.459516023621e-09      -1.366344251817e-08 
