# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045870268866e-05       2.381618161936e+00 
       2.373187310368e-05       5.331976576577e+00 
       3.705372380217e-05       8.259700052101e+00 
       5.046231721908e-05       1.118459165016e+01 
       6.399637571182e-05       1.412015156768e+01 
       7.769564809544e-05       1.707778297187e+01 
       9.160128847324e-05       2.006805404796e+01 
       1.057562526912e-04       2.310125789724e+01 
       1.202057177832e-04       2.618772978276e+01 
       1.349975298089e-04       2.933806354556e+01 
       1.501826854778e-04       3.256328239555e+01 
       1.658158528514e-04       3.587498780668e+01 
       1.819559361320e-04       3.928549994541e+01 
       1.986666889987e-04       4.280799604382e+01 
       2.160173799711e-04       4.645665075625e+01 
       2.340835117070e-04       5.024677979758e+01 
       2.529475937013e-04       5.419498895667e+01 
       2.726999642530e-04       5.831932564795e+01 
       2.934396523958e-04       6.263943298015e+01 
       3.152752632892e-04       6.717669983767e+01 
       3.383258608066e-04       7.195440301315e+01 
       3.627218082115e-04       7.699782957228e+01 
       3.886055114391e-04       8.233436917012e+01 
       4.161319894287e-04       8.799355661535e+01 
       4.454691725620e-04       9.400704461105e+01 
       4.767978048485e-04       1.004084798003e+02 
       5.103108008224e-04       1.072332491057e+02 
       5.462118888683e-04       1.145180647380e+02 
       5.847133659379e-04       1.223003525242e+02 
       6.260328036873e-04       1.306174157496e+02 
       6.703885934819e-04       1.395053605311e+02 
       7.179943068205e-04       1.489977885134e+02 
       7.690519824771e-04       1.591242955376e+02 
       8.237446254462e-04       1.699088599021e+02 
       8.822283938101e-04       1.813682235556e+02 
       9.446251199277e-04       1.935104418566e+02 
       1.011015913410e-03       2.063337433155e+02 
       1.081436579913e-03       2.198258744412e+02 
       1.155875438088e-03       2.339640211200e+02 
       1.234273840199e-03       2.487153678453e+02 
       1.316529352574e-03       2.640382217115e+02 
       1.402501208648e-03       2.798836046777e+02 
       1.492017387150e-03       2.961971357635e+02 
       1.584882541238e-03       3.129209877660e+02 
       1.680886019781e-03       3.299957775900e+02 
       1.779809350608e-03       3.473622378522e+02 
       1.881432747435e-03       3.649625733712e+02 
       1.985540405887e-03       3.827415172259e+02 
       2.091924531146e-03       4.006470425697e+02 
       2.200388170099e-03       4.186308368976e+02 
       2.310747000640e-03       4.366481856319e+02 
       2.422830266832e-03       4.546587387637e+02 
       2.536481052668e-03       4.726263761848e+02 
       2.651556071079e-03       4.905185163256e+02 
       2.767925118590e-03       5.083061309757e+02 
       2.885470316688e-03       5.259637211305e+02 
       3.004085232829e-03       5.434688175926e+02 
       3.123673949470e-03       5.608019080343e+02 
       3.244150129282e-03       5.779460749679e+02 
       3.365436108819e-03       5.948867436047e+02 
       3.487462040940e-03       6.116114405196e+02 
       3.610165097499e-03       6.281095374395e+02 
       3.733488737610e-03       6.443721509099e+02 
       3.857382042578e-03       6.603917321406e+02 
       3.981799115783e-03       6.761620543558e+02 
       4.106698544138e-03       6.916781469260e+02 
       4.232042916729e-03       7.069358560347e+02 
       4.357798395862e-03       7.219322388076e+02 
       4.483934335582e-03       7.366648564862e+02 
       4.610422942912e-03       7.511323208423e+02 
       4.737238977254e-03       7.653335918481e+02 
       4.864359483792e-03       7.792683841585e+02 
       4.991763557034e-03       7.929369605572e+02 
       5.119432131054e-03       8.063397358965e+02 
       5.247347793315e-03       8.194778859677e+02 
       5.375494619326e-03       8.323524776542e+02 
       5.503858025663e-03       8.449651264884e+02 
       5.632424639206e-03       8.573178434823e+02 
       5.761182180674e-03       8.694124566564e+02 
       5.890119360774e-03       8.812512012099e+02 
       6.019225787498e-03       8.928364349841e+02 
       6.148491883262e-03       9.041705568874e+02 
       6.277908810746e-03       9.152563137226e+02 
       6.407468406454e-03       9.260965808277e+02 
       6.537163121081e-03       9.366937342890e+02 
       6.666985965954e-03       9.470508866840e+02 
       6.796930464837e-03       9.571707624631e+02 
       6.926990610529e-03       9.670563615124e+02 
       7.057160825703e-03       9.767108749101e+02 
       7.187435927554e-03       9.861373211005e+02 
       7.317811095817e-03       9.953383155607e+02 
       7.448281843819e-03       1.004316942256e+03 
       7.578843992230e-03       1.013076393395e+03 
       7.709493645242e-03       1.021619243280e+03 
       7.840227168919e-03       1.029949221446e+03 
       7.971041171497e-03       1.038068997590e+03 
       8.101932485448e-03       1.045981133113e+03 
       8.232898151108e-03       1.053689210171e+03 
       8.363935401752e-03       1.061196032793e+03 
       8.495041649929e-03       1.068503799729e+03 
       8.626214474983e-03       1.075616008469e+03 
       8.757451611607e-03       1.082535472188e+03 
       8.888750939360e-03       1.089264873694e+03 
       9.020110473045e-03       1.095806784294e+03 
       9.151528353863e-03       1.102164317813e+03 
       9.283002841297e-03       1.108339797979e+03 
       9.414532305625e-03       1.114336139102e+03 
       9.546115221039e-03       1.120155689746e+03 
       9.677750159296e-03       1.125801174891e+03 
       9.809435783860e-03       1.131275243608e+03 
       9.941170844498e-03       1.136580016827e+03 
       1.007295417229e-02       1.141718222383e+03 
       1.020478467499e-02       1.146692309791e+03 
       1.033666133280e-02       1.151506410321e+03 
       1.046858319436e-02       1.156159716502e+03 
       1.060054937313e-02       1.160655327633e+03 
       1.073255904397e-02       1.164996198325e+03 
       1.086461144000e-02       1.169184417832e+03 
       1.099670584968e-02       1.173222072624e+03 
       1.112884161410e-02       1.177111529415e+03 
       1.126101812447e-02       1.180854541348e+03 
       1.139323481977e-02       1.184453925652e+03 
       1.152549118459e-02       1.187911091719e+03 
       1.165778674710e-02       1.191227875078e+03 
       1.179012107718e-02       1.194407423970e+03 
       1.192249378470e-02       1.197450391560e+03 
       1.205490451785e-02       1.200359304956e+03 
       1.218735296169e-02       1.203136542041e+03 
       1.231983883670e-02       1.205783405116e+03 
       1.245236189750e-02       1.208301863515e+03 
       1.258492193166e-02       1.210693557838e+03 
       1.271751875856e-02       1.212961077027e+03 
       1.285015222831e-02       1.215105377718e+03 
       1.298282222086e-02       1.217127967442e+03 
       1.311552864504e-02       1.219031753121e+03 
       1.324827143776e-02       1.220817887293e+03 
       1.338105056325e-02       1.222487733135e+03 
       1.351386601230e-02       1.224043717054e+03 
       1.364671780167e-02       1.225487193084e+03 
       1.377960597344e-02       1.226819375135e+03 
       1.391253059447e-02       1.228042219734e+03 
       1.404549175590e-02       1.229157566442e+03 
       1.417848957267e-02       1.230167226250e+03 
       1.431152418312e-02       1.231071912427e+03 
       1.444459574855e-02       1.231874025937e+03 
       1.457770445296e-02       1.232574450585e+03 
       1.471085050263e-02       1.233175190691e+03 
       1.484403412595e-02       1.233677107842e+03 
       1.497725557307e-02       1.234082202902e+03 
       1.511051511578e-02       1.234391807581e+03 
       1.524381304722e-02       1.234607833971e+03 
       1.537714968181e-02       1.234731143517e+03 
       1.551052535508e-02       1.234763362013e+03 
       1.564394042353e-02       1.234706099966e+03 
       1.577739526460e-02       1.234560361467e+03 
       1.591089027659e-02       1.234327930749e+03 
       1.604442587860e-02       1.234010108990e+03 
       1.617800251057e-02       1.233608237342e+03 
       1.631162063321e-02       1.233123372553e+03 
       1.644528072812e-02       1.232557183155e+03 
       1.657898329774e-02       1.231911030780e+03 
       1.671272886552e-02       1.231186007245e+03 
       1.684651797591e-02       1.230383809644e+03 
       1.698035119453e-02       1.229504413246e+03 
       1.711422910829e-02       1.228550135484e+03 
       1.724815232551e-02       1.227523233281e+03 
       1.738212147607e-02       1.226423880403e+03 
       1.751613721165e-02       1.225252236000e+03 
       1.765020020586e-02       1.224010806604e+03 
       1.778431115448e-02       1.222700530570e+03 
       1.791847077570e-02       1.221322903242e+03 
       1.805267981035e-02       1.219878329180e+03 
       1.818693902218e-02       1.218368592948e+03 
