# Matter power spectrum P(k) at redshift z=4
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045870268866e-05       2.878859143588e+00 
       2.373187310368e-05       6.445200317791e+00 
       3.705372380217e-05       9.984177474700e+00 
       5.046231721908e-05       1.351972640062e+01 
       6.399637571182e-05       1.706816385585e+01 
       7.769564809544e-05       2.064327167758e+01 
       9.160128847324e-05       2.425782212016e+01 
       1.057562526912e-04       2.792425464085e+01 
       1.202057177832e-04       3.165505927003e+01 
       1.349975298089e-04       3.546303817805e+01 
       1.501826854778e-04       3.936151190548e+01 
       1.658158528514e-04       4.336449932756e+01 
       1.819559361320e-04       4.748688720785e+01 
       1.986666889987e-04       5.174459723032e+01 
       2.160173799711e-04       5.615475544054e+01 
       2.340835117070e-04       6.073586569962e+01 
       2.529475937013e-04       6.550798929087e+01 
       2.726999642530e-04       7.049292790426e+01 
       2.934396523958e-04       7.571440913324e+01 
       3.152752632892e-04       8.119826755386e+01 
       3.383258608066e-04       8.697261564549e+01 
       3.627218082115e-04       9.306799094667e+01 
       3.886055114391e-04       9.951746660893e+01 
       4.161319894287e-04       1.063567017906e+02 
       4.454691725620e-04       1.136239075046e+02 
       4.767978048485e-04       1.213596953597e+02 
       5.103108008224e-04       1.296067698034e+02 
       5.462118888683e-04       1.384094252015e+02 
       5.847133659379e-04       1.478128058039e+02 
       6.260328036873e-04       1.578618948228e+02 
       6.703885934819e-04       1.686002165350e+02 
       7.179943068205e-04       1.800682584029e+02 
       7.690519824771e-04       1.923016609356e+02 
       8.237446254462e-04       2.053292763865e+02 
       8.822283938101e-04       2.191712215614e+02 
       9.446251199277e-04       2.338371365437e+02 
       1.011015913410e-03       2.493248196111e+02 
       1.081436579913e-03       2.656194481239e+02 
       1.155875438088e-03       2.826934935267e+02 
       1.234273840199e-03       3.005074025300e+02 
       1.316529352574e-03       3.190109533113e+02 
       1.402501208648e-03       3.381451694486e+02 
       1.492017387150e-03       3.578445753861e+02 
       1.584882541238e-03       3.780395371699e+02 
       1.680886019781e-03       3.986585196317e+02 
       1.779809350608e-03       4.196300828773e+02 
       1.881432747435e-03       4.408845046404e+02 
       1.985540405887e-03       4.623550503601e+02 
       2.091924531146e-03       4.839788384629e+02 
       2.200388170099e-03       5.056974291457e+02 
       2.310747000640e-03       5.274567059572e+02 
       2.422830266832e-03       5.492078249834e+02 
       2.536481052668e-03       5.709070761979e+02 
       2.651556071079e-03       5.925150466526e+02 
       2.767925118590e-03       6.139966770802e+02 
       2.885470316688e-03       6.353211801474e+02 
       3.004085232829e-03       6.564614619311e+02 
       3.123673949470e-03       6.773940025892e+02 
       3.244150129282e-03       6.980984082321e+02 
       3.365436108819e-03       7.185570956044e+02 
       3.487462040940e-03       7.387549968217e+02 
       3.610165097499e-03       7.586792522545e+02 
       3.733488737610e-03       7.783190965318e+02 
       3.857382042578e-03       7.976653733049e+02 
       3.981799115783e-03       8.167105291664e+02 
       4.106698544138e-03       8.354485398548e+02 
       4.232042916729e-03       8.538743832428e+02 
       4.357798395862e-03       8.719845125992e+02 
       4.483934335582e-03       8.897759987702e+02 
       4.610422942912e-03       9.072471826943e+02 
       4.737238977254e-03       9.243968221833e+02 
       4.864359483792e-03       9.412245781926e+02 
       4.991763557034e-03       9.577307656073e+02 
       5.119432131054e-03       9.739158745588e+02 
       5.247347793315e-03       9.897813120475e+02 
       5.375494619326e-03       1.005328353629e+03 
       5.503858025663e-03       1.020558941795e+03 
       5.632424639206e-03       1.035475502842e+03 
       5.761182180674e-03       1.050080248230e+03 
       5.890119360774e-03       1.064375884570e+03 
       6.019225787498e-03       1.078365268127e+03 
       6.148491883262e-03       1.092051303372e+03 
       6.277908810746e-03       1.105437310999e+03 
       6.407468406454e-03       1.118526763230e+03 
       6.537163121081e-03       1.131322538048e+03 
       6.666985965954e-03       1.143828353487e+03 
       6.796930464837e-03       1.156047702827e+03 
       6.926990610529e-03       1.167984029760e+03 
       7.057160825703e-03       1.179641151755e+03 
       7.187435927554e-03       1.191022544121e+03 
       7.317811095817e-03       1.202131748893e+03 
       7.448281843819e-03       1.212972512874e+03 
       7.578843992230e-03       1.223548673497e+03 
       7.709493645242e-03       1.233863330274e+03 
       7.840227168919e-03       1.243920973973e+03 
       7.971041171497e-03       1.253724815314e+03 
       8.101932485448e-03       1.263277931573e+03 
       8.232898151108e-03       1.272584639236e+03 
       8.363935401752e-03       1.281648308732e+03 
       8.495041649929e-03       1.290471591586e+03 
       8.626214474983e-03       1.299058708125e+03 
       8.757451611607e-03       1.307413050688e+03 
       8.888750939360e-03       1.315537857357e+03 
       9.020110473045e-03       1.323436230243e+03 
       9.151528353863e-03       1.331111925552e+03 
       9.283002841297e-03       1.338567745195e+03 
       9.414532305625e-03       1.345807201613e+03 
       9.546115221039e-03       1.352833116950e+03 
       9.677750159296e-03       1.359648787310e+03 
       9.809435783860e-03       1.366259119222e+03 
       9.941170844498e-03       1.372664108007e+03 
       1.007295417229e-02       1.378867429343e+03 
       1.020478467499e-02       1.384872491994e+03 
       1.033666133280e-02       1.390681916674e+03 
       1.046858319436e-02       1.396299051853e+03 
       1.060054937313e-02       1.401725685982e+03 
       1.073255904397e-02       1.406965395116e+03 
       1.086461144000e-02       1.412020709808e+03 
       1.099670584968e-02       1.416894151443e+03 
       1.112884161410e-02       1.421588579369e+03 
       1.126101812447e-02       1.426106112121e+03 
       1.139323481977e-02       1.430450151829e+03 
       1.152549118459e-02       1.434622402007e+03 
       1.165778674710e-02       1.438625080717e+03 
       1.179012107718e-02       1.442461989933e+03 
       1.192249378470e-02       1.446133917975e+03 
       1.205490451785e-02       1.449643915980e+03 
       1.218735296169e-02       1.452994854735e+03 
       1.231983883670e-02       1.456188305982e+03 
       1.245236189750e-02       1.459226647410e+03 
       1.258492193166e-02       1.462111860250e+03 
       1.271751875856e-02       1.464847071886e+03 
       1.285015222831e-02       1.467433438736e+03 
       1.298282222086e-02       1.469872783371e+03 
       1.311552864504e-02       1.472168619552e+03 
       1.324827143776e-02       1.474322339981e+03 
       1.338105056325e-02       1.476335596357e+03 
       1.351386601230e-02       1.478211320372e+03 
       1.364671780167e-02       1.479951152813e+03 
