# Matter power spectrum P(k) at redshift z=4
# for k=1.04587e-05 to 1006.18 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045870268866e-05       2.878778755260e+00 
       2.373187310368e-05       6.445020823025e+00 
       3.705372380217e-05       9.983900745012e+00 
       5.046231721908e-05       1.351935427336e+01 
       6.399637571182e-05       1.706769838616e+01 
       7.769564809544e-05       2.064271526843e+01 
       9.160128847324e-05       2.425717763210e+01 
       1.057562526912e-04       2.792352550831e+01 
       1.202057177832e-04       3.165424963502e+01 
       1.349975298089e-04       3.546215305180e+01 
       1.501826854778e-04       3.936055736570e+01 
       1.658158528514e-04       4.336348275941e+01 
       1.819559361320e-04       4.748581760267e+01 
       1.986666889987e-04       5.174348555389e+01 
       2.160173799711e-04       5.615361509163e+01 
       2.340835117070e-04       6.073471307436e+01 
       2.529475937013e-04       6.550684449231e+01 
       2.726999642530e-04       7.049181561794e+01 
       2.934396523958e-04       7.571335972965e+01 
       3.152752632892e-04       8.119731845539e+01 
       3.383258608066e-04       8.697181304740e+01 
       3.627218082115e-04       9.306739195878e+01 
       3.886055114391e-04       9.951714194453e+01 
       4.161319894287e-04       1.063567391187e+02 
       4.454691725620e-04       1.136244156275e+02 
       4.767978048485e-04       1.213608094120e+02 
       5.103108008224e-04       1.296086576706e+02 
       5.462118888683e-04       1.384122954138e+02 
       5.847133659379e-04       1.478169171518e+02 
       6.260328036873e-04       1.578675679531e+02 
       6.703885934819e-04       1.686078477505e+02 
       7.179943068205e-04       1.800783358293e+02 
       7.690519824771e-04       1.923147830953e+02 
       8.237446254462e-04       2.053461730705e+02 
       8.822283938101e-04       2.191927766408e+02 
       9.446251199277e-04       2.338644121597e+02 
       1.011015913410e-03       2.493590808731e+02 
       1.081436579913e-03       2.656621872665e+02 
       1.155875438088e-03       2.827464522874e+02 
       1.234273840199e-03       3.005725915296e+02 
       1.316529352574e-03       3.190906672456e+02 
       1.402501208648e-03       3.382419971792e+02 
       1.492017387150e-03       3.579614042812e+02 
       1.584882541238e-03       3.781795514212e+02 
       1.680886019781e-03       3.988251925746e+02 
       1.779809350608e-03       4.198271637270e+02 
       1.881432747435e-03       4.411160001552e+02 
       1.985540405887e-03       4.626252022577e+02 
       2.091924531146e-03       4.842920973250e+02 
       2.200388170099e-03       5.060584257450e+02 
       2.310747000640e-03       5.278702197547e+02 
       2.422830266832e-03       5.496787535117e+02 
       2.536481052668e-03       5.714404039567e+02 
       2.651556071079e-03       5.931158124478e+02 
       2.767925118590e-03       6.146699429280e+02 
       2.885470316688e-03       6.360720013879e+02 
       3.004085232829e-03       6.572948585047e+02 
       3.123673949470e-03       6.783149324213e+02 
       3.244150129282e-03       6.991117423691e+02 
       3.365436108819e-03       7.196675955897e+02 
       3.487462040940e-03       7.399672944546e+02 
       3.610165097499e-03       7.599978317948e+02 
       3.733488737610e-03       7.797482798121e+02 
       3.857382042578e-03       7.992093067641e+02 
       3.981799115783e-03       8.183731739443e+02 
       4.106698544138e-03       8.372336646597e+02 
       4.232042916729e-03       8.557855585470e+02 
       4.357798395862e-03       8.740251088544e+02 
       4.483934335582e-03       8.919491844838e+02 
       4.610422942912e-03       9.095559266238e+02 
       4.737238977254e-03       9.268438949625e+02 
       4.864359483792e-03       9.438125570396e+02 
       4.991763557034e-03       9.604620398417e+02 
       5.119432131054e-03       9.767926507075e+02 
       5.247347793315e-03       9.928056224213e+02 
       5.375494619326e-03       1.008502062256e+03 
       5.503858025663e-03       1.023883753537e+03 
       5.632424639206e-03       1.038952972453e+03 
       5.761182180674e-03       1.053711787176e+03 
       5.890119360774e-03       1.068162770511e+03 
       6.019225787498e-03       1.082308653064e+03 
       6.148491883262e-03       1.096152221375e+03 
       6.277908810746e-03       1.109696687117e+03 
       6.407468406454e-03       1.122945421016e+03 
       6.537163121081e-03       1.135901203645e+03 
       6.666985965954e-03       1.148567664010e+03 
       6.796930464837e-03       1.160948064575e+03 
       6.926990610529e-03       1.173045845687e+03 
       7.057160825703e-03       1.184864865403e+03 
       7.187435927554e-03       1.196408457643e+03 
       7.317811095817e-03       1.207680035465e+03 
       7.448281843819e-03       1.218683226791e+03 
       7.578843992230e-03       1.229421758993e+03 
       7.709493645242e-03       1.239898625856e+03 
       7.840227168919e-03       1.250118226495e+03 
       7.971041171497e-03       1.260083680286e+03 
       8.101932485448e-03       1.269797978730e+03 
       8.232898151108e-03       1.279265364628e+03 
       8.363935401752e-03       1.288489135452e+03 
       8.495041649929e-03       1.297471870970e+03 
       8.626214474983e-03       1.306217733044e+03 
       8.757451611607e-03       1.314730055800e+03 
       8.888750939360e-03       1.323012022674e+03 
