# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448909697655e-10       5.257933229607e-15       4.028804581818e-13       0.000000000000e+00       8.367945362839e-09       4.662021464514e-10      -2.122754032455e-12 
    3       1.368851458653e-10       7.579514467300e-15       4.738878565346e-13       0.000000000000e+00       5.144003963421e-09       3.296452056134e-10      -1.718134088216e-12 
    4       1.291981298999e-10       7.442245825988e-15       4.612931317224e-13       0.000000000000e+00       3.562334440036e-09       2.489654118903e-10      -1.232829817436e-12 
    5       1.233349456392e-10       5.682674641509e-15       4.077333939711e-13       0.000000000000e+00       2.647118503055e-09       1.961551721919e-10      -7.901511032877e-13 
    6       1.191923791427e-10       3.579543677231e-15       3.394195940071e-13       0.000000000000e+00       2.059262634504e-09       1.591144060455e-10      -4.298623210229e-13 
    7       1.164002453015e-10       1.995875504061e-15       2.727348133318e-13       0.000000000000e+00       1.655662859524e-09       1.319059438451e-10      -1.652597587927e-13 
    8       1.146947420505e-10       1.144731054293e-15       2.161603033678e-13       0.000000000000e+00       1.364228867410e-09       1.113031352474e-10       6.113972155907e-15 
    9       1.138061706046e-10       8.162387465159e-16       1.733653984686e-13       0.000000000000e+00       1.145554315654e-09       9.534217070033e-11       9.659379899488e-14 
   10       1.134870052541e-10       7.077096786293e-16       1.449177414356e-13       0.000000000000e+00       9.766546899597e-10       8.269855652189e-11       1.244151470547e-13 
   11       1.136509566130e-10       6.294655967028e-16       1.292493188835e-13       0.000000000000e+00       8.240150114519e-10       7.298934255493e-11       1.102071793542e-13 
   12       1.141897684378e-10       5.365593632400e-16       1.236111897293e-13       0.000000000000e+00       7.183631890640e-10       6.427337710469e-11       7.328112279530e-14 
   13       1.149535128086e-10       4.586312006313e-16       1.250489088044e-13       0.000000000000e+00       6.317713752255e-10       5.726461657001e-11       3.027986606534e-14 
   14       1.159985761638e-10       4.242377246540e-16       1.308367513009e-13       0.000000000000e+00       5.598521528803e-10       5.130939103823e-11      -7.721238118616e-15 
   15       1.172006359008e-10       4.313272099193e-16       1.386870633677e-13       0.000000000000e+00       4.994125748997e-10       4.619296598016e-11      -3.415530291433e-14 
   16       1.185481294315e-10       4.595977305288e-16       1.470509294497e-13       0.000000000000e+00       4.481056016527e-10       4.183483856163e-11      -4.688387431794e-14 
   17       1.200206460459e-10       4.938607745336e-16       1.551189839019e-13       0.000000000000e+00       4.041618364931e-10       3.807466951380e-11      -4.739702910617e-14 
   18       1.215966647969e-10       5.347808264557e-16       1.626356906168e-13       0.000000000000e+00       3.660805593203e-10       3.477829495840e-11      -3.944528190196e-14 
   19       1.232907507736e-10       5.916658451044e-16       1.697657984243e-13       0.000000000000e+00       3.332392626663e-10       3.189390217537e-11      -2.693648771269e-14 
   20       1.250674598373e-10       6.751835840859e-16       1.768297528716e-13       0.000000000000e+00       3.043578546117e-10       2.932071534061e-11      -1.449186739527e-14 
   21       1.269166171511e-10       7.864228154018e-16       1.841679438366e-13       0.000000000000e+00       2.789717553586e-10       2.703574184592e-11      -4.735498066414e-15 
   22       1.288075177555e-10       9.222457906991e-16       1.920944581579e-13       0.000000000000e+00       2.564629097994e-10       2.500426954100e-11       5.069175930885e-16 
   23       1.307573548662e-10       1.080162243152e-15       2.005946681942e-13       0.000000000000e+00       2.365143042660e-10       2.319969425075e-11       1.205620034494e-15 
   24       1.327743579658e-10       1.257720138338e-15       2.094766747297e-13       0.000000000000e+00       2.186573853175e-10       2.157605789213e-11      -1.709837462848e-15 
   25       1.348489271186e-10       1.455604226568e-15       2.184500180702e-13       0.000000000000e+00       2.026765937905e-10       2.011608146518e-11      -6.743192984645e-15 
   26       1.369536216720e-10       1.675020052016e-15       2.271300242420e-13       0.000000000000e+00       1.882772277210e-10       1.879735004126e-11      -1.201832407981e-14 
   27       1.391000581324e-10       1.914907455932e-15       2.351305436985e-13       0.000000000000e+00       1.752825666534e-10       1.760698895954e-11      -1.626659812696e-14 
   28       1.413004326130e-10       2.173704137636e-15       2.420638238117e-13       0.000000000000e+00       1.634646558727e-10       1.652627191203e-11      -1.847660445196e-14 
   29       1.435592500441e-10       2.452546249708e-15       2.477625082853e-13       0.000000000000e+00       1.527605296269e-10       1.554676613400e-11      -1.859425340950e-14 
   30       1.458640321609e-10       2.753652367030e-15       2.521303928157e-13       0.000000000000e+00       1.430525391055e-10       1.465253035342e-11      -1.697052183294e-14 
   31       1.481918536622e-10       3.079449402676e-15       2.551079988889e-13       0.000000000000e+00       1.341393765312e-10       1.382036892204e-11      -1.413270258347e-14 
   32       1.505488027576e-10       3.431820641747e-15       2.567682445100e-13       0.000000000000e+00       1.259732378202e-10       1.304854469646e-11      -1.076817908820e-14 
   33       1.529427067805e-10       3.812600718406e-15       2.572627617441e-13       0.000000000000e+00       1.184948036077e-10       1.233737763562e-11      -7.761559323611e-15 
   34       1.553737580076e-10       4.223491473199e-15       2.567558332939e-13       0.000000000000e+00       1.115975034718e-10       1.168272336785e-11      -5.976034650441e-15 
   35       1.578417391924e-10       4.665063204904e-15       2.552659174068e-13       0.000000000000e+00       1.052447062424e-10       1.108135638502e-11      -5.424911237383e-15 
   36       1.603394857054e-10       5.137383565781e-15       2.527701320734e-13       0.000000000000e+00       9.938405125921e-11       1.052657383812e-11      -5.806742860557e-15 
   37       1.628559322402e-10       5.640472454634e-15       2.492272982815e-13       0.000000000000e+00       9.393766827568e-11       1.000914679966e-11      -6.757224712697e-15 
   38       1.653966180148e-10       6.175026103654e-15       2.445147534805e-13       0.000000000000e+00       8.889068978539e-11       9.527118464135e-12      -7.992239430255e-15 
   39       1.679687841744e-10       6.741919730930e-15       2.384684646314e-13       0.000000000000e+00       8.422644313995e-11       9.078689547422e-12      -9.202535937161e-15 
   40       1.705752270978e-10       7.342012238284e-15       2.308975965708e-13       0.000000000000e+00       7.989955682403e-11       8.659286008957e-12      -1.000982636572e-14 
   41       1.732152009167e-10       7.976102917857e-15       2.216256479528e-13       0.000000000000e+00       7.585159287029e-11       8.263280392555e-12      -1.007731834882e-14 
   42       1.758887151873e-10       8.644787378221e-15       2.106343417766e-13       0.000000000000e+00       7.207006878238e-11       7.890409954986e-12      -9.495011398322e-15 
   43       1.785927703159e-10       9.348552787374e-15       1.979635112208e-13       0.000000000000e+00       6.854444518886e-11       7.541041635324e-12      -8.512528711507e-15 
   44       1.813196518516e-10       1.008781200106e-14       1.836732972967e-13       0.000000000000e+00       6.524842550210e-11       7.214285222109e-12      -7.438569764502e-15 
   45       1.840607424708e-10       1.086293403656e-14       1.678265403697e-13       0.000000000000e+00       6.214922312746e-11       6.908494653641e-12      -6.574537929685e-15 
   46       1.868203000807e-10       1.167435591255e-14       1.504270026163e-13       0.000000000000e+00       5.924161511741e-11       6.623201518438e-12      -5.983366435569e-15 
   47       1.896050891355e-10       1.252249734817e-14       1.314646071603e-13       0.000000000000e+00       5.652194105534e-11       6.357578495663e-12      -5.657640221287e-15 
   48       1.924203399068e-10       1.340772712526e-14       1.109326322088e-13       0.000000000000e+00       5.397784001022e-11       6.109812166291e-12      -5.583077526161e-15 
   49       1.952695748380e-10       1.433036102243e-14       8.882776657579e-14       0.000000000000e+00       5.158760520119e-11       5.877031550829e-12      -5.738064650717e-15 
   50       1.981546022254e-10       1.529066011948e-14       6.514304142306e-14       0.000000000000e+00       4.932665918450e-11       5.656091325436e-12      -6.089858745273e-15 
   51       2.010758981004e-10       1.628882996122e-14       3.984423482371e-14       0.000000000000e+00       4.719054865217e-11       5.446337891923e-12      -6.583060422526e-15 
   52       2.040320278470e-10       1.732501759563e-14       1.288715846071e-14       0.000000000000e+00       4.517707580971e-11       5.247470599257e-12      -7.147207971845e-15 
   53       2.070193260950e-10       1.839930918370e-14      -1.577605144347e-14       0.000000000000e+00       4.327942048940e-11       5.058722186313e-12      -7.699228576148e-15 
   54       2.100317309480e-10       1.951172795101e-14      -4.619721383978e-14       0.000000000000e+00       4.148582989832e-11       4.878827539752e-12      -8.142816274205e-15 
   55       2.130630956419e-10       2.066224976547e-14      -7.842364148894e-14       0.000000000000e+00       3.978316255718e-11       4.706433886792e-12      -8.394429063619e-15 
   56       2.161151757696e-10       2.185085909534e-14      -1.124696545862e-13       0.000000000000e+00       3.816926184017e-11       4.541522275163e-12      -8.470268035135e-15 
   57       2.191913358924e-10       2.307750336432e-14      -1.483384804487e-13       0.000000000000e+00       3.664311285730e-11       4.384284496264e-12      -8.419816174703e-15 
   58       2.222941782111e-10       2.434207521107e-14      -1.860303150563e-13       0.000000000000e+00       3.520110097151e-11       4.234698851341e-12      -8.301518376527e-15 
   59       2.254254733180e-10       2.564441112744e-14      -2.255422622036e-13       0.000000000000e+00       3.383685170987e-11       4.092516108129e-12      -8.183196514758e-15 
   60       2.285860909481e-10       2.698429009674e-14      -2.668682726510e-13       0.000000000000e+00       3.254107067495e-11       3.957245457497e-12      -8.142464515177e-15 
   61       2.317764404698e-10       2.836143478310e-14      -3.100000295320e-13       0.000000000000e+00       3.130410099041e-11       3.828316092560e-12      -8.247230432449e-15 
   62       2.349980645574e-10       2.977551849231e-14      -3.549299744703e-13       0.000000000000e+00       3.012462861124e-11       3.705636097641e-12      -8.491149458013e-15 
   63       2.382522819804e-10       3.122615736405e-14      -4.016488558213e-13       0.000000000000e+00       2.900265582622e-11       3.589134658663e-12      -8.844353263258e-15 
   64       2.415396574067e-10       3.271290670323e-14      -4.501448121406e-13       0.000000000000e+00       2.793688374788e-11       3.478589207304e-12      -9.271872062474e-15 
   65       2.448599483268e-10       3.423525969915e-14      -5.004033413589e-13       0.000000000000e+00       2.692463844904e-11       3.373616950007e-12      -9.733417860284e-15 
   66       2.482120519793e-10       3.579264614471e-14      -5.524072699581e-13       0.000000000000e+00       2.596179709948e-11       3.273666396993e-12      -1.018316769907e-14 
   67       2.515939522763e-10       3.738443115559e-14      -6.061367221460e-13       0.000000000000e+00       2.504271410248e-11       3.178008891274e-12      -1.056954690643e-14 
   68       2.550036372327e-10       3.900988698620e-14      -6.615703808513e-13       0.000000000000e+00       2.416171567689e-11       3.085928889382e-12      -1.084666862343e-14 
