# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.448914082119e-10       5.258125262966e-15       4.028804543226e-13       1.920332911403e-19       8.367945362839e-09       4.662021464514e-10      -2.122754032455e-12 
    3       1.368860205872e-10       7.579898636791e-15       4.738878393416e-13       3.841688228521e-19       5.144003963421e-09       3.296452056134e-10      -1.718134088216e-12 
    4       1.291995830047e-10       7.442886335599e-15       4.612930823403e-13       6.405063228767e-19       3.562334440036e-09       2.489654118903e-10      -1.232829817436e-12 
    5       1.233371165031e-10       5.683635828702e-15       4.077332815301e-13       9.611759165308e-19       2.647118503055e-09       1.961551721919e-10      -7.901511032877e-13 
    6       1.191954038637e-10       3.580890043127e-15       3.394193730430e-13       1.346335082267e-18       2.059262634504e-09       1.591144060455e-10      -4.298623210229e-13 
    7       1.164042562363e-10       1.997671741363e-15       2.727344214625e-13       1.796165435509e-18       1.655662859524e-09       1.319059438451e-10      -1.652597587927e-13 
    8       1.146998674440e-10       1.147042072389e-15       2.161596592584e-13       2.310869094519e-18       1.364228867410e-09       1.113031352474e-10       6.113972155907e-15 
    9       1.138125343198e-10       8.191296931690e-16       1.733644001076e-13       2.890664738010e-18       1.145554315654e-09       9.534217070033e-11       9.659379899488e-14 
   10       1.134947266053e-10       7.112459576356e-16       1.449162647331e-13       3.535783472261e-18       9.766546899597e-10       8.269855652189e-11       1.244151470547e-13 
   11       1.136601503010e-10       6.337128809000e-16       1.292472165934e-13       4.246464629433e-18       8.240150114519e-10       7.298934255493e-11       1.102071793542e-13 
   12       1.142005445844e-10       5.415836022752e-16       1.236082906864e-13       5.022951618653e-18       7.183631890640e-10       6.427337710469e-11       7.328112279530e-14 
   13       1.149659770827e-10       4.644986229490e-16       1.250450174608e-13       5.865487947140e-18       6.317713752255e-10       5.726461657001e-11       3.027986606534e-14 
   14       1.160128299883e-10       4.310148332500e-16       1.308316475369e-13       6.774313520432e-18       5.598521528803e-10       5.130939103823e-11      -7.721238118616e-15 
   15       1.172167767293e-10       4.390807715245e-16       1.386805025470e-13       7.749661318970e-18       4.994125748997e-10       4.619296598016e-11      -3.415530291433e-14 
   16       1.185662510778e-10       4.683947580349e-16       1.470426426860e-13       8.791754533296e-18       4.481056016527e-10       4.183483856163e-11      -4.688387431794e-14 
   17       1.200408390524e-10       5.037685026479e-16       1.551086785009e-13       9.900804222566e-18       4.041618364931e-10       3.807466951380e-11      -4.739702910617e-14 
   18       1.216190168304e-10       5.458666808934e-16       1.626230506740e-13       1.107700731120e-17       3.660805593203e-10       3.477829495840e-11      -3.944528190196e-14 
   19       1.233153469883e-10       6.039974049547e-16       1.697504854483e-13       1.232054656050e-17       3.332392626663e-10       3.189390217537e-11      -2.693648771269e-14 
   20       1.250943833069e-10       6.888285397484e-16       1.768114066639e-13       1.363158742822e-17       3.043578546117e-10       2.932071534061e-11      -1.449186739527e-14 
   21       1.269459491605e-10       8.014489209693e-16       1.841461831891e-13       1.501028163062e-17       2.789717553586e-10       2.703574184592e-11      -4.735498066414e-15 
   22       1.288393381724e-10       9.387208120021e-16       1.920688818350e-13       1.645676367476e-17       2.564629097994e-10       2.500426954100e-11       5.069175930885e-16 
   23       1.307917423305e-10       1.098153905048e-15       2.005648556995e-13       1.797115624720e-17       2.365143042660e-10       2.319969425075e-11       1.205620034494e-15 
   24       1.328113901601e-10       1.277296067376e-15       2.094421873645e-13       1.955356669283e-17       2.186573853175e-10       2.157605789213e-11      -1.709837462848e-15 
   25       1.348886808081e-10       1.476831899362e-15       2.184103997790e-13       2.120409459373e-17       2.026765937905e-10       2.011608146518e-11      -6.743192984645e-15 
   26       1.369961728455e-10       1.697966736903e-15       2.270848027610e-13       2.292282742621e-17       1.882772277210e-10       1.879735004126e-11      -1.201832407981e-14 
   27       1.391454819320e-10       1.939640163722e-15       2.350792315929e-13       2.470984789673e-17       1.752825666534e-10       1.760698895954e-11      -1.626659812696e-14 
   28       1.413488033269e-10       2.200289568639e-15       2.420059197993e-13       2.656523113352e-17       1.634646558727e-10       1.652627191203e-11      -1.847660445196e-14 
   29       1.436106408104e-10       2.481050767187e-15       2.476974986238e-13       2.848905650275e-17       1.527605296269e-10       1.554676613400e-11      -1.859425340950e-14 
   30       1.459185148626e-10       2.784141948002e-15       2.520577528924e-13       3.048139858037e-17       1.430525391055e-10       1.465253035342e-11      -1.697052183294e-14 
   31       1.482494988137e-10       3.111989592004e-15       2.550271950927e-13       3.254232758379e-17       1.341393765312e-10       1.382036892204e-11      -1.413270258347e-14 
   32       1.506096790973e-10       3.466476553680e-15       2.566787366700e-13       3.467192421905e-17       1.259732378202e-10       1.304854469646e-11      -1.076817908820e-14 
   33       1.530068810075e-10       3.849437006443e-15       2.571640054247e-13       3.687027084194e-17       1.184948036077e-10       1.233737763562e-11      -7.761559323611e-15 
   34       1.554412945538e-10       4.262572299280e-15       2.566472824186e-13       3.913745017561e-17       1.115975034718e-10       1.168272336785e-11      -5.976034650441e-15 
   35       1.579126999425e-10       4.706452251742e-15       2.551470280846e-13       4.147355289248e-17       1.052447062424e-10       1.108135638502e-11      -5.424911237383e-15 
   36       1.604139297072e-10       5.181144021283e-15       2.526403659011e-13       4.387867357123e-17       9.938405125921e-11       1.052657383812e-11      -5.806742860557e-15 
   37       1.629339154880e-10       5.686666991672e-15       2.490861260546e-13       4.635290843063e-17       9.393766827568e-11       1.000914679966e-11      -6.757224712697e-15 
   38       1.654781935340e-10       6.223716881562e-15       2.443616608449e-13       4.889635244041e-17       8.889068978539e-11       9.527118464135e-12      -7.992239430255e-15 
   39       1.680540018686e-10       6.793168383699e-15       2.383029567578e-13       5.150910214414e-17       8.422644313995e-11       9.078689547422e-12      -9.202535937161e-15 
   40       1.706641334910e-10       7.395879858119e-15       2.307192025736e-13       5.419125706954e-17       7.989955682403e-11       8.659286008957e-12      -1.000982636572e-14 
   41       1.733078390686e-10       8.032650029789e-15       2.214339260099e-13       5.694291548390e-17       7.585159287029e-11       8.263280392555e-12      -1.007731834882e-14 
   42       1.759851252383e-10       8.704073882170e-15       2.104288861280e-13       5.976415880288e-17       7.207006878238e-11       7.890409954986e-12      -9.495011398322e-15 
   43       1.786929895761e-10       9.410637923718e-15       1.977439582497e-13       6.265506294316e-17       6.854444518886e-11       7.541041635324e-12      -8.512528711507e-15 
   44       1.814237147103e-10       1.015275432538e-14       1.834393314060e-13       6.561570279424e-17       6.524842550210e-11       7.214285222109e-12      -7.438569764502e-15 
   45       1.841686805038e-10       1.093079135705e-14       1.675778998335e-13       6.864614506719e-17       6.214922312746e-11       6.908494653641e-12      -6.574537929685e-15 
   46       1.869321428372e-10       1.174518510157e-14       1.501634847739e-13       7.174642389385e-17       5.924161511741e-11       6.623201518438e-12      -5.983366435569e-15 
   47       1.897208644392e-10       1.259635424246e-14       1.311860744840e-13       7.491655821946e-17       5.652194105534e-11       6.357578495663e-12      -5.657640221287e-15 
   48       1.925400739768e-10       1.348466645846e-14       1.106390188429e-13       7.815655824280e-17       5.397784001022e-11       6.109812166291e-12      -5.583077526161e-15 
   49       1.953932924158e-10       1.441043635574e-14       8.851908510354e-14       8.146642516320e-17       5.158760520119e-11       5.877031550829e-12      -5.738064650717e-15 
   50       1.982823267658e-10       1.537392372664e-14       6.481938833873e-14       8.484614640573e-17       4.932665918450e-11       5.656091325436e-12      -6.089858745273e-15 
   51       2.012076521590e-10       1.637533256614e-14       3.950579118091e-14       8.829568035579e-17       4.719054865217e-11       5.446337891923e-12      -6.583060422526e-15 
   52       2.041678333351e-10       1.741480821403e-14       1.253419442770e-14       9.181496704354e-17       4.517707580971e-11       5.247470599257e-12      -7.147207971845e-15 
   53       2.071592044902e-10       1.849243500113e-14      -1.614317046974e-14       9.540393184885e-17       4.327942048940e-11       5.058722186313e-12      -7.699228576148e-15 
   54       2.101757035139e-10       1.960823419680e-14      -4.657802096418e-14       9.906248503548e-17       4.148582989832e-11       4.878827539752e-12      -8.142816274205e-15 
   55       2.132111834237e-10       2.076217959398e-14      -7.881756463485e-14       1.027905270080e-16       3.978316255718e-11       4.706433886792e-12      -8.394429063619e-15 
   56       2.162673988336e-10       2.195425350017e-14      -1.128760216795e-13       1.065879666786e-16       3.816926184017e-11       4.541522275163e-12      -8.470268035135e-15 
   57       2.193477131486e-10       2.318440106072e-14      -1.487565176647e-13       1.104547068475e-16       3.664311285730e-11       4.384284496264e-12      -8.419816174703e-15 
   58       2.224547274532e-10       2.445251250436e-14      -1.864591424711e-13       1.143906386417e-16       3.520110097151e-11       4.234698851341e-12      -8.301518376527e-15 
   59       2.255902112623e-10       2.575842177788e-14      -2.259808893960e-13       1.183956412729e-16       3.383685170987e-11       4.092516108129e-12      -8.183196514758e-15 
   60       2.287550332724e-10       2.710190518082e-14      -2.673155942563e-13       1.224695817941e-16       3.254107067495e-11       3.957245457497e-12      -8.142464515177e-15 
   61       2.319496015003e-10       2.848268268947e-14      -3.104548231991e-13       1.266123322264e-16       3.130410099041e-11       3.828316092560e-12      -8.247230432449e-15 
   62       2.351754558061e-10       2.990042536488e-14      -3.553909067683e-13       1.308238259795e-16       3.012462861124e-11       3.705636097641e-12      -8.491149458013e-15 
   63       2.384339115730e-10       3.135474719244e-14      -4.021144819030e-13       1.351040137220e-16       2.900265582622e-11       3.589134658663e-12      -8.844353263258e-15 
   64       2.417255298272e-10       3.284520128471e-14      -4.506135731397e-13       1.394528474319e-16       2.793688374788e-11       3.478589207304e-12      -9.271872062474e-15 
   65       2.450500641524e-10       3.437127860136e-14      -5.008735618167e-13       1.438702807048e-16       2.692463844904e-11       3.373616950007e-12      -9.733417860284e-15 
   66       2.484064076030e-10       3.593240666926e-14      -5.528771552788e-13       1.483562690622e-16       2.596179709948e-11       3.273666396993e-12      -1.018316769907e-14 
   67       2.517925396180e-10       3.752794830245e-14      -6.066043560819e-13       1.529107702598e-16       2.504271410248e-11       3.178008891274e-12      -1.056954690643e-14 
   68       2.552064435656e-10       3.915717359617e-14      -6.620337227746e-13       1.575337584400e-16       2.416171567689e-11       3.085928889382e-12      -1.084666862343e-14 
   69       2.586491939332e-10       4.081917218035e-14      -7.191465177360e-13       1.622252692302e-16       2.331810037593e-11       2.997358510653e-12      -1.101182854904e-14 
   70       2.621224021912e-10       4.251292080523e-14      -7.779233483382e-13       1.669853643786e-16       2.251202376915e-11       2.912356937447e-12      -1.107525314158e-14 
   71       2.656272737543e-10       4.423730656596e-14      -8.383429519302e-13       1.718141193685e-16       2.174298650314e-11       2.830919712722e-12      -1.104919545766e-14 
   72       2.691645797203e-10       4.599112493907e-14      -9.003821980749e-13       1.767116240812e-16       2.100980055183e-11       2.752975352212e-12      -1.094801651428e-14 
   73       2.727346286072e-10       4.777307781891e-14      -9.640160907865e-13       1.816779834579e-16       2.031055546672e-11       2.678381956603e-12      -1.078826665084e-14 
   74       2.763372380921e-10       4.958177155423e-14      -1.029217770768e-12       1.867133181624e-16       1.964258462723e-11       2.606923823706e-12      -1.058876689116e-14 
   75       2.799717067487e-10       5.141571498458e-14      -1.095958517647e-12       1.918177652431e-16       1.900243149098e-11       2.538308060639e-12      -1.037069030555e-14 
   76       2.836372379351e-10       5.327342733822e-14      -1.164207036442e-12       1.969914724304e-16       1.838670049619e-11       2.472239286967e-12      -1.015348940498e-14 
   77       2.873343631709e-10       5.515378898146e-14      -1.233927161794e-12       2.022345783619e-16       1.779486351098e-11       2.408666960004e-12      -9.941641080323e-15 
   78       2.910637281795e-10       5.705575135999e-14      -1.305079737205e-12       2.075472299377e-16       1.722690621492e-11       2.347577205021e-12      -9.735621127250e-15 
   79       2.948256450817e-10       5.897823309635e-14      -1.377623281441e-12       2.129295888889e-16       1.668247349132e-11       2.288916967757e-12      -9.535840024776e-15 
   80       2.986200734055e-10       6.092012027918e-14      -1.451513976082e-12       2.183818323097e-16       1.616085381801e-11       2.232592227915e-12      -9.342639116800e-15 
   81       3.024466010958e-10       6.288026675250e-14      -1.526705653092e-12       2.239041531891e-16       1.566096365816e-11       2.178466212653e-12      -9.156286793660e-15 
   82       3.063044255242e-10       6.485749440506e-14      -1.603149782370e-12       2.294967609427e-16       1.518133185107e-11       2.126357610081e-12      -8.976974673694e-15 
