# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.898832394520e+00 
       2.373043761528e-05       4.209744918038e+00 
       3.705205197341e-05       6.486592571494e+00 
       5.046040160262e-05       8.751173628905e+00 
       6.399420676399e-05       1.101664988141e+01 
       7.769321405898e-05       1.329329269139e+01 
       9.159857522556e-05       1.559013410364e+01 
       1.057532435558e-04       1.791566211395e+01 
       1.202023933008e-04       2.027818898804e+01 
       1.349938674647e-04       2.268608364096e+01 
       1.501786593808e-04       2.514793999490e+01 
       1.658114333596e-04       2.767271404512e+01 
       1.819510894196e-04       3.026984505511e+01 
       1.986613765579e-04       3.294936995671e+01 
       2.160115580438e-04       3.572203551074e+01 
       2.340771306401e-04       3.859941071682e+01 
       2.529405972213e-04       4.159400065611e+01 
       2.726922886571e-04       4.471936203741e+01 
       2.934312256600e-04       4.799021820235e+01 
       3.152660040981e-04       5.142257123543e+01 
       3.383156775180e-04       5.503380644885e+01 
       3.627105977775e-04       5.884278211087e+01 
       3.885931583209e-04       6.286989476360e+01 
       4.161183645581e-04       6.713710792353e+01 
       4.454541324261e-04       7.166792710618e+01 
       4.767811907995e-04       7.648730263029e+01 
       5.102924387431e-04       8.162143495356e+01 
       5.461915893473e-04       8.709745953339e+01 
       5.846909251320e-04       9.294298472779e+01 
       6.260080050474e-04       9.918546441812e+01 
       6.703612104985e-04       1.058513916531e+02 
       7.179641068864e-04       1.129653225759e+02 
       7.690187318622e-04       1.205487570839e+02 
       8.237080952403e-04       1.286189385586e+02 
       8.821883665213e-04       1.371876572786e+02 
       9.445813962622e-04       1.462601728179e+02 
       1.010968318642e-03       1.558343811184e+02 
       1.081384969221e-03       1.659003378485e+02 
       1.155819700313e-03       1.764402211932e+02 
       1.234213899658e-03       1.874287646611e+02 
       1.316465168833e-03       1.988341218240e+02 
       1.402432774394e-03       2.106190754199e+02 
       1.491944724558e-03       2.227424661653e+02 
       1.584805697329e-03       2.351606828847e+02 
       1.680805061300e-03       2.478290876778e+02 
       1.779724358910e-03       2.607032849395e+02 
       1.881343813733e-03       2.737401514165e+02 
       1.985447627100e-03       2.868986090537e+02 
       2.091828006459e-03       3.001401640898e+02 
       2.200287998256e-03       3.134292171629e+02 
       2.310643277916e-03       3.267327786172e+02 
       2.422723085604e-03       3.400217066505e+02 
       2.536370500476e-03       3.532695393405e+02 
       2.651442230081e-03       3.664525958026e+02 
       2.767808065318e-03       3.795498667044e+02 
       2.885350122018e-03       3.925428652213e+02 
       3.003961962113e-03       4.054153607964e+02 
       3.123547662764e-03       4.181532780480e+02 
       3.244020881646e-03       4.307444467060e+02 
       3.365303950641e-03       4.431784280233e+02 
       3.487327018288e-03       4.554463455190e+02 
       3.610027252458e-03       4.675407012875e+02 
       3.733348108622e-03       4.794553030085e+02 
       3.857238664757e-03       4.911849546129e+02 
       3.981653021215e-03       5.027254382348e+02 
       4.106549762154e-03       5.140734569522e+02 
       4.231891474164e-03       5.252262980283e+02 
       4.357644317282e-03       5.361821195035e+02 
       4.483777643502e-03       5.469394227819e+02 
       4.610263657980e-03       5.574974605358e+02 
       4.737077118433e-03       5.678557179159e+02 
       4.864195068510e-03       5.780142234930e+02 
       4.991596601329e-03       5.879733992535e+02 
       5.119262649698e-03       5.977337751013e+02 
       5.247175799933e-03       6.072964401966e+02 
       5.375320126495e-03       6.166623995803e+02 
       5.503681045008e-03       6.258330629121e+02 
       5.632245181484e-03       6.348101190304e+02 
       5.761000255846e-03       6.435951126614e+02 
       5.889934978076e-03       6.521898752669e+02 
       6.019038955502e-03       6.605963125009e+02 
       6.148302609931e-03       6.688163486239e+02 
       6.277717103485e-03       6.768521455196e+02 
       6.407274272154e-03       6.847059570948e+02 
       6.536966566162e-03       6.923796565668e+02 
       6.666786996400e-03       6.998756594074e+02 
       6.796729086234e-03       7.071960895825e+02 
       6.926786828089e-03       7.143432648000e+02 
       7.056954644300e-03       7.213196654042e+02 
       7.187227351743e-03       7.281274705628e+02 
       7.317600129859e-03       7.347688951296e+02 
       7.448068491705e-03       7.412462912371e+02 
       7.578628257697e-03       7.475620468964e+02 
       7.709275531791e-03       7.537180954647e+02 
       7.840006679834e-03       7.597173389432e+02 
       7.970818309857e-03       7.655615660737e+02 
       8.101707254141e-03       7.712527507462e+02 
       8.232670552846e-03       7.767936075753e+02 
       8.363705439076e-03       7.821862948127e+02 
       8.494809325229e-03       7.874325003328e+02 
       8.625979790500e-03       7.925348675220e+02 
       8.757214569446e-03       7.974955424133e+02 
       8.888511541496e-03       8.023165607353e+02 
       9.019868721331e-03       8.069998753270e+02 
       9.151284250039e-03       8.115478330352e+02 
       9.282756386994e-03       8.159621906870e+02 
       9.414283502372e-03       8.202451468478e+02 
       9.545864070270e-03       8.243984697102e+02 
       9.677496662351e-03       8.284242092325e+02 
       9.809179941995e-03       8.323243573644e+02 
       9.940912658886e-03       8.361005109413e+02 
       1.007269364402e-02       8.397547255223e+02 
       1.020452180510e-02       8.432888367879e+02 
       1.033639612222e-02       8.467044712537e+02 
       1.046831564399e-02       8.500037019685e+02 
       1.060027948378e-02       8.531876536184e+02 
       1.073228681639e-02       8.562585345733e+02 
