# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.650028363140e+00 
       2.373043761528e-05       5.875157817311e+00 
       3.705205197341e-05       9.052741915765e+00 
       5.046040160262e-05       1.221320022561e+01 
       6.399420676399e-05       1.537489900518e+01 
       7.769321405898e-05       1.855217036161e+01 
       9.159857522556e-05       2.175761672021e+01 
       1.057532435558e-04       2.500308064065e+01 
       1.202023933008e-04       2.830015909470e+01 
       1.349938674647e-04       3.166052752543e+01 
       1.501786593808e-04       3.509617470504e+01 
       1.658114333596e-04       3.861959389667e+01 
       1.819510894196e-04       4.224395171129e+01 
       1.986613765579e-04       4.598324765684e+01 
       2.160115580438e-04       4.985247031716e+01 
       2.340771306401e-04       5.386775393191e+01 
       2.529405972213e-04       5.804653688777e+01 
       2.726922886571e-04       6.240772247792e+01 
       2.934312256600e-04       6.697183881169e+01 
       3.152660040981e-04       7.176119465402e+01 
       3.383156775180e-04       7.680002435172e+01 
       3.627105977775e-04       8.211461211964e+01 
       3.885931583209e-04       8.773338215674e+01 
       4.161183645581e-04       9.368693749338e+01 
       4.454541324261e-04       1.000080238714e+02 
       4.767811907995e-04       1.067313925880e+02 
       5.102924387431e-04       1.138935279299e+02 
       5.461915893473e-04       1.215322062522e+02 
       5.846909251320e-04       1.296858512503e+02 
       6.260080050474e-04       1.383926587765e+02 
       6.703612104985e-04       1.476894747155e+02 
       7.179641068864e-04       1.576104371122e+02 
       7.690187318622e-04       1.681854226407e+02 
       8.237080952403e-04       1.794383826231e+02 
       8.821883665213e-04       1.913856894706e+02 
       9.445813962622e-04       2.040346511512e+02 
       1.010968318642e-03       2.173823710460e+02 
       1.081384969221e-03       2.314151039010e+02 
       1.155819700313e-03       2.461082224479e+02 
       1.234213899658e-03       2.614268324062e+02 
       1.316465168833e-03       2.773269795797e+02 
       1.402432774394e-03       2.937573244296e+02 
       1.491944724558e-03       3.106611079590e+02 
       1.584805697329e-03       3.279781926740e+02 
       1.680805061300e-03       3.456470039773e+02 
       1.779724358910e-03       3.636062531486e+02 
       1.881343813733e-03       3.817963331987e+02 
       1.985447627100e-03       4.001603678690e+02 
       2.091828006459e-03       4.186449511284e+02 
       2.200287998256e-03       4.372005848023e+02 
       2.310643277916e-03       4.557813014863e+02 
       2.422723085604e-03       4.743464256801e+02 
       2.536370500476e-03       4.928589756837e+02 
       2.651442230081e-03       5.112858592957e+02 
       2.767808065318e-03       5.295976591762e+02 
       2.885350122018e-03       5.477685935515e+02 
       3.003961962113e-03       5.657759952551e+02 
       3.123547662764e-03       5.836002316465e+02 
       3.244020881646e-03       6.012243236522e+02 
       3.365303950641e-03       6.186336853247e+02 
       3.487327018288e-03       6.358158712672e+02 
       3.610027252458e-03       6.527603113917e+02 
       3.733348108622e-03       6.694582098408e+02 
       3.857238664757e-03       6.859021187919e+02 
       3.981653021215e-03       7.020859290093e+02 
       4.106549762154e-03       7.180048032230e+02 
       4.231891474164e-03       7.336547234161e+02 
       4.357644317282e-03       7.490329011037e+02 
       4.483777643502e-03       7.641370474789e+02 
       4.610263657980e-03       7.789659424787e+02 
       4.737077118433e-03       7.935187069790e+02 
       4.864195068510e-03       8.077952284416e+02 
       4.991596601329e-03       8.217959477912e+02 
       5.119262649698e-03       8.355214491318e+02 
       5.247175799933e-03       8.489730945699e+02 
       5.375320126495e-03       8.621521211893e+02 
       5.503681045008e-03       8.750603304733e+02 
       5.632245181484e-03       8.876999183601e+02 
       5.761000255846e-03       9.000728888087e+02 
       5.889934978076e-03       9.121816599752e+02 
       6.019038955502e-03       9.240287703046e+02 
       6.148302609931e-03       9.356168002773e+02 
       6.277717103485e-03       9.469486757324e+02 
       6.407274272154e-03       9.580274612138e+02 
       6.536966566162e-03       9.688556938754e+02 
       6.666786996400e-03       9.794366718223e+02 
       6.796729086234e-03       9.897732851744e+02 
       6.926786828089e-03       9.998687058707e+02 
       7.056954644300e-03       1.009726298477e+03 
       7.187227351743e-03       1.019349047308e+03 
       7.317600129859e-03       1.028739975088e+03 
       7.448068491705e-03       1.037902286655e+03 
