# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.037028118339e-04      -2.278016407333e-04      -2.278016445888e-04      -3.037021052520e-04      -2.277638027884e-04      -2.279228759635e-04       5.994379884650e-01       5.984455006047e-01      -1.462380297608e-11      -2.977404212950e-15      -1.510991677748e-11      -1.843704659663e-14      -3.242350034906e-14 
       2.373043761528e-05      -1.563179400788e-03      -1.173034903730e-03      -1.173035005943e-03      -1.563160672187e-03      -1.172836910439e-03      -1.173658080254e-03       5.994344322021e-01       5.984425923833e-01      -3.876426167549e-10      -7.892935670956e-14      -4.005267164844e-10      -4.888750293822e-13      -8.594723413655e-13 
       3.705205197341e-05      -3.807783873925e-03      -2.859701655796e-03      -2.859702263074e-03      -3.807672638251e-03      -2.859205264313e-03      -2.861216057048e-03       5.994280893416e-01       5.984374055628e-01      -2.302535032956e-09      -4.688956970991e-13      -2.379049543578e-09      -2.905460795786e-12      -5.105149007077e-12 
       5.046040160262e-05      -7.054115502815e-03      -5.303870413791e-03      -5.303872501810e-03      -7.053733222718e-03      -5.302912910403e-03      -5.306666222398e-03       5.994189011579e-01       5.984298908133e-01      -7.913994879840e-09      -1.611968808772e-12      -8.176906928407e-09      -9.994380371645e-12      -1.754690533210e-11 
       6.399420676399e-05      -1.132801111427e-02      -8.530345440820e-03      -8.530350838691e-03      -1.132702348517e-02      -8.528727228747e-03      -8.534814565172e-03       5.994067774187e-01       5.984199729351e-01      -2.044912406019e-08      -4.166376146437e-12      -2.112821722303e-08      -2.585226916137e-11      -4.534015223164e-11 
       7.769321405898e-05      -1.666481066326e-02      -1.257313865880e-02      -1.257315037665e-02      -1.666266839152e-02      -1.257060903430e-02      -1.257967523303e-02       5.993915945002e-01       5.984075486209e-01      -4.436514980704e-08      -9.042296497131e-12      -4.583777864708e-08      -5.616257992180e-11      -9.836816157969e-11 
       9.159857522556e-05      -2.310973741625e-02      -1.747614131517e-02      -1.747616393304e-02      -2.310560637245e-02      -1.747238166529e-02      -1.748514173780e-02       5.993731960948e-01       5.983924878695e-01      -8.557243000407e-08      -1.744825551524e-11      -8.841124406749e-08      -1.085034928855e-10      -1.897368372326e-10 
       1.057532435558e-04      -3.071838704822e-02      -2.329401400360e-02      -2.329405414405e-02      -3.071106400699e-02      -2.328861749826e-02      -2.330587634193e-02       5.993513839829e-01       5.983746252936e-01      -1.517353140019e-07      -3.095473594982e-11      -1.567656876542e-07      -1.927671158544e-10      -3.364424625625e-10 
       1.202023933008e-04      -3.955731760751e-02      -3.009332102621e-02      -3.009338793479e-02      -3.954512741363e-02      -3.008576764705e-02      -3.010844355660e-02       5.993259189240e-01       5.983537606537e-01      -2.526684688726e-07      -5.157606600625e-11      -2.610384233260e-07      -3.217175645798e-10      -5.602508618400e-10 
       1.349938674647e-04      -4.970472801086e-02      -3.795394182894e-02      -3.795404810093e-02      -4.968539607598e-02      -3.794356727941e-02      -3.797272041726e-02       5.992965150992e-01       5.983296549157e-01      -4.008512717221e-07      -8.187997982816e-11      -4.141179073796e-07      -5.117254622422e-10      -8.888393811847e-10 
       1.501786593808e-04      -6.125120384567e-02      -4.697080096442e-02      -4.697096345553e-02      -6.122169749056e-02      -4.695675757983e-02      -4.699362488312e-02       5.992628335084e-01       5.983020238079e-01      -6.120912916635e-07      -1.251270985443e-10      -6.323280365399e-07      -7.837295467327e-10      -1.357269359477e-09 
       1.658114333596e-04      -7.430050041279e-02      -5.725596782582e-02      -5.725620880834e-02      -7.425682973818e-02      -5.723717506064e-02      -5.728321348385e-02       5.992244766636e-01       5.982705336097e-01      -9.063758322719e-07      -1.854529862320e-10      -9.363065793265e-07      -1.164493317961e-09      -2.009876913105e-09 
       1.819510894196e-04      -8.897031319631e-02      -6.894118771860e-02      -6.894153634080e-02      -8.890728155306e-02      -6.891626902703e-02      -6.897320958688e-02       5.991809783118e-01       5.982347915465e-01      -1.308963551065e-06      -2.680989179243e-10      -1.352130324983e-06      -1.688247631079e-09      -2.902696024401e-09 
       1.986613765579e-04      -1.053929683699e-01      -8.218091924598e-02      -8.218141340323e-02      -1.053038566039e-01      -8.214812120788e-02      -8.221803705713e-02       5.991317954386e-01       5.981943391385e-01      -1.851780610960e-06      -3.797131419501e-10      -1.912754529638e-06      -2.398841114673e-09      -4.106559635712e-09 
       2.160115580438e-04      -1.237159266381e-01      -9.715596604287e-02      -9.715665477408e-02      -1.235920939909e-01      -9.711305423901e-02      -9.719844701503e-02       5.990762968028e-01       5.981486419788e-01      -2.575205695016e-06      -5.287415421875e-10      -2.659852823059e-06      -3.352561504637e-09      -5.711065971029e-09 
       2.340771306401e-04      -1.441019528511e-01      -1.140778067431e-01      -1.140787533108e-01      -1.439323309567e-01      -1.140219311094e-01      -1.141258411814e-01       5.990137492602e-01       5.980970772394e-01      -3.530350099514e-06      -7.259300305043e-10      -3.646166735222e-06      -4.621846918177e-09      -7.829646414808e-09 
       2.529405972213e-04      -1.667287311620e-01      -1.331937436458e-01      -1.331950294450e-01      -1.664991902275e-01      -1.331212635829e-01      -1.332474116834e-01       5.989433025814e-01       5.980389192477e-01      -4.781971614277e-06      -9.849353883352e-10      -4.938501775285e-06      -6.300181327273e-09      -1.060603373967e-08 
       2.726922886571e-04      -1.917876535038e-01      -1.547930070963e-01      -1.547947367783e-01      -1.914801903599e-01      -1.546992635935e-01      -1.548522338174e-01       5.988639719521e-01       5.979733243279e-01      -6.412171868957e-06      -1.323198771049e-09      -6.621539275507e-06      -8.508568853077e-09      -1.422249749500e-08 
       2.934312256600e-04      -2.194813463372e-01      -1.792139685251e-01      -1.792162765418e-01      -2.190730640519e-01      -1.790929859498e-01      -1.792784635645e-01       5.987746175981e-01       5.978993108571e-01      -8.525099337502e-06      -1.762973085072e-09      -8.802669921099e-06      -1.140411955560e-08      -1.891029824064e-08 
       3.152660040981e-04      -2.500194092664e-01      -2.068526273784e-01      -2.068556864627e-01      -2.494812306767e-01      -2.066967220669e-01      -2.069218041424e-01       5.986739219105e-01       5.978157375503e-01      -1.125287981504e-05      -2.332698443261e-09      -1.161809142129e-05      -1.519145751602e-08      -2.496289344857e-08 
       3.383156775180e-04      -2.836116305757e-01      -2.381725432952e-01      -2.381765753443e-01      -2.829066873342e-01      -2.379718080015e-01      -2.382454113349e-01       5.985603647108e-01       5.977212789227e-01      -1.476305759501e-05      -3.068697415802e-09      -1.524044673167e-05      -2.013791229674e-08      -3.275250425832e-08 
       3.627105977775e-04      -3.204577929394e-01      -2.737163768179e-01      -2.737216672144e-01      -3.195393847013e-01      -2.734580003201e-01      -2.737913995011e-01       5.984321944403e-01       5.976143966854e-01      -1.926780477333e-05      -4.017538185485e-09      -1.988829375752e-05      -2.659376357644e-08      -4.275069533380e-08 
       3.885931583209e-04      -3.607328070735e-01      -3.141191794594e-01      -3.141260951164e-01      -3.595419168624e-01      -3.137865456352e-01      -3.141940860559e-01       5.982873995920e-01       5.974933085220e-01      -2.503524311006e-05      -5.238588030781e-09      -2.583768250677e-05      -3.501924442367e-08      -5.555359495529e-08 
       4.161183645581e-04      -4.045659474851e-01      -3.601235144703e-01      -3.601325274071e-01      -4.030281565618e-01      -3.596950084607e-01      -3.601950545934e-01       5.981236783060e-01       5.973559548255e-01      -3.240297738725e-05      -6.807687146405e-09      -3.343602849569e-05      -4.602053256051e-08      -7.191222236343e-08 
       4.454541324261e-04      -4.520124831007e-01      -4.125963974103e-01      -4.126081142851e-01      -4.500343171705e-01      -4.120438209151e-01      -4.126600216432e-01       5.979384093090e-01       5.971999627522e-01      -4.179396688787e-05      -8.821001437579e-09      -4.311827662957e-05      -6.039765408036e-08      -9.276797350222e-08 
       4.767811907995e-04      -5.030165024965e-01      -4.725478884514e-01      -4.725630892509e-01      -5.004809808362e-01      -4.718343581159e-01      -4.725973390505e-01       5.977286270389e-01       5.970226124623e-01      -5.373418494305e-05      -1.140076475654e-08      -5.542496872122e-05      -7.920805220973e-08      -1.192925520674e-07 
       5.102924387431e-04      -5.573633559857e-01      -5.411509507957e-01      -5.411706363516e-01      -5.541250336843e-01      -5.402281110112e-01      -5.411777412469e-01       5.974910041424e-01       5.968208039321e-01      -6.887139194692e-05      -1.470043049916e-08      -7.102117802677e-05      -1.038505644857e-07      -1.529302703749e-07 
       5.461915893473e-04      -6.146220797125e-01      -6.197618771386e-01      -6.197873293707e-01      -6.105014699250e-01      -6.185662148974e-01      -6.197546436525e-01       5.972218457052e-01       5.965910312541e-01      -8.799269428102e-05      -1.891180564107e-08      -9.071424810292e-05      -1.361756400629e-07      -1.954384594750e-07 
       5.846909251320e-04      -6.740788820768e-01      -7.099402100016e-01      -7.099730635731e-01      -6.688569772229e-01      -7.083881966284e-01      -7.098839168058e-01       5.969171035224e-01       5.963293686113e-01      -1.120379112944e-04      -2.427039101974e-08      -1.154667890276e-04      -1.786287607461e-07      -2.489186380464e-07 
       6.260080050474e-04      -7.346675468815e-01      -8.134666148900e-01      -8.135089462400e-01      -7.280804701654e-01      -8.114483417585e-01      -8.133416117824e-01       5.965724152969e-01       5.960314750648e-01      -1.421027538066e-04      -3.106347369531e-08      -1.463994194487e-04      -2.344349704453e-07      -3.158268637773e-07 
       6.703612104985e-04      -7.949049993659e-01      -9.323567172252e-01      -9.324111448177e-01      -7.866405431312e-01      -9.297276104156e-01      -9.321376541681e-01       5.961831774664e-01       5.956926237675e-01      -1.794252537517e-04      -3.963142910124e-08      -1.847754803340e-04      -3.078329667219e-07      -3.989468186446e-07 
       7.179641068864e-04      -8.528494058485e-01      -1.068868484543e+00      -1.068938285871e+00      -8.425460628283e-01      -1.065438627650e+00      -1.068523127957e+00       5.957446558640e-01       5.953077652325e-01      -2.253446191905e-04      -5.037044399499e-08      -2.319578779374e-04      -4.043669166788e-07      -5.013047350986e-07 
       7.690187318622e-04      -9.061014614665e-01      -1.225500559787e+00      -1.225589789654e+00      -8.933530763890e-01      -1.221021077641e+00      -1.224988575641e+00       5.952521388723e-01       5.948716308489e-01      -2.812234351103e-04      -6.372169281967e-08      -2.893273781373e-04      -5.312426340549e-07      -6.260031224216e-07 
       8.237080952403e-04      -9.518806568600e-01      -1.404979033520e+00      -1.405092652266e+00      -9.362468771616e-01      -1.399124984257e+00      -1.404250875337e+00       5.947011304482e-01       5.943788835495e-01      -3.483225576946e-04      -8.016076375923e-08      -3.581536895985e-04      -6.977515183415e-07      -7.759544499930e-07 
       8.821883665213e-04      -9.872017041329e-01      -1.610230807547e+00      -1.610374783317e+00      -9.682292015135e-01      -1.602579999817e+00      -1.609226856593e+00       5.940875706279e-01       5.938243121168e-01      -4.276293324198e-04      -1.001595337025e-07      -4.394176235343e-04      -9.157603915966e-07      -9.535097395239e-07 
       9.445813962622e-04      -1.009180970693e+00      -1.844342735122e+00      -1.844524134349e+00      -9.864326196052e-01      -1.834350012293e+00      -1.842992927446e+00       5.934080587886e-01       5.932030587849e-01      -5.196463826720e-04      -1.241535454704e-07      -5.335963941837e-04      -1.200258147195e-06      -1.160006777701e-06 
