# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.203422531800e+00 
       2.373043761528e-05       7.102039970844e+00 
       3.705205197341e-05       1.094317847545e+01 
       5.046040160262e-05       1.476360728951e+01 
       6.399420676399e-05       1.858552506863e+01 
       7.769321405898e-05       2.242625372532e+01 
       9.159857522556e-05       2.630102393407e+01 
       1.057532435558e-04       3.022414735097e+01 
       1.202023933008e-04       3.420963827973e+01 
       1.349938674647e-04       3.827160514048e+01 
       1.501786593808e-04       4.242453429517e+01 
       1.658114333596e-04       4.668352085802e+01 
       1.819510894196e-04       5.106447266824e+01 
       1.986613765579e-04       5.558430282152e+01 
       2.160115580438e-04       6.026111809892e+01 
       2.340771306401e-04       6.511440782978e+01 
       2.529405972213e-04       7.016523503641e+01 
       2.726922886571e-04       7.543643001108e+01 
       2.934312256600e-04       8.095278293542e+01 
       3.152660040981e-04       8.674123127583e+01 
       3.383156775180e-04       9.283103388394e+01 
       3.627105977775e-04       9.925391978648e+01 
       3.885931583209e-04       1.060441956041e+02 
       4.161183645581e-04       1.132387904996e+02 
       4.454541324261e-04       1.208772104531e+02 
       4.767811907995e-04       1.290013697485e+02 
       5.102924387431e-04       1.376552590526e+02 
       5.461915893473e-04       1.468844093990e+02 
       5.846909251320e-04       1.567351104157e+02 
       6.260080050474e-04       1.672533498540e+02 
       6.703612104985e-04       1.784834560492e+02 
       7.179641068864e-04       1.904664564690e+02 
       7.690187318622e-04       2.032382021962e+02 
       8.237080952403e-04       2.168273610908e+02 
       8.821883665213e-04       2.312534273174e+02 
       9.445813962622e-04       2.465249362226e+02 
       1.010968318642e-03       2.626380996452e+02 
       1.081384969221e-03       2.795760412924e+02 
       1.155819700313e-03       2.973087690220e+02 
       1.234213899658e-03       3.157939267269e+02 
       1.316465168833e-03       3.349782554698e+02 
       1.402432774394e-03       3.547996117574e+02 
       1.491944724558e-03       3.751893298346e+02 
       1.584805697329e-03       3.960746694280e+02 
       1.680805061300e-03       4.173811405025e+02 
       1.779724358910e-03       4.390345666887e+02 
       1.881343813733e-03       4.609627605043e+02 
       1.985447627100e-03       4.830967896189e+02 
       2.091828006459e-03       5.053718800884e+02 
       2.200287998256e-03       5.277279639999e+02 
       2.310643277916e-03       5.501092521635e+02 
       2.422723085604e-03       5.724663804790e+02 
       2.536370500476e-03       5.947545098513e+02 
       2.651442230081e-03       6.169335599030e+02 
       2.767808065318e-03       6.389679878505e+02 
       2.885350122018e-03       6.608266848592e+02 
       3.003961962113e-03       6.824823717026e+02 
       3.123547662764e-03       7.039114662645e+02 
       3.244020881646e-03       7.250936100369e+02 
       3.365303950641e-03       7.460113401292e+02 
       3.487327018288e-03       7.666497772596e+02 
       3.610027252458e-03       7.869963054763e+02 
       3.733348108622e-03       8.070404538846e+02 
       3.857238664757e-03       8.267733901232e+02 
       3.981653021215e-03       8.461879158678e+02 
       4.106549762154e-03       8.652783883438e+02 
       4.231891474164e-03       8.840401761930e+02 
       4.357644317282e-03       9.024701474209e+02 
       4.483777643502e-03       9.205657836426e+02 
       4.610263657980e-03       9.383258555423e+02 
       4.737077118433e-03       9.557495385861e+02 
       4.864195068510e-03       9.728369196832e+02 
       4.991596601329e-03       9.895887387067e+02 
       5.119262649698e-03       1.006005893358e+03 
       5.247175799933e-03       1.022090208163e+03 
       5.375320126495e-03       1.037843349897e+03 
       5.503681045008e-03       1.053267660180e+03 
       5.632245181484e-03       1.068365953278e+03 
       5.761000255846e-03       1.083140809304e+03 
       5.889934978076e-03       1.097595301516e+03 
       6.019038955502e-03       1.111732640400e+03 
       6.148302609931e-03       1.125556076617e+03 
       6.277717103485e-03       1.139069263829e+03 
       6.407274272154e-03       1.152276010873e+03 
       6.536966566162e-03       1.165179492882e+03 
       6.666786996400e-03       1.177783745670e+03 
       6.796729086234e-03       1.190092550939e+03 
       6.926786828089e-03       1.202109630753e+03 
