# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.203330201754e+00 
       2.373043761528e-05       7.101835809456e+00 
       3.705205197341e-05       1.094286536643e+01 
       5.046040160262e-05       1.476318774924e+01 
       6.399420676399e-05       1.858500170602e+01 
       7.769321405898e-05       2.242562944485e+01 
       9.159857522556e-05       2.630030208278e+01 
       1.057532435558e-04       3.022333186004e+01 
       1.202023933008e-04       3.420873381758e+01 
       1.349938674647e-04       3.827061729324e+01 
       1.501786593808e-04       4.242346978254e+01 
       1.658114333596e-04       4.668238779645e+01 
       1.819510894196e-04       5.106328089332e+01 
       1.986613765579e-04       5.558306428572e+01 
       2.160115580438e-04       6.025984736366e+01 
       2.340771306401e-04       6.511312267536e+01 
       2.529405972213e-04       7.016395721736e+01 
       2.726922886571e-04       7.543518620087e+01 
       2.934312256600e-04       8.095160590109e+01 
       3.152660040981e-04       8.674016134565e+01 
       3.383156775180e-04       9.283012078058e+01 
       3.627105977775e-04       9.925322492174e+01 
       3.885931583209e-04       1.060437949406e+02 
       4.161183645581e-04       1.132387781275e+02 
       4.454541324261e-04       1.208777030390e+02 
       4.767811907995e-04       1.290025120658e+02 
       5.102924387431e-04       1.376572308047e+02 
       5.461915893473e-04       1.468874335990e+02 
       5.846909251320e-04       1.567394635798e+02 
       6.260080050474e-04       1.672593742860e+02 
       6.703612104985e-04       1.784915744300e+02 
       7.179641068864e-04       1.904771889272e+02 
       7.690187318622e-04       2.032521858808e+02 
       8.237080952403e-04       2.168453721206e+02 
       8.821883665213e-04       2.312764047205e+02 
       9.445813962622e-04       2.465540072351e+02 
       1.010968318642e-03       2.626746054616e+02 
       1.081384969221e-03       2.796215621257e+02 
       1.155819700313e-03       2.973651471838e+02 
       1.234213899658e-03       3.158632864154e+02 
       1.316465168833e-03       3.350630180504e+02 
       1.402432774394e-03       3.549025055634e+02 
       1.491944724558e-03       3.753133938522e+02 
       1.584805697329e-03       3.962232505879e+02 
       1.680805061300e-03       4.175578846445e+02 
       1.779724358910e-03       4.392434036509e+02 
       1.881343813733e-03       4.612078839618e+02 
