# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.291655387775e-10       4.641768882941e-15       3.517040854554e-13       0.000000000000e+00       7.738999987330e-09       4.335370993679e-10      -1.876977040587e-12 
    3       1.226579822320e-10       6.743052737357e-15       4.175528864673e-13       0.000000000000e+00       4.785421788932e-09       3.075853970331e-10      -1.530755315933e-12 
    4       1.162855754279e-10       6.654895011527e-15       4.090882947833e-13       0.000000000000e+00       3.327170746469e-09       2.329738674852e-10      -1.103806086375e-12 
    5       1.114464823261e-10       5.100530357980e-15       3.634069931975e-13       0.000000000000e+00       2.479825074465e-09       1.840206093677e-10      -7.098254857071e-13 
    6       1.080855506424e-10       3.222347498715e-15       3.037898442451e-13       0.000000000000e+00       1.933918953900e-09       1.496069612503e-10      -3.867984196742e-13 
    7       1.058940186954e-10       1.801662883291e-15       2.450039329540e-13       0.000000000000e+00       1.558243399942e-09       1.242757698193e-10      -1.482650263323e-13 
    8       1.046510220085e-10       1.037003513843e-15       1.948362097779e-13       0.000000000000e+00       1.286400751812e-09       1.050564434748e-10       6.884733431867e-15 
    9       1.041234499818e-10       7.427007569221e-16       1.567659555298e-13       0.000000000000e+00       1.082029767794e-09       9.013852264339e-11       8.907072818158e-14 
   10       1.040935477572e-10       6.462782063927e-16       1.314556567737e-13       0.000000000000e+00       9.239073083396e-10       7.829954303429e-11       1.143824354842e-13 
   11       1.044880744154e-10       5.762327520078e-16       1.175992236897e-13       0.000000000000e+00       7.796946763218e-10       6.911887608350e-11       1.013085244083e-13 
   12       1.052132209725e-10       4.921726229817e-16       1.127800964900e-13       0.000000000000e+00       6.805436906768e-10       6.094673604505e-11       6.743163448884e-14 
   13       1.061333127635e-10       4.215604263696e-16       1.143626544351e-13       0.000000000000e+00       5.991790160504e-10       5.435898292474e-11       2.790459075714e-14 
   14       1.073041127122e-10       3.907416953840e-16       1.198924161086e-13       0.000000000000e+00       5.315228858067e-10       4.875577603689e-11      -7.090872358192e-15 
   15       1.086112165190e-10       3.978975888199e-16       1.272942986512e-13       0.000000000000e+00       4.746045866477e-10       4.393704507870e-11      -3.147878603637e-14 
   16       1.100470072220e-10       4.243904730573e-16       1.351576651140e-13       0.000000000000e+00       4.262377548612e-10       3.982674246132e-11      -4.324720691451e-14 
   17       1.115928123903e-10       4.562898837466e-16       1.427436782412e-13       0.000000000000e+00       3.847724636371e-10       3.627654430564e-11      -4.373398013533e-14 
   18       1.132301104213e-10       4.943057983035e-16       1.498203994739e-13       0.000000000000e+00       3.488065547477e-10       3.316129297655e-11      -3.637933551236e-14 
   19       1.149726443952e-10       5.471346768138e-16       1.565406435502e-13       0.000000000000e+00       3.177624072238e-10       3.043297634602e-11      -2.479219409780e-14 
   20       1.167885680389e-10       6.247422246725e-16       1.632018889813e-13       0.000000000000e+00       2.904393779616e-10       2.799718874747e-11      -1.325075973515e-14 
   21       1.186685836879e-10       7.281881558203e-16       1.701211159932e-13       0.000000000000e+00       2.664040983264e-10       2.583257041131e-11      -4.196475723392e-15 
   22       1.205848029659e-10       8.546090261524e-16       1.775919640452e-13       0.000000000000e+00       2.450771745493e-10       2.390652801503e-11       6.632732805522e-16 
   23       1.225533538933e-10       1.001736776252e-15       1.856013838061e-13       0.000000000000e+00       2.261622686681e-10       2.219422784169e-11       1.293536031156e-15 
   24       1.245823862336e-10       1.167339601236e-15       1.939716769827e-13       0.000000000000e+00       2.092191175580e-10       2.065251896951e-11      -1.447406084847e-15 
   25       1.266631271755e-10       1.352096715742e-15       2.024331953229e-13       0.000000000000e+00       1.940459288552e-10       1.926513314518e-11      -6.166742074284e-15 
   26       1.287704597260e-10       1.557167224818e-15       2.106284477836e-13       0.000000000000e+00       1.803655630985e-10       1.801088250444e-11      -1.111467722112e-14 
   27       1.309153609905e-10       1.781584481414e-15       2.181960482090e-13       0.000000000000e+00       1.680120930821e-10       1.687788776754e-11      -1.510314328435e-14 
   28       1.331094770989e-10       2.023910599263e-15       2.247722380416e-13       0.000000000000e+00       1.567707756930e-10       1.584877200233e-11      -1.718263969178e-14 
   29       1.353569365865e-10       2.285236496616e-15       2.301984237298e-13       0.000000000000e+00       1.465829152814e-10       1.491560362092e-11      -1.730098873189e-14 
   30       1.376462039635e-10       2.567667276550e-15       2.343821419545e-13       0.000000000000e+00       1.373377580248e-10       1.406319320054e-11      -1.578541265578e-14 
   31       1.399562391854e-10       2.873503933410e-15       2.372652599758e-13       0.000000000000e+00       1.288450934308e-10       1.326946308635e-11      -1.312862225030e-14 
   32       1.422927149457e-10       3.204542077589e-15       2.389140413556e-13       0.000000000000e+00       1.210601594532e-10       1.253287545807e-11      -9.975816608509e-15 
   33       1.446629939348e-10       3.562533515185e-15       2.394686124619e-13       0.000000000000e+00       1.139271071468e-10       1.185390581787e-11      -7.158158200545e-15 
   34       1.470674571694e-10       3.949105876921e-15       2.390810925672e-13       0.000000000000e+00       1.073451375287e-10       1.122876466055e-11      -5.486948248239e-15 
   35       1.495058793295e-10       4.364824663217e-15       2.377675165799e-13       0.000000000000e+00       1.012798171152e-10       1.065435687546e-11      -4.975829116766e-15 
   36       1.519715954712e-10       4.809783726811e-15       2.355055180949e-13       0.000000000000e+00       9.568168047904e-11       1.012420121523e-11      -5.343221710542e-15 
   37       1.544544000615e-10       5.284032780497e-15       2.322555354188e-13       0.000000000000e+00       9.047695876284e-11       9.629415819026e-12      -6.248186276412e-15 
   38       1.569594929269e-10       5.788258717012e-15       2.279005453075e-13       0.000000000000e+00       8.565176453184e-11       9.168180745699e-12      -7.422499331800e-15 
   39       1.594937179968e-10       6.323317564191e-15       2.222843849262e-13       0.000000000000e+00       8.119043926783e-11       8.738873546611e-12      -8.573234350749e-15 
   40       1.620598901274e-10       6.890050663539e-15       2.152256941828e-13       0.000000000000e+00       7.704996460575e-11       8.337242290183e-12      -9.342093980941e-15 
   41       1.646575521526e-10       7.489243071045e-15       2.065566724292e-13       0.000000000000e+00       7.317485008312e-11       7.958020310617e-12      -9.410111465770e-15 
   42       1.672866737215e-10       8.121485170270e-15       1.962586089288e-13       0.000000000000e+00       6.955335460856e-11       7.600953871558e-12      -8.862616350415e-15 
   43       1.699443644650e-10       8.787264121011e-15       1.843676108958e-13       0.000000000000e+00       6.617555541071e-11       7.266350764981e-12      -7.936167361917e-15 
   44       1.726233711030e-10       9.486996614540e-15       1.709390165012e-13       0.000000000000e+00       6.301648233275e-11       6.953304963441e-12      -6.923313193258e-15 
   45       1.753156386406e-10       1.022105801354e-14       1.560307508324e-13       0.000000000000e+00       6.004495983421e-11       6.660191957136e-12      -6.109683631725e-15 
   46       1.780251739533e-10       1.098988938581e-14       1.396449057201e-13       0.000000000000e+00       5.725610316615e-11       6.386573069906e-12      -5.554878861800e-15 
   47       1.807583707314e-10       1.179391581013e-14       1.217705384390e-13       0.000000000000e+00       5.464650314250e-11       6.131685977601e-12      -5.251818236069e-15 
   48       1.835202409440e-10       1.263351414055e-14       1.023999447910e-13       0.000000000000e+00       5.220443005034e-11       5.893829852954e-12      -5.186909216026e-15 
   49       1.863142558445e-10       1.350901099521e-14       8.152872209092e-14       0.000000000000e+00       4.990921592271e-11       5.670297226641e-12      -5.339606416683e-15 
   50       1.891422867860e-10       1.442068101160e-14       5.914904184800e-14       0.000000000000e+00       4.773744120023e-11       5.458115022811e-12      -5.678803523444e-15 
   51       1.920047775986e-10       1.536874571988e-14       3.522716894545e-14       0.000000000000e+00       4.568490757467e-11       5.256662879361e-12      -6.151877472623e-15 
