# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.291659589477e-10       4.641960318853e-15       3.517040819819e-13       1.914358432245e-19       7.738999987330e-09       4.335370993679e-10      -1.876977040587e-12 
    3       1.226588205184e-10       6.743435698110e-15       4.175528709898e-13       3.829600723603e-19       4.785421788932e-09       3.075853970331e-10      -1.530755315933e-12 
    4       1.162869680641e-10       6.655533476406e-15       4.090882503194e-13       6.384615264981e-19       3.327170746469e-09       2.329738674852e-10      -1.103806086375e-12 
    5       1.114485629624e-10       5.101488422917e-15       3.634068919290e-13       9.580534372515e-19       2.479825074465e-09       1.840206093677e-10      -7.098254857071e-13 
    6       1.080884498293e-10       3.223689403615e-15       3.037896451763e-13       1.341873468662e-18       1.933918953900e-09       1.496069612503e-10      -3.867984196742e-13 
    7       1.058978634462e-10       1.803453037907e-15       2.450035797906e-13       1.790081287773e-18       1.558243399942e-09       1.242757698193e-10      -1.482650263323e-13 
    8       1.046559354509e-10       1.039306521725e-15       1.948356290572e-13       2.302855797389e-18       1.286400751812e-09       1.050564434748e-10       6.884733431867e-15 
    9       1.041295511039e-10       7.455814368945e-16       1.567650550207e-13       2.880392104173e-18       1.082029767794e-09       9.013852264339e-11       8.907072818158e-14 
   10       1.041009512515e-10       6.498016109417e-16       1.314543241574e-13       3.522898301457e-18       9.239073083396e-10       7.829954303429e-11       1.143824354842e-13 
   11       1.044968906204e-10       5.804641819336e-16       1.175973255233e-13       4.230592149940e-18       7.796946763218e-10       6.911887608350e-11       1.013085244083e-13 
