# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -2.570758459756e-04      -1.928244434699e-04      -1.928244458317e-04      -2.570754367982e-04      -1.927999025091e-04      -1.929458870321e-04       6.001568820562e-01       5.989837401533e-01      -1.138982732686e-11      -2.529627796246e-15      -1.173297256682e-11      -1.966570775751e-14      -2.980280582247e-14 
       2.373043761528e-05      -1.323278770615e-03      -9.929245921536e-04      -9.929246547702e-04      -1.323267924730e-03      -9.927952566161e-04      -9.935489939897e-04       6.001534448105e-01       5.989809496381e-01      -3.019329190407e-10      -6.705972754256e-14      -3.110282385841e-10      -5.214539596520e-13      -7.900436441591e-13 
       3.705205197341e-05      -3.223802696236e-03      -2.420617810443e-03      -2.420618182488e-03      -3.223738276020e-03      -2.420289609437e-03      -2.422135861610e-03       6.001473119034e-01       5.989759708192e-01      -1.793595874763e-09      -3.983978262280e-13      -1.847615908101e-09      -3.099081447481e-12      -4.693175353028e-12 
       5.046040160262e-05      -5.973329486096e-03      -4.489506877939e-03      -4.489508157242e-03      -5.973108081658e-03      -4.488863499295e-03      -4.492311234090e-03       6.001384270742e-01       5.989687568962e-01      -6.165541230403e-09      -1.369691965885e-12      -6.351189109534e-09      -1.066040332614e-11      -1.613301984123e-11 
       6.399420676399e-05      -9.594673651549e-03      -7.220589750610e-03      -7.220593058147e-03      -9.594101602585e-03      -7.219481388649e-03      -7.225076387844e-03       6.001267031820e-01       5.989592360854e-01      -1.593402555591e-08      -3.540453369574e-12      -1.641364812459e-08      -2.757504023372e-11      -4.169395121347e-11 
       7.769321405898e-05      -1.411905244734e-02      -1.064265914256e-02      -1.064266632357e-02      -1.411781148840e-02      -1.064088956525e-02      -1.064922846206e-02       6.001120209853e-01       5.989473098148e-01      -3.457698999174e-08      -7.684559078041e-12      -3.561733330926e-08      -5.990515429546e-11      -9.047706531397e-11 
       9.159857522556e-05      -1.958647149124e-02      -1.479287114622e-02      -1.479288500912e-02      -1.958407820022e-02      -1.479018237051e-02      -1.480192872377e-02       6.000942261881e-01       5.989328506693e-01      -6.671041241904e-08      -1.483001840502e-11      -6.871653324487e-08      -1.157338615276e-10      -1.745619038057e-10 
       1.057532435558e-04      -2.604622493180e-02      -1.971749893060e-02      -1.971752353789e-02      -2.604198176833e-02      -1.971355264481e-02      -1.972945577475e-02       6.000731273520e-01       5.989157008708e-01      -1.183265747149e-07      -2.631341606123e-11      -1.218827581707e-07      -2.056123420156e-10      -3.096304856178e-10 
       1.202023933008e-04      -3.355750772074e-02      -2.547289313558e-02      -2.547293416119e-02      -3.355044321353e-02      -2.546724779297e-02      -2.548816526969e-02       6.000484914406e-01       5.988956671898e-01      -1.971085528568e-07      -4.384970403121e-11      -2.030282223440e-07      -3.431550745601e-10      -5.157904581158e-10 
       1.349938674647e-04      -4.219013603687e-02      -3.212667698611e-02      -3.212674216373e-02      -4.217893054542e-02      -3.211875921427e-02      -3.214568411213e-02       6.000200400730e-01       5.988725192900e-01      -3.128392637605e-07      -6.962662988637e-11      -3.222268836456e-07      -5.458232265810e-10      -8.186467498508e-10 
       1.501786593808e-04      -5.202536625089e-02      -3.975921112764e-02      -3.975931081300e-02      -5.200825948932e-02      -3.974827970221e-02      -3.978237403782e-02       5.999874429464e-01       5.988459831154e-01      -4.779304985586e-07      -1.064238919335e-10      -4.922585805622e-07      -8.359502635603e-10      -1.250686871491e-09 
       1.658114333596e-04      -6.315679730224e-02      -4.846537155746e-02      -4.846551944346e-02      -6.313147213374e-02      -4.845047168024e-02      -4.849310785368e-02       5.999503122326e-01       5.988157366126e-01      -7.081039085989e-07      -1.577706207818e-10      -7.293096815351e-07      -1.242082218496e-09      -1.853065270155e-09 
       1.819510894196e-04      -7.569132843759e-02      -5.835669297832e-02      -5.835690699837e-02      -7.565476514073e-02      -5.833659789252e-02      -5.838941049300e-02       5.999081934227e-01       5.987814011745e-01      -1.023267133355e-06      -2.281417381423e-10      -1.053873676727e-06      -1.800729575117e-09      -2.677897571835e-09 
