# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.801146344665e+00 
       2.373043761528e-05       4.072481688508e+00 
       3.705205197341e-05       6.342551356164e+00 
       5.046040160262e-05       8.620506579476e+00 
       6.399420676399e-05       1.091421036018e+01 
       7.769321405898e-05       1.323112628842e+01 
       9.159857522556e-05       1.557864994536e+01 
       1.057532435558e-04       1.796429004615e+01 
       1.202023933008e-04       2.039579571791e+01 
       1.349938674647e-04       2.288126209706e+01 
       1.501786593808e-04       2.542922733384e+01 
       1.658114333596e-04       2.804876810111e+01 
       1.819510894196e-04       3.074959653681e+01 
       1.986613765579e-04       3.354216151690e+01 
       2.160115580438e-04       3.643775498505e+01 
       2.340771306401e-04       3.944862380552e+01 
       2.529405972213e-04       4.258808713926e+01 
       2.726922886571e-04       4.587065862011e+01 
       2.934312256600e-04       4.931217059223e+01 
       3.152660040981e-04       5.292989741763e+01 
       3.383156775180e-04       5.674267270256e+01 
       3.627105977775e-04       6.077099253765e+01 
       3.885931583209e-04       6.503709439755e+01 
       4.161183645581e-04       6.956499824858e+01 
       4.454541324261e-04       7.438049136446e+01 
       4.767811907995e-04       7.951103628836e+01 
       5.102924387431e-04       8.498557450887e+01 
       5.461915893473e-04       9.083419960965e+01 
       5.846909251320e-04       9.708767061686e+01 
       6.260080050474e-04       1.037767434246e+02 
       6.703612104985e-04       1.109313045777e+02 
       7.179641068864e-04       1.185793139541e+02 
       7.690187318622e-04       1.267455839863e+02 
       8.237080952403e-04       1.354504599683e+02 
       8.821883665213e-04       1.447084928798e+02 
       9.445813962622e-04       1.545272287468e+02 
       1.010968318642e-03       1.649062534602e+02 
       1.081384969221e-03       1.758366162600e+02 
       1.155819700313e-03       1.873007271547e+02 
       1.234213899658e-03       1.992727661091e+02 
       1.316465168833e-03       2.117195676721e+02 
       1.402432774394e-03       2.246018900450e+02 
       1.491944724558e-03       2.378759347200e+02 
       1.584805697329e-03       2.514949471067e+02 
       1.680805061300e-03       2.654107593151e+02 
       1.779724358910e-03       2.795751751799e+02 
       1.881343813733e-03       2.939411067608e+02 
       1.985447627100e-03       3.084634400359e+02 
       2.091828006459e-03       3.230996531355e+02 
       2.200287998256e-03       3.378101918104e+02 
       2.310643277916e-03       3.525582039073e+02 
       2.422723085604e-03       3.673109156048e+02 
       2.536370500476e-03       3.820384105642e+02 
       2.651442230081e-03       3.967137820276e+02 
       2.767808065318e-03       4.113130085674e+02 
       2.885350122018e-03       4.258148641106e+02 
       3.003961962113e-03       4.402005966716e+02 
       3.123547662764e-03       4.544538438999e+02 
       3.244020881646e-03       4.685603577581e+02 
       3.365303950641e-03       4.825078126519e+02 
       3.487327018288e-03       4.962856165485e+02 
       3.610027252458e-03       5.098847074312e+02 
       3.733348108622e-03       5.232974722521e+02 
