# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.142384724745e+00 
       2.373043761528e-05       4.844037695793e+00 
       3.705205197341e-05       7.544182934545e+00 
       5.046040160262e-05       1.025370412072e+01 
       6.399420676399e-05       1.298195251974e+01 
       7.769321405898e-05       1.573780421585e+01 
       9.159857522556e-05       1.853005428279e+01 
       1.057532435558e-04       2.136763206872e+01 
       1.202023933008e-04       2.425975265590e+01 
       1.349938674647e-04       2.721604233912e+01 
       1.501786593808e-04       3.024665394981e+01 
       1.658114333596e-04       3.336238034997e+01 
       1.819510894196e-04       3.657476963627e+01 
       1.986613765579e-04       3.989624547164e+01 
       2.160115580438e-04       4.334023334270e+01 
       2.340771306401e-04       4.692129346940e+01 
       2.529405972213e-04       5.065526012571e+01 
       2.726922886571e-04       5.455938667776e+01 
       2.934312256600e-04       5.865249294375e+01 
       3.152660040981e-04       6.295511151256e+01 
       3.383156775180e-04       6.748962654663e+01 
       3.627105977775e-04       7.228039599723e+01 
       3.885931583209e-04       7.735384469823e+01 
       4.161183645581e-04       8.273851241249e+01 
       4.454541324261e-04       8.846503481883e+01 
       4.767811907995e-04       9.456603290585e+01 
       5.102924387431e-04       1.010758784959e+02 
       5.461915893473e-04       1.080303043415e+02 
       5.846909251320e-04       1.154658246244e+02 
       6.260080050474e-04       1.234189391430e+02 
       6.703612104985e-04       1.319251035319e+02 
       7.179641068864e-04       1.410174728285e+02 
       7.690187318622e-04       1.507254525387e+02 
       8.237080952403e-04       1.610731332510e+02 
       8.821883665213e-04       1.720777191214e+02 
       9.445813962622e-04       1.837480960642e+02 
       1.010968318642e-03       1.960837059198e+02 
       1.081384969221e-03       2.090738708907e+02 
       1.155819700313e-03       2.226976808143e+02 
       1.234213899658e-03       2.369244858309e+02 
       1.316465168833e-03       2.517149498995e+02 
       1.402432774394e-03       2.670225554742e+02 
       1.491944724558e-03       2.827953993613e+02 
       1.584805697329e-03       2.989780801359e+02 
       1.680805061300e-03       3.155135128747e+02 
       1.779724358910e-03       3.323445566681e+02 
       1.881343813733e-03       3.494153496539e+02 
       1.985447627100e-03       3.666723281259e+02 
       2.091828006459e-03       3.840649597799e+02 
       2.200287998256e-03       4.015461954010e+02 
       2.310643277916e-03       4.190721665260e+02 
       2.422723085604e-03       4.366038375923e+02 
       2.536370500476e-03       4.541055718622e+02 
       2.651442230081e-03       4.715453340417e+02 
       2.767808065318e-03       4.888945111563e+02 
       2.885350122018e-03       5.061278912268e+02 
       3.003961962113e-03       5.232231935062e+02 
       3.123547662764e-03       5.401610021165e+02 
       3.244020881646e-03       5.569244192971e+02 
       3.365303950641e-03       5.734988274235e+02 
       3.487327018288e-03       5.898716564633e+02 
       3.610027252458e-03       6.060321381430e+02 
       3.733348108622e-03       6.219712111561e+02 
       3.857238664757e-03       6.376811239469e+02 
       3.981653021215e-03       6.531554232109e+02 
       4.106549762154e-03       6.683888894554e+02 
