# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.589601750482e+00 
       2.373043761528e-05       5.855216660184e+00 
       3.705205197341e-05       9.119007121099e+00 
       5.046040160262e-05       1.239412763631e+01 
       6.399420676399e-05       1.569188026554e+01 
       7.769321405898e-05       1.902299265986e+01 
       9.159857522556e-05       2.239809439111e+01 
       1.057532435558e-04       2.582797712342e+01 
       1.202023933008e-04       2.932377773445e+01 
       1.349938674647e-04       3.289712982934e+01 
       1.501786593808e-04       3.656030314630e+01 
       1.658114333596e-04       4.032634060175e+01 
       1.819510894196e-04       4.420919752866e+01 
       1.986613765579e-04       4.822388697669e+01 
       2.160115580438e-04       5.238663218257e+01 
       2.340771306401e-04       5.671502707755e+01 
       2.529405972213e-04       6.122820456734e+01 
       2.726922886571e-04       6.594701153133e+01 
       2.934312256600e-04       7.089418675802e+01 
       3.152660040981e-04       7.609453746794e+01 
       3.383156775180e-04       8.157510678795e+01 
       3.627105977775e-04       8.736532102942e+01 
       3.885931583209e-04       9.349710189042e+01 
       4.161183645581e-04       1.000049240343e+02 
       4.454541324261e-04       1.069257918406e+02 
       4.767811907995e-04       1.142991052385e+02 
       5.102924387431e-04       1.221663764307e+02 
       5.461915893473e-04       1.305707587033e+02 
       5.846909251320e-04       1.395563470619e+02 
       6.260080050474e-04       1.491672178069e+02 
       6.703612104985e-04       1.594461869773e+02 
       7.179641068864e-04       1.704332961311e+02 
       7.690187318622e-04       1.821640677099e+02 
       8.237080952403e-04       1.946676214481e+02 
       8.821883665213e-04       2.079647861294e+02 
       9.445813962622e-04       2.220663811841e+02 
       1.010968318642e-03       2.369718692125e+02 
       1.081384969221e-03       2.526685511323e+02 
       1.155819700313e-03       2.691314382063e+02 
       1.234213899658e-03       2.863238496859e+02 
       1.316465168833e-03       3.041986802155e+02 
       1.402432774394e-03       3.227002034354e+02 
       1.491944724558e-03       3.417662187835e+02 
       1.584805697329e-03       3.613303033474e+02 
       1.680805061300e-03       3.813239733051e+02 
       1.779724358910e-03       4.016786220864e+02 
       1.881343813733e-03       4.223271125684e+02 
       1.985447627100e-03       4.432049982158e+02 
       2.091828006459e-03       4.642514105844e+02 
       2.200287998256e-03       4.854096167411e+02 
