# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.191379925751e+00 
       2.373043761528e-05       7.215864914693e+00 
       3.705205197341e-05       1.123809729216e+01 
       5.046040160262e-05       1.527428601531e+01 
       6.399420676399e-05       1.933835705708e+01 
       7.769321405898e-05       2.344352812406e+01 
       9.159857522556e-05       2.760289584621e+01 
       1.057532435558e-04       3.182975619073e+01 
       1.202023933008e-04       3.613783013240e+01 
       1.349938674647e-04       4.054145010078e+01 
       1.501786593808e-04       4.505573183087e+01 
       1.658114333596e-04       4.969674285631e+01 
       1.819510894196e-04       5.448167414609e+01 
       1.986613765579e-04       5.942901879550e+01 
       2.160115580438e-04       6.455875958488e+01 
       2.340771306401e-04       6.989256650973e+01 
       2.529405972213e-04       7.545400373797e+01 
       2.726922886571e-04       8.126874465929e+01 
       2.934312256600e-04       8.736479063518e+01 
       3.152660040981e-04       9.377268768600e+01 
       3.383156775180e-04       1.005257320392e+02 
       3.627105977775e-04       1.076601504838e+02 
       3.885931583209e-04       1.152152375530e+02 
       4.161183645581e-04       1.232334249462e+02 
       4.454541324261e-04       1.317602514894e+02 
       4.767811907995e-04       1.408441960162e+02 
       5.102924387431e-04       1.505363268856e+02 
       5.461915893473e-04       1.608897198799e+02 
       5.846909251320e-04       1.719585957413e+02 
       6.260080050474e-04       1.837971364958e+02 
       6.703612104985e-04       1.964579572636e+02 
       7.179641068864e-04       2.099902436001e+02 
       7.690187318622e-04       2.244376080284e+02 
       8.237080952403e-04       2.398357776859e+02 
       8.821883665213e-04       2.562102801515e+02 
       9.445813962622e-04       2.735743400837e+02 
       1.010968318642e-03       2.919272347123e+02 
       1.081384969221e-03       3.112533162074e+02 
       1.155819700313e-03       3.315218639027e+02 
       1.234213899658e-03       3.526878230987e+02 
       1.316465168833e-03       3.746933590613e+02 
       1.402432774394e-03       3.974700613254e+02 
       1.491944724558e-03       4.209415614378e+02 
       1.584805697329e-03       4.450262751549e+02 
       1.680805061300e-03       4.696400347061e+02 
       1.779724358910e-03       4.946984522248e+02 
       1.881343813733e-03       5.201188701994e+02 
       1.985447627100e-03       5.458218692108e+02 
       2.091828006459e-03       5.717323792599e+02 
       2.200287998256e-03       5.977803942833e+02 
       2.310643277916e-03       6.239005759298e+02 
       2.422723085604e-03       6.500347697665e+02 
       2.536370500476e-03       6.761299098137e+02 
       2.651442230081e-03       7.021383363313e+02 
       2.767808065318e-03       7.280175502391e+02 
       2.885350122018e-03       7.537301112009e+02 
       3.003961962113e-03       7.792429568125e+02 
       3.123547662764e-03       8.045272420102e+02 
       3.244020881646e-03       8.295578026223e+02 
       3.365303950641e-03       8.543127891863e+02 
       3.487327018288e-03       8.787733246017e+02 
       3.610027252458e-03       9.029231555088e+02 
       3.733348108622e-03       9.267485367959e+02 
       3.857238664757e-03       9.502376649637e+02 
       3.981653021215e-03       9.733806841749e+02 
       4.106549762154e-03       9.961695970491e+02 
