# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367298662355e-10       4.794724214717e-15       3.709582553289e-13       0.000000000000e+00       8.019170684873e-09       4.493859262629e-10      -1.967313338803e-12 
    3       1.295305113198e-10       6.826437908905e-15       4.356062799161e-13       0.000000000000e+00       4.959891717947e-09       3.183046450443e-10      -1.583712018723e-12 
    4       1.225728149335e-10       6.601868859079e-15       4.228938306337e-13       0.000000000000e+00       3.444339238364e-09       2.406529179388e-10      -1.125525492378e-12 
    5       1.172946642011e-10       4.954152202422e-15       3.726730128106e-13       0.000000000000e+00       2.564564852128e-09       1.897848665830e-10      -7.098836922256e-13 
    6       1.136101629597e-10       3.067492754951e-15       3.093238171388e-13       0.000000000000e+00       1.997098149542e-09       1.540719020782e-10      -3.747022110687e-13 
    7       1.111771100971e-10       1.695755493876e-15       2.480455483470e-13       0.000000000000e+00       1.606581416012e-09       1.278218380001e-10      -1.320699467958e-13 
    8       1.097527516575e-10       9.865373952013e-16       1.966247758338e-13       0.000000000000e+00       1.324900254897e-09       1.079463006443e-10       2.133561204245e-14 
    9       1.090862301521e-10       7.224360566537e-16       1.583021153915e-13       0.000000000000e+00       1.113684010161e-09       9.255033568994e-11       9.839016873339e-14 
   10       1.089447537597e-10       6.302837012528e-16       1.333900179358e-13       0.000000000000e+00       9.502781369001e-10       8.034317851240e-11       1.174818638803e-13 
   11       1.092512699941e-10       5.550120813557e-16       1.202419057194e-13       0.000000000000e+00       8.015124590421e-10       7.092307109731e-11       9.899935127259e-14 
   12       1.099054821715e-10       4.703117638128e-16       1.161718660877e-13       0.000000000000e+00       6.991674299115e-10       6.250443552391e-11       6.151507950394e-14 
   13       1.107660533864e-10       4.062394842776e-16       1.183753629223e-13       0.000000000000e+00       6.152336220679e-10       5.572303599378e-11       2.066697596730e-14 
   14       1.118894097772e-10       3.836892071805e-16       1.243533115717e-13       0.000000000000e+00       5.454815537118e-10       4.995243145461e-11      -1.358618869994e-14 
   15       1.131580111034e-10       3.956381368697e-16       1.320368685550e-13       0.000000000000e+00       4.868314594351e-10       4.498735567142e-11      -3.580899559310e-14 
   16       1.145620626095e-10       4.232946978095e-16       1.400785278958e-13       0.000000000000e+00       4.370182602734e-10       4.075295224651e-11      -4.480194708894e-14 
   17       1.160818316624e-10       4.562572041938e-16       1.478564588397e-13       0.000000000000e+00       3.943333303881e-10       3.709773353633e-11      -4.268451954397e-14 
   18       1.176989510192e-10       4.986582209910e-16       1.551748413987e-13       0.000000000000e+00       3.573261023386e-10       3.389369508398e-11      -3.350613984196e-14 
   19       1.194275912345e-10       5.588723396206e-16       1.622364716741e-13       0.000000000000e+00       3.253973048729e-10       3.109108781033e-11      -2.113177533357e-14 
   20       1.212334505305e-10       6.450601884023e-16       1.693919863642e-13       0.000000000000e+00       2.973069314441e-10       2.859194762447e-11      -9.901949175457e-15 
   21       1.231071539887e-10       7.569163230522e-16       1.769192515315e-13       0.000000000000e+00       2.726062902145e-10       2.637350444169e-11      -2.001954434877e-15 
   22       1.250200418218e-10       8.904916121216e-16       1.850316974731e-13       0.000000000000e+00       2.506970952024e-10       2.440136262616e-11       1.316428645511e-15 
   23       1.269887002299e-10       1.044041596791e-15       1.936658668021e-13       0.000000000000e+00       2.312728591785e-10       2.264926557951e-11       4.384670876211e-16 
   24       1.290210375050e-10       1.216376854281e-15       2.025937883864e-13       0.000000000000e+00       2.138793848876e-10       2.107214912879e-11      -3.356509609291e-15 
   25       1.311081079480e-10       1.408200644461e-15       2.114815935528e-13       0.000000000000e+00       1.983081128965e-10       1.965273042531e-11      -8.518081873479e-15 
   26       1.332239968627e-10       1.620419577924e-15       2.199162052072e-13       0.000000000000e+00       1.842732720124e-10       1.836879218786e-11      -1.326919796463e-14 
   27       1.353800352711e-10       1.852164139548e-15       2.275740617070e-13       0.000000000000e+00       1.716036333467e-10       1.720807137320e-11      -1.658955234175e-14 
   28       1.375880374723e-10       2.102267573802e-15       2.341622005448e-13       0.000000000000e+00       1.600779585781e-10       1.615294168061e-11      -1.778826119363e-14 
   29       1.398522126196e-10       2.372234970892e-15       2.395538753599e-13       0.000000000000e+00       1.496354545567e-10       1.519591142380e-11      -1.700646571442e-14 
   30       1.421603929436e-10       2.664712809752e-15       2.436817334508e-13       0.000000000000e+00       1.401619734037e-10       1.432237202062e-11      -1.478130221067e-14 
   31       1.444904066106e-10       2.982454979995e-15       2.465161581180e-13       0.000000000000e+00       1.314618392761e-10       1.351061598273e-11      -1.181034765416e-14 
   32       1.468480902652e-10       3.326875872714e-15       2.481433862221e-13       0.000000000000e+00       1.234887950876e-10       1.275884774632e-11      -8.738535359776e-15 
   33       1.492410264302e-10       3.698960621601e-15       2.487227552256e-13       0.000000000000e+00       1.161852855566e-10       1.206687222771e-11      -6.314402074675e-15 
   34       1.516694991736e-10       4.099609413592e-15       2.484152814994e-13       0.000000000000e+00       1.094476706583e-10       1.143007447440e-11      -5.233526985155e-15 
   35       1.541333829097e-10       4.529559339487e-15       2.471913767310e-13       0.000000000000e+00       1.032404356060e-10       1.084500480506e-11      -5.362032163840e-15 
   36       1.566258992051e-10       4.989420855315e-15       2.449558407030e-13       0.000000000000e+00       9.751268872819e-11       1.030486398129e-11      -6.233573290844e-15 
   37       1.591365390896e-10       5.479750583505e-15       2.415991710787e-13       0.000000000000e+00       9.218863992618e-11       9.800413263075e-12      -7.334290765735e-15 
   38       1.616706931422e-10       6.001261266612e-15       2.370046220034e-13       0.000000000000e+00       8.725391996211e-11       9.329783334420e-12      -8.413765086123e-15 
   39       1.642353817993e-10       6.554671786292e-15       2.310413332945e-13       0.000000000000e+00       8.269237158378e-11       8.891367765248e-12      -9.268162504375e-15 
   40       1.668333686511e-10       7.140646189610e-15       2.235609041984e-13       0.000000000000e+00       7.845981708149e-11       8.480899454501e-12      -9.653901382649e-15 
   41       1.694639986895e-10       7.759792119200e-15       2.144308408801e-13       0.000000000000e+00       7.449931326800e-11       8.093107041385e-12      -9.371106235935e-15 
   42       1.721272296532e-10       8.412664465771e-15       2.036508482528e-13       0.000000000000e+00       7.079875407445e-11       7.727891049857e-12      -8.552339566063e-15 
   43       1.748200809301e-10       9.099756619452e-15       1.912723966913e-13       0.000000000000e+00       6.734791299112e-11       7.385767313803e-12      -7.463873751838e-15 
   44       1.775350187998e-10       9.821494888041e-15       1.773685267127e-13       0.000000000000e+00       6.412116569509e-11       7.066051231693e-12      -6.431446264308e-15 
   45       1.802636623363e-10       1.057827841802e-14       1.620109476511e-13       0.000000000000e+00       6.108654195141e-11       6.767286977697e-12      -5.763036701740e-15 
   46       1.830101717069e-10       1.137062163751e-14       1.451903562893e-13       0.000000000000e+00       5.823899063850e-11       6.488929722367e-12      -5.481361437878e-15 
   47       1.857811771166e-10       1.219904830011e-14       1.268743271536e-13       0.000000000000e+00       5.557497909460e-11       6.229991951956e-12      -5.517401107909e-15 
   48       1.885818555576e-10       1.306405062467e-14       1.070291505080e-13       0.000000000000e+00       5.308246650705e-11       5.988485382004e-12      -5.783108925174e-15 
   49       1.914157645492e-10       1.396608821599e-14       8.561963838857e-14       0.000000000000e+00       5.074027254995e-11       5.761349067418e-12      -6.170285061118e-15 
   50       1.942847955163e-10       1.490554488172e-14       6.260980816665e-14       0.000000000000e+00       4.852440645766e-11       5.545288116544e-12      -6.571829828071e-15 
   51       1.971894047249e-10       1.588258776859e-14       3.796560198184e-14       0.000000000000e+00       4.643054430942e-11       5.339725006540e-12      -6.954915684587e-15 
   52       2.001281576416e-10       1.689726812461e-14       1.165257018622e-14       0.000000000000e+00       4.445656160105e-11       5.144525103061e-12      -7.305731240548e-15 
   53       2.030974579557e-10       1.794955707287e-14      -1.636509071833e-14       0.000000000000e+00       4.259580945420e-11       4.959127724010e-12      -7.608767602641e-15 
   54       2.060913869499e-10       1.903934255086e-14      -4.612469075063e-14       0.000000000000e+00       4.083681080386e-11       4.782517101572e-12      -7.846745874433e-15 
   55       2.091039526187e-10       2.016648215438e-14      -7.765984320495e-14       0.000000000000e+00       3.916672784404e-11       4.613569082943e-12      -8.006931897678e-15 
   56       2.121368593012e-10       2.133098405397e-14      -1.109829914893e-13       0.000000000000e+00       3.758346908246e-11       4.452258614275e-12      -8.102083582604e-15 
   57       2.151933868370e-10       2.253286566091e-14      -1.460988089930e-13       0.000000000000e+00       3.608605778684e-11       4.298701359384e-12      -8.154580354864e-15 
   58       2.182760846341e-10       2.377210079699e-14      -1.830091199137e-13       0.000000000000e+00       3.467097077343e-11       4.152790156738e-12      -8.190664351911e-15 
   59       2.213867049259e-10       2.504861881184e-14      -2.217128432558e-13       0.000000000000e+00       3.333198152666e-11       4.014180620657e-12      -8.240616776628e-15 
