# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.367302973144e-10       4.794916782934e-15       3.709582516903e-13       1.925681481505e-19       8.019170684873e-09       4.493859262629e-10      -1.967313338803e-12 
    3       1.295313713474e-10       6.826823136557e-15       4.356062637028e-13       3.852269699540e-19       4.959891717947e-09       3.183046450443e-10      -1.583712018723e-12 
    4       1.225742436378e-10       6.602511107148e-15       4.228937840542e-13       6.422447143233e-19       3.444339238364e-09       2.406529179388e-10      -1.125525492378e-12 
    5       1.172967986313e-10       4.955115951432e-15       3.726729067191e-13       9.637375018842e-19       2.564564852128e-09       1.897848665830e-10      -7.098836922256e-13 
    6       1.136131369507e-10       3.068842632875e-15       3.093236085782e-13       1.349846473978e-18       1.997098149542e-09       1.540719020782e-10      -3.747022110687e-13 
    7       1.111810538163e-10       1.697556302521e-15       2.480451783222e-13       1.800735281131e-18       1.606581416012e-09       1.278218380001e-10      -1.320699467958e-13 
    8       1.097577912436e-10       9.888541345648e-16       1.966241673474e-13       2.316587224080e-18       1.324900254897e-09       1.079463006443e-10       2.133561204245e-14 
    9       1.090924874528e-10       7.253339467075e-16       1.583011717597e-13       2.897602123748e-18       1.113684010161e-09       9.255033568994e-11       9.839016873339e-14 
   10       1.089523461706e-10       6.338282005242e-16       1.333886213989e-13       3.543993002898e-18       9.502781369001e-10       8.034317851240e-11       1.174818638803e-13 
   11       1.092603103990e-10       5.592689016589e-16       1.202399163474e-13       4.255982666061e-18       8.015124590421e-10       7.092307109731e-11       9.899935127259e-14 
   12       1.099160789798e-10       4.753468804628e-16       1.161691209768e-13       5.033800265471e-18       6.991674299115e-10       6.250443552391e-11       6.151507950394e-14 
   13       1.107783106606e-10       4.121191411463e-16       1.183716756685e-13       5.877677939268e-18       6.152336220679e-10       5.572303599378e-11       2.066697596730e-14 
   14       1.119034274400e-10       3.904799160097e-16       1.243484720011e-13       6.787847604166e-18       5.454815537118e-10       4.995243145461e-11      -1.358618869994e-14 
   15       1.131738852128e-10       4.034066703569e-16       1.320306426877e-13       7.764537978205e-18       4.868314594351e-10       4.498735567142e-11      -3.580899559310e-14 
   16       1.145798856859e-10       4.321080761134e-16       1.400706581132e-13       8.807971900518e-18       4.370182602734e-10       4.075295224651e-11      -4.480194708894e-14 
   17       1.161016930529e-10       4.661826746784e-16       1.478466642275e-13       9.918364004338e-18       3.943333303881e-10       3.709773353633e-11      -4.268451954397e-14 
   18       1.177209372886e-10       5.097632314364e-16       1.551628182465e-13       1.109591864229e-17       3.573261023386e-10       3.389369508398e-11      -3.350613984196e-14 
   19       1.194517865223e-10       5.712245038625e-16       1.622218940247e-13       1.234082910956e-17       3.253973048729e-10       3.109108781033e-11      -2.113177533357e-14 
   20       1.212599369770e-10       6.587272480200e-16       1.693745068024e-13       1.365327495976e-17       2.973069314441e-10       2.859194762447e-11      -9.901949175457e-15 
   21       1.231360120198e-10       7.719661017080e-16       1.768985018486e-13       1.503342372934e-17       2.726062902145e-10       2.637350444169e-11      -2.001954434877e-15 
   22       1.250513505131e-10       9.069919661521e-16       1.850072895948e-13       1.648142803663e-17       2.506970952024e-10       2.440136262616e-11       1.316428645511e-15 
   23       1.270225374896e-10       1.062060363083e-15       1.936373935625e-13       1.799742888448e-17       2.312728591785e-10       2.264926557951e-11       4.384670876211e-16 
   24       1.290574803360e-10       1.235981794113e-15       2.025608245726e-13       1.958155270578e-17       2.138793848876e-10       2.107214912879e-11      -3.356509609291e-15 
   25       1.311472324829e-10       1.429459390983e-15       2.114436967974e-13       2.123391662400e-17       1.983081128965e-10       1.965273042531e-11      -8.518081873479e-15 
   26       1.332658784967e-10       1.643399577589e-15       2.198729171613e-13       2.295462479458e-17       1.842732720124e-10       1.836879218786e-11      -1.326919796463e-14 
   27       1.354247485868e-10       1.876932600987e-15       2.275249091469e-13       2.474377377599e-17       1.716036333467e-10       1.720807137320e-11      -1.658955234175e-14 
   28       1.376356562261e-10       2.128891413451e-15       2.341066967463e-13       2.660145016459e-17       1.600779585781e-10       1.615294168061e-11      -1.778826119363e-14 
   29       1.399028094441e-10       2.400780783737e-15       2.394915215569e-13       2.852774044948e-17       1.496354545567e-10       1.519591142380e-11      -1.700646571442e-14 
   30       1.422140392371e-10       2.695246818010e-15       2.436120204876e-13       3.052272290181e-17       1.401619734037e-10       1.432237202062e-11      -1.478130221067e-14 
   31       1.445471724184e-10       3.015042985342e-15       2.464385683666e-13       3.258646807704e-17       1.314618392761e-10       1.351061598273e-11      -1.181034765416e-14 
   32       1.469080438746e-10       3.361583256287e-15       2.480573960126e-13       3.471905298224e-17       1.234887950876e-10       1.275884774632e-11      -8.738535359776e-15 
   33       1.493042341048e-10       3.735852311636e-15       2.486278371763e-13       3.692055201513e-17       1.161852855566e-10       1.206687222771e-11      -6.314402074675e-15 
   34       1.517360249225e-10       4.138749852922e-15       2.483109071514e-13       3.919103612735e-17       1.094476706583e-10       1.143007447440e-11      -5.233526985155e-15 
   35       1.542032882119e-10       4.571012499350e-15       2.470770202310e-13       4.153058269110e-17       1.032404356060e-10       1.084500480506e-11      -5.362032163840e-15 
   36       1.566992427184e-10       5.033250218827e-15       2.448309820666e-13       4.393926940718e-17       9.751268872819e-11       1.030486398129e-11      -6.233573290844e-15 
   37       1.592133764348e-10       5.526019125538e-15       2.414632998183e-13       4.641717313166e-17       9.218863992618e-11       9.800413263075e-12      -7.334290765735e-15 
   38       1.617510769929e-10       6.050031462503e-15       2.368572424123e-13       4.896437387779e-17       8.725391996211e-11       9.329783334420e-12      -8.413765086123e-15 
   39       1.643193617306e-10       6.606005602365e-15       2.308819689380e-13       5.158095268318e-17       8.269237158378e-11       8.891367765248e-12      -9.268162504375e-15 
   40       1.669209908828e-10       7.194605067142e-15       2.233891022183e-13       5.426699099405e-17       7.845981708149e-11       8.480899454501e-12      -9.653901382649e-15 
   41       1.695553060031e-10       7.816436952062e-15       2.142461769017e-13       5.702256931038e-17       7.449931326800e-11       8.093107041385e-12      -9.371106235935e-15 
   42       1.722222619414e-10       8.472055554436e-15       2.034529328512e-13       5.984776173374e-17       7.079875407445e-11       7.727891049857e-12      -8.552339566063e-15 
   43       1.749188752893e-10       9.161953642469e-15       1.910608811440e-13       6.274264024498e-17       6.734791299112e-11       7.385767313803e-12      -7.463873751838e-15 
   44       1.776376094414e-10       9.886556880481e-15       1.771431086203e-13       6.570727649719e-17       6.412116569509e-11       7.066051231693e-12      -6.431446264308e-15 
   45       1.803700806970e-10       1.064626371389e-14       1.617713765069e-13       6.874173707759e-17       6.108654195141e-11       6.767286977697e-12      -5.763036701740e-15 
   46       1.831204472343e-10       1.144158769031e-14       1.449364383384e-13       7.184606704308e-17       5.823899063850e-11       6.488929722367e-12      -5.481361437878e-15 
   47       1.858953375723e-10       1.227305158946e-14       1.266059311409e-13       7.502030186728e-17       5.557497909460e-11       6.229991951956e-12      -5.517401107909e-15 
   48       1.886999271408e-10       1.314114659462e-14       1.067462138965e-13       7.826447194203e-17       5.308246650705e-11       5.988485382004e-12      -5.783108925174e-15 
   49       1.915377720272e-10       1.404633121154e-14       8.532217379079e-14       8.157860252879e-17       5.074027254995e-11       5.761349067418e-12      -6.170285061118e-15 
   50       1.944107624162e-10       1.498898803789e-14       6.229790860069e-14       8.496270882268e-17       4.852440645766e-11       5.545288116544e-12      -6.571829828071e-15 
   51       1.973193537162e-10       1.596928274576e-14       3.763944172564e-14       8.841677967795e-17       4.643054430942e-11       5.339725006540e-12      -6.954915684587e-15 
   52       2.002621107908e-10       1.698726495292e-14       1.131240920783e-14       9.194078938102e-17       4.445656160105e-11       5.144525103061e-12      -7.305731240548e-15 
   53       2.032354369392e-10       1.804290403497e-14      -1.671890090016e-14       9.553470187970e-17       4.259580945420e-11       4.959127724010e-12      -7.608767602641e-15 
   54       2.062334132756e-10       1.913608606083e-14      -4.649170105771e-14       9.919847050464e-17       4.083681080386e-11       4.782517101572e-12      -7.846745874433e-15 
   55       2.092500476221e-10       2.026666663866e-14      -7.803950331715e-14       1.029320389326e-16       3.916672784404e-11       4.613569082943e-12      -8.006931897678e-15 
   56       2.122870433788e-10       2.143465184754e-14      -1.113746541574e-13       1.067353449943e-16       3.758346908246e-11       4.452258614275e-12      -8.102083582604e-15 
   57       2.153476792682e-10       2.264005688530e-14      -1.465017280829e-13       1.106083173250e-16       3.608605778684e-11       4.298701359384e-12      -8.154580354864e-15 
   58       2.184345036217e-10       2.388285322912e-14      -1.834224460990e-13       1.145508739796e-16       3.467097077343e-11       4.152790156738e-12      -8.190664351911e-15 
   59       2.215492676362e-10       2.516296774933e-14      -2.221356196590e-13       1.185629222029e-16       3.333198152666e-11       4.014180620657e-12      -8.240616776628e-15 
   60       2.246928586311e-10       2.648028182319e-14      -2.626370946105e-13       1.226443581993e-16       3.206000331894e-11       3.882276742514e-12      -8.338934250971e-15 
   61       2.278657161645e-10       2.783460692948e-14      -3.049198633823e-13       1.267950789766e-16       3.084559320644e-11       3.756415648290e-12      -8.515003749019e-15 
   62       2.310693405244e-10       2.922560703580e-14      -3.489745577802e-13       1.310150215041e-16       2.968747571175e-11       3.636502906565e-12      -8.762282512990e-15 
   63       2.343050059377e-10       3.065285713841e-14      -3.947889678405e-13       1.353041319757e-16       2.858566269355e-11       3.522494920281e-12      -9.062481698004e-15 
   64       2.375732571853e-10       3.211586364393e-14      -4.423478336397e-13       1.396623546611e-16       2.753889028016e-11       3.414204434140e-12      -9.394334703078e-15 
   65       2.408738581785e-10       3.361406273696e-14      -4.916327945791e-13       1.440896320587e-16       2.654454641688e-11       3.311292454892e-12      -9.733472051875e-15 
   66       2.442057405368e-10       3.514681874758e-14      -5.426223386701e-13       1.485859050487e-16       2.559859841328e-11       3.213260171610e-12      -1.005229627345e-14 
   67       2.475669521654e-10       3.671342251887e-14      -5.952917518183e-13       1.531511130459e-16       2.469552049052e-11       3.119440875975e-12      -1.031985678298e-14 
   68       2.509555489982e-10       3.831309235927e-14      -6.496162936522e-13       1.577852105701e-16       2.382975864622e-11       3.029176202561e-12      -1.050868819099e-14 
