# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.707264050321e+00 
       2.373043761528e-05       3.822437400175e+00 
       3.705205197341e-05       5.921385018939e+00 
       5.046040160262e-05       8.018306328868e+00 
       6.399420676399e-05       1.012288196791e+01 
       7.769321405898e-05       1.224328909548e+01 
       9.159857522556e-05       1.438710656505e+01 
       1.057532435558e-04       1.656171612334e+01 
       1.202023933008e-04       1.877453016379e+01 
       1.349938674647e-04       2.103314699656e+01 
       1.501786593808e-04       2.334547317988e+01 
       1.658114333596e-04       2.571983057534e+01 
       1.819510894196e-04       2.816505720763e+01 
       1.986613765579e-04       3.069060641746e+01 
       2.160115580438e-04       3.330664804050e+01 
       2.340771306401e-04       3.602417142619e+01 
       2.529405972213e-04       3.885509272556e+01 
       2.726922886571e-04       4.181236395418e+01 
       2.934312256600e-04       4.491008395035e+01 
       3.152660040981e-04       4.816360671404e+01 
       3.383156775180e-04       5.158964367985e+01 
       3.627105977775e-04       5.520635285077e+01 
       3.885931583209e-04       5.903340583749e+01 
       4.161183645581e-04       6.309201949847e+01 
       4.454541324261e-04       6.740493797274e+01 
       4.767811907995e-04       7.199634504870e+01 
       5.102924387431e-04       7.689168471270e+01 
       5.461915893473e-04       8.211736400524e+01 
       5.846909251320e-04       8.770031679208e+01 
       6.260080050474e-04       9.366740416468e+01 
       6.703612104985e-04       1.000446443941e+02 
       7.179641068864e-04       1.068562736074e+02 
       7.690187318622e-04       1.141236655134e+02 
       8.237080952403e-04       1.218641679483e+02 
       8.821883665213e-04       1.300899370989e+02 
       9.445813962622e-04       1.388068793062e+02 
       1.010968318642e-03       1.480138243333e+02 
       1.081384969221e-03       1.577020357966e+02 
       1.155819700313e-03       1.678551451602e+02 
       1.234213899658e-03       1.784495381143e+02 
       1.316465168833e-03       1.894551613339e+02 
       1.402432774394e-03       2.008366675393e+02 
       1.491944724558e-03       2.125547790224e+02 
       1.584805697329e-03       2.245677194615e+02 
