# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.880242507522e+00 
       2.373043761528e-05       6.448645155096e+00 
       3.705205197341e-05       9.989665046796e+00 
       5.046040160262e-05       1.352725235673e+01 
       6.399420676399e-05       1.707773322088e+01 
       7.769321405898e-05       2.065489696986e+01 
       9.159857522556e-05       2.427152302888e+01 
       1.057532435558e-04       2.794005737844e+01 
       1.202023933008e-04       3.167299667235e+01 
       1.349938674647e-04       3.548314995517e+01 
       1.501786593808e-04       3.938384463682e+01 
       1.658114333596e-04       4.338910686501e+01 
       1.819510894196e-04       4.751383107447e+01 
       1.986613765579e-04       5.177394702535e+01 
       2.160115580438e-04       5.618658938857e+01 
       2.340771306401e-04       6.077027130341e+01 
       2.529405972213e-04       6.554506397122e+01 
       2.726922886571e-04       7.053277979799e+01 
       2.934312256600e-04       7.575715795064e+01 
       3.152660040981e-04       8.124404549997e+01 
       3.383156775180e-04       8.702156825708e+01 
       3.627105977775e-04       9.312027826152e+01 
       3.885931583209e-04       9.957326415013e+01 
       4.161183645581e-04       1.064162015809e+02 
       4.454541324261e-04       1.136873191508e+02 
       4.767811907995e-04       1.214272465821e+02 
       5.102924387431e-04       1.296787077723e+02 
       5.461915893473e-04       1.384860163473e+02 
       5.846909251320e-04       1.478943361031e+02 
       6.260080050474e-04       1.579486691466e+02 
       6.703612104985e-04       1.686925575553e+02 
       7.179641068864e-04       1.801665044546e+02 
       7.690187318622e-04       1.924061634770e+02 
       8.237080952403e-04       2.054403931744e+02 
       8.821883665213e-04       2.192893164850e+02 
       9.445813962622e-04       2.339625678711e+02 
       1.010968318642e-03       2.494579361682e+02 
       1.081384969221e-03       2.657605780318e+02 
       1.155819700313e-03       2.828429394510e+02 
       1.234213899658e-03       3.006654296750e+02 
       1.316465168833e-03       3.191777851433e+02 
       1.402432774394e-03       3.383209808026e+02 
       1.491944724558e-03       3.580294860784e+02 
       1.584805697329e-03       3.782336166425e+02 
       1.680805061300e-03       3.988617797261e+02 
       1.779724358910e-03       4.198424776960e+02 
       1.881343813733e-03       4.411059448010e+02 
       1.985447627100e-03       4.625853929299e+02 
       2.091828006459e-03       4.842179113767e+02 
       2.200287998256e-03       5.059450183706e+02 
       2.310643277916e-03       5.277122791732e+02 
       2.422723085604e-03       5.494713868406e+02 
       2.536370500476e-03       5.711783543968e+02 
       2.651442230081e-03       5.927937568742e+02 
       2.767808065318e-03       6.142825675297e+02 
       2.885350122019e-03       6.356139604835e+02 
       3.003961962113e-03       6.567608634978e+02 
       3.123547662764e-03       6.776997654577e+02 
       3.244020881646e-03       6.984102844026e+02 
       3.365303950641e-03       7.188748512341e+02 
       3.487327018288e-03       7.390784151181e+02 
       3.610027252458e-03       7.590081361696e+02 
       3.733348108622e-03       7.786532700010e+02 
       3.857238664757e-03       7.980046857479e+02 
       3.981653021215e-03       8.170548554026e+02 
       4.106549762154e-03       8.357977836576e+02 
       4.231891474164e-03       8.542284784606e+02 
       4.357644317282e-03       8.723434226349e+02 
       4.483777643502e-03       8.901397148601e+02 
       4.610263657980e-03       9.076157261532e+02 
       4.737077118433e-03       9.247702383302e+02 
       4.864195068510e-03       9.416029358216e+02 
       4.991596601329e-03       9.581141540022e+02 
       5.119262649698e-03       9.743043996271e+02 
       5.247175799933e-03       9.901750938521e+02 
       5.375320126495e-03       1.005727523169e+03 
       5.503681045008e-03       1.020963642743e+03 
       5.632245181484e-03       1.035885885011e+03 
       5.761000255846e-03       1.050496469063e+03 
       5.889934978076e-03       1.064798108495e+03 
       6.019038955502e-03       1.078793665808e+03 
       6.148302609931e-03       1.092486055587e+03 
       6.277717103485e-03       1.105878596919e+03 
       6.407274272154e-03       1.118974771571e+03 
       6.536966566162e-03       1.131777468867e+03 
       6.666786996400e-03       1.144290392459e+03 
       6.796729086234e-03       1.156517021639e+03 
       6.926786828090e-03       1.168460816334e+03 
       7.056954644300e-03       1.180125596989e+03 
       7.187227351743e-03       1.191514821724e+03 
       7.317600129859e-03       1.202632019349e+03 
       7.448068491705e-03       1.213480953709e+03 
       7.578628257697e-03       1.224065429024e+03 
       7.709275531791e-03       1.234388543643e+03 
       7.840006679834e-03       1.244454776448e+03 
       7.970818309857e-03       1.254267343919e+03 
       8.101707254141e-03       1.263829305426e+03 
       8.232670552846e-03       1.273144985541e+03 
       8.363705439076e-03       1.282217734000e+03 
       8.494809325229e-03       1.291050195849e+03 
       8.625979790500e-03       1.299646594964e+03 
       8.757214569446e-03       1.308010316983e+03 
       8.888511541496e-03       1.316144585877e+03 
       9.019868721331e-03       1.324052499152e+03 
       9.151284250039e-03       1.331737803719e+03 
       9.282756386994e-03       1.339203286880e+03 
       9.414283502372e-03       1.346452459311e+03 
       9.545864070270e-03       1.353488133352e+03 
       9.677496662351e-03       1.360313577835e+03 
       9.809179941995e-03       1.366934087931e+03 
       9.940912658886e-03       1.373348499292e+03 
       1.007269364402e-02       1.379561599215e+03 
       1.020452180510e-02       1.385576450058e+03 
       1.033639612222e-02       1.391395646677e+03 
       1.046831564399e-02       1.397022527408e+03 
       1.060027948378e-02       1.402458875588e+03 
       1.073228681639e-02       1.407708268368e+03 
       1.086433687490e-02       1.412773221496e+03 
       1.099642894770e-02       1.417656255081e+03 
       1.112856237583e-02       1.422360214508e+03 
       1.126073655044e-02       1.426887215171e+03 
       1.139295091047e-02       1.431240660286e+03 
       1.152520494046e-02       1.435422242331e+03 
       1.165749816853e-02       1.439434168103e+03 
       1.178983016452e-02       1.443280229710e+03 
       1.192220053825e-02       1.446961351604e+03 
       1.205460893787e-02       1.450480318133e+03 
       1.218705504840e-02       1.453839937754e+03 
       1.231953859028e-02       1.457042612226e+03 
       1.245205931810e-02       1.460088785500e+03 
       1.258461701939e-02       1.462983104749e+03 
       1.271721151347e-02       1.465726300619e+03 
       1.284984265044e-02       1.468320922071e+03 
       1.298251031021e-02       1.470768306070e+03 
       1.311521440158e-02       1.473072341082e+03 
       1.324795486143e-02       1.475234043145e+03 
       1.338073165393e-02       1.477255200218e+03 
       1.351354476986e-02       1.479138742886e+03 
       1.364639422595e-02       1.480886154688e+03 
       1.377928006424e-02       1.482499196133e+03 
       1.391220235156e-02       1.483980296242e+03 
       1.404516117903e-02       1.485331349024e+03 
       1.417815666155e-02       1.486554477241e+03 
       1.431118893742e-02       1.487650216456e+03 
       1.444425816795e-02       1.488622668835e+03 
       1.457736453706e-02       1.489471708188e+03 
       1.471050825103e-02       1.490200452292e+03 
       1.484368953822e-02       1.490809800012e+03 
       1.497690864875e-02       1.491302458289e+03 
       1.511016585436e-02       1.491679127527e+03 
       1.524346144820e-02       1.491942870612e+03 
       1.537679574464e-02       1.492094659120e+03 
       1.551016907917e-02       1.492136259955e+03 
       1.564358180828e-02       1.492069829814e+03 
       1.577703430938e-02       1.491896473519e+03 
       1.591052698073e-02       1.491618290228e+03 
       1.604406024142e-02       1.491236918857e+03 
       1.617763453133e-02       1.490753983150e+03 
       1.631125031118e-02       1.490170736303e+03 
       1.644490806251e-02       1.489489193567e+03 
       1.657860828775e-02       1.488710976803e+03 
       1.671235151029e-02       1.487837640708e+03 
       1.684613827459e-02       1.486870770039e+03 
       1.697996914622e-02       1.485810634701e+03 
       1.711384471207e-02       1.484660014090e+03 
       1.724776558040e-02       1.483421594141e+03 
       1.738173238109e-02       1.482095689531e+03 
       1.751574576578e-02       1.480682342959e+03 
       1.764980640804e-02       1.479184595534e+03 
       1.778391500363e-02       1.477603705888e+03 
       1.791807227070e-02       1.475941283341e+03 
       1.805227895006e-02       1.474197946918e+03 
       1.818653580541e-02       1.472376119783e+03 
       1.832084362365e-02       1.470476054516e+03 
       1.845520321520e-02       1.468499932563e+03 
       1.858961541424e-02       1.466448216440e+03 
       1.872408107911e-02       1.464323545910e+03 
       1.885860109264e-02       1.462126696660e+03 
       1.899317636251e-02       1.459857481000e+03 
       1.912780782161e-02       1.457519589032e+03 
       1.926249642850e-02       1.455111673042e+03 
       1.939724316775e-02       1.452639397659e+03 
       1.953204905044e-02       1.450097039622e+03 
       1.966691511458e-02       1.447494331892e+03 
       1.980184242558e-02       1.444825140678e+03 
