# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.880159413230e+00 
       2.373043761528e-05       6.448459600087e+00 
       3.705205197341e-05       9.989378946743e+00 
       5.046040160262e-05       1.352686758105e+01 
       6.399420676399e-05       1.707725185257e+01 
       7.769321405898e-05       2.065432143881e+01 
       9.159857522556e-05       2.427085622399e+01 
       1.057532435558e-04       2.793930276580e+01 
       1.202023933008e-04       3.167215843147e+01 
       1.349938674647e-04       3.548223314281e+01 
       1.501786593808e-04       3.938285538728e+01 
       1.658114333596e-04       4.338805263497e+01 
       1.819510894196e-04       4.751272094607e+01 
       1.986613765579e-04       5.177279207918e+01 
       2.160115580438e-04       5.618540316990e+01 
       2.340771306401e-04       6.076907039531e+01 
       2.529405972213e-04       6.554386871287e+01 
       2.726922886571e-04       7.053161517665e+01 
       2.934312256600e-04       7.575605471700e+01 
       3.152660040981e-04       8.124304156170e+01 
       3.383156775180e-04       8.702071041860e+01 
       3.627105977775e-04       9.311962440445e+01 
       3.885931583209e-04       9.957288596143e+01 
       4.161183645581e-04       1.064161879559e+02 
       4.454541324261e-04       1.136877804369e+02 
       4.767811907995e-04       1.214283198527e+02 
       5.102924387431e-04       1.296805633499e+02 
       5.461915893473e-04       1.384888658103e+02 
       5.846909251320e-04       1.478984420504e+02 
       6.260080050474e-04       1.579543569612e+02 
       6.703612104985e-04       1.687002294098e+02 
       7.179641068864e-04       1.801766557104e+02 
       7.690187318622e-04       1.924194015161e+02 
       8.237080952403e-04       2.054574585523e+02 
       8.821883665213e-04       2.193111060469e+02 
       9.445813962622e-04       2.339901592287e+02 
       1.010968318642e-03       2.494926126818e+02 
       1.081384969221e-03       2.658038531973e+02 
       1.155819700313e-03       2.828965794588e+02 
       1.234213899658e-03       3.007314728714e+02 
       1.316465168833e-03       3.192585572140e+02 
       1.402432774394e-03       3.384191047255e+02 
       1.491944724558e-03       3.581478862171e+02 
       1.584805697329e-03       3.783755166919e+02 
       1.680805061300e-03       3.990306945465e+02 
       1.779724358910e-03       4.200421994581e+02 
       1.881343813733e-03       4.413405240098e+02 
       1.985447627100e-03       4.628591150912e+02 
       2.091828006459e-03       4.845352701896e+02 
       2.200287998256e-03       5.063106862240e+02 
       2.310643277916e-03       5.281310742058e+02 
       2.422723085604e-03       5.499482436016e+02 
       2.536370500476e-03       5.717182900894e+02 
       2.651442230081e-03       5.934018386930e+02 
       2.767808065318e-03       6.149638809950e+02 
       2.885350122019e-03       6.363735790656e+02 
       3.003961962113e-03       6.576038195466e+02 
       3.123547662764e-03       6.786310233139e+02 
       3.244020881646e-03       6.994347154078e+02 
       3.365303950641e-03       7.199972110487e+02 
       3.487327018288e-03       7.403033236019e+02 
       3.610027252458e-03       7.603400597619e+02 
       3.733348108622e-03       7.800965071291e+02 
       3.857238664757e-03       7.995633542498e+02 
       3.981653021215e-03       8.187328830646e+02 
       4.106549762154e-03       8.375989015890e+02 
       4.231891474164e-03       8.561562158631e+02 
       4.357644317282e-03       8.744011055632e+02 
       4.483777643502e-03       8.923304648705e+02 
       4.610263657980e-03       9.099424631333e+02 
       4.737077118433e-03       9.272356826530e+02 
       4.864195068510e-03       9.442096136113e+02 
       4.991596601329e-03       9.608644031822e+02 
       5.119262649698e-03       9.772003755092e+02 
       5.247175799933e-03       9.932187781491e+02 
       5.375320126495e-03       1.008920730345e+03 
       5.503681045008e-03       1.024308029488e+03 
       5.632245181484e-03       1.039382959608e+03 
       5.761000255846e-03       1.054147598448e+03 
       5.889934978076e-03       1.068604527947e+03 
       6.019038955502e-03       1.082756487238e+03 
       6.148302609931e-03       1.096606275352e+03 
       6.277717103485e-03       1.110157104732e+03 
       6.407274272154e-03       1.123412358031e+03 
       6.536966566162e-03       1.136374829557e+03 
       6.666786996400e-03       1.149048137598e+03 
       6.796729086234e-03       1.161435527745e+03 
       6.926786828090e-03       1.173540476103e+03 
       7.056954644300e-03       1.185366831212e+03 
       7.187227351743e-03       1.196917912901e+03 
