# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.339035168932e-04      -2.504573432278e-04      -2.504573478319e-04      -3.339026197027e-04      -2.504114875838e-04      -2.505784144640e-04       5.988894190547e-01       5.979866600639e-01      -1.689042827664e-11      -3.053770370807e-15      -1.744671425977e-11      -1.775388964746e-14      -3.401248751385e-14 
       2.373043761528e-05      -1.718546474964e-03      -1.289697349262e-03      -1.289697471324e-03      -1.718522694112e-03      -1.289457959633e-03      -1.290319578207e-03       5.988857983108e-01       5.979836888605e-01      -4.477104221495e-10      -8.095399794513e-14      -4.624540254230e-10      -4.707605689627e-13      -9.015629278545e-13 
       3.705205197341e-05      -4.185906744348e-03      -3.144108373854e-03      -3.144109099040e-03      -4.185765508223e-03      -3.143510584050e-03      -3.145620017040e-03       5.988793351977e-01       5.979783837250e-01      -2.659171671017e-09      -4.809120303751e-13      -2.746721836105e-09      -2.797804289308e-12      -5.354847350948e-12 
       5.046040160262e-05      -7.753696790901e-03      -5.831355986021e-03      -5.831358479346e-03      -7.753211441505e-03      -5.830209130593e-03      -5.834145477654e-03       5.988699766884e-01       5.979707012139e-01      -9.139004464929e-09      -1.653202727753e-12      -9.439799012480e-09      -9.624059786575e-12      -1.840357739006e-11 
       6.399420676399e-05      -1.244951879250e-02      -9.378709749440e-03      -9.378716194788e-03      -1.244826499019e-02      -9.376784260123e-03      -9.383166170019e-03       5.988576279638e-01       5.979605614144e-01      -2.361179268723e-08      -4.272710126103e-12      -2.438860977194e-08      -2.489437783220e-11      -4.754840163411e-11 
       7.769321405898e-05      -1.831111867927e-02      -1.382356202402e-02      -1.382357601490e-02      -1.830839934219e-02      -1.382057443665e-02      -1.383007519207e-02       5.988421635446e-01       5.979478589059e-01      -5.121945447702e-08      -9.272437001046e-12      -5.290366133158e-08      -5.408164149972e-11      -1.031445768157e-10 
       9.159857522556e-05      -2.538675059908e-02      -1.921416632914e-02      -1.921419333260e-02      -2.538150742745e-02      -1.920976160182e-02      -1.922312636104e-02       5.988234253529e-01       5.979324616512e-01      -9.877624305934e-08      -1.789097457669e-11      -1.020221450785e-07      -1.044832773474e-10      -1.989158552868e-10 
       1.057532435558e-04      -3.373564248465e-02      -2.561061569650e-02      -2.561066361535e-02      -3.372634949293e-02      -2.560434587095e-02      -2.562241183582e-02       5.988012119969e-01       5.979142003454e-01      -1.751125381722e-07      -3.173686559020e-11      -1.808625763789e-07      -1.856249358534e-10      -3.526473627663e-10 
       1.202023933008e-04      -4.342855072140e-02      -3.308608968568e-02      -3.308616955123e-02      -4.341308409648e-02      -3.307738768939e-02      -3.310110814596e-02       5.987752811225e-01       5.978928713202e-01      -2.915269003140e-07      -5.287312132892e-11      -3.010910483064e-07      -3.097979141494e-10      -5.870966956628e-10 
       1.349938674647e-04      -5.454838400921e-02      -4.172840591540e-02      -4.172853275100e-02      -5.452386138793e-02      -4.171655298443e-02      -4.174702640013e-02       5.987453431520e-01       5.978682308866e-01      -4.623723536039e-07      -8.392742822682e-11      -4.775258143967e-07      -4.927664707518e-10      -9.311757008390e-10 
       1.501786593808e-04      -6.719086814515e-02      -5.164192170408e-02      -5.164211561117e-02      -6.715344815784e-02      -5.162600647547e-02      -5.166451216203e-02       5.987110542819e-01       5.978399891791e-01      -7.058106486154e-07      -1.282366141990e-10      -7.289151884707e-07      -7.546938456462e-10      -1.421471580104e-09 
       1.658114333596e-04      -8.146520765336e-02      -6.294984216104e-02      -6.295012968865e-02      -8.140983975562e-02      -6.292870890386e-02      -6.297675118701e-02       5.986720112624e-01       5.978078053253e-01      -1.044779389889e-06      -1.900284229918e-10      -1.078934111940e-06      -1.121352408651e-09      -2.104196376738e-09 
       1.819510894196e-04      -9.749468339361e-02      -7.579700252636e-02      -7.579741841597e-02      -9.741479262716e-02      -7.576918522273e-02      -7.582854864142e-02       5.986277422752e-01       5.977712796233e-01      -1.508227273156e-06      -2.746616512803e-10      -1.557457658262e-06      -1.625705491228e-09      -3.037679198155e-09 
       1.986613765579e-04      -1.154170890874e-01      -9.035320679802e-02      -9.035379618301e-02      -1.153041825861e-01      -9.031684471639e-02      -9.038966355711e-02       5.985776977792e-01       5.977299447802e-01      -2.132693165348e-06      -3.889206110264e-10      -2.202185934485e-06      -2.309978260793e-09      -4.295548476707e-09 
       2.160115580438e-04      -1.353848917995e-01      -1.068172196244e-01      -1.068180409064e-01      -1.352280535383e-01      -1.067699487620e-01      -1.068587952782e-01       5.985212387953e-01       5.976832564358e-01      -2.964312335350e-06      -5.414336591569e-10      -3.060714705570e-06      -3.228374729840e-09      -5.970788113823e-09 
       2.340771306401e-04      -1.575649003138e-01      -1.254215257776e-01      -1.254226542135e-01      -1.573501666245e-01      -1.253603384669e-01      -1.254683355624e-01       5.984576241306e-01       5.976305799450e-01      -4.061382599491e-06      -7.431368452476e-10      -4.193170249059e-06      -4.450651822570e-09      -8.180905079687e-09 
       2.529405972213e-04      -1.821372276728e-01      -1.464379892135e-01      -1.464395216160e-01      -1.818467859990e-01      -1.463590520194e-01      -1.464900180832e-01       5.983859951382e-01       5.975711775419e-01      -5.497610446790e-06      -1.007960731561e-09      -5.675555615005e-06      -6.066833923525e-09      -1.107449523897e-08 
       2.726922886571e-04      -2.092931553686e-01      -1.701845622742e-01      -1.701866230026e-01      -2.089043412937e-01      -1.700829786909e-01      -1.702416148759e-01       5.983053573334e-01       5.975041902826e-01      -7.366236033527e-06      -1.353633792503e-09      -7.603987742114e-06      -8.193447961252e-09      -1.483956757348e-08 
       2.934312256600e-04      -2.392314525380e-01      -1.970332136971e-01      -1.970359624013e-01      -2.387154807708e-01      -1.969027138380e-01      -1.970948476442e-01       5.982145619309e-01       5.974286208313e-01      -9.785228163729e-06      -1.802774483795e-09      -1.010004018045e-05      -1.098179210907e-08      -1.971405135188e-08 
       3.152660040981e-04      -2.721525137482e-01      -2.274192553932e-01      -2.274228970819e-01      -2.714728750725e-01      -2.272517889160e-01      -2.274846927009e-01       5.981122811800e-01       5.973433092208e-01      -1.290380097708e-05      -2.384281647455e-09      -1.331743797808e-05      -1.462892272850e-08      -2.599898297402e-08 
       3.383156775180e-04      -3.082494524881e-01      -2.618522585139e-01      -2.618570562672e-01      -3.073599401477e-01      -2.616374584271e-01      -2.619202682115e-01       5.979969861390e-01       5.972469099699e-01      -1.691053812089e-05      -3.134962113729e-09      -1.745037602542e-05      -1.939228521329e-08      -3.407492050993e-08 
       3.627105977775e-04      -3.476952110647e-01      -3.009287355176e-01      -3.009350270796e-01      -3.465374425760e-01      -3.006532106924e-01      -3.009974793799e-01       5.978669169895e-01       5.971378619621e-01      -2.204334488771e-05      -4.101810627275e-09      -2.274372863227e-05      -2.560921215181e-08      -4.442213447795e-08 
       3.885931583209e-04      -3.906243992701e-01      -3.453467439807e-01      -3.453549633312e-01      -3.891247278653e-01      -3.449931432662e-01      -3.454135749040e-01       5.977200564110e-01       5.970143593749e-01      -2.860147457905e-05      -5.344890316511e-09      -2.950537278124e-05      -3.372293130302e-08      -5.764505049924e-08 
       4.161183645581e-04      -4.371083310259e-01      -3.959225018157e-01      -3.959332063305e-01      -4.351741494309e-01      -3.954682732323e-01      -3.959837013751e-01       5.975541000100e-01       5.968743169005e-01      -3.695978079189e-05      -6.940534134208e-09      -3.812071063460e-05      -4.431723157923e-08      -7.450117392733e-08 
       4.454541324261e-04      -4.871218975266e-01      -4.536089997238e-01      -4.536229047710e-01      -4.846372204508e-01      -4.530247443185e-01      -4.536594400943e-01       5.973664294848e-01       5.967153357405e-01      -4.758495787635e-05      -8.985465452586e-09      -4.906920549123e-05      -5.816260428435e-08      -9.593420941286e-08 
       4.767811907995e-04      -5.405009700296e-01      -5.195164275437e-01      -5.195344505704e-01      -5.373212355073e-01      -5.187637156417e-01      -5.195491410666e-01       5.971540898242e-01       5.965346697161e-01      -6.105314975528e-05      -1.160178719925e-08      -6.294225258524e-05      -7.627747553645e-08      -1.231101682899e-07 
       5.102924387431e-04      -5.968896829798e-01      -5.949339868188e-01      -5.949573032505e-01      -5.928357937687e-01      -5.939624640582e-01      -5.949396258587e-01       5.969137751035e-01       5.963291950657e-01      -7.806749154507e-05      -1.494298109534e-08      -8.046090301360e-05      -1.000091012814e-07      -1.574537245144e-07 
       5.461915893473e-04      -6.556779352948e-01      -6.813523282800e-01      -6.813824385654e-01      -6.505301355199e-01      -6.800958860730e-01      -6.813184967180e-01       5.966418264732e-01       5.960953856721e-01      -9.947325029885e-05      -1.919894397078e-08      -1.024907426050e-04      -1.311397456201e-07      -2.006797672542e-07 
       5.846909251320e-04      -7.159333824673e-01      -7.804854216841e-01      -7.805242358773e-01      -7.094247810353e-01      -7.788571540034e-01      -7.803958719830e-01       5.963342508883e-01       5.958293036477e-01      -1.262657616288e-04      -2.460356252260e-08      -1.300495385976e-04      -1.720248564691e-07      -2.548117843889e-07 
       6.260080050474e-04      -7.763334555501e-01      -8.942901837981e-01      -8.943401170765e-01      -7.681450685320e-01      -8.921757717242e-01      -8.941238733860e-01       5.959867651836e-01       5.955266066186e-01      -1.595857970814e-04      -3.143750654052e-08      -1.643011523686e-04      -2.257708619667e-07      -3.221747155109e-07 
       6.703612104985e-04      -8.351124853375e-01      -1.024981652761e+00      -1.025045739901e+00      -8.248698880757e-01      -1.022230760173e+00      -1.024711688917e+00       5.955948736791e-01       5.951825837615e-01      -2.006926827015e-04      -4.003299405184e-08      -2.065269808123e-04      -2.964607471233e-07      -4.053453730157e-07 
       7.179641068864e-04      -8.900418670296e-01      -1.175041079087e+00      -1.175123101080e+00      -8.773159586643e-01      -1.171456258064e+00      -1.174633599418e+00       5.951539827025e-01       5.947922244191e-01      -2.509059678684e-04      -5.077229237293e-08      -2.580645557108e-04      -3.894352956823e-07      -5.070404475535e-07 
       7.690187318622e-04      -9.384702723821e-01      -1.347214068690e+00      -1.347318678569e+00      -9.227850250973e-01      -1.342536609602e+00      -1.346627142113e+00       5.946595548287e-01       5.943503284004e-01      -3.115056522283e-04      -6.407594972002e-08      -3.202032295949e-04      -5.116364258333e-07      -6.299220791053e-07 
       8.237080952403e-04      -9.774574220867e-01      -1.544496037517e+00      -1.544628885921e+00      -9.583057240491e-01      -1.538388181762e+00      -1.543678733379e+00       5.941072998706e-01       5.938516638161e-01      -3.835838229740e-04      -8.038704928623e-08      -3.940310602121e-04      -6.720159453518e-07      -7.763091251600e-07 
       8.821883665213e-04      -1.004028624002e+00      -1.770102923356e+00      -1.770270761868e+00      -9.808993256928e-01      -1.762125848762e+00      -1.768994721468e+00       5.934933858135e-01       5.932911662795e-01      -4.678527383813e-04      -1.001383770922e-07      -4.802373427855e-04      -8.820079990321e-07      -9.478013874810e-07 
       9.445813962622e-04      -1.015567771367e+00      -2.027426324387e+00      -2.027637067961e+00      -9.879838665077e-01      -2.017013394526e+00      -2.025957067772e+00       5.928146459307e-01       5.926641694303e-01      -5.644295829926e-04      -1.237081203004e-07      -5.788932826897e-04      -1.156056553250e-06      -1.144858668716e-06 
       1.010968318642e-03      -1.010334727066e+00      -2.319974036395e+00      -2.320236776460e+00      -9.779000742581e-01      -2.306398957042e+00      -2.318064615799e+00       5.920687618742e-01       5.919666588047e-01      -6.726432642488e-04      -1.513684082997e-07      -6.892582019100e-04      -1.512181385016e-06      -1.366424904112e-06 
       1.081384969221e-03      -9.880450229146e-01      -2.651298960871e+00      -2.651623891797e+00      -9.504949931019e-01      -2.633638685361e+00      -2.648862802959e+00       5.912543756395e-01       5.911955092051e-01      -7.909361509912e-04      -1.832166558476e-07      -8.096850473727e-04      -1.972557499404e-06      -1.609737863623e-06 
       1.155819700313e-03      -9.504009635233e-01      -3.024921196818e+00      -3.025319486602e+00      -9.076432664553e-01      -3.002013768534e+00      -3.021866515189e+00       5.903711104127e-01       5.903486828376e-01      -9.169465554959e-04      -2.191325433888e-07      -9.377154808578e-04      -2.564076513365e-06      -1.870500998323e-06 
       1.234213899658e-03      -9.014057951495e-01      -3.444249467325e+00      -3.444733064250e+00      -8.535393875640e-01      -3.414647264398e+00      -3.440481953566e+00       5.894194844921e-01       5.894253559892e-01      -1.047856717262e-03      -2.587458866207e-07      -1.070445997880e-03      -3.318854866617e-06      -2.143576780333e-06 
       1.316465168833e-03      -8.472868123040e-01      -3.912508162772e+00      -3.913089593719e+00      -7.945826513808e-01      -3.874427391717e+00      -3.907933587598e+00       5.884007177541e-01       5.884259419483e-01      -1.181040614250e-03      -3.014522582347e-07      -1.205197439609e-03      -4.274654227357e-06      -2.424271938698e-06 
       1.402432774394e-03      -7.958887035960e-01      -4.432675574418e+00      -4.433367809879e+00      -7.387240826713e-01      -4.383943147830e+00      -4.427201583482e+00       5.873164682654e-01       5.873520050789e-01      -1.314958900620e-03      -3.464832500899e-07      -1.340426928607e-03      -5.475184792642e-06      -2.710106204141e-06 
       1.491944724558e-03      -7.555152206592e-01      -5.007437231362e+00      -5.008253704235e+00      -6.942610823462e-01      -4.945436374703e+00      -5.000973600223e+00       5.861685564283e-01       5.862060774873e-01      -1.450128091560e-03      -3.930498276533e-07      -1.476699478912e-03      -6.970270944541e-06      -3.002723180215e-06 
