# Matter power spectrum P(k) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       3.549459676748e+00 
       2.373043761528e-05       7.946970452288e+00 
       3.705205197341e-05       1.231073297955e+01 
       5.046040160262e-05       1.667026039585e+01 
       6.399420676399e-05       2.104567028023e+01 
       7.769321405898e-05       2.545395384724e+01 
       9.159857522556e-05       2.991085744180e+01 
       1.057532435558e-04       3.443171638446e+01 
       1.202023933008e-04       3.903192797830e+01 
       1.349938674647e-04       4.372727400259e+01 
       1.501786593808e-04       4.853417470849e+01 
       1.658114333596e-04       5.346991060490e+01 
       1.819510894196e-04       5.855283155933e+01 
       1.986613765579e-04       6.380256234987e+01 
       2.160115580438e-04       6.924021140936e+01 
       2.340771306401e-04       7.488858461445e+01 
       2.529405972213e-04       8.077240622357e+01 
       2.726922886571e-04       8.691854431661e+01 
       2.934312256600e-04       9.335623889424e+01 
       3.152660040981e-04       1.001173249411e+02 
       3.383156775180e-04       1.072364422616e+02 
       3.627105977775e-04       1.147512166598e+02 
       3.885931583209e-04       1.227023953631e+02 
       4.161183645581e-04       1.311339086210e+02 
       4.454541324261e-04       1.400928271144e+02 
       4.767811907995e-04       1.496291744519e+02 
       5.102924387431e-04       1.597955488111e+02 
       5.461915893473e-04       1.706465019574e+02 
       5.846909251320e-04       1.822376289749e+02 
       6.260080050474e-04       1.946243243443e+02 
       6.703612104985e-04       2.078601861735e+02 
       7.179641068864e-04       2.219950772262e+02 
       7.690187318622e-04       2.370729036589e+02 
       8.237080952403e-04       2.531292296212e+02 
       8.821883665213e-04       2.701889015275e+02 
       9.445813962622e-04       2.882639048520e+02 
       1.010968318642e-03       3.073517086206e+02 
       1.081384969221e-03       3.274343105074e+02 
       1.155819700313e-03       3.484781476842e+02 
       1.234213899658e-03       3.704349256851e+02 
       1.316465168833e-03       3.932432854458e+02 
       1.402432774394e-03       4.168311326613e+02 
       1.491944724558e-03       4.411183812531e+02 
       1.584805697329e-03       4.660198101129e+02 
       1.680805061300e-03       4.914477888828e+02 
       1.779724358910e-03       5.173147152994e+02 
       1.881343813733e-03       5.435350125530e+02 
       1.985447627100e-03       5.700266642517e+02 
       2.091828006459e-03       5.967123363181e+02 
       2.200287998256e-03       6.235200823768e+02 
       2.310643277916e-03       6.503829021729e+02 
       2.422723085604e-03       6.772413360959e+02 
       2.536370500476e-03       7.040412522535e+02 
       2.651442230081e-03       7.307341503275e+02 
       2.767808065318e-03       7.572769523977e+02 
       2.885350122019e-03       7.836317445820e+02 
       3.003961962113e-03       8.097652060702e+02 
       3.123547662764e-03       8.356483544435e+02 
       3.244020881646e-03       8.612560050368e+02 
       3.365303950641e-03       8.865663803583e+02 
       3.487327018288e-03       9.115607564494e+02 
