# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.706718595916e-04      -2.780405413394e-04      -2.780405471286e-04      -3.706706553207e-04      -2.779853637970e-04      -2.781613819436e-04       5.981110157766e-01       5.972986372609e-01      -1.978270045088e-11      -3.188267716503e-15      -2.044177039958e-11      -1.701438397576e-14      -3.583591952585e-14 
       2.373043761528e-05      -1.907682346289e-03      -1.431733234712e-03      -1.431733388191e-03      -1.907650426940e-03      -1.431445727889e-03      -1.432354156607e-03       5.981073242527e-01       5.972955957037e-01      -5.243540649856e-10      -8.451912937795e-14      -5.418208757571e-10      -4.511519797127e-13      -9.498584030833e-13 
       3.705205197341e-05      -4.646134486905e-03      -3.490371900069e-03      -3.490372811883e-03      -4.645944925582e-03      -3.489656305404e-03      -3.491879838026e-03       5.981007331407e-01       5.972901630352e-01      -3.114173675680e-09      -5.020738995773e-13      -3.217883271400e-09      -2.681267967313e-12      -5.641296745109e-12 
       5.046040160262e-05      -8.604970249169e-03      -6.473566324585e-03      -6.473569459455e-03      -8.604318883153e-03      -6.472199628787e-03      -6.476347552989e-03       5.980911893842e-01       5.972822957305e-01      -1.070164279797e-08      -1.725875054148e-12      -1.105789892733e-08      -9.223194019785e-12      -1.938604677641e-11 
       6.399420676399e-05      -1.381375359895e-02      -1.041158733751e-02      -1.041159544089e-02      -1.381207109576e-02      -1.040930540972e-02      -1.041602752400e-02       5.980785970031e-01       5.972719124897e-01      -2.764529442540e-08      -4.460294130173e-12      -2.856515196314e-08      -2.385747622688e-11      -5.007993158703e-11 
       7.769321405898e-05      -2.031290227456e-02      -1.534594265310e-02      -1.534596024203e-02      -2.030925359827e-02      -1.534242440896e-02      -1.535242647815e-02       5.980628288904e-01       5.972589059122e-01      -5.995879228816e-08      -9.678882451321e-12      -6.195260575806e-08      -5.182905927770e-11      -1.086175540357e-10 
       9.159857522556e-05      -2.815402157986e-02      -2.133019637907e-02      -2.133023032460e-02      -2.814698762041e-02      -2.132504513707e-02      -2.133910654329e-02       5.980437238576e-01       5.972431402540e-01      -1.156060073261e-07      -1.867346801023e-11      -1.194473621258e-07      -1.001314572112e-10      -2.094271815639e-10 
       1.057532435558e-04      -3.740032634975e-02      -2.843105498151e-02      -2.843111521436e-02      -3.738786162302e-02      -2.842377600143e-02      -2.844277037479e-02       5.980210782839e-01       5.972244435710e-01      -2.048982405969e-07      -3.312176619763e-11      -2.117005476991e-07      -1.778936348071e-10      -3.711911142068e-10 
       1.202023933008e-04      -4.812713250653e-02      -3.672975133118e-02      -3.672985171052e-02      -4.810639142757e-02      -3.671972428031e-02      -3.674464407447e-02       5.979946459489e-01       5.972026075344e-01      -3.410158852148e-07      -5.517432532926e-11      -3.523253719249e-07      -2.968950672048e-10      -6.177913706737e-10 
       1.349938674647e-04      -6.042238969521e-02      -4.632376677511e-02      -4.632392617062e-02      -6.038951239102e-02      -4.631021153776e-02      -4.634219775860e-02       5.979641329375e-01       5.971773828901e-01      -5.406840170546e-07      -8.756768854298e-11      -5.585935266830e-07      -4.722436266313e-10      -9.795343621560e-10 
       1.501786593808e-04      -7.438721566410e-02      -5.732894183988e-02      -5.732918549298e-02      -7.433706100560e-02      -5.731087563904e-02      -5.735125426798e-02       5.979291910260e-01       5.971484743669e-01      -8.250385520868e-07      -1.337784084656e-10      -8.523292825654e-07      -7.232630794771e-10      -1.494723572556e-09 
       1.658114333596e-04      -9.013637149945e-02      -6.988203787023e-02      -6.988239910781e-02      -9.006218468700e-02      -6.985822106261e-02      -6.990854815923e-02       5.978894113398e-01       5.971155337346e-01      -1.220736087894e-06      -1.982054176266e-10      -1.261052039175e-06      -1.074652900110e-09      -2.211670484851e-09 
       1.819510894196e-04      -1.077985985342e-01      -8.414382515996e-02      -8.414434757711e-02      -1.076915927352e-01      -8.411269228464e-02      -8.417481035112e-02       5.978443162309e-01       5.970781534659e-01      -1.761365482520e-06      -2.864224956973e-10      -1.819432169237e-06      -1.558004321288e-09      -3.191257916296e-09 
       1.986613765579e-04      -1.275166904663e-01      -1.003027882713e-01      -1.003035284822e-01      -1.273655254999e-01      -1.002623598125e-01      -1.003384688083e-01       5.977933494227e-01       5.970358570609e-01      -2.489247441778e-06      -4.054826037342e-10      -2.571142415330e-06      -2.213785105405e-09      -4.510202673300e-09 
       2.160115580438e-04      -1.494471562453e-01      -1.185795563674e-01      -1.185805875939e-01      -1.492372709873e-01      -1.185273253913e-01      -1.186200728643e-01       5.977358645680e-01       5.969880894408e-01      -3.457712924774e-06      -5.643446849034e-10      -3.571208145355e-06      -3.093943613658e-09      -6.265198555725e-09 
       2.340771306401e-04      -1.737592043866e-01      -1.392321853170e-01      -1.392336018671e-01      -1.734719929622e-01      -1.391649709504e-01      -1.392775672275e-01       5.976711125972e-01       5.969342040657e-01      -4.734003259526e-06      -7.743573197555e-10      -4.888984865257e-06      -4.265334345492e-09      -8.578172149604e-09 
