# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368941480860e-10       5.080505559657e-15       3.812951283915e-13       0.000000000000e+00       7.954226037612e-09       4.497945428035e-10      -2.025038289135e-12 
    3       1.296220648456e-10       7.470347823042e-15       4.538595351304e-13       0.000000000000e+00       4.956334758040e-09       3.191864392315e-10      -1.658568393475e-12 
    4       1.225658187796e-10       7.478256058499e-15       4.457318223920e-13       0.000000000000e+00       3.446273068396e-09       2.414026926813e-10      -1.206395650086e-12 
    5       1.171805740690e-10       5.826993182178e-15       3.970637568483e-13       0.000000000000e+00       2.568004410707e-09       1.904502183274e-10      -7.872489070993e-13 
    6       1.133924278702e-10       3.743252736928e-15       3.328430129451e-13       0.000000000000e+00       2.001545771005e-09       1.546777041205e-10      -4.406837598590e-13 
    7       1.108651035068e-10       2.113231405273e-15       2.689819253912e-13       0.000000000000e+00       1.610122078501e-09       1.283452208322e-10      -1.814156906806e-13 
    8       1.093593889171e-10       1.202599547939e-15       2.139235482746e-13       0.000000000000e+00       1.326697219282e-09       1.083754496016e-10      -9.155837622434e-15 
    9       1.086252474713e-10       8.383893532786e-16       1.715363428742e-13       0.000000000000e+00       1.114430036421e-09       9.289721225514e-11       8.599445646017e-14 
   10       1.084299487452e-10       7.227505472628e-16       1.427683983908e-13       0.000000000000e+00       9.509467894640e-10       8.062950570423e-11       1.199548963794e-13 
   11       1.086927699061e-10       6.502478076017e-16       1.264084578021e-13       0.000000000000e+00       8.015084360777e-10       7.113491336983e-11       1.114070810836e-13 
   12       1.093114385150e-10       5.598086291493e-16       1.200133695441e-13       0.000000000000e+00       6.991636961276e-10       6.268208015111e-11       7.858249934361e-14 
   13       1.101428470456e-10       4.761722338544e-16       1.208148648924e-13       0.000000000000e+00       6.152302089685e-10       5.587929517528e-11       3.750047819108e-14 
   14       1.112418853203e-10       4.327307923802e-16       1.261029868856e-13       0.000000000000e+00       5.454784245706e-10       5.009845076905e-11      -7.139691462986e-16 
   15       1.124883476328e-10       4.337116886721e-16       1.336319325295e-13       0.000000000000e+00       4.868285896802e-10       4.512987177168e-11      -2.899833895029e-14 
   16       1.138723752163e-10       4.602635405188e-16       1.418326336770e-13       0.000000000000e+00       4.370156795225e-10       4.089367176952e-11      -4.445929845363e-14 
   17       1.153752676661e-10       4.939880712547e-16       1.497458176592e-13       0.000000000000e+00       3.943309861612e-10       3.723538548992e-11      -4.776502528108e-14 
   18       1.169754958920e-10       5.314759239631e-16       1.570417903802e-13       0.000000000000e+00       3.573237276300e-10       3.402561684685e-11      -4.195492867305e-14 
   19       1.186871362614e-10       5.815131725458e-16       1.638512081815e-13       0.000000000000e+00       3.253952780287e-10       3.121479016657e-11      -3.059226653662e-14 
