# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.368945754337e-10       5.080696414839e-15       3.812951247048e-13       1.908551144754e-19       7.954226037612e-09       4.497945428035e-10      -2.025038289135e-12 
    3       1.296229174453e-10       7.470729633572e-15       4.538595187066e-13       3.818098622901e-19       4.956334758040e-09       3.191864392315e-10      -1.658568393475e-12 
    4       1.225672351795e-10       7.478892630786e-15       4.457317752219e-13       6.365690022451e-19       3.446273068396e-09       2.414026926813e-10      -1.206395650086e-12 
    5       1.171826901810e-10       5.827948452833e-15       3.970636494509e-13       9.552593869811e-19       2.568004410707e-09       1.904502183274e-10      -7.872489070993e-13 
    6       1.133953764417e-10       3.744590802295e-15       3.328428019090e-13       1.338034572859e-18       2.001545771005e-09       1.546777041205e-10      -4.406837598590e-13 
    7       1.108690136731e-10       2.115016548807e-15       2.689815511620e-13       1.785071706746e-18       1.610122078501e-09       1.283452208322e-10      -1.814156906806e-13 
    8       1.093643858442e-10       1.204896264888e-15       2.139229332207e-13       2.296568006411e-18       1.326697219282e-09       1.083754496016e-10      -9.155837622434e-15 
    9       1.086314520942e-10       8.412623720718e-16       1.715353896512e-13       2.872736939981e-18       1.114430036421e-09       9.289721225514e-11       8.599445646017e-14 
   10       1.084374776067e-10       7.262648470108e-16       1.427669886148e-13       3.513804217752e-18       9.509467894640e-10       8.062950570423e-11       1.199548963794e-13 
   11       1.087017350939e-10       6.544686310833e-16       1.264064510327e-13       4.220003713571e-18       8.015084360777e-10       7.113491336983e-11       1.114070810836e-13 
   12       1.093219476940e-10       5.648014906994e-16       1.200106025688e-13       4.991573433067e-18       6.991636961276e-10       6.268208015111e-11       7.858249934361e-14 
   13       1.101550035791e-10       4.820029216092e-16       1.208111512943e-13       5.828751642055e-18       6.152302089685e-10       5.587929517528e-11       3.750047819108e-14 
   14       1.112557884693e-10       4.394653644220e-16       1.260981168716e-13       6.731773260764e-18       5.454784245706e-10       5.009845076905e-11      -7.139691462986e-16 
   15       1.125040928215e-10       4.414164627301e-16       1.336256729881e-13       7.700866618428e-18       4.868285896802e-10       4.512987177168e-11      -2.899833895029e-14 
   16       1.138900543505e-10       4.690050770305e-16       1.418247284338e-13       8.736250648517e-18       4.370156795225e-10       4.089367176952e-11      -4.445929845363e-14 
   17       1.153949694866e-10       5.038331497673e-16       1.497359878936e-13       9.838132588267e-18       3.943309861612e-10       3.723538548992e-11      -4.776502528108e-14 
   18       1.169973063572e-10       5.424915131778e-16       1.570297351863e-13       1.100670600629e-17       3.573237276300e-10       3.402561684685e-11      -4.195492867305e-14 
   19       1.187111388958e-10       5.937663936150e-16       1.638366051430e-13       1.224215073158e-17       3.253952780287e-10       3.121479016657e-11      -3.059226653662e-14 
   20       1.205035929807e-10       6.693827914650e-16       1.704486142710e-13       1.354462979969e-17       2.973051200117e-10       2.870560568826e-11      -1.814141882273e-14 
   21       1.223646378011e-10       7.724160418981e-16       1.771991319604e-13       1.491429285322e-17       2.726045598286e-10       2.647601893928e-11      -7.425079691392e-15 
   22       1.242644413936e-10       9.018719945264e-16       1.844291565564e-13       1.635127277374e-17       2.506954755127e-10       2.449250040719e-11      -6.839387452134e-16 
   23       1.262196389240e-10       1.054695952940e-15       1.922539040239e-13       1.785569088078e-17       2.312713757660e-10       2.272976830424e-11       1.634153750317e-15 
   24       1.282385967134e-10       1.226945386702e-15       2.006308048383e-13       1.942765351153e-17       2.138780100131e-10       2.114378457991e-11       1.038584989791e-17 
   25       1.303119319177e-10       1.418938925457e-15       2.092295002431e-13       2.106725938697e-17       1.983068267449e-10       1.971796486562e-11      -4.291527798182e-15 
   26       1.324131150240e-10       1.631938288838e-15       2.175767798871e-13       2.277459538225e-17       1.842720800562e-10       1.843046410653e-11      -9.519930539381e-15 
   27       1.345533761368e-10       1.865317627609e-15       2.253336739242e-13       2.454974369028e-17       1.716025343694e-10       1.726841240981e-11      -1.429797375509e-14 
   28       1.367446926924e-10       2.117937566298e-15       2.321882782005e-13       2.639277910160e-17       1.600769364033e-10       1.621310682186e-11      -1.739490226372e-14 
   29       1.389914851846e-10       2.390438679448e-15       2.379410778362e-13       2.830378065642e-17       1.496344934514e-10       1.525615786700e-11      -1.854136601978e-14 
   30       1.412819514023e-10       2.684100197665e-15       2.424147810043e-13       3.028282274875e-17       1.401610646126e-10       1.438190880427e-11      -1.782578739232e-14 
   31       1.435943645427e-10       3.000457092113e-15       2.454648602491e-13       3.232997560427e-17       1.314609817638e-10       1.356766679461e-11      -1.550968481979e-14 
   32       1.459346443829e-10       3.341604173608e-15       2.471493090796e-13       3.444532010062e-17       1.234879885725e-10       1.281197074056e-11      -1.224758913313e-14 
   33       1.483103865701e-10       3.710044066899e-15       2.476285414071e-13       3.662893893883e-17       1.161845284691e-10       1.211550988862e-11      -8.977832534301e-15 
   34       1.507218892140e-10       4.108164269075e-15       2.470817545272e-13       3.888091544294e-17       1.094469602447e-10       1.147459964764e-11      -6.651461861600e-15 
   35       1.531688702258e-10       4.536609018821e-15       2.455522617995e-13       4.120134141686e-17       1.032397685432e-10       1.088608132753e-11      -5.424984325467e-15 
