# Matter power spectrum P(k) at redshift z=5.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       1.707276177233e+00 
       2.373043761528e-05       3.822464527318e+00 
       3.705205197341e-05       5.921427000689e+00 
       5.046040160262e-05       8.018363140029e+00 
       6.399420676399e-05       1.012295356893e+01 
       7.769321405898e-05       1.224337551506e+01 
       9.159857522556e-05       1.438720788459e+01 
       1.057532435558e-04       1.656183241303e+01 
       1.202023933008e-04       1.877466152325e+01 
       1.349938674647e-04       2.103329363561e+01 
       1.501786593808e-04       2.334563516118e+01 
       1.658114333596e-04       2.572000814135e+01 
       1.819510894196e-04       2.816525046133e+01 
       1.986613765579e-04       3.069081564074e+01 
       2.160115580438e-04       3.330687325485e+01 
       2.340771306401e-04       3.602441290470e+01 
       2.529405972213e-04       3.885535063653e+01 
       2.726922886571e-04       4.181263847848e+01 
       2.934312256600e-04       4.491037511558e+01 
       3.152660040981e-04       4.816391442564e+01 
       3.383156775180e-04       5.158996787023e+01 
       3.627105977775e-04       5.520669330737e+01 
       3.885931583209e-04       5.903376207922e+01 
       4.161183645581e-04       6.309239079188e+01 
       4.454541324261e-04       6.740532335332e+01 
       4.767811907995e-04       7.199674322690e+01 
       5.102924387431e-04       7.689209371466e+01 
       5.461915893473e-04       8.211778149389e+01 
       5.846909251320e-04       8.770073934578e+01 
       6.260080050474e-04       9.366782783987e+01 
       6.703612104985e-04       1.000450642387e+02 
       7.179641068864e-04       1.068566831937e+02 
       7.690187318622e-04       1.141240576299e+02 
       8.237080952403e-04       1.218645339461e+02 
       8.821883665213e-04       1.300902673885e+02 
       9.445813962622e-04       1.388071631159e+02 
       1.010968318642e-03       1.480140500254e+02 
       1.081384969221e-03       1.577021918191e+02 
       1.155819700313e-03       1.678552201626e+02 
       1.234213899658e-03       1.784495219639e+02 
       1.316465168833e-03       1.894550455467e+02 
       1.402432774394e-03       2.008364462590e+02 
       1.491944724558e-03       2.125544493332e+02 
       1.584805697329e-03       2.245672818471e+02 
       1.680805061300e-03       2.368320476563e+02 
       1.779724358910e-03       2.493059593085e+02 
       1.881343813733e-03       2.619473431175e+02 
       1.985447627100e-03       2.747163996462e+02 
       2.091828006459e-03       2.875757397023e+02 
       2.200287998256e-03       3.004906996903e+02 
       2.310643277916e-03       3.134290839715e+02 
       2.422723085604e-03       3.263623661735e+02 
       2.536370500476e-03       3.392645819789e+02 
       2.651442230081e-03       3.521124267276e+02 
       2.767808065318e-03       3.648851869710e+02 
       2.885350122018e-03       3.775645497644e+02 
       3.003961962112e-03       3.901344072124e+02 
       3.123547662764e-03       4.025807294101e+02 
       3.244020881646e-03       4.148913367247e+02 
       3.365303950641e-03       4.270557336294e+02 
       3.487327018288e-03       4.390649461251e+02 
       3.610027252458e-03       4.509113466983e+02 
       3.733348108622e-03       4.625885825100e+02 
       3.857238664757e-03       4.740912787671e+02 
       3.981653021215e-03       4.854150204007e+02 
       4.106549762154e-03       4.965562971883e+02 
       4.231891474164e-03       5.075121780064e+02 
       4.357644317282e-03       5.182805874194e+02 
       4.483777643502e-03       5.288597965894e+02 
       4.610263657980e-03       5.392488168516e+02 
       4.737077118433e-03       5.494468981755e+02 
       4.864195068510e-03       5.594538292942e+02 
       4.991596601329e-03       5.692697921931e+02 
       5.119262649698e-03       5.788950861367e+02 
       5.247175799933e-03       5.883305634003e+02 
