# Matter power spectrum P(k) at redshift z=5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.003247443665e+00 
       2.373043761528e-05       4.485121389205e+00 
       3.705205197341e-05       6.947954629365e+00 
       5.046040160262e-05       9.408407230955e+00 
       6.399420676399e-05       1.187783689773e+01 
       7.769321405898e-05       1.436583717764e+01 
       9.159857522556e-05       1.688129944864e+01 
       1.057532435558e-04       1.943288355721e+01 
       1.202023933008e-04       2.202928517046e+01 
       1.349938674647e-04       2.467941785738e+01 
       1.501786593808e-04       2.739255628892e+01 
       1.658114333596e-04       3.017846233513e+01 
       1.819510894196e-04       3.304750271779e+01 
       1.986613765579e-04       3.601076577488e+01 
       2.160115580438e-04       3.908017934925e+01 
       2.340771306401e-04       4.226863248178e+01 
       2.529405972213e-04       4.559010013745e+01 
       2.726922886571e-04       4.905977148220e+01 
       2.934312256600e-04       5.269417939823e+01 
       3.152660040981e-04       5.651132749455e+01 
       3.383156775180e-04       6.053080979191e+01 
       3.627105977775e-04       6.477391441669e+01 
       3.885931583209e-04       6.926370162935e+01 
       4.161183645581e-04       7.402504049836e+01 
       4.454541324261e-04       7.908458688539e+01 
       4.767811907995e-04       8.447067965131e+01 
       5.102924387431e-04       9.021312881175e+01 
       5.461915893473e-04       9.634286673638e+01 
       5.846909251320e-04       1.028914343667e+02 
       6.260080050474e-04       1.098902786184e+02 
       6.703612104985e-04       1.173698477327e+02 
       7.179641068864e-04       1.253584900735e+02 
       7.690187318622e-04       1.338811899056e+02 
       8.237080952403e-04       1.429582043583e+02 
       8.821883665213e-04       1.526037019825e+02 
       9.445813962622e-04       1.628245273948e+02 
       1.010968318642e-03       1.736192399041e+02 
       1.081384969221e-03       1.849775488697e+02 
       1.155819700313e-03       1.968802436956e+02 
       1.234213899658e-03       2.092996543424e+02 
       1.316465168833e-03       2.222006004500e+02 
       1.402432774394e-03       2.355417331687e+02 
       1.491944724558e-03       2.492771272059e+02 
       1.584805697329e-03       2.633579485976e+02 
       1.680805061300e-03       2.777340525828e+02 
       1.779724358910e-03       2.923554116698e+02 
       1.881343813733e-03       3.071732795450e+02 
       1.985447627100e-03       3.221410712748e+02 
       2.091828006459e-03       3.372149864171e+02 
       2.200287998256e-03       3.523543791025e+02 
       2.310643277916e-03       3.675214629821e+02 
       2.422723085604e-03       3.826827309931e+02 
       2.536370500476e-03       3.978076704277e+02 
       2.651442230081e-03       4.128688964420e+02 
       2.767808065318e-03       4.278420644695e+02 
       2.885350122018e-03       4.427056643549e+02 
       3.003961962112e-03       4.574408220148e+02 
       3.123547662764e-03       4.720310922055e+02 
       3.244020881646e-03       4.864622202773e+02 
       3.365303950641e-03       5.007219308124e+02 
       3.487327018288e-03       5.147997289499e+02 
       3.610027252458e-03       5.286866888362e+02 
       3.733348108622e-03       5.423753665446e+02 
       3.857238664757e-03       5.558594512639e+02 
       3.981653021215e-03       5.691337482610e+02 
