# Matter power spectrum P(k) at redshift z=4.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.382687900571e+00 
       2.373043761528e-05       5.334659590684e+00 
       3.705205197341e-05       8.263982536228e+00 
       5.046040160262e-05       1.119047155296e+01 
       6.399420676399e-05       1.412763477930e+01 
       7.769321405898e-05       1.708688190768e+01 
       9.159857522556e-05       2.007878737527e+01 
       1.057532435558e-04       2.311365011233e+01 
       1.202023933008e-04       2.620181151333e+01 
       1.349938674647e-04       2.935387186050e+01 
       1.501786593808e-04       3.258086078769e+01 
       1.658114333596e-04       3.589438702184e+01 
       1.819510894196e-04       3.930677837645e+01 
       1.986613765579e-04       4.283122051358e+01 
       2.160115580438e-04       4.648189704256e+01 
       2.340771306401e-04       5.027413419164e+01 
       2.529405972213e-04       5.422454898898e+01 
       2.726922886571e-04       5.835120171997e+01 
       2.934312256600e-04       6.267374976921e+01 
       3.152660040981e-04       6.721359843152e+01 
       3.383156775180e-04       7.199404307829e+01 
       3.627105977775e-04       7.704039220680e+01 
       3.885931583209e-04       8.238005988921e+01 
       4.161183645581e-04       8.804260917943e+01 
       4.454541324261e-04       9.405972562958e+01 
       4.767811907995e-04       1.004650936170e+02 
       5.102924387431e-04       1.072941443971e+02 
       5.461915893473e-04       1.145836414450e+02 
       5.846909251320e-04       1.223710701605e+02 
       6.260080050474e-04       1.306938034405e+02 
       6.703612104985e-04       1.395880280383e+02 
       7.179641068864e-04       1.490874385283e+02 
       7.690187318622e-04       1.592217384919e+02 
       8.237080952403e-04       1.700150264503e+02 
       8.821883665213e-04       1.814841851921e+02 
       9.445813962622e-04       1.936374226106e+02 
       1.010968318642e-03       2.064731390742e+02 
       1.081384969221e-03       2.199792659195e+02 
       1.155819700313e-03       2.341331903443e+02 
       1.234213899658e-03       2.489023062209e+02 
       1.316465168833e-03       2.642451408540e+02 
       1.402432774394e-03       2.801129406346e+02 
       1.491944724558e-03       2.964515477244e+02 
       1.584805697329e-03       3.132033604412e+02 
       1.680805061300e-03       3.303092079494e+02 
       1.779724358910e-03       3.477100223017e+02 
       1.881343813733e-03       3.653482014494e+02 
       1.985447627100e-03       3.831686416737e+02 
       2.091828006459e-03       4.011194728775e+02 
       2.200287998256e-03       4.191525025931e+02 
       2.310643277916e-03       4.372228760353e+02 
       2.422723085604e-03       4.552907836595e+02 
       2.536370500476e-03       4.733199474674e+02 
       2.651442230081e-03       4.912778043889e+02 
       2.767808065318e-03       5.091353824991e+02 
       2.885350122018e-03       5.268670868119e+02 
       3.003961962112e-03       5.444504864688e+02 
       3.123547662764e-03       5.618659966152e+02 
       3.244020881646e-03       5.790966302793e+02 
       3.365303950641e-03       5.961277269025e+02 
       3.487327018288e-03       6.129467117517e+02 
       3.610027252458e-03       6.295428420372e+02 
       3.733348108622e-03       6.459071066310e+02 
       3.857238664757e-03       6.620318182281e+02 
       3.981653021215e-03       6.779106027875e+02 
       4.106549762154e-03       6.935383355675e+02 
