# Matter power spectrum P(k) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045749810485e-05       2.880170071369e+00 
       2.373043761528e-05       6.448483440086e+00 
       3.705205197341e-05       9.989415868746e+00 
       5.046040160262e-05       1.352691741098e+01 
       6.399420676399e-05       1.707731455816e+01 
       7.769321405898e-05       2.065439705338e+01 
       9.159857522556e-05       2.427094470710e+01 
       1.057532435558e-04       2.793940408942e+01 
       1.202023933008e-04       3.167227263302e+01 
       1.349938674647e-04       3.548236025203e+01 
       1.501786593808e-04       3.938299532989e+01 
       1.658114333596e-04       4.338820543401e+01 
       1.819510894196e-04       4.751288651363e+01 
       1.986613765579e-04       5.177297042924e+01 
       2.160115580438e-04       5.618559402697e+01 
       2.340771306401e-04       6.076927367169e+01 
       2.529405972213e-04       6.554408413746e+01 
       2.726922886571e-04       7.053184244350e+01 
       2.934312256600e-04       7.575629327101e+01 
       3.152660040981e-04       8.124329063688e+01 
       3.383156775180e-04       8.702096911905e+01 
       3.627105977775e-04       9.311989156432e+01 
       3.885931583209e-04       9.957315996241e+01 
       4.161183645581e-04       1.064164667360e+02 
       4.454541324261e-04       1.136880614385e+02 
       4.767811907995e-04       1.214285998758e+02 
       5.102924387431e-04       1.296808382128e+02 
       5.461915893473e-04       1.384891305169e+02 
       5.846909251320e-04       1.478986901607e+02 
       6.260080050474e-04       1.579545809434e+02 
       6.703612104985e-04       1.687004201085e+02 
       7.179641068864e-04       1.801768020950e+02 
       7.690187318622e-04       1.924194910322e+02 
       8.237080952403e-04       2.054574767182e+02 
       8.821883665213e-04       2.193110369090e+02 
       9.445813962622e-04       2.339899855094e+02 
       1.010968318642e-03       2.494923163142e+02 
       1.081384969221e-03       2.658034163090e+02 
       1.155819700313e-03       2.828959854418e+02 
       1.234213899658e-03       3.007307071920e+02 
       1.316465168833e-03       3.192576089803e+02 
       1.402432774394e-03       3.384179677479e+02 
       1.491944724558e-03       3.581465598931e+02 
       1.584805697329e-03       3.783740058320e+02 
       1.680805061300e-03       3.990290095404e+02 
       1.779724358910e-03       4.200403552589e+02 
       1.881343813733e-03       4.413385384730e+02 
       1.985447627100e-03       4.628570072766e+02 
       2.091828006459e-03       4.845330567845e+02 
       2.200287998256e-03       5.063083811732e+02 
       2.310643277916e-03       5.281286858531e+02 
       2.422723085604e-03       5.499457731902e+02 
       2.536370500476e-03       5.717157353234e+02 
       2.651442230081e-03       5.933991852330e+02 
       2.767808065318e-03       6.149611256049e+02 
       2.885350122018e-03       6.363706609819e+02 
       3.003961962112e-03       6.576007428379e+02 
       3.123547662764e-03       6.786277721271e+02 
       3.244020881646e-03       6.994312789460e+02 
       3.365303950641e-03       7.199935858757e+02 
       3.487327018288e-03       7.402995138439e+02 
       3.610027252458e-03       7.603360769509e+02 
       3.733348108622e-03       7.800923691362e+02 
       3.857238664757e-03       7.995590808551e+02 
       3.981653021215e-03       8.187284955853e+02 
       4.106549762154e-03       8.375944181465e+02 
       4.231891474164e-03       8.561516493808e+02 
       4.357644317282e-03       8.743964619620e+02 
       4.483777643502e-03       8.923257437109e+02 
       4.610263657980e-03       9.099376564040e+02 
       4.737077118433e-03       9.272307777113e+02 
       4.864195068510e-03       9.442045955237e+02 
       4.991596601329e-03       9.608592564545e+02 
       5.119262649698e-03       9.771950881027e+02 
       5.247175799933e-03       9.932133432693e+02 
       5.375320126495e-03       1.008915146316e+03 
       5.503681045008e-03       1.024302302390e+03 
       5.632245181484e-03       1.039377100626e+03 
       5.761000255846e-03       1.054141623422e+03 
       5.889934978076e-03       1.068598454990e+03 
       6.019038955502e-03       1.082750333153e+03 
       6.148302609931e-03       1.096600055033e+03 
       6.277717103485e-03       1.110150827256e+03 
       6.407274272154e-03       1.123406027575e+03 
       6.536966566162e-03       1.136368426230e+03 
       6.666786996400e-03       1.149041690059e+03 
       6.796729086234e-03       1.161428998688e+03 
       6.926786828089e-03       1.173533880087e+03 
       7.056954644300e-03       1.185360123160e+03 
