# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.339035976624e-04      -2.504573427622e-04      -2.504573478728e-04      -3.339026197559e-04      -2.504114878692e-04      -2.505784144991e-04       5.988888715752e-01       5.979870386350e-01      -1.685542609173e-11      -3.225928859815e-15      -1.744671608314e-11      -1.775389019310e-14      -3.399902537809e-14 
       2.373043761528e-05      -1.718548615110e-03      -1.289697336484e-03      -1.289697471972e-03      -1.718522694939e-03      -1.289457961539e-03      -1.290319578629e-03       5.988852516076e-01       5.979840668405e-01      -4.467829359418e-10      -8.551704996765e-14      -4.624540738152e-10      -4.707605925122e-13      -9.012063962493e-13 
       3.705205197341e-05      -4.185919465157e-03      -3.144108303680e-03      -3.144109108639e-03      -4.185765520799e-03      -3.143510596716e-03      -3.145620025238e-03       5.988787907855e-01       5.979787619755e-01      -2.653663766301e-09      -5.080221368380e-13      -2.746722125989e-09      -2.797804425952e-12      -5.352731989052e-12 
       5.046040160262e-05      -7.753740480312e-03      -5.831355714828e-03      -5.831358482469e-03      -7.753211444934e-03      -5.830209139406e-03      -5.834145475865e-03       5.988694321745e-01       5.979710765490e-01      -9.120078245206e-09      -1.746447668987e-12      -9.439799994699e-09      -9.624060263099e-12      -1.839632248509e-11 
       6.399420676399e-05      -1.244963167706e-02      -9.378709042459e-03      -9.378716196942e-03      -1.244826499132e-02      -9.376784271429e-03      -9.383166159356e-03       5.988570850553e-01       5.979609343626e-01      -2.356291817859e-08      -4.513763943078e-12      -2.438861225946e-08      -2.489437896107e-11      -4.752970728953e-11 
       7.769321405898e-05      -1.831136361162e-02      -1.382356051387e-02      -1.382357604409e-02      -1.830839937690e-02      -1.382057447933e-02      -1.383007519324e-02       5.988416239580e-01       5.979482301107e-01      -5.111350745737e-08      -9.795648652737e-12      -5.290366686723e-08      -5.408164423014e-11      -1.031041567840e-10 
       9.159857522556e-05      -2.538722312419e-02      -1.921416340581e-02      -1.921419338111e-02      -2.538150748413e-02      -1.920976166907e-02      -1.922312635506e-02       5.988228886158e-01       5.979328299036e-01      -9.857202850600e-08      -1.890116528541e-11      -1.020221557164e-07      -1.044832826348e-10      -1.988382080187e-10 
       1.057532435558e-04      -3.373648044698e-02      -2.561061049579e-02      -2.561066368922e-02      -3.372634957793e-02      -2.560434596979e-02      -2.562241181228e-02       5.988006786098e-01       5.979145649267e-01      -1.747507802920e-07      -3.352989718345e-11      -1.808625950798e-07      -1.856249451144e-10      -3.525103606808e-10 
       1.202023933008e-04      -4.342994614363e-02      -3.308608104177e-02      -3.308616969901e-02      -4.341308426961e-02      -3.307738786942e-02      -3.310110813010e-02       5.987747523526e-01       5.978932321749e-01      -2.909252962488e-07      -5.586160956328e-11      -3.010910797673e-07      -3.097979297697e-10      -5.868698985031e-10 
       1.349938674647e-04      -5.455059856879e-02      -4.172839218411e-02      -4.172853298794e-02      -5.452386166460e-02      -4.171655326203e-02      -4.174702637479e-02       5.987448191822e-01       5.978685873420e-01      -4.614189713765e-07      -8.867603549361e-11      -4.775258645227e-07      -4.927664961287e-10      -9.308182541810e-10 
       1.501786593808e-04      -6.719424990863e-02      -5.164190070270e-02      -5.164211596665e-02      -6.715344857416e-02      -5.162600688125e-02      -5.166451211271e-02       5.987105358398e-01       5.978403402504e-01      -7.043573312617e-07      -1.354970637707e-10      -7.289152646057e-07      -7.546938837859e-10      -1.420930078277e-09 
       1.658114333596e-04      -8.147021671997e-02      -6.294981100045e-02      -6.295013020804e-02      -8.140984036422e-02      -6.292870948455e-02      -6.297675109945e-02       5.986714989917e-01       5.978081504611e-01      -1.042630922384e-06      -2.007992156564e-10      -1.078934224415e-06      -1.121352464891e-09      -2.103401697271e-09 
       1.819510894196e-04      -9.750191803996e-02      -7.579695745043e-02      -7.579741916985e-02      -9.741479350766e-02      -7.576918605037e-02      -7.582854850694e-02       5.986272370740e-01       5.977716178987e-01      -1.505131283626e-06      -2.902427154189e-10      -1.557457821107e-06      -1.625705572950e-09      -3.036543391772e-09 
       1.986613765579e-04      -1.154273277321e-01      -9.035314290564e-02      -9.035379727183e-02      -1.153041838566e-01      -9.031684589309e-02      -9.038966336952e-02       5.985772005545e-01       5.977302756822e-01      -2.128322698092e-06      -4.110145976861e-10      -2.202186165637e-06      -2.309978377542e-09      -4.293960486286e-09 
       2.160115580438e-04      -1.353991307077e-01      -1.068171305540e-01      -1.068180423922e-01      -1.352280552830e-01      -1.067699503516e-01      -1.068587949596e-01       5.985207503279e-01       5.976835784423e-01      -2.958252320678e-06      -5.722219082486e-10      -3.060715024628e-06      -3.228374889659e-09      -5.968610031634e-09 
       2.340771306401e-04      -1.575844256206e-01      -1.254214033589e-01      -1.254226562663e-01      -1.573501690377e-01      -1.253603406415e-01      -1.254683350947e-01       5.984571455680e-01       5.976308923887e-01      -4.053100047520e-06      -7.854581716199e-10      -4.193170686292e-06      -4.450652042447e-09      -8.177965692645e-09 
       2.529405972213e-04      -1.821636852719e-01      -1.464378228740e-01      -1.464395243937e-01      -1.818467892578e-01      -1.463590549393e-01      -1.464900173749e-01       5.983855274571e-01       5.975714791846e-01      -5.486429149123e-06      -1.065464607716e-09      -5.675556207651e-06      -6.066834221221e-09      -1.107058476448e-08 
       2.726922886571e-04      -2.093286509917e-01      -1.701843384449e-01      -1.701866267568e-01      -2.089043456718e-01      -1.700829826101e-01      -1.702416138447e-01       5.983049018316e-01       5.975044800406e-01      -7.351298200452e-06      -1.431026660448e-09      -7.603988538433e-06      -8.193448364366e-09      -1.483443186298e-08 
       2.934312256600e-04      -2.392786680378e-01      -1.970329149116e-01      -1.970359673876e-01      -2.387154866280e-01      -1.969027190151e-01      -1.970948461020e-01       5.982141198505e-01       5.974288971114e-01      -9.765453419874e-06      -1.906089479966e-09      -1.010004123590e-05      -1.098179264092e-08      -1.970738669255e-08 
       3.152660040981e-04      -2.722148603940e-01      -2.274188593083e-01      -2.274229036751e-01      -2.714728828270e-01      -2.272517957293e-01      -2.274846904310e-01       5.981118540033e-01       5.973435702671e-01      -1.287783325910e-05      -2.521238779621e-09      -1.331743936933e-05      -1.462892342978e-08      -2.599043106150e-08 
       3.383156775180e-04      -3.083312891682e-01      -2.618517362781e-01      -2.618570649249e-01      -3.073599503343e-01      -2.616374673380e-01      -2.619202648718e-01       5.979965753775e-01       5.972471540276e-01      -1.687666643123e-05      -3.315543558113e-09      -1.745037784888e-05      -1.939228613387e-08      -3.406406680440e-08 
       3.627105977775e-04      -3.478020855106e-01      -3.009280500628e-01      -3.009350384330e-01      -3.465374559006e-01      -3.006532223364e-01      -3.009974745221e-01       5.978665243726e-01       5.971380871252e-01      -2.199942665316e-05      -4.338859656086e-09      -2.274373101245e-05      -2.560921335816e-08      -4.440851323135e-08 
       3.885931583209e-04      -3.907633571272e-01      -3.453458475845e-01      -3.453549781043e-01      -3.891247452089e-01      -3.449931583721e-01      -3.454135677929e-01       5.977196836336e-01       5.970145632643e-01      -2.854484241798e-05      -5.654900201547e-09      -2.950537586858e-05      -3.372293287031e-08      -5.762816024116e-08 
       4.161183645581e-04      -4.372883013674e-01      -3.959213332192e-01      -3.959332255083e-01      -4.351741718888e-01      -3.954682927912e-01      -3.959836910147e-01       5.975537489769e-01       5.968744969617e-01      -3.688713105276e-05      -7.344692427225e-09      -3.812071462468e-05      -4.431723361306e-08      -7.448051171450e-08 
       4.454541324261e-04      -4.873542162672e-01      -4.536074798545e-01      -4.536229295867e-01      -4.846372496810e-01      -4.530247695701e-01      -4.536594250033e-01       5.973661021096e-01       5.967154892160e-01      -4.749220502841e-05      -9.511139403651e-09      -4.906921062920e-05      -5.816260689977e-08      -9.590933439322e-08 
       4.767811907995e-04      -5.407999710912e-01      -5.195144544972e-01      -5.195344825849e-01      -5.373212731345e-01      -5.187637481543e-01      -5.195491190743e-01       5.971537880189e-01       5.965347935915e-01      -6.093528533783e-05      -1.228429589852e-08      -6.294225916849e-05      -7.627747890540e-08      -1.230808150783e-07 
       5.102924387431e-04      -5.972732970116e-01      -5.949314303626e-01      -5.949573444533e-01      -5.928358423825e-01      -5.939625058302e-01      -5.949395938523e-01       5.969135007812e-01       5.963292858592e-01      -7.791851250629e-05      -1.582735213450e-08      -8.046091144251e-05      -1.000091055912e-07      -1.574199939352e-07 
       5.461915893473e-04      -6.561687060088e-01      -6.813490204454e-01      -6.813824914398e-01      -6.505301975656e-01      -6.800959395974e-01      -6.813184501104e-01       5.966415812849e-01       5.960954397594e-01      -9.928593808750e-05      -2.034344824397e-08      -1.024907532833e-04      -1.311397511594e-07      -2.006424218542e-07 
       5.846909251320e-04      -7.165589704161e-01      -7.804811499966e-01      -7.805243035151e-01      -7.094248607204e-01      -7.788572223839e-01      -7.803958041918e-01       5.963340362825e-01       5.958293169334e-01      -1.260318497521e-04      -2.608160957057e-08      -1.300495521689e-04      -1.720248634902e-07      -2.547727357927e-07 
