# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=3.5
# for k=1.04575e-05 to 1006.15 h/Mpc,
# number of wavenumbers equal to 625
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_ncdm[0]             14:t_tot              
       1.045749810485e-05      -3.706719589843e-04      -2.780405411292e-04      -2.780405474867e-04      -3.706706557954e-04      -2.779853639497e-04      -2.781613822874e-04       5.981105182488e-01       5.972988870749e-01      -1.974569058947e-11      -3.342344554720e-15      -2.044177316585e-11      -1.701438476502e-14      -3.582159047062e-14 
       2.373043761528e-05      -1.907684968736e-03      -1.431733220320e-03      -1.431733388861e-03      -1.907650427762e-03      -1.431445727503e-03      -1.432354156955e-03       5.981068267757e-01       5.972958443012e-01      -5.233734738648e-10      -8.860269281752e-14      -5.418209486727e-10      -4.511520083917e-13      -9.494789409754e-13 
       3.705205197341e-05      -4.646150071042e-03      -3.490371819926e-03      -3.490372821236e-03      -4.645944937624e-03      -3.489656312179e-03      -3.491879845514e-03       5.981002378574e-01       5.972904117950e-01      -3.108352243529e-09      -5.263312794908e-13      -3.217883708056e-09      -2.681268131691e-12      -5.639046292405e-12 
       5.046040160262e-05      -8.605023783854e-03      -6.473566024687e-03      -6.473569467319e-03      -8.604318892185e-03      -6.472199631870e-03      -6.476347554464e-03       5.980906946112e-01       5.972825423978e-01      -1.068164222483e-08      -1.809319437018e-12      -1.105790041215e-08      -9.223194604143e-12      -1.937833107246e-11 
       6.399420676399e-05      -1.381389190258e-02      -1.041158655473e-02      -1.041159545371e-02      -1.381207110930e-02      -1.040930541486e-02      -1.041602752031e-02       5.980781040767e-01       5.972721572903e-01      -2.759365885081e-08      -4.676039949095e-12      -2.856515573874e-08      -2.385747762571e-11      -5.006006116696e-11 
       7.769321405898e-05      -2.031320228474e-02      -1.534594097039e-02      -1.534596028636e-02      -2.030925364915e-02      -1.534242444196e-02      -1.535242648654e-02       5.980623392433e-01       5.972591491779e-01      -5.984691427925e-08      -1.014712921384e-11      -6.195261409935e-08      -5.182906259488e-11      -1.085746246040e-10 
       9.159857522556e-05      -2.815460024557e-02      -2.133019312336e-02      -2.133023040310e-02      -2.814698770934e-02      -2.132504519980e-02      -2.133910655208e-02       5.980432373806e-01       5.972433812538e-01      -1.153904527251e-07      -1.957768848244e-11      -1.194473781736e-07      -1.001314636110e-10      -2.093447888301e-10 
       1.057532435558e-04      -3.740135227627e-02      -2.843104918927e-02      -2.843111533980e-02      -3.738786176315e-02      -2.842377610586e-02      -2.844277037574e-02       5.980205954380e-01       5.972246815496e-01      -2.045166333925e-07      -3.472663243259e-11      -2.117005759852e-07      -1.778936460575e-10      -3.710458842762e-10 
       1.202023933008e-04      -4.812884035446e-02      -3.672974168599e-02      -3.672985192880e-02      -4.810639167216e-02      -3.671972447143e-02      -3.674464408369e-02       5.979941678136e-01       5.972028422265e-01      -3.403818428875e-07      -5.784851996031e-11      -3.523254192544e-07      -2.968950861862e-10      -6.175512679707e-10 
       1.349938674647e-04      -6.042509922048e-02      -4.632375146256e-02      -4.632392652962e-02      -6.038951279431e-02      -4.631021186248e-02      -4.634219778244e-02       5.979636600474e-01       5.971776142408e-01      -5.396798867325e-07      -9.181800882537e-11      -5.585936020734e-07      -4.722436571973e-10      -9.791564773044e-10 
